,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Aug 26, 2020","The fact that 5% of their workforce is 25,000 people 🤯",370,oddblockV2,/company/IBM/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
1,"Sep 7, 2020",How is it possible that you haven't heard of Accenture? Do you Also not know about Batman? Or the moon?,3,10c5292v,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
2,"Sep 9, 2020",One explanation for not knowing what Accenture is could be if you have never developed and supported a large enterprise product. The culture may have separate software engineering divisions for product and support.,1,mesa14,/company/Micro-Focus/,Eng,/post/Accenture-layoffs-3253Gn6o,Accenture
3,"Aug 26, 2020",Sorry to hear this. Feel free to dm for a referral. https://www.twilio.com/company/jobs#open-positions,49,.Covid-69,/company/Twilio/,R&D,/post/Accenture-layoffs-3253Gn6o,Accenture
4,"Aug 31, 2020","@dailyrun5K - respect your PoV, maybe a bit showoff here, agree, however it was to show balatant labels of low performance may not be good.",0,8881,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
5,"Aug 31, 2020","The key metric in any services firm is utilization. Which can go low if you have a sales team that can’t close work that matches the skills you have.There could be engineers in specialized skill sets (ML, K8s, etc) who just don’t happen to fit into a role they’ve sold. I know much of ACN still staffs by region, you could get screwed by having good skills in a region that doesn’t sell that kind of work very often.",1,ughforce,/company/Salesforce/,QA,/post/Accenture-layoffs-3253Gn6o,Accenture
6,"Aug 30, 2020",Way to ruin their prospects on the open market,41,googlme,/company/Google/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
7,"Aug 31, 2020","@Brightcove, how did you know they were bad performers after you prevented the hire. Where I work , actual metrics are required for predictions, ....usually.",2,looser1234,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
8,"Sep 3, 2020",I'm putting brightcove on the low performer list me and the rest of my illuminati buddies share,2,pTxc10,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
9,"Aug 30, 2020","Before people are snarky and disparaging towards Accenture employees, recognize that they are real people. Job loss is devastating.",159,dmkk36,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
10,"Aug 30, 2020","Right. People have family, kids to support and bills to pay. They are not likely to be ""low performers"". More likely to be resources that are expendable in view of current covid-19 recession worldwide. Tagging employees as ""low performers"" make it easier to get rid of extra resources without being sued for ""fairness""",29,JTXu88,nan,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
11,"Sep 3, 2020","I knew a guy killing it at Accenture, great reviews all around, but he was for some reason or another assigned to a project outside of his cost center with a big n client.  Great feedback from them too.Laid off.  It's definitely not just the underperformers.",1,pTxc10,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
12,"Aug 30, 2020",This sucks but at the same time ... How can they afford to have 25k underperforming employees ?,52,xPMAx,/company/Cargill/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
13,"Aug 30, 2020","Yes, it's socialism, combined with bribery and dysfunctional judicial system.I remember during 2009 layoffs, a number of executives were killed by the angry workers, and worse, the then labor minister justified it.https://www.news18.com/news/india/ceo-lynched-minister-asks-firms-to-learn-lesson-297860.html(Side Note: that minister is still in Congress, and also promotes gaumutra.)",3,Pullingo,/company/Lyft/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
14,"Aug 31, 2020",Italy based firm means.... INC’s pet dog. They enjoy playing with Indian emotions,0,eFVf83,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-3253Gn6o,Accenture
0,"Jun 16, 2020",I can confirm. Knew at least 3 people who were let go as of last Friday,13,tetopoteto,/company/Accenture/,Strategy,/post/Accenture-layoffs-K1NDB754,Accenture
1,"Jun 16, 2020",That is unfortunate. Thanks for the info,0,xauusd,/company/EY/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-K1NDB754,Accenture
2,"Jun 19, 2020","Can confirm. After the Hertz debacle of 32 million for a website that was never really delivered (that may well have helped kill that company) Accenture went on a buying spree for small companies that could design and build digital products. MindTribe, Pillar, Altitude, and WhatIf were all in this group. Because of shrinking share prices, Accenture went through each of these companies with a hot knife, citing chrageability as the primary metric. All of the people I personally know who were let go were over 40. This is the reason for secrecy. They are an inept body shop designed to maximize share price and executive bonuses while paying lip service to various causes.",5,xzYy13,nan,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-K1NDB754,Accenture
3,"Jun 16, 2020",Not for federal. In fact I got an email about referral bonuses. Need clearance though.,5,velron,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-K1NDB754,Accenture
4,"Jun 17, 2020",What's a body shop,0,piutf,nan,Finance,/post/Accenture-layoffs-K1NDB754,Accenture
5,"Jun 17, 2020","It’s basically a company that focuses on staffing you to a client. Doesn’t matter if the work is meaningful to your career development or even if it’s what you were hired to do to begin with. They profit off of the client having you work. It’s not really a tech company, it’s just trash consulting.",3,gitPullAll,/company/Avanade/,Consultant,/post/Accenture-layoffs-K1NDB754,Accenture
6,"Jun 20, 2020",Lots of places have been laying off without WARN notice because COVID-19 falls under the “unforeseeable circumstances” clause.,4,sm314,/company/Netflix/,Eng,/post/Accenture-layoffs-K1NDB754,Accenture
7,"Jul 28, 2020",Is this true? I had no idea.,0,bbxcu,/company/Workday/,SEND PRIVATE MESSAGE,/post/Accenture-layoffs-K1NDB754,Accenture
0,"Aug 14, 2017",Accenture? Run!,6,👃.... 💪,/company/eBay/,Product,/post/Accenture-salary-g5foXUTC,Accenture
1,"Aug 17, 2017",It's pretty shitty to have to call up people and make up their hours. It also means that projections for future projects are based on fake numbers.,4,👃.... 💪,/company/eBay/,Product,/post/Accenture-salary-g5foXUTC,Accenture
2,"Aug 18, 2017","Agreed.  Especially when everyone says to charge real hours.  Still, that never  happens.  In fact if you want to advance, never charge more than 40 hours.  Everyone knows how many hours things take.  But,... When you have a cheap client, corners are cut to make the pricing model work.  If you're consulting or strategy you should know you will work more than 40 hours, but you'll never charge more than 40.",2,TtwT62,/company/Accenture/,Product,/post/Accenture-salary-g5foXUTC,Accenture
3,"Aug 20, 2017",What level do you have to be too make 600k total comp?,1,👃.... 💪,/company/eBay/,Product,/post/Accenture-salary-g5foXUTC,Accenture
4,"Aug 20, 2017",Managing director.,1,WCsI31,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Accenture-salary-g5foXUTC,Accenture
5,"May 3, 2020","136, tc",2,analystman,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Accenture-salary-g5foXUTC,Accenture
6,"Aug 15, 2017",You'll likely see a 10-15k bump.  Geography adjusted...,1,TtwT62,/company/Accenture/,Product,/post/Accenture-salary-g5foXUTC,Accenture
7,"Aug 15, 2017","I'm at 110k as a ""3rd year"" consultant",1,MxWC21,/company/Accenture/,Mgmt,/post/Accenture-salary-g5foXUTC,Accenture
0,May 6,KPMG any day. + Seattle is tax free,4,WviE87,/company/Infosys/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,Accenture
1,May 6,Why Kpmg anyway?,0,PVis23,/company/Deloitte/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,Accenture
2,May 6,"I think exits are better. KPMG is perceived strategy, Accenture can pretty much be any thing.",0,WviE87,/company/Infosys/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,Accenture
