,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 11,Did you proceed to the next steps?,0,DFhM35,nan,SEND PRIVATE MESSAGE,/post/Seeking-a-connection-at-Aon-Inpoint-Dept-UBjEv0nH,Aon
1,May 11,I haven’t heard back on the application yet,0,micscott,nan,SEND PRIVATE MESSAGE,/post/Seeking-a-connection-at-Aon-Inpoint-Dept-UBjEv0nH,Aon
2,May 11,"I'd be able to provide the probable interview steps, if it'd help. Lmk if you proceed to the next steps :)",0,DFhM35,nan,SEND PRIVATE MESSAGE,/post/Seeking-a-connection-at-Aon-Inpoint-Dept-UBjEv0nH,Aon
0,"Apr 25, 2020",I’m assuming your dad is in his 50s at least. Hopefully Amazon won’t discriminate against age. Keep us posted if he gets it.,1,fu2,/company/Seagate-Technology/,SEND PRIVATE MESSAGE,/post/Data-Science-Manager-interview-prep-advicehelp-needed-k5oLiFJn,Aon
1,"Apr 26, 2020",Yup! He's in his 50s. Is age discrimination a thing at Amazon?,0,aleph3,/company/Facebook/,SEND PRIVATE MESSAGE,/post/Data-Science-Manager-interview-prep-advicehelp-needed-k5oLiFJn,Aon
2,"Apr 26, 2020",No it’s not. Many older people there.,0,TheGber,/company/Uber/,SEND PRIVATE MESSAGE,/post/Data-Science-Manager-interview-prep-advicehelp-needed-k5oLiFJn,Aon
3,"Apr 25, 2020",Why are you posting from Facebook? There is lay-off? 😱,1,ohebxid,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Data-Science-Manager-interview-prep-advicehelp-needed-k5oLiFJn,Aon
4,"Apr 25, 2020",Nope... I guess I should have added this. It's for my dad who refuses to use Blind. Sorry for the scare!,0,aleph3,/company/Facebook/,SEND PRIVATE MESSAGE,/post/Data-Science-Manager-interview-prep-advicehelp-needed-k5oLiFJn,Aon
0,Apr 1,You missed out a few companies 😅,23,justintin,nan,SEND PRIVATE MESSAGE,/post/Data-Analyst-Referral-LL30ybin,Aon
1,Apr 1,Learn ML and go for Data scientist roles. Much better scope there,4,justintin,nan,SEND PRIVATE MESSAGE,/post/Data-Analyst-Referral-LL30ybin,Aon
2,Apr 1,"Thank you for the valuable advise, I have been working on ML projects parallelly. I have already completed few projects on it.",2,jjxx67,nan,Data,/post/Data-Analyst-Referral-LL30ybin,Aon
3,Apr 2,DM for Coinbase.,2,bpnyey,/company/Coinbase/,SEND PRIVATE MESSAGE,/post/Data-Analyst-Referral-LL30ybin,Aon
4,Apr 2,Can I DM for referral ?,1,datanull,/company/EXL/,SEND PRIVATE MESSAGE,/post/Data-Analyst-Referral-LL30ybin,Aon
5,Apr 3,"Sure, Thank you so much. I'll DM you soon.",0,jjxx67,nan,Data,/post/Data-Analyst-Referral-LL30ybin,Aon
6,May 9,"OP, did you get a job?",2,kjkc167,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Data-Analyst-Referral-LL30ybin,Aon
7,May 12,"Hey, not yet.",0,jjxx67,nan,Data,/post/Data-Analyst-Referral-LL30ybin,Aon
8,Apr 24,DM for cvs,2,zXKv16,/company/CVS-Pharmacy/,SEND PRIVATE MESSAGE,/post/Data-Analyst-Referral-LL30ybin,Aon
9,Apr 27,"Sure, thank you so much.",0,jjxx67,nan,Data,/post/Data-Analyst-Referral-LL30ybin,Aon
0,Feb 23,"Unless you are already in a strong tech role making $300k-$400k+ it's generally a no brainer to do a top 3 MBA. Worst case you get a network which opens doors through life and meet some people who will be at the top of their game. Best case it helps you meet many other shorter term goals in addition to above.I am guessing you don't fit in the category I mentioned where opportunity costs would be enormous, so go ahead and do the MBA. You really don't have much to lose.",2,woloo,/company/Google/,SEND PRIVATE MESSAGE,/post/International-HBS-student-w-Strategy-experience---attractive-for-PM-role-nO6pZrcC,Aon
1,Feb 23,"Don’t overthink in life. I once did that while deciding between my grad school.Trust me it doesn’t help. This is a small decision of your life. And in grand scheme of things the “Dots do connect”.You don’t do MBA to become a product manager or an Entreprenuer. MBA doesn’t teach you all that.If you want to be Product Manager, start conceiving ideas yourself and build those. Sketch them out.If you want to be an Entreprenuer, just go and start a business. You learn business by actually building one and doing it and not in some MBA books.If you want to speed up on corporate ladder and get a management track role in company then MBA helps. It doesn’t basically teach you any new skills. But will just put you on a fast corporate ladder.If you want to build a network and have a lifelong brand of Harvard on ur profile, join HBS.",1,SV_Sucks,/company/Facebook/,SEND PRIVATE MESSAGE,/post/International-HBS-student-w-Strategy-experience---attractive-for-PM-role-nO6pZrcC,Aon
