,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 9,Dm for referral,0,autocode,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
1,Yesterday,Hey can I DM you for an internship Referral?,0,ShitTC 🙂,nan,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
2,Yesterday,Sure,0,autocode,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
3,May 9,DM for PayPal if interested,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
4,May 9,Buzz off dummy lol,0,(￣∇￣),/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
5,May 9,Can refer intern?,0,cAve34,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
6,4d,I can help as well if needed,0,anon_parro,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
7,Yesterday,Hey can I DM you for an internship Referral?,0,ShitTC 🙂,nan,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
8,May 9,DM,0,VMFB73,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
9,May 9,DM,0,Novidesk,/company/Autodesk/,Product,/post/Referral-at-Autodesk-HXP8KWoz,Autodesk
0,Mar 28,DM,0,bHdk85,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Autodesk-referral-fUeJGaLN,Autodesk
1,Mar 27,You can DM me!,0,asuwns,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Autodesk-referral-fUeJGaLN,Autodesk
2,Mar 27,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Autodesk-referral-fUeJGaLN,Autodesk
3,Mar 27,,0,allhand,/company/Amazon/,Eng,/post/Autodesk-referral-fUeJGaLN,Autodesk
0,Mar 25,Not bad for YOE 3 and in marketing. Good company culture and big office in Boston.,5,voguecoin,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Autodesk-Marketing-offer-evaluation-3bCsESOv,Autodesk
1,Mar 22,Seems low. Location? Vesting?I would honestly stay at McKinsey and jump elsewhere.,2,d38sd,/company/Microsoft/,Product,/post/Autodesk-Marketing-offer-evaluation-3bCsESOv,Autodesk
2,Mar 23,"Got it, thanks! Boston; 54k vesting over 3 years so 18k annually.",0,aavk,/company/McKinsey/,SEND PRIVATE MESSAGE,/post/Autodesk-Marketing-offer-evaluation-3bCsESOv,Autodesk
3,Mar 25,"congrats on the and offer, sounds great for 3yoe in marketing. And our stock is 🚀",2,DancinDic,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Autodesk-Marketing-offer-evaluation-3bCsESOv,Autodesk
4,Mar 26,This sounds great. Best luck :),1,chansoz,nan,SEND PRIVATE MESSAGE,/post/Autodesk-Marketing-offer-evaluation-3bCsESOv,Autodesk
0,Apr 2,"This is all changing this month. If you have an offer, ask the HR what’s the new level be.",0,auto-,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Autodesk-Grade-Levels-zMSMsRpg,Autodesk
1,Apr 17,Are the titles changing? Or the structure itself?,0,highaf,/company/Hackerrank/,SEND PRIVATE MESSAGE,/post/Autodesk-Grade-Levels-zMSMsRpg,Autodesk
0,Apr 1,"It should be pretty straightforward, focus on the job description as well . It would leetcode medium",0,adskAoa,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Autodesk-panel-interview-for-sr-software-engineer-rbHOA3s1,Autodesk
1,Apr 1,Behavior rounds are mainly on autodesk culture values,0,adskAoa,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Autodesk-panel-interview-for-sr-software-engineer-rbHOA3s1,Autodesk
0,3d,DM for OCI,1,48idn3dj,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Need-Referrals-in-Pune-and-Bangalore-for-SSE-Java---65-years-AboWJPfA,Autodesk
1,Yesterday,Dm for Uber,0,UberOn111,/company/Uber/,SEND PRIVATE MESSAGE,/post/Need-Referrals-in-Pune-and-Bangalore-for-SSE-Java---65-years-AboWJPfA,Autodesk
2,3d,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Need-Referrals-in-Pune-and-Bangalore-for-SSE-Java---65-years-AboWJPfA,Autodesk
3,4d,Vmware Here is the Referral Link : https://rolp.co/GQOWj,0,prahalada,/company/VMware/,SEND PRIVATE MESSAGE,/post/Need-Referrals-in-Pune-and-Bangalore-for-SSE-Java---65-years-AboWJPfA,Autodesk
4,4d,DM for Nutanix referral,0,alpha_,/company/Nutanix/,SEND PRIVATE MESSAGE,/post/Need-Referrals-in-Pune-and-Bangalore-for-SSE-Java---65-years-AboWJPfA,Autodesk
0,Mar 6,Dm,1,tech_king,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
1,Mar 6,In Dallas?,1,79ng5e x j,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
2,Mar 7,"In Philadelphia area, but I'm willing to relocate for the right opportunity.",0,mYvG84,/company/Bank-of-America/,SEND PRIVATE MESSAGE,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
3,Apr 2,DM me,1,wtafm,/company/Smartsheet/,SEND PRIVATE MESSAGE,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
4,Apr 2,"Thanks, just DM'd!",0,mYvG84,/company/Bank-of-America/,SEND PRIVATE MESSAGE,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
5,Mar 8,Dm for workday,1,elonspov,/company/Workday/,Product,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
6,Mar 8,DM for PayPal,1,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
7,Mar 7,DM me for ms with preffered job id,1,rimqz728,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Data-Analytics-Referral-xeEMbpOv,Autodesk
0,Mar 12,DM for Instacart!,3,instaahsgr,/company/Instacart/,SEND PRIVATE MESSAGE,/post/Referrals-duxOOmbE,Autodesk
1,Mar 17,DM for Autodesk,1,asuwns,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Referrals-duxOOmbE,Autodesk
2,Mar 12,Tc at Yahoo?,0,hjjff,/company/IBM/,Data,/post/Referrals-duxOOmbE,Autodesk
3,Mar 12,Edited,0,acapella,/company/Yahoo/,SEND PRIVATE MESSAGE,/post/Referrals-duxOOmbE,Autodesk
4,Mar 23,Dm for Amazon,0,helakman,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Referrals-duxOOmbE,Autodesk
5,Mar 17,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Referrals-duxOOmbE,Autodesk
