,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 11,Yes depends on role,0,vUbm86,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Rise-created-by-Barclays-tpx7VroD,Barclays-Investment-Bank
1,May 11,The building is nice and expanding.,0,WwGN48,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Rise-created-by-Barclays-tpx7VroD,Barclays-Investment-Bank
2,May 11,Depends on the role.,0,WwGN48,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Rise-created-by-Barclays-tpx7VroD,Barclays-Investment-Bank
3,May 11,Eh,0,WwGN48,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Rise-created-by-Barclays-tpx7VroD,Barclays-Investment-Bank
0,Apr 30,No verbal offer is ever guaranteed,1,jobbyigloo,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Is-barclays-verbal-offer-guaranteed-2q7pcP6T,Barclays-Investment-Bank
1,Apr 30,How long does it take to roll the written offer,0,SbIL81,/company/Intercontinental-Exchange/,SEND PRIVATE MESSAGE,/post/Is-barclays-verbal-offer-guaranteed-2q7pcP6T,Barclays-Investment-Bank
2,Apr 30,"Depend on the company, usually it needs at least a few business days to get all the approvals and paper works.",0,omzL50,/company/Google/,SEND PRIVATE MESSAGE,/post/Is-barclays-verbal-offer-guaranteed-2q7pcP6T,Barclays-Investment-Bank
3,Apr 30,Nothing is guaranteed in this world. You could be fired at any time as well.,0,omzL50,/company/Google/,SEND PRIVATE MESSAGE,/post/Is-barclays-verbal-offer-guaranteed-2q7pcP6T,Barclays-Investment-Bank
4,Apr 30,Thanks,0,SbIL81,/company/Intercontinental-Exchange/,SEND PRIVATE MESSAGE,/post/Is-barclays-verbal-offer-guaranteed-2q7pcP6T,Barclays-Investment-Bank
5,3d,How long does it take for you to get written offer after verbal numbers?,0,exit2020,/company/Morgan-Stanley/,SEND PRIVATE MESSAGE,/post/Is-barclays-verbal-offer-guaranteed-2q7pcP6T,Barclays-Investment-Bank
6,Apr 30,Does that mean they need approval or does it mean something else,0,SbIL81,/company/Intercontinental-Exchange/,SEND PRIVATE MESSAGE,/post/Is-barclays-verbal-offer-guaranteed-2q7pcP6T,Barclays-Investment-Bank
0,Mar 8,"Hackerearth is an Indian version of Hackerrank but more focused towards competitive programming and organizing regular programming contests.Sometimes they also conduct massive hiring challenge after which shortlisted ppl are screened for interviews.Difficulty wise it would be more or less same as Hackerrank, but you can't change the tabs becz once you start the test it would enter into full screen mode.",1,hdvW64,/company/IEEE/,Eng,/post/Barclays-Hackerearth-challenge-CjPNwCh8,Barclays-Investment-Bank
1,Mar 8,"Wow! Okay thanks for the detailed information, appreciated.",0,GhEv15,/company/Collins-Aerospace/,SEND PRIVATE MESSAGE,/post/Barclays-Hackerearth-challenge-CjPNwCh8,Barclays-Investment-Bank
2,Mar 10,"One more thing, the test is only 30 minutes which is worrying me, such little time. Is this normally the time allocated?",0,GhEv15,/company/Collins-Aerospace/,SEND PRIVATE MESSAGE,/post/Barclays-Hackerearth-challenge-CjPNwCh8,Barclays-Investment-Bank
0,Apr 2,"Recruiting is kind of a mess right now. Outsourcing HR, so it takes much longer.",1,EBuu42,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Barclays-StratsQR-hiring-timeline-7hUzvfv2,Barclays-Investment-Bank
1,Apr 2,"Can confirm - I’m helping my team out with interviews on the IB side. HR sends us interview appointment though a third party site, the we fill out the candidate  feedback on an internal site, then have to copy the same feedback to the 3rd party site. there’s no point person on our team to consolidate the top list of candidates for second rounds while HR chases each of us individually on what needs to be a group wide decision",1,bespoken,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Barclays-StratsQR-hiring-timeline-7hUzvfv2,Barclays-Investment-Bank
2,Apr 2,In this case I was contacted directly by the HM.,0,scotty69,/company/Capital-One/,SEND PRIVATE MESSAGE,/post/Barclays-StratsQR-hiring-timeline-7hUzvfv2,Barclays-Investment-Bank
3,Apr 2,That's pretty low compensation. New analyst make that much. You have phd,1,WwGN48,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Barclays-StratsQR-hiring-timeline-7hUzvfv2,Barclays-Investment-Bank
4,Apr 2,"Oftentimes at banks you enter at associate / avp with an advanced degree of any kind (PhD or otherwise). 160 base is the max for avp at barcs, and 40ish is a reasonable bonus for research.",1,EBuu42,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Barclays-StratsQR-hiring-timeline-7hUzvfv2,Barclays-Investment-Bank
5,Apr 2,"Just to be clear, 200k is my current TC, not the TC offered for the role. TC also isn't everything, i'm willing to go lower than what I get now if the role is exciting enough.",0,scotty69,/company/Capital-One/,SEND PRIVATE MESSAGE,/post/Barclays-StratsQR-hiring-timeline-7hUzvfv2,Barclays-Investment-Bank
