,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 4,A desk and a chair,2,etfwashere,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Blackrock-review-vxijGoYd,BlackRock
1,May 5,"Stop lying, they do provide drinking water and coffee",0,MeyerWeb,nan,Legal,/post/Blackrock-review-vxijGoYd,BlackRock
2,May 6,Free coffee and water. Great new office. Same complex as Safeway so you can buy cheap lunch.,0,spc007,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Blackrock-review-vxijGoYd,BlackRock
0,May 6,Honestly wlb is the only main perk,7,spyssller,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Perks-at-Blackrock-qRF5BbjO,BlackRock
1,May 6,You're joining blackrock.. what wlb? Lol,6,byetimmy,/company/Splunk/,SEND PRIVATE MESSAGE,/post/Perks-at-Blackrock-qRF5BbjO,BlackRock
2,May 6,"Atlanta office rocks. No free food, but we do have free coffee and milk. Like any other company, Wlb depends on your team, role, and company.  I had amazing wlb and got paid well. I know people who has terrible wlb",3,spc007,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Perks-at-Blackrock-qRF5BbjO,BlackRock
3,May 6,Yeah your best perk is wlb. If you joining in tech then aim to leave in 1-2 yrs or if you want to chill and do side business then be at BLk,2,BlkToAmzn,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Perks-at-Blackrock-qRF5BbjO,BlackRock
4,May 7,"even wework has free fruit water for anyone in the building, just so you know",1,mainname,/company/BlackRock/,Other,/post/Perks-at-Blackrock-qRF5BbjO,BlackRock
0,Mar 25,Run in the other direction,0,ATox48,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Blackrock-final-interview-3oChrYa7,BlackRock
1,Mar 25,"But it's all relative if you've got nothing in your pipeline it's not a bad layover just make sure you're looking out for your own skill set and not ""what the business needs"" ATox48 lemmi know if you agree",0,GEC7,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Blackrock-final-interview-3oChrYa7,BlackRock
2,Mar 25,I 100% agree with you,1,ATox48,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Blackrock-final-interview-3oChrYa7,BlackRock
3,Mar 26,"How are the interview rounds? Behavioral , system design, coding? Will be more like leetcode sort of question or design based questions?",0,Go_Getter,/company/MHK/,SEND PRIVATE MESSAGE,/post/Blackrock-final-interview-3oChrYa7,BlackRock
4,Mar 27,Need more info. Depends on whether you’re joining through analyst program or not,0,kzsn12,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Blackrock-final-interview-3oChrYa7,BlackRock
5,Mar 28,"The position I would be interviewing for is this one :  Java Software Engineer, Associate – Aladdin Wealth Tech. Not sure if it is Analyst Program.",0,Go_Getter,/company/MHK/,SEND PRIVATE MESSAGE,/post/Blackrock-final-interview-3oChrYa7,BlackRock
6,5d,"OP, i am in exact same situation, can you shed some light on the process and questions . Thanks",0,itsbaba,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Blackrock-final-interview-3oChrYa7,BlackRock
0,Mar 9,"don't come, pay sucks and workload is way beyond that",1,mainname,/company/BlackRock/,Other,/post/Blackrock-referral-ABjCitr6,BlackRock
1,Mar 9,"Ouch it's 2nd yr bonus, 1st yr is &lt10k. Think twice",1,mainname,/company/BlackRock/,Other,/post/Blackrock-referral-ABjCitr6,BlackRock
2,Mar 9,"Hmm.. yea it isn’t the best, but I’m desperate to switch from aerospace to fintech and looking to move to NYC. So I would appreciate that referral ;) you’re doing a great duty as a blinder, I would push others from my company for 🥜 TC and outdated tech as well",0,GhEv15,/company/Collins-Aerospace/,SEND PRIVATE MESSAGE,/post/Blackrock-referral-ABjCitr6,BlackRock
3,Feb 27,Msg me,1,ChrisCuomo,/company/BlackRock/,SEND PRIVATE MESSAGE,/post/Blackrock-referral-ABjCitr6,BlackRock
4,Feb 27,Can you DM me? Just ran out of referrals. I will get you that referral bonus 😀,0,GhEv15,/company/Collins-Aerospace/,SEND PRIVATE MESSAGE,/post/Blackrock-referral-ABjCitr6,BlackRock
5,Feb 27,DM for PayPal,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Blackrock-referral-ABjCitr6,BlackRock
0,May 11,What role?,3,Refme,nan,SEND PRIVATE MESSAGE,/post/Blackrock-offer-evaluation-associate-eCBPRx0x,BlackRock
