,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Mar 7,Better to ask on fishbowl - my guess is yes but I don't know much about the likely pay scale there,2,420.69$,/company/McKinsey/,Other,/post/Capgemini-Australia-dASoE22Y,Capgemini
1,5d,"So after senior manager ,we have program manager then  associate  director  ...its depend sometime if you relation with manager is good you get in 2 year...else 3 to 5...pay scall look ok",0,lMWy35,/company/Capgemini/,SEND PRIVATE MESSAGE,/post/Capgemini-Australia-dASoE22Y,Capgemini
0,Mar 24,"If the PIP horror stories don't affect you much, it's a no brainer.Amazon has higher TC, arguably better projects to work on, and a great addition to the resume.",1,eL€€t,/company/General-Motors/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-xFrk2Std,Capgemini
1,Mar 24,How is your WLB at Capgemini?,0,zkLO60,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-xFrk2Std,Capgemini
2,Mar 24,"Its relatively good these days but it gets worst at times. However as its consulting, this keeps on changing from project to project. I have switched 3 projects last year.",0,Patty01,/company/Capgemini/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-xFrk2Std,Capgemini
3,Mar 24,Why didn't capgemini just pay you your worth. Leave just for the retribution,0,tjnsv,/company/Square/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-xFrk2Std,Capgemini
4,Mar 24,Rating tells it pretty clear.. Capgemini ofcourse.,0,hsueybsns,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-xFrk2Std,Capgemini
5,Mar 24,How did you frame your capgemini negotiation? I think $135k is pretty good for atlanta and if you like your current role then stay.,0,ahem!,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-xFrk2Std,Capgemini
0,Apr 1,"Amazon if you are okay with Seattle's high cost of living and are confident that ur performance won't cause you to be put in pip and fired.Capgemini seems a safe option. Amazon is high risk, reward option. Good luck",0,techhubsuk,/company/Google/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-BXKFm468,Capgemini
1,Mar 25,Ex Cap here. It's a no brainer. Amazon it should be,0,kvCe12,/company/Groupon/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-BXKFm468,Capgemini
2,Mar 25,Amazon.  And before they PIP start applying to other FAANG,0,nakkalite!,/company/Cognizant/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-BXKFm468,Capgemini
3,Mar 24,"Also if you like Atlanta, I'm sure your money goes further, especially after the adjustment.",0,e3u7,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-BXKFm468,Capgemini
4,Mar 24,Amazon for more long term career opportunities and learning. Getting existing employer to match is typically thought to be a risky move anyways but you know your manager and the company best.,0,e3u7,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-BXKFm468,Capgemini
0,Mar 24,Join AmazonYou will be a hot cake in the Job market with your Amazon experience later on,8,yAKF87,/company/VMware/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-WApL6Ozt,Capgemini
1,Mar 24,Lol capegemini has higher ratings than amazon. Anyways take amazon.,3,@tiredSde1,/company/Amazon/,Eng,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-WApL6Ozt,Capgemini
2,Mar 24,Amazon is an accelerator for your career. I moved from Atlanta to Seattle to join Amazon. One of the best decisions in my career!,3,2wkNTCE,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-WApL6Ozt,Capgemini
3,Mar 24,Use your cap Gemini offer for Atlanta to bargain with Amazon but as others mentioned Amazon will get you higher when you have to look for other jobs,1,lvEg64,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-WApL6Ozt,Capgemini
4,Mar 24,Amazon of course!,0,WilliamO,/company/Google/,SEND PRIVATE MESSAGE,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-WApL6Ozt,Capgemini
0,2d,$$ for each?,5,SudoReboot,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
1,2d,Updated TC,0,dDKeAr0573,/company/PwC/,Eng,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
2,2d,"Never heard of kelton tech but out of the remaining 4, i think SAP labs is the best option…but at least tell us the compensation offered so we have something else to consider too smh",4,WlbIsAMyth,/company/Arcesium/,Eng,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
3,2d,Not sure about kelton tech.. would recommend fap labs,2,SudoReboot,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
4,2d,Fap 🤣🤣🤣,0,Public28,/company/Oracle/,Eng,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
5,2d,"Tbh all are not that good, why not prepare a bit more and try for good companies? Like flipkart, PayPal, Amazon (debatable), MS etc.",1,s1mpl3,/company/Fidelity-Investments/,SEND PRIVATE MESSAGE,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
6,2d,"Very chill, good wlb, but i don't it pays as high as the ones i have mentioned, i have left it btw",0,s1mpl3,/company/Fidelity-Investments/,SEND PRIVATE MESSAGE,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
7,2d,"I'm in OCI now and thinking of moving to chill places such as Fidelity, Microsoft, etc. OCI has too bad WLB, I'm in OCI for more than a year now",0,Public28,/company/Oracle/,Eng,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
8,2d,I have worked for SAP Labs. It cares great deal for employees. Any day better than any services organization you mentioned.  Think long term and not monetary gains in short term.,1,weakuser,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
0,May 7,Yes you can. Try to see if they can bring you in as manager L7. Range is 120-180k.,4,leopard9,nan,SEND PRIVATE MESSAGE,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
1,May 10,True that's fair,0,PuAD32,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
2,May 10,Manager with 4 yoe is possible only in Consulting.,0,Ldik16,/company/Accenture/,IT,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
3,May 10,"1. Absolutely not getting 130k in Dallas for 4 YoE2. If your goal is SWE, Accenture is not the place. There’s no promise for technical projects, you’re put on what’s available3. Adobe would give you better prospects than Accenture4. You say your goal is TC but then you say you’re not looking to switch ASAP to SWE?Overall you’re not making any sense. Smart thing to do is get into Adobe, transfer internally/study Algos on the side. Accenture will take up your time and not be relevant to what you want to do.Source: Going from Accenture to FAANG SWE",4,👁👄👁♨️,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
4,May 10,"Knew I wanted to switch since the beginning of Covid. I Picked low intensity projects where I could get the task done in ~3-4 hours then study the rest, also maximized bench time. Networked anywhere I could for interviews, I lined up 7 interviews, 6 offers. Tripling my salary to a bit over 200k from 75k, 1 YoE",1,👁👄👁♨️,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
5,May 11,Smart move!,0,xYjY84,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
6,May 10,If they bring u in as a C3/4 then you can def get 150/160 esp since it’s a strategy role but make sure u negotiate for it,3,dSun923,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
7,May 10,You’re welcome!,0,dSun923,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
8,May 10,Data strategy is not strategy. Not even close,0,dzxxx,/company/Accenture/,Consultant,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
