,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Jul 15, 2019","Unlike dotcom 1.0, banking sector just swept the toxic assets under the QE rug and never dealt with it.",0,AntiPattern,nan,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-layoffs-fbv8MX2P,Deutsche-Bank
1,"Jul 10, 2019",Search Blind,0,Atinlay2,/company/Oath/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-layoffs-fbv8MX2P,Deutsche-Bank
0,"Oct 31, 2019",Thank you,0,Bathroom,/company/Credit-Karma/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-kwDhtdLn,Deutsche-Bank
0,Apr 6,They’ll probably kick the can down the road. No way DB opens in July,2,nagel1,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
1,Apr 6,Thanks for your response.,1,cvbnh,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
2,Apr 6,"I heard sep from my colleagues. Though I am not part of IB or trading teams, which may be the first ones to get in.",0,hooded,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
3,Apr 6,Would you mind sharing what group you are in? Thanks.,0,cvbnh,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
4,Apr 6,Risk,1,hooded,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
5,2d,"Yes, first wave is returning July.",0,usamaster,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
6,Apr 5,How is working at DB? I've heard they're relocating the NY office?,0,blindo1,nan,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
0,"Jul 30, 2020",Stay away from Audit,0,xVEu42,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-offer-help-FBtVmfjU,Deutsche-Bank
1,"Jul 30, 2020",Full commitment,0,xVEu42,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-offer-help-FBtVmfjU,Deutsche-Bank
2,"Jul 30, 2020",I meant more like going from AVP to VP and so on.,0,Wiliewonka,nan,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-offer-help-FBtVmfjU,Deutsche-Bank
3,"Jul 30, 2020","I think the work culture is fantastic.  Some departments were hiring during the pandemic, which is quite indicative of the culture and how dedicated they are to people.Layoffs are not gonna happen this year in those areas.  The biggest one last year was the equities business as they were exiting that market.What level are you joining as?",0,bearwidow,/company/Deutsche-Bank/,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-offer-help-FBtVmfjU,Deutsche-Bank
4,"Jul 30, 2020",Thanks for your comment. I am joining as AVP.,0,Wiliewonka,nan,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-offer-help-FBtVmfjU,Deutsche-Bank
5,Apr 5,"How is the NY office doing for roles in compliance? I've also heard many people leaving IB in general, how has your experience been within the bank?",0,blindo1,nan,SEND PRIVATE MESSAGE,/post/Deutsche-Bank-offer-help-FBtVmfjU,Deutsche-Bank
0,"Jul 22, 2019",what’s that mean?,0,not Lloyd,/company/Goldman-Sachs/,Project,/post/Deutsche-Bank-slashes-18000-jobs-H3U74waR,Deutsche-Bank
