,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Apr 28,"Based on your YOE that seems alright.. but you may have a little room for negotiation especially given your location and current base. The stock is indeed a valuable addition to TC I would not write it off in your decision-making.Regarding your questions about working at Doximity, it's pretty good and I would generally recommend. Great remote-first company that shows its appreciation of employees through all kinds of little ways. Strong leadership imo. And when covid finishes winding down the quarterly offsites are a great time / opportunity to travel. But it is what you make of it, you have a large responsibility in the quality of your experience in a remote setting.",2,hooba,/company/Doximity/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
1,May 1,Any negative reviews are instantly buried by a bunch of 5-star reviews written by HR,3,j6h5kk,/company/Doximity/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
2,May 1,So what are your thoughts on doximity as a company,0,uSEi03,/company/Sony-Electronics/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
3,May 4,"It’s very easy to trash talk leadership,  especially from the perspective of 6gr8ar who couldn’t hang.What’s not easy is to build and maintain a team of wonderful colleagues, highly qualified engineers, many of whom are senior and staff level engineers, who have been here for 4+ years.I suggest you talk to those engineers and get their direct feedback.Avoid the sore losers.",0,go72h5,/company/Doximity/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
4,Apr 28,I don’t work there anymore but can say the culture is great. Compensation is below average. Stock for private company is just paper money so no comment.The best thing about this company was the quarterly Offsites where the company invites all hq and remote folks to fun places like Lake Tahoe or Pebble beach and have fun. It’s not happening soon with Covid.,2,oIyx42,/company/Doximity/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
5,Apr 27,Curious about the role and location for this offer. And your YOE?,0,Just Jared,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
6,Apr 27,"Software engineer, San Francisco, 2 yoe",0,uSEi03,/company/Sony-Electronics/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
7,Apr 27,"Friend worked there, and that seems to be around what he got.",0,meowtastic,/company/Bank-of-America/,SEND PRIVATE MESSAGE,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
0,"Oct 24, 2017",Friend just joined; he really loves the people and culture. Seems convinced that it’s going places.,1,Tweeple,/company/Twitter/,Eng,/post/Doximity-zHdMn4PN,Doximity
1,"Oct 25, 2017",Thanks for sharing.,0,clueles,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Doximity-zHdMn4PN,Doximity
2,"Oct 22, 2017",You mean role? Engineer.,0,clueles,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Doximity-zHdMn4PN,Doximity
0,"Feb 9, 2019",Could you elaborate more?,1,newsfeed,/company/Facebook/,SEND PRIVATE MESSAGE,/post/Doximity-PM-sfDR0j78,Doximity
1,"Feb 9, 2019",Do you think growth is promising? I couldn’t get clear answers from the interviewers. Growth is slower in healthcare generally but they’ve been around for a while.,1,ayXX04,/company/Facebook/,Product,/post/Doximity-PM-sfDR0j78,Doximity
2,"Feb 9, 2019",Is comp comparable to FB?,1,y83j,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Doximity-PM-sfDR0j78,Doximity
3,"Feb 9, 2019","Not speaking for OP, what I have seen is comparable (a bit less) with a bunch of paper money.Any advice ?",0,newsfeed,/company/Facebook/,SEND PRIVATE MESSAGE,/post/Doximity-PM-sfDR0j78,Doximity
4,"Feb 9, 2019",Yes comparable with a bunch of paper money. No bonus though (common for a startup I guess) and benefits are poorer of course (no matching 401K).,0,ayXX04,/company/Facebook/,Product,/post/Doximity-PM-sfDR0j78,Doximity
5,"Feb 13, 2020",Ya’ll still interested?,1,ceidowvv,/company/Doximity/,SEND PRIVATE MESSAGE,/post/Doximity-PM-sfDR0j78,Doximity
6,"Feb 9, 2019",TC?,1,lore,/company/Walmart/,Eng,/post/Doximity-PM-sfDR0j78,Doximity
7,Jan 20,Yes please! @ceidowvv Any insights?,0,nandorth,/company/Celonis/,SEND PRIVATE MESSAGE,/post/Doximity-PM-sfDR0j78,Doximity
0,"Jul 10, 2020",Python is used more on the data side. Ruby/JS for applications. Golang for some specialized systems. TC varies but I’m very happy as a remote engineer.,1,pVDL55,/company/Doximity/,SEND PRIVATE MESSAGE,/post/Doximity-Total-Comp-3rSqTkYS,Doximity
1,"Nov 4, 2019",Know people there who like it. Can’t help on comp but it’s a good company.,1,sushima,/company/Autodesk/,SEND PRIVATE MESSAGE,/post/Doximity-Total-Comp-3rSqTkYS,Doximity
2,"Feb 13, 2020",HQ or remote?,0,ceidowvv,/company/Doximity/,SEND PRIVATE MESSAGE,/post/Doximity-Total-Comp-3rSqTkYS,Doximity
0,Feb 26,Still looking?,0,Brobot,/company/Doximity/,Eng,/post/Looking-for-referral-to-ZapierDoximityOther-Remote-SWE-iGEDWVGM,Doximity
1,"Dec 6, 2020","Hey there, we don’t have a lot of openings for entry-level SWEs but happy to chat if you want to DM me!",0,NWuM56,/company/Zapier/,SEND PRIVATE MESSAGE,/post/Looking-for-referral-to-ZapierDoximityOther-Remote-SWE-iGEDWVGM,Doximity
0,Jan 4,150k Seattle,2,MomaMoma,/company/Google/,Data,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
1,Jan 7,Yeah I agree.. I was talking more from responsibility standpoint. L6 at Amazon is more managerial/leadership/strategy focussed and I am guessing L5 in Google has similar expectations.,1,burnt$out,/company/Amazon/,SEND PRIVATE MESSAGE,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
2,Jan 7,How tf does a data analyst at google make $415k,0,es94927,/company/Atlassian/,SEND PRIVATE MESSAGE,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
3,Jan 3,Mine was 115k in SF 😭,1,DMHU88,/company/Expedia/,SEND PRIVATE MESSAGE,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
4,Jan 3,How many yoe?,0,oIyx42,/company/Doximity/,SEND PRIVATE MESSAGE,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
5,Jan 3,About 5,0,rjdigtbskg,/company/Expedia/,SEND PRIVATE MESSAGE,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
6,Jan 4,151k Seattle (L5a),1,RTPj37,/company/Uber/,SEND PRIVATE MESSAGE,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
7,Jan 7,125K Seattle L5,0,burnt$out,/company/Amazon/,SEND PRIVATE MESSAGE,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
0,"Oct 31, 2020","I took a huge pay cut when I left Google, now 4y later I'm making more than double what I used to make.There is no tell what the future will be, do what's good for you, money is not everything, if you prefer the position/company/perks, it might outweigh the pay difference, but only you can decide, it depends on what you value the most.",3,g9h3aa,/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/When-is-it-worth-the-paycut-to-move-to-another-company-H16wzsQU,Doximity
