,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Jul 5, 2019","Continuous layoff, favoritism, inside politics and real bad offshore resource quality synonyms of Ericsson",2,MCDan,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
1,"Dec 17, 2019",That’s same in almost all IT serviceCompanies. It’s still a good tech company if you join a good grp. All grps in Santa Clara are crap!!,0,LaCH004,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
2,"Jul 3, 2019",Please don't join. It's a sinking ship.,2,wtfoxtrot,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
3,"Jul 3, 2019",I suggest keep looking...,1,bwd65,/company/Ericsson/,Product,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
4,"Nov 12, 2020","Depends on which team you are talking about. If it is GAIA, run as fast as you can if you don’t want to be stressed and depressed. Research team is great.",0,momo_hime,/company/Apple/,SEND PRIVATE MESSAGE,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
5,Jan 10,Is GAIA that bad?,0,xvariable,/company/Fractal/,SEND PRIVATE MESSAGE,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
6,"Jul 3, 2019",Isn't it a body shop?,0,iEkO37,/company/Lockheed-Martin/,Eng,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
7,"Jul 5, 2019",It is,0,MCDan,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Ericsson-Santa-Clara-tE54C8ot,Ericsson
0,3d,"Generally, it takes about ~3 weeks - 4 weeks",1,BWRk71,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Ericsson-background-check-and-H1-transfer-time-rENbdG8B,Ericsson
1,3d,Thanks.. I just sent you a DM,0,UMDguy,/company/Wayfair/,SEND PRIVATE MESSAGE,/post/Ericsson-background-check-and-H1-transfer-time-rENbdG8B,Ericsson
0,Feb 28,Why they have to name their levels like cancer?,3,crueIla,/company/Roku/,SEND PRIVATE MESSAGE,/post/Stage-7-salary-expectations-at-Ericsson-USA-M1jBubMu,Ericsson
1,Mar 1,🤣,0,mIXq54,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Stage-7-salary-expectations-at-Ericsson-USA-M1jBubMu,Ericsson
2,Mar 1,What is ur current TC?,0,hallaboal,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Stage-7-salary-expectations-at-Ericsson-USA-M1jBubMu,Ericsson
3,Mar 1,Should not be more than MS..might be close to 180-200k,0,Xenw26,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Stage-7-salary-expectations-at-Ericsson-USA-M1jBubMu,Ericsson
4,Mar 1,What location? JS7 can be IC in leadership role or people manager,0,kvkfkgkvkg,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Stage-7-salary-expectations-at-Ericsson-USA-M1jBubMu,Ericsson
0,Mar 18,What is he offering you? And what entry level job stage?,0,lqKt15,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Ericsson-DevOps-Engineer-Salary-5JuDYtUn,Ericsson
0,Jan 22,Beggars can’t be choosers. Take and reneg if you got a better offer,3,fanof,/company/Boeing/,SEND PRIVATE MESSAGE,/post/Intern-offer-evaluation---Ericsson-4c5TeKNy,Ericsson
1,Jan 22,I have the option to stay at the place I'm currently working at with similar pay,0,shanzid01,nan,SEND PRIVATE MESSAGE,/post/Intern-offer-evaluation---Ericsson-4c5TeKNy,Ericsson
2,Jan 22,Then you should stay and keep interviewing,2,fanof,/company/Boeing/,SEND PRIVATE MESSAGE,/post/Intern-offer-evaluation---Ericsson-4c5TeKNy,Ericsson
3,Jan 22,It’s an internship. You don’t really need to pay much attention to pay in that case. If you feel it’s a good learning opportunity then negotiate and take it.,3,tctctc,/company/GoDaddy/,Eng,/post/Intern-offer-evaluation---Ericsson-4c5TeKNy,Ericsson
4,Jan 22,$1/hr isn’t going to make you rich or poor. But if there is a greater learning opportunity then take it.,0,zvWH12,nan,SEND PRIVATE MESSAGE,/post/Intern-offer-evaluation---Ericsson-4c5TeKNy,Ericsson
0,Jan 25,Ask them to match your bay area base,0,Curry30.,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Offer-expectation-at-Ericsson-Texas-VVRjSikC,Ericsson
1,Jan 25,Thanks,0,hw_abcd,/company/Intel/,SEND PRIVATE MESSAGE,/post/Offer-expectation-at-Ericsson-Texas-VVRjSikC,Ericsson
0,"Dec 17, 2020",Definitely well funded unicorn. Even though there is lot of scope for DS in telecommunications Ericsson is not yet there .,0,avb08,/company/Ericsson/,Data,/post/Ericsson-GAIA-Senior-Data-Scientist-G8n6dLvP,Ericsson
0,Apr 30,What offer u got from Ericsson.. I m on h visa with E///.. let me know what u need..,0,hallaboal,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Has-anyone-recently-joined-Ericsson-on-H1b-visa-rmv3avxN,Ericsson
1,May 3,DMed you,0,Telecom23,/company/Sprint/,SEND PRIVATE MESSAGE,/post/Has-anyone-recently-joined-Ericsson-on-H1b-visa-rmv3avxN,Ericsson
2,Apr 30,"Not in H1b , but DMed u",0,wie,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Has-anyone-recently-joined-Ericsson-on-H1b-visa-rmv3avxN,Ericsson
0,"May 31, 2019",Nokia is harder to work with than Ericsson from my experience - Nokia is loose and fast presenting a close to false image of product stability and maturity.,1,je9b3xa,/company/T-Mobile/,Design,/post/Nokia-vs-Ericsson-Which-will-be-crowned-v3D3tv2q,Ericsson
1,"May 30, 2019",Ericsson is dominating the 5G market.,1,spri28,/company/Ericsson/,Ops,/post/Nokia-vs-Ericsson-Which-will-be-crowned-v3D3tv2q,Ericsson
2,"May 30, 2019",Nokia seems to have upper hand....they have end to end portfolio. They are gaining their market share in IP plus RAN...where is erricson don't have IP portfolio...,1,cyugU,/company/Nokia/,Sales,/post/Nokia-vs-Ericsson-Which-will-be-crowned-v3D3tv2q,Ericsson
3,"May 30, 2019",I think Huwaei will win in every part of world other than US.,0,dontalk2me,/company/F5-Networks/,SEND PRIVATE MESSAGE,/post/Nokia-vs-Ericsson-Which-will-be-crowned-v3D3tv2q,Ericsson
4,"May 30, 2019",Maybe,0,ImOffended,/company/Cisco/,Eng,/post/Nokia-vs-Ericsson-Which-will-be-crowned-v3D3tv2q,Ericsson
5,"Dec 17, 2019",Ericsson is way ahead of Nokia from market capture and innovation. Nokia CEO is playing cheap tricks to try to portray themselves as better. Tier 1 operators know who’s better.,0,LaCH004,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Nokia-vs-Ericsson-Which-will-be-crowned-v3D3tv2q,Ericsson
0,Apr 22,"Ericsson is great company with great wlb and excellent benifits.  Plano is also a nice city.  If this is the lifestyle you are dreaming for,  then go for it.",0,VsUn65,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Any-insights-on-base-compensation-for-Product-management-role-at-Ericsson-1EC5tOnh,Ericsson
1,Apr 22,"Great that it’s working well for you. My experience at /// was very negative. Working in isolation, my manager was in Stockholm and it could be 3 months before we’d have a 1:1. The engineering team was mostly in Finland and had no interest in my time zone. So it sucked for me but I do feel I was the exception.",0,bwd65,/company/Ericsson/,Product,/post/Any-insights-on-base-compensation-for-Product-management-role-at-Ericsson-1EC5tOnh,Ericsson
2,Apr 22,"Your statement is true.  Most of my time I work with team members in other countries,  but they are all nice and considerate.  I am lucky.",1,VsUn65,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Any-insights-on-base-compensation-for-Product-management-role-at-Ericsson-1EC5tOnh,Ericsson
3,Apr 22,I came into Ericsson via an acquisition. My base was already $175K and that rolled over with the acquisition. This is SF Bay Area - San Jose.,1,bwd65,/company/Ericsson/,Product,/post/Any-insights-on-base-compensation-for-Product-management-role-at-Ericsson-1EC5tOnh,Ericsson
4,Apr 22,Thanks for sharing. What level number does your job fall into ?,0,Telecom77,/company/Sprint/,SEND PRIVATE MESSAGE,/post/Any-insights-on-base-compensation-for-Product-management-role-at-Ericsson-1EC5tOnh,Ericsson
5,Apr 22,Can you share your years of experience?,0,wie,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Any-insights-on-base-compensation-for-Product-management-role-at-Ericsson-1EC5tOnh,Ericsson
6,Apr 22,YOE: 12,0,bwd65,/company/Ericsson/,Product,/post/Any-insights-on-base-compensation-for-Product-management-role-at-Ericsson-1EC5tOnh,Ericsson
0,"Jun 15, 2019",Lots of jobs gonna open up for us in the US,0,Ama B.O,nan,Eng,/post/Nokia-and-Ericsson-Moving-out-of-China-cbKRP3Vw,Ericsson
1,"Jun 15, 2019",I believe the biggest winners here are the Kardashians. Just saying.,0,bigbossvp,/company/Samsung/,Admin,/post/Nokia-and-Ericsson-Moving-out-of-China-cbKRP3Vw,Ericsson
2,"Jun 14, 2019",I don’t think Ericsson is moving out 🤔,0,rawr🙈🙉,/company/Ericsson/,Eng,/post/Nokia-and-Ericsson-Moving-out-of-China-cbKRP3Vw,Ericsson
0,Apr 29,Usually level 5 or 6 they keep around 110 tc.,0,markcoloss,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/product-manager-compensation-with-Ericsson-in-Plano-TX-iPJUA7dx,Ericsson
1,Apr 29,It’s very good compared to Ericsson level 5 or 6.,0,markcoloss,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/product-manager-compensation-with-Ericsson-in-Plano-TX-iPJUA7dx,Ericsson
0,Mar 17,Job stage 6TC 92K,0,SgIa76,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Project-Manager-Salary-mTjfYmCJ,Ericsson
1,Mar 17,Woah....I guess it is considered same as L5 for a tech role,0,ivoa,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Project-Manager-Salary-mTjfYmCJ,Ericsson
2,Mar 15,U r already in Ericsson.. why u want to know?,0,hallaboal,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Project-Manager-Salary-mTjfYmCJ,Ericsson
3,Mar 15,Our industry is competitive.  I am curious to know how much a PM makes as well,0,ivoa,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Project-Manager-Salary-mTjfYmCJ,Ericsson
4,Apr 5,TC 120KYOE 6 yearsEducation Master’s,0,Tobu,nan,SEND PRIVATE MESSAGE,/post/Project-Manager-Salary-mTjfYmCJ,Ericsson
5,Mar 15,@ op can you post your level and TC  ?,0,ivoa,/company/Ericsson/,SEND PRIVATE MESSAGE,/post/Project-Manager-Salary-mTjfYmCJ,Ericsson
0,"Mar 30, 2020",Is “affirmed networks” network service provider just like ATT and Verizon?,2,NoDrama,/company/Nuage-Networks/,Eng,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
1,"Mar 31, 2020",I know how 5G slicing works for Enterprise Customers. Operators wont disappear. Stop talking non sense.,1,TXpK25,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
2,"Apr 21, 2020","Surprising that Nuage doesn't know Affirmed. R u trolling?Also telcos won't die. They would just move (& already happening) from proprietory hardware to x86 based servers and get around the software part, gateway, fw, through nvf, which is where Affirmed comes into picture.Acquisition just shows that the MSFT will make the SDN/NFV painless in the Azure Edge stack.",0,mRVt10,nan,SEND PRIVATE MESSAGE,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
3,"Mar 30, 2020",Att is only at US at Mexico. Microsoft is a global company with power of Azure. With affirmed Microsoft will became leader in 5g for enterprises. All power in 5g goes either to Amazon or to Microsoft. Say goodbye to old telecom companies.,3,lSYj72,/company/AT&T/,SEND PRIVATE MESSAGE,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
4,"Mar 30, 2020",Hahaha what a joke. Now I can see how much you know about mobility networks if you believe telecom companies will disappear.,6,TXpK25,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
5,"Mar 27, 2020",Obviously Telcos are playing just real-estate game to Clouds. I don't see Telcos have much chance,8,dEwb04,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
6,"Mar 27, 2020",Yep. It sure feels like it.,1,johnny_boy,/company/AT&T/,SEND PRIVATE MESSAGE,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
7,"Mar 29, 2020","With AT&T using Affirmed extensively in 5G, it would be interesting. Brilliant move by Microsoft. I read it costed them less than 2 b. Did AT&T give away 4b to TMO about 9 years ago?",0,boAK83,/company/AT&T/,Product,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
8,"Apr 12, 2020",@at&t you forgot they bought Nokia a while ago for patents then spit it out after said and done.,0,cat in a b,nan,SEND PRIVATE MESSAGE,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
9,"Apr 20, 2020","Nokia purchase at that time was bad decision. However, with affirmed and their current operating procedure with AT&T , it is an awesome opportunity. AT&T struggles with core and ran vendor management and sdn migration did not span out as well as originally planned. If Microsoft plays this well they will triple or quadruple cloud $s with att.",0,boAK83,/company/AT&T/,Product,/post/Microsoft-bought-affirmed-networks-p7uP5nsG,Ericsson
