,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 15,"Graphs, Trees, popular questions in DP,  Arrays",0,pseudoUser,/company/Flipkart/,SEND PRIVATE MESSAGE,/post/SDE-1-Flipkart-Interview-cs00bv3d,Flipkart
1,May 13,Leetcode medium DP is must,0,pluto.,/company/Flipkart/,SEND PRIVATE MESSAGE,/post/SDE-1-Flipkart-Interview-cs00bv3d,Flipkart
2,May 10,Graphs must do,0,ChotaDonn,/company/Flipkart/,SEND PRIVATE MESSAGE,/post/SDE-1-Flipkart-Interview-cs00bv3d,Flipkart
3,May 10,Geeks for geeks. 1 medium 1hard,0,ruAB77,/company/Adobe/,SEND PRIVATE MESSAGE,/post/SDE-1-Flipkart-Interview-cs00bv3d,Flipkart
0,7d,Tc or gtfo,0,__len__,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Flipkart-SRE-Interview-obT3r2fb,Flipkart
1,7d,"Titu mama, kahan mila aapko naya job?",0,timaapel,/company/Apple/,SEND PRIVATE MESSAGE,/post/Flipkart-SRE-Interview-obT3r2fb,Flipkart
2,7d,Blind me,0,टीटू मामा,nan,Mgmt,/post/Flipkart-SRE-Interview-obT3r2fb,Flipkart
0,May 11,Current TC?,0,Kisofdeath,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Flipkart-Analytics-Lead-Interview-Prep-XBDf2erN,Flipkart
1,May 11,Current TC is 30 .. YOE - 5+,0,alPC46,/company/Anheuser-Busch/,SEND PRIVATE MESSAGE,/post/Flipkart-Analytics-Lead-Interview-Prep-XBDf2erN,Flipkart
0,Apr 15,"Ideally for SDE2, the main focus and scope is just the LLD which should cover the OO design, entity modelling, data modelling, end to end flow modelling, API modelling,  etc. System design questions are not meant for SDE2. Though few interviewers are seens asking those questions as well for which there had been multiple call outs to be within scope. Few interviewers may want to understand what are the tech stack you have worked upon and how deep you have understanding for the same.",2,flip2000,/company/Flipkart/,Eng,/post/Flipkart-sde2-design-interview-o6TZmnmQ,Flipkart
1,Apr 12,"There are lot of things b/w OO design and large scale distributed systems design. For SDE2, expectation is to do low level design properly. Obviously you have to follow OO principles, proper entity modelling, data modeling etc. Question won't be very abstract in majority of the cases for SDE2 (depends on interviewer as well) but if you solve the given problem statement, they will increase scope in terms of complexity or scale or other factors. Design round discussions often depend on how you approach the question. But there will be few points that interviewer wants to discuss.",1,flopkart,/company/Flipkart/,Eng,/post/Flipkart-sde2-design-interview-o6TZmnmQ,Flipkart
2,Apr 13,So I can expect LLD here? Or any other pointers which you can provide to prepare in short time.,0,oClR25,/company/Dell/,SEND PRIVATE MESSAGE,/post/Flipkart-sde2-design-interview-o6TZmnmQ,Flipkart
3,Apr 13,"In design round, you can expect system design questions. In machine coding round, you can showcase your Oops design skills.",0,nicedude,/company/Flipkart/,Eng,/post/Flipkart-sde2-design-interview-o6TZmnmQ,Flipkart
0,Apr 1,"For SDE1, Flipkart will only match OR beat by 2-3 L total.For SDE2, you can try for 30-35 total TC at your YOE, but considering you for SDE2 is almost impossible.",1,real_manga,/company/Arcesium/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
1,Apr 1,Got it. Thanks,0,zindahubas,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
2,Apr 4,"Actually it is possible I guess, I got in as UI 2 with a 1.5year experience. The pay and job grade is similar to SDE2But honestly I did not see other SDE 2/ UI 2 with this experience.So my guess it's possible but a bit difficult.",1,qzxz76,/company/Flipkart/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
3,Apr 7,Don't expect too much.For sde 1 you will get 25 26 ctc max. (including stocks) Sde 2 may go till 32 34 (seema difficult they will give you more than 30 including stocks even if you get selected for sde 2 considering your yoe and present offier),3,Maximumten,/company/Flipkart/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
4,Apr 8,This is not correct information for SDE1.I think the in-hand salary for 1 year can go up to 25/26( including stocks/4),0,ma07ni,nan,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
5,Apr 4,They won't match... Best they can provide is 19.5 base,0,Saudaghar,/company/Flipkart/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
6,Apr 4,They can raise the base further too if you have competing offers.,0,ma07ni,nan,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
7,Apr 9,Saudaghar what about the upcomming IPO? Do you think they will revise the structure and pay more if IPO is successful?,1,nerdvana,nan,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
8,Apr 1,"If you've competitive offer, they will match it by giving joining bonus. Base will be 20-21, 10% perf bonus, ~1.5 rsu, joining bonus extra if they are not able to match your other offer with previous components.",2,flopkart,/company/Flipkart/,Eng,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
9,Apr 2,What is the compensation for flipkart usa,0,cyxI25,/company/Qualcomm/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
10,Apr 1,it's better to apply for sde2,1,yaswe,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
11,Apr 1,For SDE2 the recruiter said that minimum 3 yoe is required,0,zindahubas,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
12,Apr 1,I think you should get offers for SDE2 at different startup or companies and then apply for sde2 at flip..,0,yaswe,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
0,Apr 16,Go for flipkart buddy,6,anoymous,/company/SAP/,SEND PRIVATE MESSAGE,/post/Offer-evaluation-QcNoKMuP,Flipkart
1,Apr 16,It has very good rating in many online platform,1,anoymous,/company/SAP/,SEND PRIVATE MESSAGE,/post/Offer-evaluation-QcNoKMuP,Flipkart
2,Apr 17,I have worked with Flipkart and there state is not good. They are giving very less hikes like 3 percent even on promo and too much of bullshit politics to go for same. Plus Flipkart stocks won't be that much worth.too much of chaos,1,ishqkamina,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Offer-evaluation-QcNoKMuP,Flipkart
3,Apr 16,"Adobe obviously, ask for higher rsu",6,Randombs1,/company/Sprinklr/,SEND PRIVATE MESSAGE,/post/Offer-evaluation-QcNoKMuP,Flipkart
4,Apr 16,Adobe is not ready for further negotiation,0,hnakshdb,nan,SEND PRIVATE MESSAGE,/post/Offer-evaluation-QcNoKMuP,Flipkart
5,Apr 16,What is your tech stack? Also leetcode stats? Those are great salary nos. Congrats.,2,9kx,nan,Eng,/post/Offer-evaluation-QcNoKMuP,Flipkart
6,Apr 16,"Thanks, never did a single problem on leetcode but did some heavy competitive programming during college time.",0,hnakshdb,nan,SEND PRIVATE MESSAGE,/post/Offer-evaluation-QcNoKMuP,Flipkart
7,Apr 16,"Man ,I will hire you any day .Leetcode monkeys are wrong hire .They mug everything.Great man",3,anoymous,/company/SAP/,SEND PRIVATE MESSAGE,/post/Offer-evaluation-QcNoKMuP,Flipkart
8,Apr 16,Never climb the retention train . Once your manager feels that you are prone to leave I feel that it is just a free fall from  there in terms of growth . Plus Make sure you are 100 % sure on your reasoning for swich (TC/ Brand/ WLb) . Adobe I would say is the better if the two.,2,rsuinc,/company/Uber/,Consultant,/post/Offer-evaluation-QcNoKMuP,Flipkart
