,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Apr 15, 2020","Nope, they sent me an email 2 weeks back that they are not accepting any new applications for now",1,ramya_,/company/Deloitte/,SEND PRIVATE MESSAGE,/post/Fractal-analytics-E0pt06am,Fractal
0,"Dec 22, 2020",depends what you’re looking for,0,blindcook,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Fractal-AI-Culture-8JEUWv8y,Fractal
0,May 16,did you take this offer? how did it turn out,0,fAWj18,/company/Google/,SEND PRIVATE MESSAGE,/post/StyleSeat-worth-joining-leaving-Fractal-Analytics-taweSTu1,Fractal
0,"Jan 6, 2020",I know someone who worked at Fractal Analytics. It is a shit company. Typical Indian work culture. You’d be out of your mind if you choose that over amazon. I bet amazon would pay more too.,4,mangirl,/company/Pinterest/,Product,/post/Senior-Data-scientist-at-Fractal-Analytics-VS-Data-scientist-at-Amazon-FGpVyteM,Fractal
1,"Aug 16, 2020","Basically, you only one choice 🙂",0,eQeE60,/company/Fractal/,Data,/post/Senior-Data-scientist-at-Fractal-Analytics-VS-Data-scientist-at-Amazon-FGpVyteM,Fractal
2,"Mar 15, 2020","Dont be stupid, dont come here unless you have no other options",1,vbahwu,/company/Fractal/,SEND PRIVATE MESSAGE,/post/Senior-Data-scientist-at-Fractal-Analytics-VS-Data-scientist-at-Amazon-FGpVyteM,Fractal
0,"Sep 3, 2020",Worst company no direction they accept every shit cleaning work that comes along and put a engineer and if you don't work you are fired,0,RArP20,/company/Tiger-Analytics/,SEND PRIVATE MESSAGE,/post/Tiger-Analytics-GiTGL5T8,Fractal
1,"Sep 3, 2020",Yes,1,RArP20,/company/Tiger-Analytics/,SEND PRIVATE MESSAGE,/post/Tiger-Analytics-GiTGL5T8,Fractal
2,"Sep 3, 2020",Yesh,0,DataDork,/company/Ecolab/,Data,/post/Tiger-Analytics-GiTGL5T8,Fractal
3,Jan 15,"the indian office is pretty well run.But in the US, i agree with RArP20.things are completey different. the main guy who runs the show here is like donald trump. temperamental ahole. uses threats and intimidation as a motivational tactic. if you have a good relation with the client, everything will be fine.but if something goes wrong or the project ends, that will be it for you. they don't have many projects to move you to.",0,ALiQ73,/company/eBay/,SEND PRIVATE MESSAGE,/post/Tiger-Analytics-GiTGL5T8,Fractal
0,"Oct 19, 2020",DM for twilio,0,ylogy^,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Referral-needed-for-Entry-level-roles-in-Analytics-domain-at-Bangalore-eMqJxGbq,Fractal
0,"Aug 19, 2018","Dude, I get that you are trying to troll but it was funny only the first time.Stop spamming all the posts.Post your KenM shit on Facebook",14,Paine,/company/Intuitive-Surgical/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
1,"Aug 19, 2018","Or you know, just don't post it. At a minimum find a new slant. WF troll is way funnier",1,Keleven,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
2,"Aug 19, 2018","I hear what you're saying about the level of the question, but pushing back on a question that's been asked of you is generally death during an interview. Answer their questions as best you can. Rock their world. At some point they should ask you for your questions and that's when you start respectfully probing on the expectations for the job. If they never allow you to ask questions then that's a super bad sign.FWIW, I have not heard super great things about Space X. Work you hard with low-ish pay.",6,th47,/company/Fitbit/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
3,"Aug 19, 2018","@th47. No, no, as I said, I don't mind questions. Stupid or tough. If they asked, I could answer a lot of stuff a newbie doesn't know. For example why quick sort is not the best choice for almost sorted data. Or that in contemporary std sorting is not quick sort. But it was more than just questions.But I understand what you are saying. And I disagree that we should not push back. How they treat you during the INTERview (inter means both ways, right) sets the bar for how they will treat you if they hire you. If they don't give a shit about your opinion now, they won't in the future. We should not be beggars. The company should be. They should show the respect and the interest should be mutual, not like: we are making you a favor, you disagree, then eff off.Otherwise the corporate culture that treats developers as expendable crap won't change. They need us.",3,rotel,/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
4,"Aug 20, 2018","Very well put by Rotel , I agree. Was applying as a embedded engineer in Google a few years back and they kept asking me to interview for generic CS which I declined. If you can't show me a position/team I'm interested in then the interview is pointless",4,goNV,/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
5,"Aug 19, 2018","Not even surprised. Same shit happens in tesla. Here is how it goes.Shit recruiters find candidates who don't fit the job description I.e a front end guy to work on compiler optimizations🤦🏻‍♂️All of a sudden the team gets tons of unqualified resumes. So now you either spend time coaching these dumb ass recruiters to find proper candidates I.E do their job for them or create a take home test to weed out unqualified candidates .Often times the manager is too lazy to create a good take home test, that tests what they are looking for. So the manager will either ask the new grad on the team or steal a take home from a different team and hand it to the recruiter.The dumb ass recruiters will send this stupid test to everyone who applies. Even good candidates with 30 years of industry experience or candidates who have a full time job. That's how you ended up with this test.",12,LEETCODER,/company/Tesla/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
6,"Aug 19, 2018","Yeah I’m trying to get candidate on the phone for a “fit” discussion *before* we do anything technical with them. To make sure the right person will do the right phone screen, and we set the right challenge if needed.",0,Sponge_bob,/company/Tesla/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
7,"Aug 19, 2018","This is the most mysterious part. We did have a fit interview, then there was a technical quiz, then a technical phone interview. Everything before was quite adequate. This one was absolutely out of blue.",0,rotel,/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
8,"Aug 20, 2018","Peeling potatoes at the interview doesn't end at the interview. I have two master degrees in engineering yet I'm expected to be a technicians gofer because they are too cheap to hire enough people. Salary is free goes the SpaceX motto.After going through an interview if 1 person out of 20 doesn't think you're a fit then you don't get hired. Or funding drys up b4 the candidate signs paperwork so your SOL. It's a an act of elon to get any one though  the hiring process. By the time we get 1 person though at least 1 has quit.For the MS peeps: Elon hates you. Almost everyone he fired in Seattle were former MS employees. Good luck getting in, you will need to prove yourself more than others.",7,SlaveX,/company/SpaceX/,Eng,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
9,"Aug 24, 2018",Aerospace is a niche industry. I get offers for  start ups ups but they're risky. The veteran aerospace companies are more interested in sucking the government's tit and killing brown people.,0,SlaveX,/company/SpaceX/,Eng,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
10,"Aug 24, 2018","How about ESA? European corporate culture is different, they don't work people to death and don't think that it's a virtue of a good engineer to work 60 hours a week.",0,rotel,/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
11,"Aug 19, 2018","Yep. The best interview practice we developed in my company is to discover what a candidate knows, not what he doesn't know.",2,rotel,/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/Interesting-interview-experience-at-SpaceX-w4OH7Try,Fractal
