,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Yesterday,Didn’t the recruiter tell you?,0,yolo#,/company/Intuit/,SEND PRIVATE MESSAGE,/post/Google-TPM-technical-interview-3BSfuyae,Google
1,Yesterday,"Yes they did, looking for more insights here.",0,IQRam,/company/Microsoft/,Consultant,/post/Google-TPM-technical-interview-3BSfuyae,Google
2,Yesterday,I have 5 BTW - 2 technical and 3 TPM,0,yolo#,/company/Intuit/,SEND PRIVATE MESSAGE,/post/Google-TPM-technical-interview-3BSfuyae,Google
0,Yesterday,"They will only contact you when they have updates. If they have nothing new, they will just disappear. My team matching took 5 months. I was not in a hurry to jump ship at that time, so I waited patiently for updates.",6,yDTM71,/company/Google/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
1,Yesterday,How many teams did you have to speak with before you got matched?,0,cakepie,/company/Apple/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
2,Yesterday,Only 1. There's really not any other choices.,0,yDTM71,/company/Google/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
3,Yesterday,Google gives only lowball these days.,2,abdc®️,/company/Oracle/,Eng,/post/Google-team-match-Hn0R8MGa,Google
4,Yesterday,That’s really bad. Just joined google kirkland as L5. Offered TC is better than fb and Uber. That’s why I was wondering,0,bxCw53,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
5,Yesterday,What is your offer?,0,abdc®️,/company/Oracle/,Eng,/post/Google-team-match-Hn0R8MGa,Google
6,Yesterday,They will ofc. Takes 2-3 weeks to know the answer,2,CrCV722,/company/Express-Scripts/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
7,Yesterday,Oh really? Have you done the team matching before for google? It’s been 2 weeks now.. I just thought I got ghosted :(,0,cakepie,/company/Apple/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
8,15h,"It’s been two weeks for me too, seems like managers have too many candidates these days",0,yojus,/company/Google/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
9,19h,"from my experience, whenever there is a positive team match recruiter used to update me within the next 1-2days. Whenever there was silence from the recruiter after team match call it was usually an unsuccessful team match.",1,geffbejos,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
10,15h,I’m thinking the managers are still interviewing other candidates ...,0,cakepie,/company/Apple/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
11,9h,i got a response from the recruiter next day after i had successful team match call. in your case managers might still be interviewing other candidates. Wait for 3-4days and ask the recruiter.,0,geffbejos,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
12,Yesterday,Just the other day I pinged my recruiter to see how the match was going and the email bounced back. Turns out he was a contractor and is no longer working there 😟,1,CSIM65,/company/Sam's-Club/,SEND PRIVATE MESSAGE,/post/Google-team-match-Hn0R8MGa,Google
0,May 6,"Idk anything about TPM or even tech roles, but I will say what someone told me that was at Google when I asked what I should do or what role I should take. He said: ""always pick Google."" I'd have to agree. Point being, you can get into Amazon again especially with Google on your resume. If you don't like it or hate Austin then go back and get it at Amazon in the PNW. YOLOBtw - Austin is a much more fun/cool city compared to Seattle and likely cheaper as well.",6,plop32,/company/Google/,SEND PRIVATE MESSAGE,/post/Amazon-TPM-L6-or-Google-TPM-L4-8gMnciSV,Google
1,May 6,Add the family and that feels like a no-brainer to me :),0,soggybacon,/company/Okta/,SEND PRIVATE MESSAGE,/post/Amazon-TPM-L6-or-Google-TPM-L4-8gMnciSV,Google
2,May 6,You might be able to work remotely here in the future or at least apply so you can be closer to family. I don't believe Amazon will have that option but you never know,0,plop32,/company/Google/,SEND PRIVATE MESSAGE,/post/Amazon-TPM-L6-or-Google-TPM-L4-8gMnciSV,Google
