,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Jun 19, 2020",Greed,1,tMCV54,/company/Citi/,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
1,"Jun 19, 2020",Not me but probably just pure gamble and no knowledge of the bankruptcy process and relationship to stock price,0,Banker69,nan,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
2,"Jun 21, 2020",lol just listened to The Journal podcast episode about a kid who flipped 50k to 100k on Robinhood through Hertz and is now trading with 50% margin. Good listen if you wanna pull your hair out.,0,; DROP TAB,nan,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
3,"Jun 22, 2020",Honestly better odds at the casino,0,Banker69,nan,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
4,"Jun 20, 2020",No but a lot of amateur Robin Hood traders did,0,topszn,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
5,"Jun 20, 2020",Insanity,0,Coatue,nan,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
6,"Jun 19, 2020",Cars no vroom vroom now but will vroom vroom again I buy is cheap,0,Coatue,nan,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
7,"Jun 19, 2020",Reflective of Coatue,0,jpmorgan,nan,SEND PRIVATE MESSAGE,/post/Hertz-53N7Hydh,Hertz
0,"Apr 6, 2019","I have used Hertz car sales for my current car, works great so far. As some said earlier I advice you to take the car to a mechanic and check it before you buy it.",2,zoromoro,/company/Apple/,SEND PRIVATE MESSAGE,/post/Hertz-Car-sales-Review-KZQWTXcp,Hertz
1,"Apr 6, 2019","Don’t do it. You don’t know what’s happened with a rental car.Look patiently and find one that someone’s selling or from a dealer , take an auto mechanic along and get it inspected.Also don’t get a Sentra, under powered as hell. Accord or Civic are better bets. Just test drive it and you’ll say no to the Sentra, it’s that bad.Depending on how much you end up paying , a new civic might be pretty close to your budget, give it a look.From experience.",2,tgfi ,/company/Intuit/,SEND PRIVATE MESSAGE,/post/Hertz-Car-sales-Review-KZQWTXcp,Hertz
2,"Apr 6, 2019",I was in a similar position in the past - I leased a Honda Civic - payments were smaller - after the lease - I bought the same car. So you basically get to drive a new car with lower payments and at the end of the day get to buy it off after removing your lease payments from the total price after 3 years. Worked well for me so far.,1,CuriousABC,/company/Zynga/,SEND PRIVATE MESSAGE,/post/Hertz-Car-sales-Review-KZQWTXcp,Hertz
3,"Apr 6, 2019","Was in the same boat as you. Budget was 10k, went up to 12-13k and found a pool of civic/Accord with veryless miles on them (&lt20k) to choose from. Stay away from rental.",1,taxchor,/company/Google/,SEND PRIVATE MESSAGE,/post/Hertz-Car-sales-Review-KZQWTXcp,Hertz
4,"Apr 6, 2019",Rental cars are driven terribly but are well maintained. You roll the dice. Some have great luck.,1,hTJS61,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Hertz-Car-sales-Review-KZQWTXcp,Hertz
0,"Jun 8, 2020",Don't stockholders get wiped to zero in most bankruptcies?,2,fqAa27,/company/VMware/,SEND PRIVATE MESSAGE,/post/Hertz-OEeYWPjt,Hertz
1,"Jun 8, 2020",That's my understanding as well - last in line for any kind of distribution in the bankruptcy process.,1,hun die,/company/Hyundai-Capital-America/,SEND PRIVATE MESSAGE,/post/Hertz-OEeYWPjt,Hertz
