,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Mar 25, 2020","Honeywell is well known for these, unfortunately.",8,SlackQueen,/company/NortonLifeLock/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
1,"Mar 29, 2020",So do you get paid later for these unpaid leave?,0,curamzn,/company/Oz-Management/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
2,"Mar 29, 2020",@curamzn lol no they don’t,0,SlackQueen,/company/NortonLifeLock/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
3,"Mar 25, 2020",Doesn’t Honeywell also do some defense contracts? Surely those are not furloughed,0,frtknocker,/company/IBM/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
4,"Mar 25, 2020","Yep, what SlackQueen said. It’s short term measures even as we probably will do ok overall because our business is actually picking up amidst this craziness. Honeywell consistently outperforms the market/ meets analyst predictions but they’re kinda awful internally. We just got our raises cancelled two weeks ago and now almost immediately - this.",3,~turquoise,/company/Honeywell/,Product,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
5,"Apr 1, 2020",Any honeywell group that has a govt contract won't be furloughed,0,HNAc64,/company/Honeywell/,Eng,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
6,"Mar 25, 2020",I’m not sure I understand. So everyone in NA will be on unpaid leave?! How’s that even possible?,1,oaYr18,/company/Honeywell/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
7,"Mar 27, 2020",I think layoffs would kill the enthusiasm in the left over employee’s and eventually brain drain will happen. Furloughs does that too but in a smaller way,0,YuYm26,/company/Honeywell/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
8,"Mar 28, 2020",Didn’t Darius get quoted on some HBR write up on how he saves our company without going to layoffs and he mentioned this as a trick?Note to future CEOs: furloughs are a thing and you might want to implement those before a layoff so you only lose the top talent voluntarily instead of all the talent involuntarily 💁🏻‍♀️ This is exactly what I want to learn if I get into HBS too lol,0,~turquoise,/company/Honeywell/,Product,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
9,"Mar 25, 2020",I am going to run away as soon as market recovers,1,YuYm26,/company/Honeywell/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
10,"Mar 28, 2020","^ HR is shit lol but not so dominant? Our business was doing super well then not so we went on a spend whatever you want spree (how I got hired) and now it’s cost cutting at any cost, not backfilling roles, running super lean as an org to the point where if things don’t get done... that’s kind of ok because hey everyone knows there’s no way we’re making our targets anyway. They’ve had 100%+ turnover in a couple of teams since I joined which is so nuts. Our CEO is also super weird idk and even his own team are scared shitless of him 🤷🏻‍♀️",2,~turquoise,/company/Honeywell/,Product,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
11,"Mar 28, 2020",Not backfilling is so true.my team used to have 6 folks and now it has come down to 2.,0,YuYm26,/company/Honeywell/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
12,"Mar 25, 2020",that sucks,0,leet.next,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
13,"Mar 25, 2020",YepWay we’re being told is to be grateful it’s this and not straight up lay offs :),2,~turquoise,/company/Honeywell/,Product,/post/Honeywell-furloughs-all-North-America-employees-W7zv53gH,Honeywell
