,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 9,IHS Markit pays terribly in some divisions. Really depends where Bc essentially you are now getting a role at S&P,1,ETowers,/company/IHS-Markit/,SEND PRIVATE MESSAGE,/post/Moving-to-IHS-Markit-now-ozm8vyVX,IHS-Markit
1,May 9,"You’re right! The pay is not exciting. That’s why I’m trying to see if the merger will change any thing. Opportunity to go higher in the ladder, or get laid off :)",0,potpot,/company/Fidelity-Investments/,SEND PRIVATE MESSAGE,/post/Moving-to-IHS-Markit-now-ozm8vyVX,IHS-Markit
2,May 9,What type of role are you considering?,0,Numburrrz,/company/IHS-Markit/,SEND PRIVATE MESSAGE,/post/Moving-to-IHS-Markit-now-ozm8vyVX,IHS-Markit
3,May 9,Product management,0,potpot,/company/Fidelity-Investments/,SEND PRIVATE MESSAGE,/post/Moving-to-IHS-Markit-now-ozm8vyVX,IHS-Markit
0,"Jul 16, 2019",Got a offer there 2years ago. It was such a low ball offer and the overall interview experience was bad as well. Make sure they pay the market rate if you are going there.,4,coffee_brk,/company/DocuSign/,SEND PRIVATE MESSAGE,/post/IHS-Markit-KX0PK3nm,IHS-Markit
1,"Nov 3, 2020",How did this work out?,0,An0nym0uss,nan,Data,/post/IHS-Markit-KX0PK3nm,IHS-Markit
0,Mar 19,This company pays horribly. Maybe the merger with S&P may change that (let’s hope),0,ETowers,/company/IHS-Markit/,SEND PRIVATE MESSAGE,/post/IHS-markit-pay-in-london-Uste6wJo,IHS-Markit
1,Mar 10,They are not good payer!,0,spying,/company/IHS-Markit/,SEND PRIVATE MESSAGE,/post/IHS-markit-pay-in-london-Uste6wJo,IHS-Markit
0,"Aug 31, 2019",name_and_shame++,1,tc=10e-1,/company/Google/,SEND PRIVATE MESSAGE,/post/Stay-away-from-IHS-Markit-cuMkaU67,IHS-Markit
0,"Nov 21, 2018",Maybe you should try https://www.facebook.com/careers/jobs,2,MVsz64,/company/Amazon/,Eng,/post/Looking-for-Facebook-referral-unVZdRR5,IHS-Markit
0,"Aug 15, 2020",Amazon told me while interviewing last year that they only will consider two applications simultaneously,0,oh_noes,/company/Cruise/,SEND PRIVATE MESSAGE,/post/Apply-for-additional-Amazon-role-if-Im-already-interviewing-with-two-teams-bmCZG1ig,IHS-Markit
1,"Aug 15, 2020",You can apply but the HR won't contact you if you're already in the loop,0,Nebulizer,/company/Microsoft/,Data,/post/Apply-for-additional-Amazon-role-if-Im-already-interviewing-with-two-teams-bmCZG1ig,IHS-Markit
