,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 14,Indeed,0,abstracted,/company/Google/,SEND PRIVATE MESSAGE,/post/Question-about-Indeed-interview-KfNwO04K,Indeed
1,May 14,Are you at Indeed now?,0,kakaroto!,/company/Amazon/,Eng,/post/Question-about-Indeed-interview-KfNwO04K,Indeed
2,May 14,Indeed,0,abstracted,/company/Google/,SEND PRIVATE MESSAGE,/post/Question-about-Indeed-interview-KfNwO04K,Indeed
3,May 14,DM me,0,Seadeed,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Question-about-Indeed-interview-KfNwO04K,Indeed
4,May 14,Thanks!,0,kakaroto!,/company/Amazon/,Eng,/post/Question-about-Indeed-interview-KfNwO04K,Indeed
0,Apr 7,"Online assessment using karat (google it) and then a virtual onsite, 6.5 hrs split over 2 days.The coding questions in the onsite are medium. And tht karat should start out easy and and then medium",0,in_my_zone,nan,SEND PRIVATE MESSAGE,/post/Indeed-interviews-g52yG8KK,Indeed
1,Apr 20,When you say medium you mean LC medium.,0,MeyerWeb,nan,Legal,/post/Indeed-interviews-g52yG8KK,Indeed
0,Yesterday,What about the rest of the offer? And what’s the locations?,1,Sped82,/company/Facebook/,SEND PRIVATE MESSAGE,/post/Indeed-Offer-hjbGan8V,Indeed
1,Yesterday,Location is austin. My query is focused on rsu refreshers though,0,indeed007,/company/Mindbody/,SEND PRIVATE MESSAGE,/post/Indeed-Offer-hjbGan8V,Indeed
2,Yesterday,"When you say IC3, is the formal title Staff Software Engineer? If so , this is incredibly low. You should get $150k+ RSUs starting, with refreshers around $100k.Verify the title though. Recruiters can be disingenuous sometimes. I've chatted with a few folks who thought they were getting IC3 offers, but turns out they were getting SWE or Sr. SWE offers.This RSU grant is typical for an IC2/Sr SWE role",1,JAX18,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Indeed-Offer-hjbGan8V,Indeed
3,Yesterday,"I got an offer recently, feel free to dm",0,5cent,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Indeed-Offer-hjbGan8V,Indeed
4,Yesterday,Lol what's the TC?,0,hV36L,nan,Eng,/post/Indeed-Offer-hjbGan8V,Indeed
5,Yesterday,TC or ...,0,DqvP01,/company/Arista-Networks/,SEND PRIVATE MESSAGE,/post/Indeed-Offer-hjbGan8V,Indeed
0,Apr 24,"Our interview process has been somewhat changed by the pandemic.You should be looking at a phone call with the hiring manager and a portfolio presentation. If you pass each of those, then a loop including collaboration, a live moderation exercise, and 1:1 interviews.Good luck!",2,uxreality,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Indeed-interview-process---UX-Research-oOHEYcoo,Indeed
1,Apr 28,This is correct!,0,inbread,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Indeed-interview-process---UX-Research-oOHEYcoo,Indeed
0,6d,"Hi OP, Congrats on such great offers!!I have my Robinhood VO scheduled in couple of weeks. Would you be able to give some insights as to how were the questions in terms of complexity and type. Also, any other pointers would be highly appreciated.TIA",3,Cheese23,/company/Expedia/,Eng,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
1,4d,Thanks! Do you mind if I DM you?,0,6Feet6Inch,/company/Google/,Eng,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
2,4d,Sure,0,bScq55,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
3,5d,Indeed is currently imploding and its very hard to make what your worth in any job function.. go with anything else,1,WjIV74,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
4,2d,They definitely don’t pay the best. And alot of people are quitting.,0,vTzG11,nan,IT,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
5,2d,Why do major players and high performers leave like that?,0,vTzG11,nan,IT,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
6,6d,"Why Tokyo office for Indeed? A bay area or Seattle office would give you a much more competitive offer. Austin and remote band is not great though.Don't read too much into the quick promotion to L6 at Amazon. Managers say this crap to everyone. Its a classic lie they say to get you excited to join or stay on the team. They're just desperate because they are having trouble hiring, for good reason. Pip threat alone is a reason not to join since you have other options.",1,billboard,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
