,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Nov 3, 2019",Audible is a dumpster fire.,1,Int10h,/company/Amazon/,Eng,/post/PM-amazon-audible-v-index-exchange-YEjkEnZL,Index-Exchange
0,"Jan 19, 2018","Not unless you’ve got some other capital loss you can take to offset.(Eg one of your alt coins is down 40%. You can sell and re-buy, Resetting your basis and then you can offset your gains on the stock with the loss in alt-coins.",1,Rowsdower,/company/The-Home-Depot/,Eng,/post/Diversity-without-tax-impact-h6ye6Awf,Index-Exchange
1,"Jan 20, 2018",Securities are types of assets. The IRS hasn't established whether or not it would apply the wash rule to crypto. Perhaps you should do YOUR research.,0,hdTI13,/company/CareerBuilder/,SEND PRIVATE MESSAGE,/post/Diversity-without-tax-impact-h6ye6Awf,Index-Exchange
2,"Jan 20, 2018",Does the wash sale rule apply to pork-bellies?,1,XPbr65,nan,Eng,/post/Diversity-without-tax-impact-h6ye6Awf,Index-Exchange
3,"Jan 19, 2018","As soon as you sell to exchange it will be a capital gain (or loss). No way around that.If you want to avoid the tax hit, you can donate appreciated stock and claim the market value as a tax deductible donation.",0,IyaJ67,/company/Apple/,SEND PRIVATE MESSAGE,/post/Diversity-without-tax-impact-h6ye6Awf,Index-Exchange
4,"Jan 22, 2018","I don’t see how this saves you money when you get into the next tax threshold.Tax brackets are progressive. You’re only paying the larger amount on the delta that exceeds the prior threshold.AMT is a bit more complex so let’s table that for a bit.From a purely bottom-line oriented position it’s always better to pay the tax.If I owe $1000 in tax, a $1000 charitable contribution still leaves me with a $670 Tax bill (at the 33% bracket).Sure I feel good about helping the Red Cross but I still have a $670 bill to pay. Total out of pocket becomes $1670.Note: I feel I need to note that I support charitable giving. Though using this as a tax management strategy has never made much sense to me.",0,XPbr65,nan,Eng,/post/Diversity-without-tax-impact-h6ye6Awf,Index-Exchange
5,"Jan 28, 2018","When you donate appreciated assets you don’t pay capital gains on the appreciation. As an example in your scenario: If that $1000 that you donated originally cost you $100 (e.g. a stock grew 10x), you wouldn’t have to pay capital gains on the $1000, and would reduce your tax burden by $330.Total out of pocket after paying the taxes is $670 (remaining tax burden after donation) + $100 (original cost of the appreciated asset) = $770.Sure, in this scenario is not a lot, but there potential to reduce taxes while doing a good deed.Again, it all depends on your individual circumstance, and it may not beneficial for most, but there are some that could benefit.",0,IyaJ67,/company/Apple/,SEND PRIVATE MESSAGE,/post/Diversity-without-tax-impact-h6ye6Awf,Index-Exchange
0,"Mar 21, 2020","Because their stock market is already at the very bottom, while US stock market is at the very top",15,DonaldTrum,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Why-Chinese-markets-and-stocks-have-less-losses-than-US-ones-OhYhzjq1,Index-Exchange
1,"Mar 21, 2020",But still they should drop proportionally,0,qstn6,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Why-Chinese-markets-and-stocks-have-less-losses-than-US-ones-OhYhzjq1,Index-Exchange
2,"Mar 21, 2020",It is on the way back now due to the society resumes quickLy.,0,ghghhh,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Why-Chinese-markets-and-stocks-have-less-losses-than-US-ones-OhYhzjq1,Index-Exchange
3,"Mar 21, 2020",Probably because Chinese companies were less overvalued.,10,Hrgf72,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Why-Chinese-markets-and-stocks-have-less-losses-than-US-ones-OhYhzjq1,Index-Exchange
4,"Mar 21, 2020",China’s stock market is heavily contorted by the government. They don’t see expected gains during good times either.,5,Gritg,/company/Roblox/,Mgmt,/post/Why-Chinese-markets-and-stocks-have-less-losses-than-US-ones-OhYhzjq1,Index-Exchange
