,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Yesterday,"Associate, Relationship Management, Middle Market & Specialized Industries",0,VHUp67,nan,SEND PRIVATE MESSAGE,/post/JPMorgan-Offer-Py88OFSu,JPMorgan
1,10h,Bad offer. TC for 4 yoe commercial banking associate in tier II city is ~$125k here. I’d push back if I were you.,1,nwUz21,/company/BMO-Harris-Bank/,SEND PRIVATE MESSAGE,/post/JPMorgan-Offer-Py88OFSu,JPMorgan
2,Yesterday,Bad. Should push base to at least $120K for NYC with 5 YOE,1,yas🐾,/company/JUUL/,Other,/post/JPMorgan-Offer-Py88OFSu,JPMorgan
3,Yesterday,Uhh what are you doing? Analyst? Swe? Design? Product? Data science?,0,fghjklmas,/company/Apple/,SEND PRIVATE MESSAGE,/post/JPMorgan-Offer-Py88OFSu,JPMorgan
0,3d,Not sure about BBG but JP morgan corporate analyst development program is really good. Lots of opportunities to move up quickly,2,valkyriet,/company/JPMorgan/,SEND PRIVATE MESSAGE,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
1,3d,From Associate to VP can be done in less than 2 years. Salary depends on location. Diff is roughly 15% btwn roles min. Lateral to FO. What’s FO?,1,valkyriet,/company/JPMorgan/,SEND PRIVATE MESSAGE,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
2,3d,"Yeh valky but i don’t see myself being able to become a vp in 2 yrs after becoming an assoc. and right the salary here is just terrible compared to NY (and i don’t think consumer price differs a lot between the two places). Lateral to FO as in transferring from my middle office role to front office, but thats probably not possible if I’m not high-performing",0,hahibi,nan,SEND PRIVATE MESSAGE,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
3,3d,I can tell you BBG you'll be expected in the office pretty much 5x a week very soon. So also consider your quality of life,4,storgi,/company/Bloomberg/,SEND PRIVATE MESSAGE,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
4,3d,"JPM is at the forefront of getting everyone RTO’d, so it’s not going to be better there on work flexibility.",0,WPslayer,/company/Bloomberg/,Eng,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
5,3d,So the company offers no WFH for sales n analytics?,0,hahibi,nan,SEND PRIVATE MESSAGE,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
6,3d,"I went through an analyst program at JP and now at BBG.As many people have already alluded to, JP gives you more credibility IF you want to be in Financial Services. If you’re more interested in Tech, Bloomberg might be a place to consider but there are also better options for a tech company. Part of my value at Bloomberg is having the JP experience.Happy to chat more if you like",3,puXQ71,/company/Bloomberg/,SEND PRIVATE MESSAGE,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
7,3d,"Hey mate I’ll PM u, thanks!!",0,hahibi,nan,SEND PRIVATE MESSAGE,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
