,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 6,KPMG any day. + Seattle is tax free,4,WviE87,/company/Infosys/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
1,May 6,Why Kpmg anyway?,0,PVis23,/company/Deloitte/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
2,May 6,"I think exits are better. KPMG is perceived strategy, Accenture can pretty much be any thing.",0,WviE87,/company/Infosys/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
3,May 7,KPMG is primarily an accounting firm and Accenture is primarily tech consulting...,3,ibAj25,/company/Guidehouse/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
4,May 7,SF is high cost of living and 10k less. My choice will be Seattle,2,tpm129,/company/Accenture/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
5,May 7,I’ll need to explore the option of moving back to Seattle if I choose Accenture,0,PVis23,/company/Deloitte/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
6,May 10,"Yes, but Accenture is also a modern day sweatshop. t. Ex Accenture, but wouldn’t have worked for anywhere else as a tech consultant.",2,oddblockv4,/company/IBM/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
7,May 7,KPMG does tech consulting?,2,rBRO88,/company/EY/,SEND PRIVATE MESSAGE,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
0,May 5,60hr/week in consulting is basically not doing any work. When I worked at KPMG people were doing &gt100hr/week and were running around with sandbags under their eyes.,1,[}<>{],/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/KPMG-Offer-iBjHW30h,KPMG
1,May 5,Lol ouch,0,DeadMauFif,nan,SEND PRIVATE MESSAGE,/post/KPMG-Offer-iBjHW30h,KPMG
0,Mar 24,"I asked them to raise it, they declined - I said no worries I have another offer (I actually did) and said I won’t move forward. Then they accepted it - this all happened in like 1-2 days. After they gave me the adjusted salary, the HR person said I had 2 days to confirm/sign lol",1,QnhQ56,/company/KPMG/,SEND PRIVATE MESSAGE,/post/Negotiating-Salary-KPMG-FnfFpUX6,KPMG
1,Mar 23,Yes but now you have competing offer . Ask them to match . It’s your market value,1,Evvn,/company/Verizon/,SEND PRIVATE MESSAGE,/post/Negotiating-Salary-KPMG-FnfFpUX6,KPMG
2,Mar 25,Agreed that you should stand your ground. I think they’ll meet your offer if you indicate how you have another offer paying more,0,vSvm07,/company/KPMG/,SEND PRIVATE MESSAGE,/post/Negotiating-Salary-KPMG-FnfFpUX6,KPMG
3,Mar 24,"TC or GTFO.... you want advise but you intentionally give very less information what role , comp etc .....",0,sUPc30,/company/KPMG/,SEND PRIVATE MESSAGE,/post/Negotiating-Salary-KPMG-FnfFpUX6,KPMG
4,Mar 24,Same thing happened to me. Found out I left $10k in base on the table.,0,Kiqp72,/company/KPMG/,SEND PRIVATE MESSAGE,/post/Negotiating-Salary-KPMG-FnfFpUX6,KPMG
0,Mar 14,Tc and group?,0,ndbe,/company/KPMG/,SEND PRIVATE MESSAGE,/post/KPMG-vs-Anthem-wZJnNLAk,KPMG
1,Mar 30,Digital nexus 150k,0,blueapple6,/company/IBM/,SEND PRIVATE MESSAGE,/post/KPMG-vs-Anthem-wZJnNLAk,KPMG
0,Feb 24,I'd take 135,0,Kiqp72,/company/KPMG/,SEND PRIVATE MESSAGE,/post/KPMG-or-Capco-xtPqjyNx,KPMG
0,Apr 7,What was the offer?,0,RoadtoDA,/company/Schneider-National/,SEND PRIVATE MESSAGE,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
1,Apr 7,Oh sheesh that’s low - I’d that’s you’re only offer I’d take it but I’d definitely look elsewhere about a year and a half ago someone told me they were around 80k in New YorkI tried to get over but they wouldn’t let me in when I was trying to come from IT Audit at KPMGSo I left for 70k and a year later I’m at LinkedIn for 150k,1,RoadtoDA,/company/Schneider-National/,SEND PRIVATE MESSAGE,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
2,Apr 7,Yeah seemed low to me as well for a tech position. Thanks for the insights and congrats on the big salary bump!,0,cZdc,/company/Pacific-Life/,SEND PRIVATE MESSAGE,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
3,Apr 7,"It is underwhelming for sure, I think they actually had to lower comp after re-org and stopped signing bonuses. My comp was already low but the new grads... ouch",1,ndbe,/company/KPMG/,SEND PRIVATE MESSAGE,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
4,Apr 7,Thanks for the response. Is there any room to ask HR for a relocation/signing bonus do you think?,0,cZdc,/company/Pacific-Life/,SEND PRIVATE MESSAGE,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
5,Apr 7,What’s your title/role going to be? Normally it’s an automatic no for new grad negotiations. But they’re starving for people so it won’t hurt to ask,0,ndbe,/company/KPMG/,SEND PRIVATE MESSAGE,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
6,Apr 13,I was offered 80k with 5k signing in Seattle last year,0,quOs26,/company/IBM/,Data,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
0,6d,Seriously? Why would you take Amazon?,1,amiomi ,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Amazon-L5-vs-KPMG-Manager-Position-bogwSZud,KPMG
1,May 13,Is this a joke?,0,oddblockv4,/company/IBM/,SEND PRIVATE MESSAGE,/post/Amazon-L5-vs-KPMG-Manager-Position-bogwSZud,KPMG
2,May 13,Why?,0,rushray100,nan,Finance,/post/Amazon-L5-vs-KPMG-Manager-Position-bogwSZud,KPMG
3,May 14,"That Amazon offer sucks ass, that’s why. I can’t believe this would even be a question posted on Blind but there is tons of mindless FAANG worship here.",0,oddblockv4,/company/IBM/,SEND PRIVATE MESSAGE,/post/Amazon-L5-vs-KPMG-Manager-Position-bogwSZud,KPMG
4,May 13,KPMG offer,0,1DayAtATym,/company/Comscore/,SEND PRIVATE MESSAGE,/post/Amazon-L5-vs-KPMG-Manager-Position-bogwSZud,KPMG
0,Mar 17,KPMG offers better employee benefits compared to EY.,1,Taxacct12,/company/EY/,SEND PRIVATE MESSAGE,/post/KPMG-vs-EY-Software-Engineering-8zx5DZ00,KPMG
1,Mar 17,Like what? Can you please elaborate?,1,shaydeenee,/company/EY/,SEND PRIVATE MESSAGE,/post/KPMG-vs-EY-Software-Engineering-8zx5DZ00,KPMG
2,Mar 17,"If you're in KPMG Lighthouse, definitely KPMG, otherwise EY",2,strugglin,/company/KPMG/,SEND PRIVATE MESSAGE,/post/KPMG-vs-EY-Software-Engineering-8zx5DZ00,KPMG
3,Mar 20,None,1,qncH64,/company/Barclays-Investment-Bank/,SEND PRIVATE MESSAGE,/post/KPMG-vs-EY-Software-Engineering-8zx5DZ00,KPMG
