,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 12,Wtf is dogelon mars,7,hfHH16,/company/Uber/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
1,May 12,A mix race of doge and Elon,0,zucktok,/company/Facebook/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
2,May 12,Buy the dip,1,elqN63,/company/Rally-Health/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
3,May 12,If I keep buying more dips I’m going to be homeless soon,1, Ben Dover,/company/Google/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
4,May 12,Never even heard of these lol. Who was pumping this?,1,Lostnick,/company/Walmart/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
5,May 12,Elon?,0,zucktok,/company/Facebook/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
6,May 12,Made a nice 10x on ELON. Always DCA out,1,caLV85,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
7,May 12,Fucking legend,0,SAPsGreat,/company/SAP/,SEND PRIVATE MESSAGE,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
0,Mar 10,"Troll, there’s no such thing as Feb 31st!",2,Mr. Monk™️,/company/Capital-One/,SEND PRIVATE MESSAGE,/post/H1B-transfer-timeline-BAL-X731j2UF,Mars
1,Mar 10,Corrected.,0,YNdn81,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/H1B-transfer-timeline-BAL-X731j2UF,Mars
2,Mar 10,And what stage are you?,1,lQaC61,/company/Twilio/,SEND PRIVATE MESSAGE,/post/H1B-transfer-timeline-BAL-X731j2UF,Mars
3,Mar 24,Did you get any further updates?,0,MG765,/company/Cummins/,SEND PRIVATE MESSAGE,/post/H1B-transfer-timeline-BAL-X731j2UF,Mars
