,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Apr 10,There is only one correct answer - don't join Amazon.,48,BosDK,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
1,Apr 10,Ah gotcha. Those are actually very valuable points! Thanks :) Never thought of that,1,LiPw13,/company/SoundHound/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
2,May 5,NEVER JOIN AMAZON IF YOU WANT WLB,1,mriJ52,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
3,Apr 10,"Amazon is a toxic place and they treat employees really, really shitty. Go to msft and thank me later.",49,yXnO33,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
4,Apr 10,I'd pick Google. 300k for L4 is good and you'll get better refreshers than MS. Amazon is not worth it as a company especially when your have options like Goog and MS.,28,eBAv18,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
5,Apr 10,"If you just look at TC, yep, Google is definitely better!",0,LiPw13,/company/SoundHound/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
6,Apr 10,Google refreshers are amazingThat'll increase your TC every year,23,ov3hyg,/company/Google/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
7,Apr 10,Yeah it depends a lot on your performance but this should be possible and can go up,0,ov3hyg,/company/Google/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
8,Apr 27,including first year?,0,fr3jbUf,/company/Indeed/,SEND PRIVATE MESSAGE,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
9,Apr 10,"It sounds like you've already made up your mind, but fair warning, Microsoft's refreshers are ass. You'll likely need to boomerang or just go to another company once you hit the 4 year cliff",12,this=rand,/company/Microsoft/,Eng,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
10,Apr 11,"I last saw 62 at 22k over 5 years, l61 at 17. Depends on org though. Still trash, but the company is still great.",1,HateCoffee,/company/JB-Hunt/,Eng,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
11,Apr 13,It's literally not even considering long term. Yes.,0,RoLF71,/company/Microsoft/,Eng,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
0,6d,If difference is only 11k do not choose Amazon,11,odza51,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
1,6d,"Amazon is super famous for terrible WLB, toxic culture, and in general treating their employees like shit.",6,vIaX20,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
2,5d,+1,1,realbezos,/company/Amazon/,SEND PRIVATE MESSAGE,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
3,6d,"Microsoft is a bad decision, plus they low balled you. I wouldn't recommend joining, you may find a worse work like balance, especially that we work a lot with India. Meaning scheduling and attending meetings at 10/11pm ...",2,shrandra,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
4,6d,"If you are over L63 yes, otherwise you're wasting your talent. Got an offer from l62 to L6 at amazon, that's two levels up",0,shavan,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
5,6d,So you say Amazon?,0,mazonjakkd,/company/Apple/,Eng,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
6,6d,Permanent remote tips the balance. Go to LCOL any time you want to make up for the pay difference. Get a bigger house for family and spend more time with your kids.,5,ipED28,/company/Amazon/,SEND PRIVATE MESSAGE,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
