,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 7,"What role is this for? Software engineering? If you rescind your JPMorgan offer for a tech company / tech focused company, JPMorgan will probably welcome you back with open arms if you ever decide to come back.Save yourself, don't work here",7,sin(x),/company/JPMorgan/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
1,May 7,"Hello, yes it's for software engineer and I have offer from Morgan Stanley also. Bit confused which one to select.",0,yemedy,/company/Capgemini/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
2,May 7,Hey people are not knowing things in depth.First ur record will be saved in recruiter database that person has did such such thingsNext time u wont be their first preference by any chanceKind of shadow blacklistingI have my personal exp on thatGood luck,5,Oxygenn,/company/SAP/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
3,May 7,And if I reject the offer then this won't be the case right?,0,yemedy,/company/Capgemini/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
4,May 9,People increasingly have the right to be forgotten. GDPR gives that to people. Although op is in India. But most international companies apply such things globally increasingly.,0,TheEM,/company/JPMorgan/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
5,May 9,"It's called ""deny list"" now btw... :-P",4,TheEM,/company/JPMorgan/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
6,May 10,Hahaha double deny listed poor person,1,grimsby,/company/JPMorgan/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
7,May 11,"I dont think so, you will still be able to apply in future but not near future. Cause Morgan Stanley maintains track of all applications and their outcomes. If you apply later on you will be on lesser priority though",2,vasigara,/company/Morgan-Stanley/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
8,May 12,Understood. Thank you :),0,yemedy,/company/Capgemini/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
9,May 10,Happens a lot in India due to the 3 months notice thing.,2,bvKM36,/company/Morgan-Stanley/,SEND PRIVATE MESSAGE,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
