,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,3d,You should cancel the loop. Oci is awful. http://andrewwatters.com/law/oracle/,2,tbAq75,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-onsite-loop-QjnqAx8F,Oracle
1,3d,Yes,0,dhftbjmd0,/company/Dell/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-onsite-loop-QjnqAx8F,Oracle
2,3d,"This is for Seattle, but supports remote",0,dhftbjmd0,/company/Dell/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-onsite-loop-QjnqAx8F,Oracle
3,3d,Which team? How did you apply?,0,nu I 9j4f,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-onsite-loop-QjnqAx8F,Oracle
4,3d,"It's random, every team has their own design question",0,chmod123,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-onsite-loop-QjnqAx8F,Oracle
5,3d,IC3?,0,nu I 9j4f,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-onsite-loop-QjnqAx8F,Oracle
0,2d,Swiggy ESOP is paper money. Don't count that into TC,7,isOffline,/company/PayPal/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
1,2d,"Also swiggy has a higher cash component. So, that's also a plus point.",0,somethi,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
2,2d,Don't just look at TC while switching. Its one of the factors but not the only one. Check with someone in swiggy what are buyback chances.,0,BbduH65,/company/Expedia/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
3,2d,"Really great package for 2 YOE, congrats OP",5,s1mpl3,/company/Fidelity-Investments/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
4,2d,Thanks 😊,1,somethi,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
5,2d,Swiggy bhai.. Exciting and impacful product that you can relate to. And no need for night sync ups.,5,BbduH65,/company/Expedia/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
6,2d,Thanks for the suggestion man. I will definitely consider this.,0,somethi,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
7,2d,Do not under estimate the power of going to sleep at 9.30 not worrying about a syncup at 11.,4,robo_boy,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
8,2d,"Yup, that's awesome.",0,somethi,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
9,2d,What you doing in 22l in Amazon? Amazon pays much more!,2,Fykvlf,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
10,2d,Yeah that's why I am switching 😅😅,0,somethi,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
11,2d,Oracle might give you better WLB.As this is start of your career you can go for swiggy!,0,Fykvlf,/company/Cisco/,SEND PRIVATE MESSAGE,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
0,May 4,Is your current TC around : 34 base + 8 bonus + 8 RSUs over 4 years. If yes then oci looks a upward jump,0,dfdfdf,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
1,May 4,Specifically in OCI levels bar is high. No one to one mapping with other non oci  orgs of Oracle that are pretty rusty. In OCI for PMTS you will be looking at 60+ base.,1,dfdfdf,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
2,May 9,"@dfdfdf IC-4 is PMTS right?I cleared IC-4 process, my current TC is around 85 (base 42.6 + 15% bonus + stocks). But the recruiter says current TC itself is outside their range. The base amount you describe of 60+ is that for 8-9 YoE or more?",0,fNGJ05,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
3,May 5,Whats INR?,0,ksTJ75,/company/Deloitte/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
4,May 6,Indian Rupee (INR),1,asgardians,/company/Walmart/,Eng,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
5,May 4,Stock appreciation for Oracle is better than walmart,0,hxNN04,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
6,May 4,"However, stock amount looks less",0,hxNN04,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
7,May 4,Is the pay is good for an 8 YOE?,0,asgardians,/company/Walmart/,Eng,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
8,May 4,Base is awesome. Any annual bonus?,0,sheldonian,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
9,May 4,No there is no annual bonus.,0,asgardians,/company/Walmart/,Eng,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
10,May 4,"Ic3 is equivalent to sde2 if I'm not wrong, shouldn't you ask for ic4?",0,JefBezo,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
11,May 4,"Yes, I asked them for IC4 but they said IC4 is only for PMTS.",0,asgardians,/company/Walmart/,Eng,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
0,Apr 14,WTF! Did you just say 1cr of TC (70l + 45k) plus 24l joining bonus at 6YOE!!!What kind of sorcery is this????,12,llarry,/company/LinkedIn/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
1,Apr 14,Thanks @biggerLose. Lots of love to you guys! :),0,lJtr64,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
2,May 8,Definitely not the norm.,0,oopsoop,/company/VMware/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
3,Apr 14,10-20 lakh idhar blind walo Mein baant do bhai...,11,Daaaku,/company/Adobe/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
4,Apr 14,"IC4 would mean archiect mostly. I think your primary communication would be with Seattle folks for design discussions and you would be guiding india folks . The old ones are really mines of knowledge and you could really enjoy the architecture  review discussions. IC4 can also be terminal level if you want it to be, IC5 definitely needs some parts of project management as well. Depends on the org.  I am an IC2, so my opinion may be flawed however this is best to my knowledge",6,EJNe76,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
5,Apr 14,"haha, thanks :) Also thank you for answering all of these! :)",0,lJtr64,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
6,Apr 22,"I am also in a similar boat, any insight on oracle big data services?",0,sapNinja,/company/SAP/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
7,Apr 14,Bhai kya prep kiye ho.. seriously interested,0,vmlogn,/company/VMware/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
8,Apr 14,Yeah joined as SDE 2.Those people can genuinely retire :p Back then those folks also used to get more stocks. Lately the number of stocks has reduced.,1,lJtr64,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
9,Apr 14,Getting to sde3 in 2 years at amazon is an achievement in itself.,0,lc_medium,/company/Amazon/,Eng,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
10,Apr 14,Tagda offer hai bhai.... Yaha ki desi comment baji bhi tagdi hai 😁,4,sDtC36,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
0,6d,Good offer. Do they have refreshers after second year? If no it looks like a small cliff?,2,hasgffvv,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
1,6d,They said they will have yearly refreshers in stocks only,1,archies507,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
2,5d,Lowball offer for 10yoe. Try for ic4,1,yankee5,/company/Citrix/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
3,6d,Current TC ? Location ?,0,kingkohli,/company/Salesforce/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
4,6d,Seattle 210k,0,archies507,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
5,5d,Which team in OCI?,0,68ndetdww,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
6,6d,Cash and bonus? Is that joining bonus ?,0,SLdv83,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
0,Apr 28,I have done both and i would choose msft azure 100 times over OCI.,5,weyfair,/company/Wayfair/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
1,Apr 28,Why ?,0,serious77,/company/Coupang/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
2,Apr 28,"Well the India teams are most likely going to the most hectic and unorganized teams. Management is terrible, and msft you can always move internally. OCI it's not easy to transfer",0,weyfair,/company/Wayfair/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
3,Apr 28,"If you want help comparing growth opportunities at these companies, you'll need to specify what company you currently work for.",1,ripples42,/company/Facebook/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
4,Apr 28,I am currently working in India's leading cloud telephony company (Don't want to specify the name for now).,0,EBPz35,nan,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
5,Apr 28,Is that u exotel,0,euWD87,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
6,Apr 28,Your current base is 65L n offers are 45L base?I wouldn't leave current in that case.,1,nsEN88,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
7,Apr 28,Microsoft.SMTS for 9YOE looks to be a low level. I have a couple of PMTS in my team with around 7-9 YOE.,0,taxOvrflow,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
8,Apr 28,"TC is almost the same as MS and MS stocks have more of an upside. I guess MS has better benefits and refreshers as well. MS is a better name on the resume, better work culture, much better and stable product.Why would anyone go for OCI?Talking about pay being same as PMTS, I am not sure about that, I am not in India.",0,taxOvrflow,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
