,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 6,Sapient is the worst shitty crappy company. Don't go.,5,xgtSd809,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
1,May 6,Do you have any experience you can share? What made you say this?,0,whatnow22,/company/JetBlue/,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
2,May 7,stay away from sapient.been there for 3 years worst experience of my life and career,3,leomanish,nan,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
3,May 9,Where are you now and care to elaborate?,0,dis2004.,nan,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
4,May 9,"I am currently at Nagarro and now planning for a product based one.The reason I left sapient and found it hard to leave that company is because their policies and management that doesn't care about you.If you are going in their and share your honest opinions with management you'll be flagged and might get asked to leave.I seen people fired just because they had a conflict with management like didn't want to work on weekend, allowance and comp off.",1,leomanish,nan,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
5,May 11,I have read multiple posts in blind where ppl are cursing themselves after joining Amazon because if their poor work life balance PIP process. In Sapient you won't suffocate that much.. well it also depends what kind of project you are into. But if you are looking for a comparatively better work life balance and comparatively less increments then go with Sapient. But if you are more into in  getting a brand name and better hikes then go with Amazon.,2,MeHuman,/company/Publicis-Sapient/,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
6,5d,"Exit ops from Amazon are good. For sapient, you’ll have experience of working with avg-poor management which will set you up for good experiences lol. But I echo this comment. If you can ignore the political and managerial bs ... enjoy the WLB and breeze through 😛",1,99$,/company/Publicis-Sapient/,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
7,May 11,There is no match between Amazon and Sapient. Please think twice before joining sapient. Amazon provide you the brand value that will help you always. Don't join sapient period 😊,2,HiFi001,/company/Publicis-Sapient/,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
8,May 6,"Based on the offer, Sapient looks promising unless you want a tag of working at FAANG. Good luck either way!",2,onlyfwd,/company/Tata-Consultancy-Services/,SEND PRIVATE MESSAGE,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
0,2d,What kind of extra bonuses?,0,/\_/\,/company/Morgan-Stanley/,SEND PRIVATE MESSAGE,/post/Morgan-Stanley-or-Publicis-Sapient-DhBP7ddC,Publicis-Sapient
