,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,4d,Tier 1 ?,0,mehBlahh,/company/SAP/,Eng,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
1,4d,That's what I want to confirm. I don't have competing offers so if I ask for more and they take back the offer I won't have anything in hand. That's why I am hesitant to ask. But if offer is too low I can freely ask for more.,0,b_ron,/company/Amadeus/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
2,3d,Siemens does not pay this much.! I doubt if their 8-10 yoe folks even earn this much,1,manct,/company/Hewlett-Packard-Enterprise/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
3,4d,Can you update the location? I hope it's Bangalore. And also update which Division of siemens like Industrial automation or healthcare or Energy.I worked there and it was my first company. Even now I have friends over there and their salaries are not even half of yours with 10 years of experience,3,hexaval,/company/Intuit/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
4,2d,"When you compare other service based like tcs, CTS, etc. Yes siemens pay higher than them. But u can't compare with jp, GS, intuit, etc",1,Walter Wh,/company/Intuit/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
5,Yesterday,"These days even company like Accenture is providing more than siemens. So nope, siemens is not a well paying company, it scores well in culture, leaves policies, security though.",0,newmonkey,/company/Siemens-Healthineers/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
6,4d,Healthcare pays good. If this is what they gave as initial offer then you can still negotiate.WLB is really good in Siemens.,2,hexaval,/company/Intuit/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
7,4d,Thanks for the info. Really appreciated.,0,b_ron,/company/Amadeus/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
8,4d,"Can you comment on which division within Healthcare like MR, CT, Digital Health..etc? Pay usually differs based on 3 factors; Tier, PL level and Team",1,tfct06,/company/Siemens-Healthineers/,Eng,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
9,3d,Digital Health.,0,b_ron,/company/Amadeus/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
10,2d,"The salary offered is significantly high for a candidate from Tier 1 college. For example: A fresher having an IIT/NIT tag will be offered a minimum of 16 LPA+ and PL10 level. Compare that to a person from a non premier college with 3 years of experience will only be offered 10 to 12 LPA.So what I am trying to say is scale of salary over here is different depending on the college you studied in.In general salary growth over here is around 15 - 20% every year on average, atleast in DH, with occasional correction of about 30-35% every few years.Overall there is good WLB, but at times it gets messed up due to the acute talent shortage (but still better than a lot of companies). For the first time I have seen a lot of genuinely good people at one place compared to the previous companies I have worked in.Anyways good luck in the salary negotiation. If you really feel HR might be willing to give more, then please feel free to negotiate. Atleast try to negotiate some other components like the joining bonus or the retention bonuses.PS: A lot of people still get half the tc with 10+ years of experience within the company  :p",0,tfct06,/company/Siemens-Healthineers/,Eng,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
11,4d,You are low- balled over here,1,"ra541ft,7",/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
12,4d,What do you think I should ask from them?,0,b_ron,/company/Amadeus/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
13,4d,I don't have competing offers right now.,0,b_ron,/company/Amadeus/,SEND PRIVATE MESSAGE,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
