,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,"Jan 13, 2020","It is, but you have to understand that the promise of a 40–hour work week and all the ensuing WLB perks, those are all promised to the Consultants.  As soon as you start making your way up the totem pole, you’ll have to put in the extra hours just as you would anywhere else.I am currently at this “consultant“ level and negotiated well upon arriving. So I’m not feeling any of the gripes coming from folks who aren’t liking their annual increases. I have also been told that some people have stayed at this consultant level for many years, they really liked it, didn’t want to manage people, and therefore weren’t pressured into other roles. While at the same time they were able to earn considerably more over time money in the same role.I love the no-travel option. The regional model definitely works. The only problem is the kinds of jobs you’re forced to take sometimes resemble more of a staff augmentation situation than true full-scale  consulting projects.The people in general are great. There’s some variability in each location in terms of the kind of culture. Some are very friendly and feel like a family, where as others are a bit more typical corporate.",3,AlfredoBro,/company/Slalom-Consulting/,SEND PRIVATE MESSAGE,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
1,"Jan 13, 2020",I second this. This is very thoughtfully written. Overall people are happy a here at Slalom.,0,roymiller,/company/Slalom-Consulting/,SEND PRIVATE MESSAGE,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
2,Apr 8,+1,0,fmtt36,/company/Slalom-Consulting/,SEND PRIVATE MESSAGE,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
3,"Jan 13, 2020",I’m thrilled at Slalom. Best place I’ve ever worked. Can’t say it better than AlfredoBro did. Only can add that I may have a slightly different experience than a consultant due to being in leadership.,1,aUwy88,/company/Slalom-Consulting/,SEND PRIVATE MESSAGE,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
4,"Feb 18, 2020","I started the interview process for SA and know someone at the branch, so it seems like the process is just a formality. I’ve only heard good things about working there but the benefits would be a huge downgrade for me and the comp seems average. I was interested in consulting but it’s usually all travel or incentivized by billable hours. A competitor offer was 20% more with a much larger bonus but it was base 45hr weeks.  I think I will pass..",0,Gkl678,nan,IT,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
5,"Jan 22, 2020","Did you get an offer? My interviews happened, they provided great feedback but the letter never came!",0,drxy14,/company/Nagarro/,Eng,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
6,"Jan 13, 2020",+1,0,Girthy,/company/Slalom-Consulting/,IT,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
0,Mar 1,Totally depends on the office,1,triOracle,nan,SEND PRIVATE MESSAGE,/post/Slalom-consulting-PrchRQnG,Slalom-Consulting
1,Feb 20,What office?,1,ewgL07,/company/Slalom-Consulting/,SEND PRIVATE MESSAGE,/post/Slalom-consulting-PrchRQnG,Slalom-Consulting
2,Mar 18,"Hey, I am scheduled to have the first round in few days. Can you please share your experience for all the rounds or in general if possible. It would be really helpful. Thanks.",0,deprswoman,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Slalom-consulting-PrchRQnG,Slalom-Consulting
3,Mar 21,Pm if you need help,0,triOracle,nan,SEND PRIVATE MESSAGE,/post/Slalom-consulting-PrchRQnG,Slalom-Consulting
4,6d,How did it go? And how was the interview process?,0,Shanky2408,/company/Cognizant/,SEND PRIVATE MESSAGE,/post/Slalom-consulting-PrchRQnG,Slalom-Consulting
0,"Aug 31, 2018","Best. Job. Ever. And I’m not kidding. Been here 3 years and I’m never leaving. I was sick of being a whipping boy at other companies who SAY their people are their greatest assets, then what they DO is work them stupid hours and cut them like they were expenses. I’m still in the honeymoon phase here at Slalom Dallas. Come on over if you’re people-first and purpose-driven.",9,Hayek,/company/Slalom-Consulting/,Other,/post/Slalom-Consulting-mDZ2L8SJ,Slalom-Consulting
1,"Aug 31, 2018","Haven’t worked there but worked with a bunch of awesome people in the past who are now there. They all love it. I interviewed with them and loved them, but got a significantly better offer elsewhere. I’d give it a serious look. Slalom’s the real deal.",4,MiddleWest,/company/Amazon/,Design,/post/Slalom-Consulting-mDZ2L8SJ,Slalom-Consulting
