,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Apr 8,What ^ said!,0,Gg_shjth,/company/Workday/,Eng,/post/Teladoc-onsite-interview-CrXnzO0v,Teladoc
1,Apr 8,TC or GTFO,0,NWzw82,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Teladoc-onsite-interview-CrXnzO0v,Teladoc
0,Jan 15,They don’t offer good rsu’s.,1,udBK82,/company/General-Motors/,SEND PRIVATE MESSAGE,/post/Teladoc-Livongo-Interview-2qcrFuON,Teladoc
1,Feb 21,Problem solving is leetcode medium,0,wheeledout,/company/Yelp/,SEND PRIVATE MESSAGE,/post/Teladoc-Livongo-Interview-2qcrFuON,Teladoc
2,Feb 9,following,0,Go_Getter,/company/MHK/,SEND PRIVATE MESSAGE,/post/Teladoc-Livongo-Interview-2qcrFuON,Teladoc
0,"Mar 10, 2019",Yes,0,npAv15,/company/Lyft/,SEND PRIVATE MESSAGE,/post/Teladoc-TDOC-V7r5vm0C,Teladoc
1,"Mar 15, 2019","My analysis: this could be a 25x investment. Pros: It takes a long time to build this (not the tech but regulation and doctor and b2b network), so time is their moat, since they seem to be the market leader. Cons: the CEO earns way too much for where they are now. Is the leadership cashing out?What threats do you see?",0,Mananana,/company/Google/,Mgmt,/post/Teladoc-TDOC-V7r5vm0C,Teladoc
2,"Mar 14, 2020",What makes you think its x25 investment?,0,IAMBCD,/company/Yandex/,Biz Dev,/post/Teladoc-TDOC-V7r5vm0C,Teladoc
0,Jan 12,"Not happy at all. Livongo can definitely grow better on its own, even acquire other healthcare startups. The benefits in Teladoc is no way near as good as Livongo, just typical big corp shitty benefits. And they provide very little to none RSU which makes the TC a lot less competitive in the Bay Area.",3,VMnW67,/company/Livongo/,SEND PRIVATE MESSAGE,/post/Livongo-employees-Su2m6ycL,Teladoc
1,Jan 13,"Not FAANG level, but fairly decent, I got about $200k over 4 years. Heard from new hires after the merger they only got less than $50k over 3 years.",0,FmUE66,/company/Livongo/,SEND PRIVATE MESSAGE,/post/Livongo-employees-Su2m6ycL,Teladoc
2,Jan 13,Dm’ed you,0,udBK82,/company/General-Motors/,SEND PRIVATE MESSAGE,/post/Livongo-employees-Su2m6ycL,Teladoc
