,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,May 10,🧟‍♂️,0,cbh4p0,/company/Seagate-Technology/,SEND PRIVATE MESSAGE,/post/Uber-data-Scientist-interview-process-g6UTqJGC,Uber
1,May 10,Ab test,1,ExGrouponr,/company/Groupon/,SEND PRIVATE MESSAGE,/post/Uber-data-Scientist-interview-process-g6UTqJGC,Uber
2,May 10,"Are you ok, Lyft?",3,X6jf37,/company/Uber/,Eng,/post/Uber-data-Scientist-interview-process-g6UTqJGC,Uber
3,May 11,Ya I’m vibing https://youtu.be/L8TWn4aTpOc,0,🧟‍♀️🧟‍♀️🧟‍♀️,/company/Lyft/,SEND PRIVATE MESSAGE,/post/Uber-data-Scientist-interview-process-g6UTqJGC,Uber
0,5d,1) Arcanist and Gitolite2) Git. Monorepo3) Phab4) What have you. Mostly Goland.5) Custom deploy solutions6) Custom f/w + ELK 7) Jaeger + custom time series db (M3)8) Jira. Was Phab a while backDaily stuff1) Gmail2) Gcal3) Zoom4) Slack,6,vincero,/company/Uber/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
1,5d,Emojis and Gifs.,0,vincero,/company/Uber/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
2,4d,Lol wut?,0,as n3819ru,/company/Google/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
3,3d,"Did same transition recently, I’d say it’s pretty surprising to me so far. Internal tools are IMO pretty comprehensive and powerful, even tho I feel like some tools are just highly overlapping in terms of functionality but things are getting unified into one platform. Definitely dont wanna go back to use Powerdrill for metrics lol. In general observability tools in U are more open source embraced and pretty standard across industry. Jira for project management I’d say quite similar exp to Bugnizer. In terms of daily work Slack and Zoom is heavily used in Uber which I feel like faster turn around time for questions, discussions compared to gmail threads. Liked it so far and now is a definitely better time to join considering lower stock price than when I joined😅",3,Nber,/company/Uber/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
4,3d,What stock price did you get your grant?,0,ov3hyg,/company/Google/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
5,3d,around 50,0,Nber,/company/Uber/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
6,5d,How is virtual ramp up like at Uber? Considering joining them as L5a.,0,Leaveforce,/company/Salesforce/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
7,5d,You'll be taken care of. Remote onboardings have been the norm for well over a year. There are sufficient processes in place.,2,vincero,/company/Uber/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
8,4d,Thanks!,0,Leaveforce,/company/Salesforce/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
9,5d,"Uber uses Arcanist and phabricator. What fb uses basically.Can use any ide, intellij etc.Which level did you get?",1,ov3hyg,/company/Google/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
10,5d,L5a. Have you worked at Uber?,0,as n3819ru,/company/Google/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
11,2d,Manual deployment sucks. Everything else is fine,0,vvnccb ,/company/Uber/,SEND PRIVATE MESSAGE,/post/Uber-internal-infrastructure-and-tooling-question-E5UrFF1i,Uber
0,Mar 10,DM,1,jsjskdkdk,/company/Uber/,SEND PRIVATE MESSAGE,/post/Uber-ds-referral-zHS5REHX,Uber
