,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,3d,No interview needed to join Walmart . They hire without interview,2,SFRocks1,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Walmart-labs-interview-0amFbNbL,Walmart
1,3d,Expected this  answer from amazon ware house and apple store employees😜,2,🥭admi,/company/Citi/,SEND PRIVATE MESSAGE,/post/Walmart-labs-interview-0amFbNbL,Walmart
2,3d,They put us in a glass aquarium at least.Although in a zombie apocalypse my chances are much better at a walmart.,1,Xlnv45,/company/Apple/,SEND PRIVATE MESSAGE,/post/Walmart-labs-interview-0amFbNbL,Walmart
0,Apr 28,Offer is good for x4 (base range is 140-190ish IIRC). Not as familiar with the supply chain group but the product org is dying at Walmart.,1,ow9u@yf,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
1,Apr 28,"Are you referring to recent reshuffling? I thought the company is growing so there might be cool product opportunities. Also, I have heard hours are crazy and 60+ per week, whats your experience has been?",0,MDJq47,/company/Hewlett-Packard-Enterprise/,SEND PRIVATE MESSAGE,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
2,Apr 30,"I can’t speak about supply chain org specifically, but the customer org has gone down hill. All middle management was let go in the restructuring so there isn’t any day-to-day product leadership, and no shield from the swirl from LT. huge attrition in design, product, and eng orgs. Generally a ton of priorities and no resources to execute",1,ow9u@yf,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
3,Apr 28,We should chat. I know that team well,1,iAFd85,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
4,May 1,Already DMed ! Would love to chat with you,0,MDJq47,/company/Hewlett-Packard-Enterprise/,SEND PRIVATE MESSAGE,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
5,May 3,Sorry been out of Blind... just replied,0,iAFd85,/company/Walmart/,SEND PRIVATE MESSAGE,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
6,Apr 25,Bville or Bay Area?,1,Jassy Andy,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Walmart-Labs-Offer-SdZeRteW,Walmart
