,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,Apr 10,Compass is a Zillow competition isn't it? How is it anything like wework ?,4,BrutеForce,/company/Citadel/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
1,Apr 12,"Man, I think that Zillow was really trolling us with that lawsuit. These hires were absolutely nothing special.",1,HuKitchen1,/company/Compass/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
2,Apr 13,"Yup, no merit honestly",1,momomom,/company/Compass/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
3,Apr 10,"Compass competes more directly with other brokerages (Redfin, eXp) than with Zillow. Revenue is based on commissions on real estate transactions, mostly.Zillow revenue is mostly ads. Now they are slowly expanding to iBuying, mortgages, etc.Compass is a bit more technologically advanced brokerage, but at it is a brokerage. How much advantage you get from the tech, remains to be seen.Calling it a tech company is incorrect but calling it WeWork 2.0 is lazy.",10,HuKitchen1,/company/Compass/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
4,Apr 9,Doesn’t matter.,4,JfAS37,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
5,Apr 9,Airbnb is tech company?,3,JfAS37,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
6,Apr 10,Atleast better than compass,0,      x,nan,Eng,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
7,Apr 10,I mean  classification doesn’t matter,0,JfAS37,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
8,Apr 19,half wework boyz are now at compass,0,jehaplha,/company/WeWork/,SEND PRIVATE MESSAGE,/post/Is-Compass-just-WeWork-20-eDGvKiTN,WeWork
0,Mar 11,Fuck wework,7,caffee,/company/Google/,SEND PRIVATE MESSAGE,/post/WeWork-millionaires-Ownh8o3j,WeWork
0,Apr 22,Fraud detection 🤣,5,p0w,/company/Oracle/,SEND PRIVATE MESSAGE,/post/Interview-at-WeWork-What-to-expect-57bs1Gv1,WeWork
1,May 1,The one thing I’ll say is make sure you actually practice for the technical interview!Otherwise I think it’s pretty standard,2,WaeS86,/company/WeWork/,SEND PRIVATE MESSAGE,/post/Interview-at-WeWork-What-to-expect-57bs1Gv1,WeWork
2,May 1,Thanks!,0,GetHf,nan,Data,/post/Interview-at-WeWork-What-to-expect-57bs1Gv1,WeWork
3,Apr 27,Run in the opposite direction fast.,2,bitbot,/company/Yelp/,Eng,/post/Interview-at-WeWork-What-to-expect-57bs1Gv1,WeWork
4,Apr 26,Over demonized. Let us know about the TC when you get an offer. Very curious. I bet all these muggles making jokes about WeWork don’t know how to make millions.,1,piatr,/company/Wish/,SEND PRIVATE MESSAGE,/post/Interview-at-WeWork-What-to-expect-57bs1Gv1,WeWork
0,May 3,What if they charge cleaning fees after one month?,0,ShieldTV,/company/NVIDIA/,SEND PRIVATE MESSAGE,/post/Any-catch-with-wework-all-access-trial-Z8LTU5gz,WeWork
1,May 3,"Trust WeWork with a heavy service retainer on my CC??Thanks, but no Thanks. As an individual I will not have the legal firepower to fight back.",0,mav11,/company/Rivian-Automotive/,SEND PRIVATE MESSAGE,/post/Any-catch-with-wework-all-access-trial-Z8LTU5gz,WeWork
0,May 12,"They say it because, their business won't flourish if people are not willing to go back to office.",23,d#(1(@;,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/What-do-you-think-about-WeWork-CEOs-comment-on-going-back-to-the-office-OvpGfDBm,WeWork
1,May 12,It's like Zuckerberg advocating for internet access to all.,2,lieFactory,/company/Honeywell/,SEND PRIVATE MESSAGE,/post/What-do-you-think-about-WeWork-CEOs-comment-on-going-back-to-the-office-OvpGfDBm,WeWork
2,May 12,True.,0,d#(1(@;,/company/Microsoft/,SEND PRIVATE MESSAGE,/post/What-do-you-think-about-WeWork-CEOs-comment-on-going-back-to-the-office-OvpGfDBm,WeWork
3,May 12,"Bartender says if you're not chugging 7 shots of hard liquor everyday, you're just not that committed.",11,Wsly_PIPes,/company/Amazon/,SEND PRIVATE MESSAGE,/post/What-do-you-think-about-WeWork-CEOs-comment-on-going-back-to-the-office-OvpGfDBm,WeWork
4,May 12,"What else you expect them to say, their whole business lies in people working from offices..",10,oFVH58,/company/IBM/,Eng,/post/What-do-you-think-about-WeWork-CEOs-comment-on-going-back-to-the-office-OvpGfDBm,WeWork
5,May 12,Isn't this guy a fraud?,1,hw2sw_,/company/IBM/,SEND PRIVATE MESSAGE,/post/What-do-you-think-about-WeWork-CEOs-comment-on-going-back-to-the-office-OvpGfDBm,WeWork
