,comment_date,comment_text,comment_like,comment_user,comment_firm,comment_position,comment_url,company
0,4d,Didn't know eBay still exists. Wow!,1,breamhall,/company/DoorDash/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
1,2h,Look at the language. That’s Doordash level. Sad.,1,eBaasha,/company/eBay/,Mgmt,/post/Help-regarding-ebay-XLAE1w47,eBay
2,20m,I have monthly plan for grubhub and uber eats. Thinking about keep one of them. Nobody should order through dd,1,Pltrrock,/company/eBay/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
3,3d,"Please move on, and prepare for something better. If they come back in 3-6 months you might be in a better position to negotiate with multiple offers.",1,codeedit,/company/eBay/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
4,4d,You can be proactive and find similar roles in their job-site and share it with the recruiter. Even state you are willing to go through another round of interviews if required. Just a suggestion as you have nothing to lose here.,1,good_day,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
5,4d,Don’t make grave mistake of your life,0,OHxT27,/company/eBay/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
6,Yesterday,"I'll put it this way, @good_day. Amazon Neptune team was in my focus of interest, but none from HR was able to share if they have open position or not.",0,BadSky,/company/eBay/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
7,Yesterday,Got it thanks for sharing,0,good_day,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
8,Yesterday,That happened to me. I interviewed with 2 other teams and go an offer with the second team I paneled with.,0,Fb0i92,/company/eBay/,SEND PRIVATE MESSAGE,/post/Help-regarding-ebay-XLAE1w47,eBay
0,May 14,"I would say Zillow. Don't just look at your current TC, compare the two companies after your next two promotions. And yes objective-c is terrible",1,98south,nan,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
1,May 14,They are both friendly and easy to work with IMO. But I guess I like the zillow app more,0,zxczxczxc,nan,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
2,May 15,Agree. eBay is ghetto,0,ruXj53de,/company/Broadcom/,Eng,/post/Zillow-vs-eBay-WfRJseMW,eBay
3,May 14,What a jump 👏👏👏,3,pNeA76,/company/Appriss/,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
4,May 14,Thanks!,0,zxczxczxc,nan,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
5,May 14,Why does Blind always look down on eBay? I think they are doing pretty great so far.,2,zxczxczxc,nan,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
6,May 14,I guess that’s bcs of the competition they are against and how the competition has fared over the last few years. Curious to know more as well,0,good_day,/company/Amazon/,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
7,May 14,Take zillow. Better prospects and you can keep living where you are,1,Mr. Porski,/company/Lyft/,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
8,May 14,eBay comes back and offer me to fully remote as well.,0,zxczxczxc,nan,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
9,5d,That's like you threaten to leave a job and boss comes with counteroffer. eBay will turn tables on you once you are in.,0,kenjeong,/company/Amazon/,Eng,/post/Zillow-vs-eBay-WfRJseMW,eBay
10,May 14,For P3 that is a very good offer for Zillow. Congrats!,1,oopsforgot,/company/Expedia/,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
11,May 14,Thank you!,0,zxczxczxc,nan,SEND PRIVATE MESSAGE,/post/Zillow-vs-eBay-WfRJseMW,eBay
0,May 13,"It is very weird experience for sellers today where they have to deal with eBay and PayPal (different companies) to get things done like payment, fees, returns etc. Also, PayPal not allowing G pay, apple pay etc.-their competition.Ebay rarely makes good decision and this is one of them. Good for seller & buyer experience. Good for eBay with that profit margin. $100B/year less volume for PayPal but they will thrive anyway.",11,hadfgjcdx,/company/eBay/,SEND PRIVATE MESSAGE,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
1,May 13,"One of the best things that happened for eBay was managed payments because PayPal didn’t provide any flexibility. For example in Australia, afterPay is widely used and no one uses PayPal. Things like this, and plus obviously we wanted to monetize the payments platform. Making $$$$$ now",5,nowayyyy,/company/eBay/,Eng,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
2,May 13,Got it. Also more savings to customers/sellers then.,1,good_day,/company/Amazon/,SEND PRIVATE MESSAGE,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
3,May 13,Yes exactly plus able to capture more market globally due to payment flexibility,1,nowayyyy,/company/eBay/,Eng,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
4,May 13,We’ve been ditching PayPal starting in 2015.  Keep up.,3,mDBW53,/company/eBay/,Eng,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
5,May 13,😆🤣,1,pypl49wez,/company/PayPal/,SEND PRIVATE MESSAGE,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
6,May 13,1000% 🚀,1,new guy no,/company/PayPal/,SEND PRIVATE MESSAGE,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
7,May 12,They already ditched.,3,sutkcgip,/company/PayPal/,SEND PRIVATE MESSAGE,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
8,May 12,$$$$$$$$$$,3,UOhK72,/company/PayPal/,SEND PRIVATE MESSAGE,/post/eBay-ditching-Paypal-Why-CkDbThp3,eBay
0,Apr 26,"eBay will easily pay you north of $250k + sign-on, if your interview goes well. Don't listen to these people who are telling you to not join yet they are still working here.",3,ebay-bey,/company/eBay/,SEND PRIVATE MESSAGE,/post/eBay-MTS1-experiences-y0YeJo5N,eBay
1,Apr 29,"@Walmart, favorite co-workers like Jamie, and Jordan?D4bay is talking about CTA, Critical Talent Award. It's given as stocks reward spread over 4 years. I have seen it as much as $160k ($40k/year) worth stocks being given at L26.",0,ebay-bey,/company/eBay/,SEND PRIVATE MESSAGE,/post/eBay-MTS1-experiences-y0YeJo5N,eBay
2,Apr 30,"Thanks for the correction. It’s critical talent and I have seen 200-250K at 27. If you are top performers around 26-27 with 1-2 CTA, you should be around 500-700K RSUs over 4-5 years. That might make it tricky to move to another companies(I was in the same position). You can do ~1M RSU offer if you narrow down to top 1-2% paymaster companies in Bay Area; then it’s no brainer. PS: sometimes it’s not about the TC, but networking and connection which makes it tough to build when we all are remote",0,d4-bay,/company/eBay/,SEND PRIVATE MESSAGE,/post/eBay-MTS1-experiences-y0YeJo5N,eBay
