,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Adobe referral,DwigtS,/company/Dell/,nan,"Dear all, I am looking for help with a referral at Adobe for a strategy role. Happy to share my background and any additional details via DM. Appreciate the help.TC: $260k#adobe",0,6,2021-5-21 17:48:26,/post/Adobe-referral-RDgBijWQ,Adobe
0,Adobe Referral,lpm2021,/company/AT&T/,nan,Hey - I’m looking for a referral at Adobe. Would appreciate any leads. Thanks in advance! #referral,0,15,2021-2-28 00:47:34,/post/Adobe-Referral-Mfd344Vx,Adobe
0,Adobe Referrals,TfGj63,nan,Eng,"Anyone willing to refer to Adobe software engineering opportunities, please dm thanks!#referral",0,5,2021-4-4 10:09:10,/post/Adobe-Referrals-s7sDKVg3,Adobe
0,Adobe referral,iamlegman,nan,nan,Interested in a couple of positions at Adobe. Can someone please refer me?,0,6,2021-4-20 19:13:59,/post/Adobe-referral-RhhLCBzC,Adobe
0,Adobe Referral,fMsQ31,nan,nan,Looking for a referral for Adobe EM positions in Switzerland. I would appreciate any leads. Thank you in advance!,0,3,2021-4-12 07:41:25,/post/Adobe-Referral-HWjxuUiQ,Adobe
0,Adobe referral please!,guavajava,/company/IBM/,nan,Hi 🙋🏻‍♀️ looking to apply to Adobe! Would appreciate the help!#tech #Interview #job,2,8,2021-4-20 04:04:43,/post/Adobe-referral-please-R2sGLgLs,Adobe
0,Adobe Referrals,oypQ48,nan,nan,Looking for a referral for Adobe Senior Data Science positions in San Fransico Bay Area. I have multiple positions that I feel are a good match for me.  I would appreciate any leads. Thank you in advance!,0,1,2021-5-12 17:06:20,/post/Adobe-Referrals-GX2wGZSj,Adobe
0,Adobe referral ,UkfJ15,/company/Amazon/,nan,Hello blinders! I found a position at Adobe that matches my skills and I was wondering if I could get a referral please!Thank you,2,4,2021-3-10 02:17:06,/post/Adobe-referral-NkxYgsyG,Adobe
0,Adobe referral ,UkfJ15,/company/Amazon/,nan,Hello blinders! Could I please get a referral for a job I found at Adobe which aligns with my skills?Thanks in advance!,0,4,2021-3-11 22:02:41,/post/Adobe-referral-pPHXHdT5,Adobe
0,Adobe Referrals,oypQ48,nan,nan,Looking for a referral for Adobe Senior Data Science positions in San Fransico Bay Area. I have multiple positions that I feel are a good match for me.  I would appreciate any leads. Thank you in advance!,0,1,2021-5-12 17:02:18,/post/Adobe-Referrals-m6NQWB1E,Adobe
0,Adobe referral,INNA36,/company/eBay/,nan,Need help with Adobe India referral. Please reply if anybody can refer.,0,2,2021-3-23 14:51:46,/post/Adobe-referral-001fuTYh,Adobe
0,Adobe interview timeline,x‎,/company/IBM/,nan,"Do any Adobe people know what the normal interview timeline is from application -> offer for Adobe, or any other info related to their timeline?Thanks!tc 125yoe 0.5",0,13,2021-4-12 22:06:54,/post/Adobe-interview-timeline-MdQGe5ek,Adobe
0,Adobe Referral,rkGz15,/company/Amdocs/,nan,Can anyone help with Adobe referral? Trying to apply for Software Engineer role,1,1,2021-4-6 17:31:21,/post/Adobe-Referral-YnZP1GN8,Adobe
0,Adobe referral ,Bffc88,nan,nan,"Hi, I am coming from the top school with publications and high GPA. Please let me know if you would be willing to offer referral? Thank you",2,3,2021-3-20 23:32:06,/post/Adobe-referral-jNUCCpmK,Adobe
