,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Amazon PIP and FMLA queries,basan,nan,nan,"Hi Everyone,I am placed on pip at Amazon and it will end sometime next month. I'm planning to take FMLA leave.- Will my pip get paused after the leave starts?- does FMLA gets inspected once we are back after the leaves?- As I'm on F1 visa, will these leaves get counted under my unemployment days or will this leave in any way affect my interview or offer from other employer.- Am I supposed to update my manager or HR about my FMLA either now or after it's approval?YOE: 1.5+Please help #pip #amazon #sde #fmla",6,21,2021-5-20 04:35:09,/post/Amazon-PIP-and-FMLA-queries-3oGfPYS3,Amazon
0,Understanding Amazon PIP,phoenix88,/company/Amazon/,nan,Does a PIP really mean I suck at my job? My Forte reviews and feedback used to be quite good until I changed teams and suddenly everything started going downhill. Does it mean I really am not performing according to Amazon standards? It was my confidence to work in any team that brought me to this team in the first place. I see my peers progressing without any real trouble and I've just been trying to please my manager for the last year and a half but he's had issues with everything I have done and continues to do so. I'm on a PIP now and certainly on my way out..without really anywhere to go to.TC - 🥜🥜YoE - 11#amazon#amazonp#dataanalytics,5,7,2021-5-18 21:37:39,/post/Understanding-Amazon-PIP-cjRTwtzH,Amazon
0,Amazon vs Microsoft (India),aes1024,/company/Media.net/,Eng,"Ok now time for final showdown. Here are the numbersCurrent TC: 32Base + 5 BonusAmazon SDE2 TC: 34Base + 11JB First year and 7 JB Second Year. + 15RsuAverage: 45L per year.Microsoft SDE2 L61 TC: 25Base + 5+5 JB for 2 years + 50K$ stock for 4 years + 10-20% BonusAverage TC: 40L per year. Might be a cliff after 2 years.YoE: 2ySome other points to note. 1. Microsoft unwilling to negotiate. Seems they want anyone for the role and experience till now has been unprofessional. TC is significantly a joke, where definitely they can give more on stocks at this level. 2. Amazon surprisingly extremely professional experience. Hiring manager is going above the way to want me and keeps checking in with me. The team is a very new team working in IoT related technologies so very low on-call load. Manager seems to like me a lot since day 1 as he had reached out to me himself and got me into the interview pipeline.What do you do here. Looking for sound advice. I fear PiP in Amazon but I had an open discussion with the manager on this and he said you are the last one that should be worried about this. Manager seems way too cool for Amazon standards. Also in the future have plans to move abroad, manager said Seattle move is possible if you want it post a year.Would love some sound advice. Thanks Blind community. #engineering #software #sde2",11,103,2021-5-12 06:59:35,/post/Amazon-vs-Microsoft-India-THQfrHyh,Amazon
0,Amazon PIP/Pivot sucks,pivotsucks,/company/Amazon/,nan,"I got Pivot option at Amazon.I was on dev plan for past 4 month - did everything right still got put in pivot.they took 2 month to evaluate the dev plan decisionThe new deliverable is so tight n shitty none of the existing devs would pass that, so I opted to quitBasically I would be out of job with no offers in hand right now, what is the best way to tell the recruiters why am I leaving this job?Mentally I think this is the right choice given the amount of bs i have put up with below par managers and the shitty support i have got in these 2 years.years at Amazon -2total - 3",6,24,2021-4-28 13:42:21,/post/Amazon-PIPPivot-sucks-gZVz8U2y,Amazon
0,Amazon PIP process,Jef Zebos,/company/Amazon/,nan,How exactly does Amazon PIP process work?I am keen to understand.TC: 300KYOE: 13 years,6,14,2021-5-11 06:09:40,/post/Amazon-PIP-process-e6cB7dMK,Amazon
0,Amazon PIP and FMLA,Ugpe62,/company/Amazon/,nan,"HiI am in PIP at Amazon. I am working on improvement plan and meeting deadlines so far. However, my manager told me that the feedback he received is unfortunately not good. I guess after 3 weeks, I will fail PIP. And I am very nervous about it.My question is: If I go on FMLA, will it stop the clock on PIP plan? I want to go on FMLA, prepare for interviews and seek another job. And then come back to restart the PIP plan for 3 weeks. Is that possible?",3,14,2021-4-21 22:10:46,/post/Amazon-PIP-and-FMLA-Rh33ES1i,Amazon
0,Amazon PIP nightmare ,BLVxd,/company/Apple/,nan,Had a nightmare last night that it was my first day at Amazon and my coworkers assigned me work with a finish date of the next day. Manager refused to meet with me until I finished all assigned work in the first few months. Apparently I was also downgraded by quite a few levels even before starting.I have never worked at Amazon and I blame this entirely on reading too much Blind.,34,7,2021-4-17 22:00:17,/post/Amazon-PIP-nightmare-Nh5KHuhD,Amazon
0,Amazon PIP Severance Amount? ,okaybuddy,/company/Amazon/,nan,"Say you get a PIP offer.... how much is the payout?I’ve heard it’s 1 week of salary for every year of tenure, with minimum of 1 month. Is that true?Can’t find the real numbers anywhere.In the example I gave, it doesn’t change until you hit your fifth year. Doesn’t seem right.",3,10,2021-4-29 01:19:15,/post/Amazon-PIP-Severance-Amount-MpgC61K7,Amazon
0,Amazon PIP ,mNrG01,/company/EY/,nan,Which level within Amazon is less prone to PIP,2,10,2021-5-10 15:35:01,/post/Amazon-PIP-cgibjwLk,Amazon
0,After story of Amazon PIP survivors,bootcampe,/company/Facebook/,nan,"For the rare folks who beat the Amazon PIP plan, how were you informed that you successful completed the plan deliverables? Was it informed to you by manager only or in a meeting with HR as well? Any suggestions/preparation we should do before the discussion in the final meeting? Do they recommend future steps?What was the impact on your career especially regarding promo timelines and future opportunities?#tech #amazon #pip",11,11,2021-5-7 01:47:37,/post/After-story-of-Amazon-PIP-survivors-oqCLxf3m,Amazon
0,Amazon DE II,OzBr00,/company/Deloitte/,nan,"I started Interviewing with Amazon for Seattle position since this week. It is with the marketplace group.I got through my screening , Next week is my virtual onsite. Just wanted to grab few tips. Further to add, I am slightly worried about amazon PIP's culture. Can anyone please give few some positive news on it.Thank you   #data #amazon #dataengineerinterview",2,7,2021-5-19 19:59:11,/post/Amazon-DE-II-2JyoKtHz,Amazon
0,Is Amazon PIP culture really that bad? Read this!,butterbee,/company/Paytm/,nan,"Paytm has started a URA around 5% in 2019-2020 and onwards, put forward from senior HR leaders hired recently. Confirmed in Townhall by founder.People were laid off during height of pandemic as they *fell* into lower end of bell curve. Some people I heard were laid off just because the management chain doesn't like them.No one knew when the new firing system came.Atleast, I think Amazon managers give signals to employees that they would be let go soon so they can prepare accordingly via some programs which I read here like Focus, PIP etc.In Paytm, the situation was you were working (some on weekends) and the next day you got mail that you have been fired and all access revoked, just like that. All this during height of  pandemic. Senior people were rewarded with ESOPs to the tune of several crores.They later gave them 2 months severance, though, maybe after seeing other startups going over and above to reduce stress transferred to employees.Yeah, I know that it can't beat the Uber firings in a 4 minute Zoom call.Just wanted to know if Amazon fire culture is really that bad as portrayed here on Blind.All the details are in public domain news websites. Curious souls can 🔍.Not gonna share TC and YOE, as I don't feel it's relevant.",11,30,2021-5-9 07:15:49,/post/Is-Amazon-PIP-culture-really-that-bad-Read-this-DCrC4Z01,Amazon
0,"Amazon PiP, what is the process?",Ugpe62,/company/Amazon/,nan,"Hi I got piped recently. I was shocked as I was not expecting it. My manager did not tell me that I am no dev plan, he simply gave me a feedback and asked me to improve on few points few months back. When I asked him, why I was not given an early warning, he claimed that he did when we gave me feedback few months back and has been guiding me on weekly basis. In hindsight, when I recall all the talks, I feel I was setup for being piped.Is this the normal process at Amazon to pip an employee without warning? Or was my manager suppose to give me an early warning? #amazon",9,24,2021-3-13 05:11:26,/post/Amazon-PiP-what-is-the-process-3RCmUtD8,Amazon
0,Why no law suit on Amazon PIP,JwDU40,/company/Capital-One/,nan,"Can no one on PIP sue Amazon using valid reasons? I understand the employment is at-will but there must be some valid reasons Amazon can be sued.There are a lot of cases where the employees are clearly more capable than the managers, say, on credential basis or others. Or maybe the employee is troubled by family or mental issues that they are  going with EEOC or FMLA but retaliated by PIP. Or even any kinds of workplace discrimination on gender or race. You name it....Here is a way I can think of without incurring too much time or money on your own. Seeking legal help on contingency basis such that the lawyer can split from your settlement after winning the case rather than you pay up front on hourly basis or fixed rate.",3,27,2021-5-10 21:24:49,/post/Why-no-law-suit-on-Amazon-PIP-Ykhgkwo0,Amazon
0,Amazon internal transfer issues,ripmeamz,/company/Amazon/,nan,"Hello Blind communityI recently transferred teams. It's been 2 months and I absolutely hate my team. Honestly I've been getting pretty good feedback but I HATE the org and I find myself being really unhappy. People are leaving the org left right and center. The tooling is garbage, the codebase is just an impenetrable mess with a ton of tribal knowledge that isn't easily accessible.  A teammate of mine joined in Jan and I found out he left last month. I found a team and manager willing to take me so I informed my manager. He was absolutely not happy. How long would it take a manager to put me on the devlist or pip? I am very worried they might try to block my transfer or even worse force me out with pip.TC: 205k#amazon #amazoninternaltransfer",0,10,2021-5-21 23:56:27,/post/Amazon-internal-transfer-issues-d2y7c5sT,Amazon
0,Amazon PIP timeline,kEfi9Oms,/company/Amazon/,nan,"I am currently working 12 hours a day. My manager micromanages me every minute of my life. I had my PTO on Monday and he texted me on my personal cell phone asking for the status of the current project I am working on so he could update his manager. Two people on my team was PIP'ed recently, one last year in Sep and one in Feb. This sounds weird, but I am planning on taking my WLB back. I am planning on working 8 hours a day and if I can't deliver something by the deadline, so be it. If I get PIP'd, how much time do I have to look for a new job?TC: 230kYOE: 3 (1 at Amazon)P.S. anyone hiring with good WLB? willing to take a pay cut.",6,20,2021-3-25 01:41:10,/post/Amazon-PIP-timeline-i6jeAHQD,Amazon
0,All Amazon-pip hate aside ,mitochondr,/company/Amazon/,Eng,"Goes out to all ex, current, incoming and future Amazon employees.What are some thing’s we should be grateful of? What are the things we can leverage while here? What did you wish you knew/learnt before you left?",6,14,2021-3-28 11:01:36,/post/All-Amazon-pip-hate-aside-xE2bPRYX,Amazon
0,Can we have an Amazon PIP free day ?,LewK62,/company/Verifone/,nan,"Are you guys ignoring Amazon recruiter the way I am doing?Due to the recent info from (Thanks to fellow Amazonians), now I don't even consider Amazon as an option AT ALL.UPDATE : Friday 9th April, and yet another thread I can already see about Amazon PIP and press release !!Not only people should boycott their employment, people should stop buying things from them.. I don't know about you.. but I am NOT going to do any single transaction with AMAZON.. its so bad.. that they treat people this shit.. WTF!! #Amazon..",25,28,2021-4-8 21:17:26,/post/Can-we-have-an-Amazon-PIP-free-day-aELs33ru,Amazon
