,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Apple ICT3 offer,cooperBoy,/company/MathWorks/,nan,"Finally got an offer from Apple for a Software Test Engineer in Cupertino. Here's the breakdown of the offer,YOE: 3Base: 150kStocks: 140k over 4 years Joining bonus: 25kRelocation: 10kWhat do you guys think about the offer?",1,20,2021-5-12 01:51:42,/post/Apple-ICT3-offer-TQeLVR8D,Apple
0,Apple ICT3 Offer,NOdM60,nan,nan,"Base 125kStocks 175k over 4 yearsSigning 50kLocation is Cupertino, CA.Interview was very strong.How much can I ask for? 0.5 yoe",4,16,2021-5-8 00:22:09,/post/Apple-ICT3-Offer-scvXkU1d,Apple
0,Apple ICT3 vs Google L3,sj8HN,nan,nan,"Received these two offers and I'm curious what folks think. I have 1 yoe.Apple ICT3, NYCTC: 210 + 50 signingGoogle L3, KirklandTC: 180 + 50 signingImportant to me: Interesting work, career progression, TC progressionLess important: WLBLocation wise, I like NYC more than Kirkland but I think I could live with either choice.",2,31,2021-5-9 19:46:37,/post/Apple-ICT3-vs-Google-L3-DFuk412a,Apple
0,Apple ICT4,Qjrf86,/company/KPMG/,nan,What TC should I expect for ICT4 level in Bay Area? Interviews went well and received positive feedback from the team and recruiter. While I don’t have the offer yet can’t help but think what numbers are fair for this level. Does Apple change TC numbers based on the location (Bay Area vs Austin)?YOE: 7Role: Technical Program ManagerOrg: IS&T —> IT Governance and Planning,0,25,2021-3-22 23:49:07,/post/Apple-ICT4-NB5oQaoi,Apple
0,“Misogynistic” Apple hire ousted hours after employee petition calling for his removal ,@richbrian,/company/LinkedIn/,nan,https://www.theverge.com/2021/5/12/22433437/apple-hire-antonio-garcia-martinez-out-petition-investigation,14,129,2021-5-13 19:30:35,/post/Misogynistic”-Apple-hire-ousted-hours-after-employee-petition-calling-for-his-removal-GMA6NDK0,Apple
0,Apple intern -> full time conversion rate?,OOkN16,nan,nan,I’m an incoming ML SWE intern at Apple for the summer looking to convert it to full time after graduation. What’s the intern -> full time conversion rate? How easy/hard is it to convert to full time?,4,7,2021-5-6 22:36:17,/post/Apple-intern--gt-full-time-conversion-rate-SxXhMqyC,Apple
0,Apple ICT3 Austin Compensation,rSfR27,/company/Capital-One/,Eng,"Hi all,Does anyone know what the compensation range (base, bonus, equity, refreshers) is for an ICT3 software engineer in Austin?Thanks #engineering #software #swe",3,8,2021-5-11 00:32:34,/post/Apple-ICT3-Austin-Compensation-Le1sYsMt,Apple
0,Chime vs Apple Internship,lchard-yes,/company/Continental/,nan,"Based on current and future trends/outlook, which company would benefit in the long term? This will be my last internship. Thanks!(No not Amazon Chime lmao)Tc: 0 bc intern 🙃#chime #apple#internship#offer#stock#Swe",1,3,2021-3-5 16:41:26,/post/Chime-vs-Apple-Internship-USG84OoM,Apple
0,‘Misogynistic’ Apple hire is out hours after employees call for investigation,bejeezos,/company/Amazon/,nan,https://www.theverge.com/2021/5/12/22433437/apple-hire-antonio-garcia-martinez-out-petition-investigation,12,48,2021-5-13 06:33:12,/post/‘Misogynistic-Apple-hire-is-out-hours-after-employees-call-for-investigation-fuA6HnHq,Apple
0,Facebook E5 vs Google L4 vs Apple ICT4,XPXf55,nan,nan,"Hey All, I've got my first offers from FAANG companies and I'm having trouble deciding as they are all overall great companies.I have a few concerns about each which I was hoping people could shed light on.Facebook: poor WLB. high expectations leading to competitive, toxic cultureGoogle: mostly worried about not being able to work on something interesting (starting off in CorpEng). also the level is lower compared to FB and Apple (although not necessarily a bad thing if I exceed expectations and get career momentum)Apple: Perks are not as good as FB/Google. seems like limited internal mobility outside the specific org you get put in (i got into the Apply Pay org).I should also note that I will be NYC based for all above positionsTC:Facebook: 345k + 50k sign on bonusGoogle:   345k + 50k sign on bonusApple:    320k + 40k sign on bonusYOE: 7-8*edit*I ended up joining Facebook, mainly because of the level. Thanks all #swe",18,121,2021-3-19 12:26:51,/post/Facebook-E5-vs-Google-L4-vs-Apple-ICT4-mFtiRy6h,Apple
