,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Data Science Contract BOFA,Srdu83,/company/Amazon/,nan,Offer details:Data Scientist (Contract)Bank of America (Atlanta)TC : $80 /hr (no benefits)Graduating with PhD. What do you think about this offer and how is the culture at wlb at BOFA. Thanks,1,16,2021-5-5 00:59:39,/post/Data-Science-Contract-BOFA-iUHHRX5m,Bank-of-America
0,Bank of America - transferring internally and salary caps,KULE43,/company/Bank-of-America/,nan,"Hi,   I currently work at Bank of America and am considering transferring internally from one department to another. Are there salary caps in place for something like this? I had heard a rumor some time back that when you transfer they can cap how much of a salary increase you get. Is this true and if so, what's the increased amount capped at? Is it 20%? Thanks!#salary #internalmobility #finance",0,29,2021-5-6 16:04:52,/post/Bank-of-America---transferring-internally-and-salary-caps-JNNL1WPJ,Bank-of-America
0,How is Bank of America (US) interview?,VQuO67,/company/Amazon/,nan,#swe #engineering #softwareIs it heavily leetcode based or more of a conversational style? Are they doing virtual onsite these days? Thanks!,0,9,2021-2-27 20:31:39,/post/How-is-Bank-of-America-US-interview-Miy7E4Po,Bank-of-America
0,What is the average Wall Street bonus for VP SWE ?,TuTV21,/company/Kasisto/,nan,What is the average Wall Street bonus for VP SWE ?Specifically Bank of America.Location- NYC,1,5,2021-5-22 12:54:46,/post/What-is-the-average-Wall-Street-bonus-for-VP-SWE-w6GDvKGU,Bank-of-America
0,Looking for referral,boab,nan,nan,"Looking for referral at PepsiCo, Bank of America, Liberty Mutual, Allstate, Statefarm etc #e-commerce #retail",1,4,2021-5-22 02:43:42,/post/Looking-for-referral-kWvbSDMA,Bank-of-America
0,Need lenders quickly with rates < 3.00% Bay Area,Escroe,/company/NVIDIA/,nan,"Hi Blind!We just got into contract for our first ever home in Santa Clara (price is $1,950,000)I need lenders ASAP (close in 30 days), already have approvals from Wells Fargo, Chase and BoA.Rates are not ao great:BoA 3.125%Chase 3.125%Wells Fargo: 3%Any reputable lenders that can beat these AND close in 30 days? Really appreciate any help!#mortgage #housingTC 275k",1,31,2021-4-16 22:41:10,/post/Need-lenders-quickly-with-rates-lt-300-Bay-Area-qr0AwQbO,Bank-of-America
0,Referrals needed,Banking1,nan,nan,"Looking for referrals for Non tech roles at Bank of America, State Farm, JP Morgan, PepsiCo, Liberty Mutual, Capital One etc.#referral #nontech",0,11,2021-5-3 00:02:09,/post/Referrals-needed-BDzthn1F,Bank-of-America
0,I140 withdrawal,KoUp30,/company/Bank-of-America/,nan,Does bank of america withdraw i140 after you leave ? Anyone faced this ?,1,5,2021-5-4 14:59:46,/post/I140-withdrawal-Vb3NnN87,Bank-of-America
0,Quant Strats at BB,IsPj04,nan,nan,"Anyone know the typical Tc (and breakdown) for a Quant Strategy Group Analyst/Associate at BBs (Bank of America, GS, JPM, etc)?",0,6,2021-5-12 02:39:30,/post/Quant-Strats-at-BB-Yn6ZSKgi,Bank-of-America
0,2020 Year End Bonus at State Street,oFgn48,/company/State-Street/,nan,"I see a lot of JPM, GS and BofA folks sharing their year end numbers. Thought of starting a State Street thread.#finance #quant #statestreet",1,24,2021-3-5 06:53:44,/post/2020-Year-End-Bonus-at-State-Street-ewh5FWJB,Bank-of-America
