,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Capgemini Australia ,XeeW68,/company/Deloitte/,nan,"Hi,Is 178000  AUD base a realistic expectation for Senior Manager role at Capgemini Australia ( Sydney based role). Also, how long does it typically takes to get promoted to a Associate Director from SM for lateral hires.",1,2,2021-3-8 06:12:44,/post/Capgemini-Australia-dASoE22Y,Capgemini
0,Confused between Amazon and Capgemini Job Offers,Patty01,/company/Capgemini/,nan,"I recently got a job offer from Amazon as a Data Engineer for L4 position and I currently work as a Data Engineer at Capgemini in Atlanta. I am really confused to choose between these two companies considering below points. I request you to please help me to make a wise decision. Thanks in advance.YOE: 5 YearsCapgemini - Atlanta Current TC : 85k Hiked TC(After Amazon offer in hand and negotiation) : 135kAmazon - SeattleOffered TC(Including stocks and bonus) : 160kNote: Unmarried, 28 years old. #tech #Amazon #Capgemini #JobOffer #Relocation #AmazonOffer #dataengineerinterview #dataengineer#techindustry#Datascience#InformationTechnology",1,6,2021-3-24 20:44:09,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-xFrk2Std,Capgemini
0,Confused between Amazon and Capgemini Job Offers,Patty01,/company/Capgemini/,nan,"I recently got a job offer from Amazon as a Data Engineer for L4 position and I currently work as a Data Engineer at Capgemini in Atlanta. I am really confused to choose between these two companies considering below points. I request you to please help me to make a wise decision. Thanks in advance.YOE: 5 YearsCapgemini - Atlanta Current TC : 85k Hiked TC(After Amazon offer in hand and negotiation) : 135kAmazon - SeattleOffered TC(Including stocks and bonus) : 160kNote: Unmarried, 28 years old. #tech #Amazon #Capgemini #JobOffer #Relocation #AmazonOffer #dataengineerinterview #dataengineer#techindustry#InformationTechnology",1,6,2021-3-24 20:47:43,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-BXKFm468,Capgemini
0,Confused between Amazon and Capgemini Job Offers,Patty01,/company/Capgemini/,nan,"I recently got a job offer from Amazon as a Data Engineer for L4 position and I currently work as a Data Engineer at Capgemini in Atlanta. I am really confused to choose between these two companies considering below points. I request you to please help me to make a wise decision. Thanks in advance.YOE: 5 YearsCapgemini - Atlanta Current TC : 85k Hiked TC(After Amazon offer in hand and negotiation) : 135kAmazon - SeattleOffered TC(Including stocks and bonus) : 160kNote: Unmarried, 28 years old. #tech #Amazon #Capgemini #JobOffer #Relocation #AmazonOffer #dataengineerinterview #dataengineer#techindustry",0,6,2021-3-24 20:37:37,/post/Confused-between-Amazon-and-Capgemini-Job-Offers-WApL6Ozt,Capgemini
0,Evaluate my offer (India) and Suggestion,dDKeAr0573,/company/PwC/,Eng,"Asking for a friend in India5 Offers, 4-year Exp - Java Developer1.) Kelton Tech ~ 15 L2.) Tata Business HUB ~ 11L3.) Capgemini ~ 12L4.) Accenture5.) SAP Labs - Waiting for compAny reviews on the company to join and work culture.Current TC ~ 9L",1,15,2021-5-20 14:40:26,/post/Evaluate-my-offer-India-and-Suggestion-xOH7YfWy,Capgemini
0,Can I get $130k @ Accenture? (4 YOE),WbhH24,nan,nan,"Was reached out to by a recruiter @ Accenture for a Data Strategy Consultant within the Applied Intelligence practice (?).  Good phone screen, next interview is next week.My background is 4 YOE developing integrations and automations at Capgemini for our Adobe partnership. Due to dynamics of our team, we get to wear multiple hats, so have spent the last 4 years supporting the entire process from sales through delivery.Wanted to get into FAANG SWE, but since my experience has skewed mostly enterprise SaaS/consulting - I cannot get past the data structures and algs.I just got a $130k verbal from Adobe to do the exact same thing I’m doing now (current TC $85k) but for their professional services team instead.I would rather go for Accenture - I think it’s be a better learning opportunity and chance to develop myself, but can I get near $130k at Accenture? Location is Dallas. #accenture #consulting #capgemini #adobe #dallas #finance",2,33,2021-5-8 00:36:37,/post/Can-I-get-130k-@-Accenture-4-YOE-wPV1qofE,Capgemini
0,Leadership at WITCH,karts6123,/company/Lyft/,nan,"Keeping it an open ended question.How can leadership be defined at WITCH ?Wipro, Infosys, TCS, Capgemini, HCL ???#tech #witch #tcs #wipro #infosys",4,12,2021-2-26 04:18:37,/post/Leadership-at-WITCH-wMisbxQi,Capgemini
0,Consulting job vs. fintech job for a career in tech,Userani,nan,R&D,"Hi all,I am user researcher trying to transition into the IT industry here in the UK. A few days ago I received a job offer from Capgemini and I accepted, but now it turns out that I it seems I will receive another job offer from Wise (ex-Transferwise). My goal has always been to transition into the tech product world, so I'm wondering which position would be better for that. Capgemini is a consulting company in IT, and Wise is fintech. Both positions would pay roughly the same (around 75K British pounds), but I hope someone can give me some advice for on what you would do given the choice.#tech #fintech #capgemini #Wise #transferwise",2,6,2021-4-23 09:38:39,/post/Consulting-job-vs-fintech-job-for-a-career-in-tech-ZRV8gB4p,Capgemini
0,What does it take to get a referral for a job at FAANG?,bitwiseNOT,/company/Capgemini/,nan,"I am currently a software engineer with less than a YOE at Capgemini.I have a strong knowledge of Data Structures, Algorithms and General Programming Fundamentals. I have also graduated with an Engineer's Degree with the highest GPA in my school.How can I get a referral to work at a FAANG company when I don't know anyone that works there?#referral",1,10,2021-5-14 20:18:38,/post/What-does-it-take-to-get-a-referral-for-a-job-at-FAANG-xeCpuYFb,Capgemini
0,Looking for tech referrals (3.5 YOE in IT Consulting),WbhH24,nan,nan,3.5 YOE IT Consulting (Capgemini) building software integrations and automations using cloud/IPaaS solutions.disclaimer: my current role is not pure SWE (skews more business than technical) which is the reason I’ve had trouble interviewing to SWE roles. Looking for roles that are hybrid business/technical. Been grinding LC/HR to try and get ahead.#square #stripe #plaid #microsoft #facebook #netflix #apple #salesforce,1,13,2021-4-29 12:50:53,/post/Looking-for-tech-referrals-35-YOE-in-IT-Consulting-ZTuGWXwk,Capgemini
0,A pathway to FAANG?,Userani,nan,R&D,"Hi all,For the past 3 months I've been applying to different tech companies. I landed interviews at Facebook, Amazon, Spotify and a couple of other startups. Even though I have over 8 years of experience in applied research and a Ph.D. I could not land a job. A few of them literally said in their feedback ""we are looking for someone who has more experience in tech.""A few weeks ago I got a job offer at Capgemini. I was offered a pretty good salary coming from the world of marketing research, a nice title, and a good benefits package. I accepted it, but I'd love to get a position at a FAANG company. I've heard mixed opinions on Capgemini, but I think I can use it as a springboard for future positions in the tech world.So, I guess my question is, do you think this is a good pathway to positions in those companies in the future? What should my strategy should be? #tech #FAANG #Capgemini",4,8,2021-3-30 22:02:35,/post/A-pathway-to-FAANG-vu0HnxPy,Capgemini
0,Refer Please..,BrownMunde,/company/Tech-Mahindra/,nan,"Hi all, Actively looking for a job in Support Project management, Project cordinator, ITIL Consultant Change , MIM, Problem Management. Ready for any locationtotal & relevant experience : 12+ yearsPast exp is from Accenture(&gt1), Capgemini(10 years), TechMahindra (2 Years)",0,3,2021-5-3 07:39:21,/post/Refer-Please-YP3H1ujg,Capgemini
0,"Referrals Software Engineer roles (Microsoft, Intel, Cisco, LinkedIn, Salesforce, similar...)",MJZnlbGcFgg1,/company/Epicor/,nan,"Please help with referrals to tech companies for Software Engineer roles, Microsoft, Intel, Cisco, LinkedIn, Deloitte & similar.I got into on-sites of Google, Facebook & Amazon. Recruiters of other companies didn't help or reply.Also open to Apple & Oracle, but I heard they froze international hiring.Thank you very much!#Microsoft #Intel #Cognizant #Capgemini #Ernst&Young #Cisco #Mvt #Deloitte #Linkedin #Nvidia #Qualcomm #Oracle #Salesforce.Com #accenture #JpmorganChase #Paypal #Adobe #OathHoldings #Kforce #IhServices #Wipro #Wayfair #Tesla #Bloomberg #Epam #IBM #Visa #Lyft #Twitter #Sap #Uber #Servicenow #Hexaware #Zillow #GoldmanSachs #engineering #software #swe",1,19,2021-5-8 18:40:21,/post/Referrals-Software-Engineer-roles-Microsoft-Intel-Cisco-LinkedIn-Salesforce-similar-kvzSQo1D,Capgemini
0,"3 months to prep for AWS SDE 2, what should I do?",WbhH24,nan,nan,"Got emailed for SDE 2 role @ AWS SMS - told recruiter that I did not feel ready and needed 2-3 months to prepare, recruiter says not a problem and to reconnect when I'm ready.So, I have 3 months to learn prep for SDE 2. What should I do? I've already started on LC but don't really know how to devise a study plan for DSA.Current TC: $75k4 YoE @ IT Consulting [Capgemini]Only my 1st YoE was true software development, the last 3 YoE have been around serverless SaaS integrations [so Lambda/AZ Functions].This role could really be life changing for a variety of reasons. Do I have a chance?  #tech #amazon #aws #software",4,20,2021-5-13 00:58:37,/post/3-months-to-prep-for-AWS-SDE-2-what-should-I-do-QmYBVdZo,Capgemini
0,Companies in Netherlands offering up to 50% travel?,jackofnone,/company/Capgemini/,IT,"I work at Capgemini right now, have been in tech consulting for about 11 years. Working in a Cloud Solutions Architect role now.Looking to move to a company which offers 25-50% travel (2 weeks in a month kinda thing). The obvious candidates are MBB, but along with being insanely hard to get into, they offer about 80% travel combined with insane working hours. Looking for something less hectic, but still offering travel opportunities once or twice a month. In all other tech consulting companies like accenture, travel highly depends on which project you are in, so something like accenture, EY or deloitte is not necessarily better than Capgemini, thats my line of thought.Any ideas?TC: 100kYoE: 11 years#Travel #Netherlands #amsterdam",0,7,2021-4-5 10:07:45,/post/Companies-in-Netherlands-offering-up-to-50-travel-oTVupHi0,Capgemini
