,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Capital One Offer thoughts?,2am,/company/Wells-Fargo/,nan,"Title: Software Engineer, Senior AssociateLocation: NYCBase: $135,500Sign on bonus: 10KAnniversary Bonus: 5KI have 4yoe and just completing an M. Eng in CS#capitalone #tech",4,37,2021-5-21 02:05:22,/post/Capital-One-Offer-thoughts-UCfFaJFs,Capital-One
0,Capital One Offer Evaluation,BsxB62,nan,nan,"I got an offer for Master Software Engineer. I actually passed the power day last year for the future openings. But when there was an opening, a hiring manager was not interested in my profile, so I was not selected. I didn't get any offer last year due to no openings.This year I need to re-start application except online assessment because it's been a year. I passed the power day last week and it was easy for me because I already passed it last year. This time there is a team that likes my profile.There should be pros and cons on this new C1's hiring process (getting into the pool and picked out of it later). I think I experienced one of cons. =)Here is my initial offer.Base: $155KBonus Range: $0 ~ $26.4KSign on Bonus: $10KLocation: ChicagoYOE: 10+-- UpdatedThank you for all of your advices!Final Offer:Base: $163KSign on Bonus: $15K #capitalone",0,25,2021-3-5 21:13:54,/post/Capital-One-Offer-Evaluation-PgUZrQGV,Capital-One
0,Capital one SWE Senior Manager offer ,pbog,/company/Oracle/,nan,Offer details: Base: $195Ksign on: $25k Bonus: $25k - $50KIs this the best capitalone can offer ? Please advice.Current TC: 240KLocation: Nova ,1,27,2021-4-23 00:58:20,/post/Capital-one-SWE-Senior-Manager-offer-F2TkN823,Capital-One
0,Capital one data science manager salary,tAkN56,nan,nan,I am interviewing for the role of manager of data science at the capital one bank. Does anybody know what the salary range for such a role is and if the company offers any stock options. Thanks!#dataanalytics #datascience #data,0,1,2021-3-29 18:38:19,/post/Capital-one-data-science-manager-salary-hvucoGvm,Capital-One
0,"What’s the salary of Capital One Director, Analytics?",bakerto,/company/PayPal/,nan,"What’s the salary range of Capital One Director, Analytics?",0,4,2021-2-23 18:06:24,/post/Whats-the-salary-of-Capital-One-Director-Analytics-z5GvdUdr,Capital-One
0,roast my tc,UUGN34,/company/Capital-One/,nan,"Hello blind. I am an engineer at capital one financial corporation, America’s oldest fintech startup. 1 YOE (mostly clicking buttons in Jenkins). I make 90-110k. Please roast/ belittle my salary and me on a personal level to fire me up to leetcode and prep for faang. Weather too nice, have gf, and been slacking off lately.#tech #google #facebook #apple #uber #capitalone",8,26,2021-5-21 21:03:42,/post/roast-my-tc-kBzMj15b,Capital-One
0,How is Capital One able to hire SWEs in SF?,secretcube,/company/Dropbox/,nan,"I interviewed at Capital One for a software eng role, got an offer for a software architect position across two teams, which is a slightly higher level of responsibility than my current role. Interviews went great, interviewers were people I think I'd enjoy working with, hiring manager meeting went well too.Then I got the offer with TC of <$200k. My current TC is $500k+ (no stock appreciation... we don't have that at Dropbox), and none of my other offers are even remotely in the $200k ballpark. Even pre-series-A startups offered cash salary greater than this (and they offered equity on top of course).How does Capital One hire anybody in SF with this kind of pay? #CapitalOne",10,33,2021-5-13 06:45:06,/post/How-is-Capital-One-able-to-hire-SWEs-in-SF-6cuWiOVW,Capital-One
0,California vs Washington: Capital gains tax,PfrI37,/company/Microsoft/,nan,Is there an additional state tax on long term capital gains in CA or capital gain tax is same in both the states? Thinking about moving from WA to CA and not sure if only base salary will be subject to more tax or capital gains will also be taxed more.,2,15,2021-3-29 15:02:59,/post/California-vs-Washington-Capital-gains-tax-rdWtnAbn,Capital-One
0,TDP @ Capital One,TDzY75,/company/Amazon/,nan,"I have accepted an offer to work as a TDP at Plano, TX office instead of McLean, Virgina.I heard it’s the better office.Any thoughts, concerns, or advice any current/former TDP/Capital One Software Engineer wants to provide??How is Plano ?How is WLB?How high are the performance expectations?Thanks.Starting Salary: about 99K + bonus #software #swe #engineering",2,40,2021-4-5 08:59:20,/post/TDP-@-Capital-One-2gVvqCve,Capital-One
0,Dreadfully boring role at Capital One,Esteroth,/company/Fannie-Mae/,nan,"So I took a new role at Capital One, the pay was about 130k total, 125k salary, 5k bonus. Much higher than what I earned previously at my old company, but the work is dreadfully uninteresting, almost no coding. Pay is more or less the best part about this job so far. Now I'm happy with my current salary, and I'd be fine to stick around Capital One and move to a better team when I get the chance, but I'm not sure when that chance would happen. I'm currently 5 months in into my current role, and from what I'm thinking I won't learn much during my time with this team, also terrible wlb. For those in Capital One, when is the earliest I should push to switch teams. The other option could be to just leave during the year mark, like start leetcoding again, and start looking 2 months before my one year. More or less I want to stay in the dmv since I own a house here, and have a partner. Was at my old role for 3 years btw, low pay but I learned alot.Area: DMVYOE: 3.5Comp: 130k#capitalone",1,9,2021-4-24 01:08:34,/post/Dreadfully-boring-role-at-Capital-One-aHGwBgUo,Capital-One
