,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Cerner layoffs,fgdgdddgh,/company/Amazon/,nan,Heard many people let go recently. What’s going on? I thought they were doing well.,4,8,2019-9-10 11:53:35,/post/Cerner-layoffs-fpBstDpN,Cerner
0,Cerner- wfh Missouri vs Kansas ? ,not@cerner,/company/Cerner/,nan,@cerner family : My family lives in Kansas but we work in Missouri. I heard we could get money back from Missouri (tax return) for not going into work for the majority of the past year. Has anyone done this ? What is the process like ?#taxes #missouri #Kansas #wfh #cerner #cernercorporation #cernercompensation #irs #cpa,0,4,2021-5-3 15:31:02,/post/Cerner--wfh-Missouri-vs-Kansas-T8vyWfhd,Cerner
0,Cerner Employees: what is it like working for cerner?,GTMm30,/company/Accenture/,nan,Thinking I may relocate to Kansas Bc of personal reasons and I’m considering cernerHow would you rateWlb and culture since I already know the pay is not good at all lol.,0,16,2019-2-21 01:32:07,/post/Cerner-Employees-what-is-it-like-working-for-cerner-XxGX6dg8,Cerner
0,Cerner referral,bugMonkey,/company/Cognizant/,nan,I found a suitable role at Cerner and was wondering if someone who works there would refer me.I can pass on my resume and other details if need be.YOE : 3 yearsLeetCode : 350+GPA : 4.0#leetcode #cerner #cernercorporation #cernerhiring #cernerreferral #help #refer #referral #newgrad #career #softwareengineer,0,15,2020-2-2 17:32:57,/post/Cerner-referral-BuNhVHKm,Cerner
0,Cerner pays 68K for SWE? WTF?!,MegaM,/company/Amazon/,nan,"I got the return offer from Amazon with 140k+, and an offer from a startup with 135k+ and an offer from Microsoft with 170k+. Last week, I was offer 68k at Cerner. After negotiating, they bumped up to 70k and 2k signing bonus. I was told it’s an exceptional offer. WTF?! What’s wrong with these people?",15,41,2018-10-24 02:32:28,/post/Cerner-pays-68K-for-SWE-WTF-CRQPt75z,Cerner
0,Interview at Cerner,Gp3g,/company/MathWorks/,nan,I have interview with Cerner for senior software engineer position. What should I expect. I was told there will be 3 rounds.YOE :3Location : Pennsylvania#hiring #recruiting #interviews #cerner#TechIndustry #jobopening #softwareengineer,0,1,2021-1-8 22:12:33,/post/Interview-at-Cerner-0ez70USS,Cerner
0,Cerner or Epic?,6’0 Indian,/company/Amazon/,nan,In the health IT,4,2,2018-11-30 06:24:44,/post/Cerner-or-Epic-sK38tPRB,Cerner
0,Microsoft Azure at Cerner,PEAk33,/company/Cerner/,nan,I am currently working as a consultant at cerner but leaning towards new role within cerner cloud team. I have Administrator Associate certification in MS Azure.Looking to know about the team and what is it like to be cloud Engineer or architect. How much actual work cerner does in azure.,2,6,2019-8-17 17:16:19,/post/Microsoft-Azure-at-Cerner-Refpvpw5,Cerner
0,"Day1 CPT at Walmart, Cerner and Intel",hKuL70,/company/Fedex/,nan,"Hello Blind community, you’ve been super helpful always! #Does Intel, Walmart and Cerner take interviews of candidates who are on Day1 CPT ?Do they allow employees to keep working on Day1 CPT if employees are not picked in 3 lottery attempts of OPT ?I have an interview scheduled. Please advice if I should mention it to HR.What other companies allow working on Day1 CPT ?Thanks#stemopt",0,11,2021-3-18 17:40:05,/post/Day1-CPT-at-Walmart-Cerner-and-Intel-yHxW1v3Y,Cerner
0,Cognizant v cerner,eseQ24,nan,nan,Considering work at either company. Which is the better place to work?,0,15,2019-1-25 23:12:41,/post/Cognizant-v-cerner-YUgpyaeO,Cerner
