,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Cisco Offer,Sarathy133,nan,nan,"I got an offer from Cisco for grade G10.Base - 175KBonus - 15%RSUs - 150K / 4 YearsSign on - 30KLocation: Milpitas, CAIs this a good offer? Years of Experience 12 Years #tech",1,11,2021-5-10 15:48:35,/post/Cisco-Offer-MCoto0Y7,Cisco
0,Cisco offer ,aUUp51,/company/TriNet/,nan,Got a cisco offer for grade 8 software engineer. master's studentyoe: 8 monthsbase: 145kbonus:12%stocks:50k/4 yearsno sign on bonus. Please do comment about the offer. Can I negotiate? #cisco #offer #2021 #cisco #softwareengineer,2,8,2021-5-7 04:16:18,/post/Cisco-offer-5JbwFvhy,Cisco
0,Cisco Offer,vLCm17,/company/Samsung/,nan,Got an offer from cisco for G10 level.Base - 28 LPAVariable Bonus - 4 LPARSUs - $25k vested 4 yearsJoining - 3LCan someone please guide about cisco base compensation at G10 level,2,14,2021-5-2 21:11:26,/post/Cisco-Offer-apAO3uUB,Cisco
0,Cisco offer,jj25,/company/Hewlett-Packard-Enterprise/,nan,Got an offer from cisco for G11 level.Base - $185kVariable Bonus - 15%RSUs - $180k vested 4 yearsJoining Bonus- $40kYOE: 8Can someone please guide me about cisco compensation at G11 level? Is this a decent offer?  #ciscocareers,2,9,2021-5-7 04:51:47,/post/Cisco-offer-7kw6W1ok,Cisco
0,Cisco offer ,xoxo2021,/company/Intel/,nan,Base: 170kBonus: 15%Sign on bonus: 30kStock bonus: 90k over 4 yrsGrade 10 offerPhd with 4.5 yoeHardware positionAny advice/suggestions,1,15,2021-4-16 03:28:17,/post/Cisco-offer-nEf5BHt8,Cisco
0,Cisco Offer,bem20,/company/GE/,Eng,Is this a good offer?Base: 145kBonus: 12%Sign on bonus: 22kStock bonus: 100k over 4 yrsGrade 8 offerDiploma with 10 yoeSoftware Engineer #cisco,1,8,2021-4-16 22:02:40,/post/Cisco-Offer-cnethTFu,Cisco
0,Cisco Offer,yaFx85,/company/Cisco/,nan,"Hello ,I got a Cisco Offer for G6 :Location Poland Gross pay :108000 PLNHow far can I negotiate this ?YOE :3",1,3,2021-5-5 22:33:32,/post/Cisco-Offer-uxkLc1sB,Cisco
0,Cisco interview process,OrMB72,/company/Cisco/,nan,"Hi Guys ,I work with Cisco / but as a contractor "" vendor "" , anyway I got an interview for Cisco Poland , I did really well in the tech interview and went into a Hiring manager interview and got positive feedback on both but did not get an offer yet!how much time it might take to get offer or a rejection , the status on the job site still interview and  it have been a week since the hiring manager interview.#cisco #hiring",1,7,2021-4-7 12:40:20,/post/Cisco-interview-process-OYTYGSAP,Cisco
0,Cisco offer,cguy72,/company/Microsoft/,nan,"Received an offer from Cisco, was reviewing others here and the all reference G8 - G13 but mine indicates Grade Level 089, any ideas what that is?It a Principal Engineer role.",4,4,2021-4-13 12:47:21,/post/Cisco-offer-ouFSwHkD,Cisco
0,Cisco Interview Response,NXFc27,/company/Deloitte/,nan,Had multiple rounds with Cisco (7 interviews). My final round was 2 weeks back but have not heard back from HR after two follow ups. I put in significant effort and at least expect the firm to not put candidates in limbo. Is this typical Cisco? Should I assume that I am rejected pretty much?,3,5,2021-3-27 01:28:12,/post/Cisco-Interview-Response-NYRfcsNU,Cisco
0,Cisco Interview - application status,a2009v,nan,nan,"I had applied for a SE position at Cisco on Feb 21, 2021 and had 2 rounds of interviews. The last round was on March 17. I haven't heard back from them yet and now the job id has been moved to ""closed jobs"" in the portal. Does that mean I am rejected? Please help me with this. I am on F1-OPT and in need of a job!! I have been ghosted by recruiters a couple of times and this is really depressing. #software #engineering #interview",2,9,2021-3-24 14:24:54,/post/Cisco-Interview---application-status-APCV2G7K,Cisco
0,Will rejecting Cisco offer blacklist me?,Owuq53,nan,nan,"I just accepted a role in Cisco. If somehow I want to reject, will they blacklist me from future openings? I want my options to be open though. I haven’t yet resigned from my current organization. Not sure if I should join Cisco. Mig unit. What shall I tell Cisco for rejecting the role? Am I being unprofessional here? I am still thinking to reject since I am getting good stocks in current company and expecting a good hike in a month.#offer #ciscocareers",0,11,2021-3-25 10:33:39,/post/Will-rejecting-Cisco-offer-blacklist-me-4Wchm7VD,Cisco
0,Cisco New Grad Offer Evaluation,18BlmRmF,/company/McMaster-Carr/,Eng,"Hi Blind I've got an offer from Cisco (Ottawa) for Embedded Software. Not really sure if I want to take it though because I've read mixed things on Cisco, especially for new grads. I'm not particularly interested in networking but ultimately my goal is FAANG so not sure if I should just stick it out for a few months and try to go from there since Cisco is a pretty big company.I've also got an interview coming up for a firmware role at a 3D Printing startup which I'm quite interested in. Only thing is no guaranteed offer and salary is going to be less than Cisco.Offer is for grade 4: Base: 80k CAD RSU: 20k USD/4 Yrs One time 6,153.85 relocation allowance #swe #software #offer #cisco",0,6,2021-5-19 19:00:11,/post/Cisco-New-Grad-Offer-Evaluation-ewyQz3rY,Cisco
0,Cisco meraki offer eval ,tizensta,/company/Samsung/,Eng,Recruiter shared below numbers for g10 software engineer roleYoe - 9Base - 195kBonus - 15%RSUs - 130k vested over 4 yearsJoining bonus - 30kTC - 257kDo you think there is any scope for negotiation?,3,7,2021-5-22 07:13:37,/post/Cisco-meraki-offer-eval-BRdVn380,Cisco
0,Cisco Webex offer Eval - Signed,JSR-,/company/Broadcom/,R&D,"My partner recieved a verbal offer from Cisco for one of their highly visible products. Role - Senior (No grade details yet) ---> G10 Base - 190k Sign on   - 30k  ---> 50k RSU 100k/4 years --> 140k/4years Bonus :- 15% Bay Area YOE - 7Recruiter hinted that this is the best they  can offer , Can she ask for 160-200k RSU?Current TC - 180k (F5 Networks)",3,19,2021-5-2 19:32:03,/post/Cisco-Webex-offer-Eval---Signed-dtcZKqAr,Cisco
0,AWS vs Cisco grad offer - which one?,WXhc52,/company/Adobe/,nan,I received 2 offers with similar TC (~$100k) for a fresh college grad role1. AWSTech U programTechnical Account Manager$100k TC2. CiscoCSAP programAssociate Systems Engineer$100k TCcurrent TC: $60kYOE: 0(Non US),1,20,2021-5-4 02:51:36,/post/AWS-vs-Cisco-grad-offer---which-one-bKbFBMr2,Cisco
0,Cisco VS Qualcomm offer (NEED ADVICE!!!),FWtd28,/company/Cadence-Design-Systems/,nan,"Hello Blind community!I need some help as I have only 1 yoe and I am looking for someone's suggestions!I  started working at Cisco's Wireless networking group as a software engineer. I have been working at cisco for about 3 weeks. I like my manager and everyone is really friendly and I like my job profile as well!The issue is I also got an offer from Qualcomm as a performance and architect engineer in Santa Clara and the compensation is also higher!I wanted to ask about the pros and cons of both the companies.Another issue Cisco filed for my H1b yesterday and there are immigration related things to take care as well. Qualcomm said they'll do the paperwork as well and that I shouldn't worry about that! But cisco has already filled the paperwork for me yesterday!!TC at Cisco: 123k base, 10k sign on bonus, 5% bonusTC at Qualcomm: 145k base, 30k sign on bonus and  60k stocks vested over 3 years. ( Location: Santa Clara)Any suggestions would be helpful, would it be bad if I leave cisco so soon and I am not sure if it would be advised to leave a company so soon? What are the consequences?Also, I don't know how to even start a conversation with my current manager as he is a really nice person!!Thanks!!#tech #money #offer #h1b #career #layoff",2,27,2021-3-11 02:42:53,/post/Cisco-VS-Qualcomm-offer-NEED-ADVICE-gefFRoGD,Cisco
0,Cisco internship offer,vrhw74,/company/Apple/,nan,"Posting on behalf of a friend. My friend gave an internship interview at Cisco and dint receive any response for at-least 4 weeks. Out of nowhere my friend received an email from Cisco asking some personal details and which laptop model is preferred. Also, the status of application in portal shows “finalist”.Does that mean a internship offer will be given in future ? Please suggest.#engineering #software #swe #Cisco #internship",1,7,2021-3-22 19:37:08,/post/Cisco-internship-offer-BPkvFfdz,Cisco
0,Cisco new grad interviews,MKro44,/company/Leidos/,nan,How many rounds of interviews can I expect for a new grad software engineer role?#cisco #ciscocareers #swe,1,4,2021-4-16 15:17:51,/post/Cisco-new-grad-interviews-SPvBWFCj,Cisco
0,Data engineer interview with Cisco ,vikramjay,nan,nan,Hi I Have A Data Engineer Initial Interview With Cisco With a data Architect Currently Working In Cisco. Can Someone Let Me Know what kind of questions to expect. area of interest in job description is customer experience,0,0,2021-3-3 21:31:01,/post/Data-engineer-interview-with-Cisco-1qCBZCUN,Cisco
0,Cisco SBG group offer range,OUjq48,nan,nan,Compliance manager.Base: 190k - 220kBonus:15%RSUs: 130k/4How is it?#cybersecurity #security,0,12,2021-3-6 20:01:59,/post/Cisco-SBG-group-offer-range-6o2OEe3y,Cisco
0,Cisco umbrella EM interview process ,star21,/company/Barracuda/,nan,Will it be leetcode for EM or system design only?,0,0,2021-4-29 21:21:37,/post/Cisco-umbrella-EM-interview-process-2FtvEeuT,Cisco
