,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Credit Suisse - UBS Merger?,qygrx8,/company/Goldman-Sachs/,nan,https://www.financemagnates.com/institutional-forex/ubs-and-credit-suisse-might-merge-as-one-entity/Any insights?,2,10,2020-9-14 17:48:20,/post/Credit-Suisse---UBS-Merger-jHPy5c19,Credit-Suisse
0,Jane Street Vs Credit Suisse,wOri32,nan,Eng,I am 1 year experienced. Which firm I should be more inclined keeping following factors:- work environment- compensation- skills acquired that may be useful to other domains just beside financeI have applied as a Software Dev. I already qualified 2 rounds of both the companies.Other companies I am interviewing with Uber and Google.,5,13,2018-12-20 16:14:00,/post/Jane-Street-Vs-Credit-Suisse-4OfgmoEq,Credit-Suisse
0,Credit Suisse Poland,dragod07,/company/Uber/,nan,How's the work culture at Credit Suisse Poland? What would be the starting package for the role of AVP in technology with 10 years of experience in software development? #creditsuisse #europe #poland #career #tech,0,2,2020-4-11 15:58:56,/post/Credit-Suisse-Poland-Y5UZKRB2,Credit-Suisse
0,Credit Suisse or Lazard?,GXxeRq,/company/EY/,nan,Is it worth choosing Credit Suisse over Lazard because it's BB?,0,2,2020-1-9 15:50:04,/post/Credit-Suisse-or-Lazard-iZwEiPqE,Credit-Suisse
0,Credit Suisse India Referral,garuda020,/company/Johnson-Controls/,Project,"Hello kind people,I've recently relocated to India after working in the states for 13 years as a technical project and a technical product manager. Now I'm actively looking for a job here. I found a role that is, on paper, perfect for my profile. Hence can someone please help me with a referral? Thank you!#tech #referral #layoffs #creditsuisse",0,8,2020-10-31 04:11:03,/post/Credit-Suisse-India-Referral-JN7Y8Kke,Credit-Suisse
0,Global coding challenge credit suisse,VOLf04,nan,nan,I recently participated in the global coding challenge hosted by credit suisse and achieved a good rank. I was wondering whether credit suisse hires participants for their US office! How many do they tend to hire?,0,0,2020-11-11 17:47:16,/post/Global-coding-challenge-credit-suisse-riYM02sX,Credit-Suisse
0,Credit Suisse SRI division,fWcT33,/company/Visa/,nan,"Hi all,Anyone have any insights into CS's newly formed SRI (sustainability, research and investment solutions) team? Specifically curious about how that group is performing and what the go-forward strategy of the group? Got pinged recently.",3,0,2020-11-18 01:37:26,/post/Credit-Suisse-SRI-division-7Y3xvujk,Credit-Suisse
0,Looking for a Credit Suisse referral,yuyw33,nan,nan,"Looking for a Credit Suisse referral :) Aiming for  Structuring or trading role, would also like some advice!",0,1,2019-10-8 10:23:28,/post/Looking-for-a-Credit-Suisse-referral-5sa6DX2m,Credit-Suisse
0,Looking for HR contact in Credit Suisse,tzMq16,/company/Microsoft/,nan,"Hello everyone,Does anyone have an e-mail of any HR or technical support in Credit Suisse?My job application on their portal has broken and gives me errors whatever I try to do. I have tried clearing cache, changing browser, changing PC.The error message asks me to contact technical support, but there is a null instead of e-mail!I couldn’t find a single contact of technical support or HR support. There is even no Contact Us form on the website, only postal address of the ombudsman. So, I am stuck at this ridiculous error...",1,1,2019-3-7 11:37:38,/post/Looking-for-HR-contact-in-Credit-Suisse-zS1idUBB,Credit-Suisse
0,Looking for credit suisse India referral,garuda020,/company/Johnson-Controls/,Project,"Hello all,Can someone please provide me with a referral to credit suisse india? Thank you#referral #creditsuisse #tech",0,0,2020-10-29 18:35:49,/post/Looking-for-credit-suisse-India-referral-CRYT8EoY,Credit-Suisse
0,Contact me for Credit Suisse tech referrals,JVvu44,/company/Credit-Suisse/,nan,#CreditSuisse #CS #referral,0,2,2020-7-1 16:42:16,/post/Contact-me-for-Credit-Suisse-tech-referrals-rrCPz6EL,Credit-Suisse
0,"Referral needed for Citadel, Credit Suisse, De Shaw, Hudson River Trading, & Akuna Capital.",gandhi👴,nan,Eng,"Hey fellow blinders!I have come across openings for SWE Intern at Citadel, CS, and HRT for the fall and highly interested in applying for them.I've a strong DSA background, and already hold an offer from PayPal for the fall and in HC round with Facebook.- GPA: 3.96/4.0- LC: 276+- Have a strong background in open source, and contributed to few organizations in the past.Can someone working at any of the above firms can help me, I can assure you that I'll try my best to get the offer and won't let your referral go waste. I can share the other details in DM, if you're open for it.Thanks!😃** NO HATE PLEASE **#citadel #creditsuisse #hudsonrivertrading #akunacapital #facebook #paypal",6,16,2020-7-7 15:08:20,/post/Referral-needed-for-Citadel-Credit-Suisse-De-Shaw-Hudson-River-Trading-Akuna-Capital-6rOJJ0wn,Credit-Suisse
0,"Had two rounds of interview for a role at Credit Suisse. Typically for a Sr Developer, how many rounds do they go for? A",FcMI20,/company/Bank-of-America/,IT,#raleigh #creditsuisse,0,6,2021-5-5 02:57:20,/post/Had-two-rounds-of-interview-for-a-role-at-Credit-Suisse-Typically-for-a-Sr-Developer-how-many-rounds-do-they-go-for-A-ycnF85q6,Credit-Suisse
