,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Deutsche Bank layoffs,Corres,nan,nan,"Sorry to hear about the job cuts. Deutsche Bank folks, how did it go? Were the layoffs at least conducted respectfully?",1,2,2019-7-10 18:41:41,/post/Deutsche-Bank-layoffs-fbv8MX2P,Deutsche-Bank
0,Deutsche Bank,Corres,nan,nan,Was wondering what the offices at 60 Wall Street look like. All empty? Or is anyone still working there?,1,1,2019-10-31 14:57:54,/post/Deutsche-Bank-kwDhtdLn,Deutsche-Bank
0,Deutsche Bank return to office,cvbnh,/company/Deutsche-Bank/,nan,"Hello Deutsche Bank US employees, any update on the July return to office? Are we still targeting July?",0,7,2021-4-5 19:09:20,/post/Deutsche-Bank-return-to-office-EBakD5Ga,Deutsche-Bank
0,Deutsche Bank offer help,Wiliewonka,nan,nan,"People working at Deutsche Bank, how are layoffs and work culture this year? Does it make sense to join at this time? Specifically Audit, Risk and Compliance functions in US. Thanks in advance.@deutschebank @deutsche",1,9,2020-7-29 23:19:26,/post/Deutsche-Bank-offer-help-FBtVmfjU,Deutsche-Bank
0,"Deutsche Bank slashes 18,000 jobs",Raging,/company/AIG/,Product,"Deutsche Bank Slashes 18,000 Jobs in $8.3 Billion Overhaulhttps://www.bloomberg.com/news/articles/2019-07-07/deutsche-bank-launches-major-overhaul-with-8-3-billion-chargesIn 2008, a public policy decision was made to screw financial services sector. Nationalist boundaries didn't help.Deutsche Bank was fined to launder money through Moscow, London and NYC offices via Equity trading. LOL.Poll: Will you buy/sell/shortsell Deutsche Bank stock?",1,2,2019-7-7 20:52:43,/post/Deutsche-Bank-slashes-18000-jobs-H3U74waR,Deutsche-Bank
0,Referral at Deutsche Bank,GhEv15,/company/Collins-Aerospace/,nan,"Saw an interesting position, would appreciate a referral for it.ECE graduate, 300 LC. Let’s get you that referral bonus😅Tc- 90kYOE - 2",1,9,2021-4-1 19:40:06,/post/Referral-at-Deutsche-Bank-sTPL2Hfy,Deutsche-Bank
0,Offer from Deutsche Bank India,Jqyd64,/company/Deloitte/,nan,I got a offer from Deutsche Bank India for Python developer. Need suggestions if it's good time to change job? And is Deutsche Bank safe to work with?#engineer #it #deutschebank #deutschebanklayoff,2,7,2020-6-24 17:22:26,/post/Offer-from-Deutsche-Bank-India-oeXMctg8,Deutsche-Bank
0,Deutsche Bank Work Culture,Wiliewonka,nan,nan,"People working at Deutsche Bank, how are layoffs and work culture this year? Does it make sense to join at this time? Specifically Audit, Risk and Compliance functions in US.@deutschebank @deutsche",0,0,2020-7-26 16:07:15,/post/Deutsche-Bank-Work-Culture-4p5bJBGJ,Deutsche-Bank
0,Deutsche Bank Folks - how you holding up?,mksd,/company/Goldman-Sachs/,Data,"Read today somewhere that they are voting on a new plan that could lead to as many as 20,000 layoffs and shutting businesses in US.Source: https://www.nytimes.com/2019/07/05/business/dealbook/deutsche-bank-turnaround.html",2,19,2019-7-5 10:31:11,/post/Deutsche-Bank-Folks---how-you-holding-up-nMLxuqPy,Deutsche-Bank
0,Deutsche Bank Java Developer Interview,kYQo08,/company/Western-Union/,nan,"Does db ask LC easy, medium, hard.Glassdoor reviews shows just language specific questions and concepts.I have interview for Java Developer in New York.@Deutsche Bank #interview",0,5,2020-6-27 20:47:58,/post/Deutsche-Bank-Java-Developer-Interview-X8aqSpY2,Deutsche-Bank
0,How bad is this Deutsche Bank situation,stallion80,/company/Morgan-Stanley/,IT,"For folks here in the Northeast corridor, is this pure restructuring or something more fundamental going on in the job market ?",1,6,2019-7-8 16:23:14,/post/How-bad-is-this-Deutsche-Bank-situation-WAjVnuoH,Deutsche-Bank
0,Deutsche Bank COMP/BONUS,PYNl60,/company/Deutsche-Bank/,nan,#deutschebank #bonus What do you guys think of the comp day?,1,1,2020-3-5 21:35:18,/post/Deutsche-Bank-COMPBONUS-42TT8pp7,Deutsche-Bank
0,Referral at Deutsche Bank,GhEv15,/company/Collins-Aerospace/,nan,Can anyone help me out with a referral here? ThanksTc - 90k,1,2,2021-2-21 17:07:31,/post/Referral-at-Deutsche-Bank-oprK7ecx,Deutsche-Bank
0,Deutsche Bank Assistant Vice President New York Salaries,WillRise,nan,nan,"Pending offer with Deutsche Bank for AVP Data Analyst Compliance, can someone provide some insights about salary or TC? #deutschebank #deutschebankcompensation",0,12,2020-5-21 00:54:04,/post/Deutsche-Bank-Assistant-Vice-President-New-York-Salaries-8j8cpRXN,Deutsche-Bank
0,Looking for a Referral in Deutsche Bank,uVNF23,nan,nan,I applied to Microsoft Exchange position in Deutsch Bank via career portal and got a call from recruiter Brian. He asked me to do follow up after 1 week. But it's more than 3 weeks no update from HR via email or call. Let me know if any one can refer.YOE 13yrs#deutsch #deutschebank #deutschebankinterview #deutschebankhiring #referral,0,4,2020-9-9 07:35:02,/post/Looking-for-a-Referral-in-Deutsche-Bank-rfeBhPV8,Deutsche-Bank
0,Graduate Analyst Career Progress in Deutsche Bank India,jJme38,nan,nan,"For a new grad can someone shed some light on the career growth, TC progress, job security, culture in DBOI, also if you can highlight pros cons of Pune Bangalore officeFor New Grad: they are offering Graduate Analyst, TC INR 19.63lakhs(15 base)",2,14,2021-1-21 17:49:05,/post/Graduate-Analyst-Career-Progress-in-Deutsche-Bank-India-oaMJwiod,Deutsche-Bank
0,"Average AVP salary for compliance role in banks like Barclays, Deutsche and Commerzbank?",icQS75,nan,nan,"6 years of experience, got an offer last week for an AVP role in compliance (middle office). (I'm currently an associate). Looking to renegotiate, but looking for some feedback and some numbers because glassdoor is way too broad.",2,31,2020-10-1 21:23:39,/post/Average-AVP-salary-for-compliance-role-in-banks-like-Barclays-Deutsche-and-Commerzbank-Q3RDiRuD,Deutsche-Bank
0,Ebay/Amazon/Deutsche Bank/Visa Relo?,siriuscats,/company/Walmart/,nan,"Good evening,I am being courted by a few companies and wanted to get any information from the Blind community if any offer decent relo or starting bonuses? Would be for managerial roles but unsure levels. Not needing exact figures, but just possible past experience.I hope it's not insensitive to ask during a time like this since many would be happy with even just a job without these added benefits.5 YOE/ $118k (non tech sector)",1,0,2020-3-24 05:05:17,/post/EbayAmazonDeutsche-BankVisa-Relo-jq5eKXp8,Deutsche-Bank
0,GTB Strats division at deutsche bank,Daiyusha,/company/Citi/,Product,"How good is that division. I am expecting an offer as a senior associate - quant developer, at mumbai.Current TC 16 lpaExpected tc 23 lpaYOE - 2.5",2,2,2020-5-21 04:27:31,/post/GTB-Strats-division-at-deutsche-bank-ma00viFN,Deutsche-Bank
0,"Lost job due to Covid: Need Deutsche Bank, Paypal, Stripe references",xaPG46,nan,nan,"Hi, I lost my job in Ireland due to COVID. I came across Data scientist jobs at Deutsche bank (Job ID:R0056950);  Paypal (Job ID: R0053455) and Stripe (Data Scientist, Authentication) for Dublin, Ireland location. Please help with any references.Thanks. #referral #jobs #deutschebank #paypal #paypalcareers #stripe #stripecareers",1,2,2020-5-16 20:32:18,/post/Lost-job-due-to-Covid-Need-Deutsche-Bank-Paypal-Stripe-references-p8SWfko4,Deutsche-Bank
0,Deutsche Bank - Intern - What's average return offer for SWE?,runDov,/company/Bank-of-America/,nan,"I was lucky enough to get an offer for this upcoming summer at Deutsche Bank, and was wondering what's the normal full time return offer for SWE?I'm not sure if I should accept or keep applying to other places. #newgradsalary",3,6,2020-12-8 21:21:56,/post/Deutsche-Bank---Intern---Whats-average-return-offer-for-SWE-KSNq0Yvi,Deutsche-Bank
0,Deutsche Bank Research: Tax home workers 'to help those who cannot',cynical.ly,/company/Facebook/,nan,"Discuss. And no, it will not pay tech workers who choose to work from office. It is to support people whose jobs cannot be performed remotely, like essential workers, factory workers etc.https://www.bbc.com/news/business-54876526#remotework #wfh",0,5,2020-11-12 17:14:23,/post/Deutsche-Bank-Research-Tax-home-workers-to-help-those-who-cannot-vrmYwCe4,Deutsche-Bank
0,Deutsche bank estimates $170 billion will go into the stock market from the $1.9 trillion stimulus ,mandem,/company/UiPath/,nan,Let’s all chill tf out,3,7,2021-2-25 21:16:18,/post/Deutsche-bank-estimates-170-billion-will-go-into-the-stock-market-from-the-19-trillion-stimulus-gqFENrY0,Deutsche-Bank
0,Deutsche is doomed,:-|,/company/Uber/,nan,https://www.cnbc.com/2019/07/07/deutsche-bank-will-exit-its-global-equities-business-and-scale-back-investment-bank.html,35,166,2019-7-7 20:30:54,/post/Deutsche-is-doomed-xTmARfLw,Deutsche-Bank
0,Well-Positioned For A Crisis...🎢📉,VP🥺TC😭,/company/Goldman-Sachs/,Other,"Deutsche Bank Is ""Well-Positioned For A Crisis"", Chairman Sayshttp://finance.trendolizer.com/2018/12/deutsche-bank-is-well-positioned-for-a-crisis-chairman-says.htmlWhat is the deal with this bank?",1,8,2018-12-29 21:14:43,/post/Well-Positioned-For-A-Crisis🎢📉-tXO18POp,Deutsche-Bank
0,News on additional 5% WFH “Privilege” Tax. Thoughts? ,(o)n^n,/company/Oracle/,nan,"Saw this on evening news today. Would Blinders be in favor of this if states like CA, NY proposed this?It taxes “privileged” people who are able to work from home, with the notion that the tax would go to people making less than $30k who have jobs that dont allow them to work from home.https://www.businessinsider.nl/deutsche-bank-calls-for-a-5-privilege-tax-on-people-choosing-to-work-from-home-with-the-money-given-to-low-income-staff/#remotework #wfh #tax #tech",3,248,2020-11-12 02:02:36,/post/News-on-additional-5-WFH-Privilege”-Tax-Thoughts-JuV5iMFN,Deutsche-Bank
0,Best paying Tech in London,trojanh,nan,nan,I am trying to sum up which of the companies in London pay well and dont have a ridiculous hiring bar:- Amazon- Microsoft- Bloomberg- Credit Suisse - Deutsche Bankbonus question: which company is easiest to L1 transfer from UK to US,6,47,2020-1-25 11:09:36,/post/Best-paying-Tech-in-London-ELTbHvHZ,Deutsche-Bank
0,Anyone got a theory on this one?,Big Pun,/company/Microsoft/,nan,"https://www.newsweek.com/2017/12/29/donald-trump-russia-secret-deutsche-bank-753780.htmlTLDR No bank was willing to lend to Trump by 2005 except for Deutsche Bank real estate division which Trump also ended up defaulting on in 2008.But then in 2010, all of a sudden Deutsche Bank private wealth division gave Trump huge loans to pay back the real estate division and then a few hundred million more for more projects.  6 years later Trump runs for presidency.The same Deutsche Bank that got fined for laundering Russian money into New York.Coincidence right?",2,5,2019-1-29 05:42:43,/post/Anyone-got-a-theory-on-this-one-7qHkjt55,Deutsche-Bank
0,Good times offshore,nghtmre,/company/JPMorgan/,Product,https://news.efinancialcareers.com/us-en/3000560/deutsche-bank-share-sale-ban,2,3,2019-3-26 01:27:17,/post/Good-times-offshore-wYGCYpHR,Deutsche-Bank
0,“I assume in any case that the two colleagues will not forget my telephone call”,piv,/company/JPMorgan/,Eng,https://www.cnbc.com/2019/07/11/deutsche-bank-ceo-says-he-disciplined-execs-fi-for-having-1800-suits-fitted-day-of-mass-layoffs.html,1,5,2019-7-12 23:16:26,/post/I-assume-in-any-case-that-the-two-colleagues-will-not-forget-my-telephone-call”-kqOKjnzF,Deutsche-Bank
0,DB tells staff they can wait until mid 2021 to return to office!,w1WEH0,nan,nan,https://www.wsj.com/articles/deutsche-bank-to-tell-u-s-staff-they-can-wait-until-mid-2021-to-return-to-office-11600285400Why can DB do it and not JPM?,9,15,2020-9-16 21:14:05,/post/DB-tells-staff-they-can-wait-until-mid-2021-to-return-to-office-2q0l3mwb,Deutsche-Bank
0,tax for remote workers?,that said,/company/Airbnb/,nan,https://www.businessinsider.com/deutsche-bank-working-from-home-tax-staff-workers-businesses-2020-11i guess we are all too privileged 🙄,0,2,2020-11-13 15:23:48,/post/tax-for-remote-workers-R8GfkA6N,Deutsche-Bank
