,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Doximity low compensation?,uSEi03,/company/Sony-Electronics/,nan,Got an offer at doximity that seems to be low. 115 base plus stock which recruiter said is worth a lot. Do they generally pay below average? What's it like working at doximity? Is it worth the pay cut? Would be great if current and former employees can chime in here. Kind of hating it here at Sony.Current base 125,2,10,2021-4-27 19:53:08,/post/Doximity-low-compensation-Xc8GmGjq,Doximity
0,Doximity,clueles,/company/Microsoft/,nan,"Got an offer from Doximity. Any input about how it is doing, work culture, growth trajectory will be great. Is this a good time to join the company?",0,3,2017-10-23 03:54:55,/post/Doximity-zHdMn4PN,Doximity
0,Doximity PM ,ayXX04,/company/Facebook/,Product,Got an offer here as a PM - does anyone have insights on product growth?,3,9,2019-2-9 20:56:52,/post/Doximity-PM-sfDR0j78,Doximity
0,Doximity Total Comp?,sunupand,/company/LinkedIn/,nan,thinking of applying to Doximity for a software role.I have 5years expierence working with Python.any first hand accounts on what kind of TC an offer might have?Also do they hire engineers that dont know GoLang?TC: 300kYOE: 5,1,3,2019-11-5 05:31:43,/post/Doximity-Total-Comp-3rSqTkYS,Doximity
0,Looking for referral to Zapier/Doximity/Other Remote SWE,typhonics,nan,Eng,New grad this coming year and looking to work remotely as a SWE. Would anyone be willing to give me a referral?YOE: 2 InternshipsTC: 0#Zapier #doximity #coinbase #datadog,2,2,2020-12-1 17:49:11,/post/Looking-for-referral-to-ZapierDoximityOther-Remote-SWE-iGEDWVGM,Doximity
0,What is your base salary as a Sr Data Analyst?,oIyx42,/company/Doximity/,nan,Please answer with city and base salary.Wanted to see the range.Also what is your career progression like after sr data analyst position?Mine is 130K in SF.I don’t work for Doximity anymore btw,0,12,2021-1-3 22:49:35,/post/What-is-your-base-salary-as-a-Sr-Data-Analyst-LRUYe1ci,Doximity
0,When is it worth the paycut to move to another company?,oopslol,/company/Autodesk/,nan,"Hey guys,I got referred to doximity for a PM position and the recruiter said the range is '110k-130k maybe 140k'.I currently make 155k at an early stage startup (&lt30 people).Assuming I get an offer from Doximity,  I could be potentially taking a 15k paycut. What would you guys use to assess the two opportunities?Some notes..Current job:- Leadership is micromanagy- Only real PM on the team (no mentorship/skillshare)- 10 days PTO (no annual rollover, it's shitty)- Some number of equity that doesn't really mean anything right now- Hours are weird. I work with India devs from 9-11pm some nights on top of 10am-3pm normally. - Health insurance is meh, I'm on my wife's plan because it's better- Will prob WFH after COVID ends-155k baseDoximity (from what I understand):- Better PM culture/work culture overall- 'Unlimited PTO' - which I heard is more like 3 weeks- 140k base, top end, it sounds like- some 5k bonus?- Equity- Sounds like back to the office after COVID? WFH a few days before per glassdoor- Free food- Annual offsite- Sabbatical - Parental leave (want to have a kid in the next few years)- 401k matching- normal 9-5Any thoughts/tips?",2,24,2020-10-30 23:03:40,/post/When-is-it-worth-the-paycut-to-move-to-another-company-H16wzsQU,Doximity
0,Culture at Circle CI,oIyx42,/company/Doximity/,nan,How is the culture like at Circle CI?Are they mostly remote?How is the pay?How are they doing in the market?I have an interview with them and assuming the culture and work to be pretty similar with what I do at Doximity. We are SF based wit 70% engineers being remote#circleci,1,3,2020-8-16 16:23:52,/post/Culture-at-Circle-CI-3L43p8Pp,Doximity
0,"Uber, Airbnb, Dropbox, Houzz, etc marked down by T. Rowe Price",pintastic,/company/Pinterest/,nan,T. Rowe Price marked a bunch of companies downUber 6%Airbnb 6%Dropbox 16% (59% down from 2014 round)Cloudera 37%Plex Systems 33%Upwork 29%MongoDB 23%Lookout 16%Flipkart 15%Apptio 15%Houzz 12%Warby Parker 11%Doximity 11%Evernote series 1 shares 75%,9,14,2016-4-19 16:55:14,/post/Uber-Airbnb-Dropbox-Houzz-etc-marked-down-by-T-Rowe-Price-3qWqUeEG,Doximity
0,Master List of Company Hiring and Layoff Status During #COVID-19,Ihdx83,/company/2U/,Eng,"IF YOU'VE BEEN LAID OFF: there's help with referrals available, see the bottom of this post.Companies still hiring:    Aetna    Amazon    American Family Insurance    Autolist    Bank Of America    BetterHelp    Capital One    Chewy    Cisco (Meraki)    CVS    DataDog    Discord    DoorDash    Doximity    eBay    Facebook    FieldWire    GitHub    Google (Strategic positions only, freeze otherwise)    Heap    Highspot (Seattle office)    IBM    Indeed (mission critical roles only, freeze otherwise)    MongoDB    Noom    Notion    Pinterest    Plaid    Salesforce    SAP    Segment    Spotify    Revolut    Robinhood    Tillys    Tomocredit    Twitter    Unity    Veeva    VMware    WalmartCompanies in Hiring Freeze:    2U    Adobe    Affirm    Air Canada    Blackrock    c3(dot)ai (prevent blind from linking to their site)    CrunchBase    Compass    Digit    Dropbox    Expedia    Fanatics    Fiat Chrysler    Gartner    Google    Groupon    Gusto    Handshake    HereMaps    HPE    IDEO    iHeartMedia    Informatica    Intel    JetBlu    KeepTruckin    LinkedIn    MakeMyTrip    Microsoft    Nextroll    Nordstrom    Oracle    Paytm    Plaid    Rover    Samsara    SeetGeek    Sephora    Sift    Skyscanner    Splunk    Spry Health    Square    Stripe    Tripoto    Uber    Wayfair    Yelp    Zalando    ZillowCompanies rescinding verbal or written offers:    Arista Networks (internships in India reported)    ClassPass    Indeed (some start dates deferred to Q3/offers recinded)    Lever (PM offer rescinded)    Thumbtack    YelpCompanies laying off:    AirBnB (contractors released)    Compass    Gartner    Greenhouse    LendingClub    Lyft    Mya    Nextroll    Opendoor    Redfin    SeatGeek    Sonder    StubHub    TripActions    Uber    World Travel Holdings #covid19 #covid-19 #layoffs #hiring-freeze #we're-hiringThis list is sourced from Blind and Leetcode.  Please comment below if you have a company not on the list and know it's status.  Preference will be given to people actually working at the company.  I'll try to update this list at least daily.If you've been laid off recently @facemask has made a form for referrals here: https://forms.gle/ZGFy5JFeWcDHo6bP6If you'd like to help by referring someone use this spreadsheet: https://bit.ly/referrals4layoffs",66,161,2020-3-24 18:06:47,/post/Master-List-of-Company-Hiring-and-Layoff-Status-During-COVID-19-DVn1uAbo,Doximity
