,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,SDE 1 Flipkart Interview,batMan98,/company/Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale/,nan,What are the main topics to cover in DSA for SDE1 interview at flipkart.?What is the expected level of questions being asked in interviews comparing with leetcode medium/hard ,0,4,2021-5-10 23:33:06,/post/SDE-1-Flipkart-Interview-cs00bv3d,Flipkart
0,Flipkart SRE Interview,VDvG72,nan,nan,Any lead on SRE interview questions what will we best approach to prepare?#tech #sreinterview,1,7,2021-5-17 09:43:18,/post/Flipkart-SRE-Interview-obT3r2fb,Flipkart
0,Flipkart Analytics Lead Interview Prep,alPC46,/company/Anheuser-Busch/,nan,Hi looking for some insights on what the problem solving round entails also any other details on the subsequent rounds?,0,2,2021-5-11 11:47:58,/post/Flipkart-Analytics-Lead-Interview-Prep-XBDf2erN,Flipkart
0,Flipkart sde2 design interview,oClR25,/company/Dell/,nan,I have scheduled design round next week for sde2 at flipkart.Can anybody please help me what kind of question I can expect in design round at flipkart interview.Will it be some object oriented design question or large scale distributed design question?#systemdesign #flipkart,0,4,2021-4-12 10:51:08,/post/Flipkart-sde2-design-interview-o6TZmnmQ,Flipkart
0,Flipkart SDE 1,zindahubas,/company/Oracle/,nan,Giving interview for Flipkart. Already have an offer from another company with TC: 23LPA CTCYoE ~2Is it worth giving? Would flipkart be able to match/offer more than this?What is the Salary range at Flipkart for SDE 1 with ~2 yoe,4,36,2021-4-1 15:51:46,/post/Flipkart-SDE-1-ydbDGNdh,Flipkart
0,Offer evaluation,hnakshdb,nan,nan,"Hi,I am a 2.8 year experience Software engineer working with an online travel company in Gurgaon, I have offers from Adobe and Flipkart india.Adobe-Position- MTS 2Fixed - 20.5 LRSU - 45000 USDJB - 4 LakhPerformance bonus - 1.9 LTotal compensation - 34.5 Lakh for first yearFlipkart-Position - SDE 1 ( interviewed for SDE 2)Fixed - 21 LEsop- 6 lakhPerformance bonus - 2.1 LTotal compensation - 24.5 Lakh per yearAfter Adobe offer Flipkart is ready to match Adobe offer (numbers are in discussion). My current company also want to retain me and they are ready to discuss on the numbers.Please help me with your suggestions.",0,27,2021-4-16 07:38:40,/post/Offer-evaluation-QcNoKMuP,Flipkart
0,Looking for Technical/Program Manager refferal in India,IQRam,/company/Microsoft/,Other,"Currently working as Sr TPM and interviewing at Google, VMWare and OLA.Requesting refferal for TPM/PM or Sr TPM roles.YoE - 7y#microsoft #amazon #flipkart #slack #redhat #oracle #cred #uber #slack #github #gitlab #americanexpress #intel #linkedin #adobe #rubrik #compass #paypal #salesforce #servicenow #walmart #jpmorgan #rippling #intuit #dell #grab #atlassian #expedia #nvidia #paytm #sprinklr #apple #dell #visa #twitter #udaan #goldmansachs #cohesity #airbnb #gojek #phonepe #nutanix #grab",0,6,2021-5-23 22:24:30,/post/Looking-for-TechnicalProgram-Manager-refferal-in-India-jeseAXbY,Flipkart
0,Flipkart or Amzon for SDE-1 role,PreetSWE,nan,nan,"Hi guys, recently I interviewed for both Amazon and Flipkart, got verbal offer from both. I have 9 month of experience in fintech startup, but now I am confused which one to chose because generally they both provide same compensation.So I request to experienced folks please help me out ?",1,32,2021-4-24 05:23:27,/post/Flipkart-or-Amzon-for-SDE-1-role-B1RsWPm0,Flipkart
0,Salary Negotiation at Flipkart,XlKn07,nan,nan,"Selected at Flipkart for SDE 1CTC at current employer :- 18 LPAExperience: ~11 monthsHow much base pay can I negotiate at Flipkart? They offered 18 LPA base pay and 26.57 LPA CTC to inexperienced freshers at my college in my batch (2020 pass outs).Can I ask them base pay somewhere in between 21-25 LPA? I am not very much thrilled about the stocks that they provide. Whats the best I can negotiate in this scenario?I have following points in my favour:- 1. Will have to relocate for Flipkart. Current job is near my home town.2. Currently also going through the On Site interview rounds of Amazon, they are going pretty well and I am confident that it'll be converted but I don't know the compensation they'll provide, moreover, won't be able to hold Flipkart's salary negotiation round till Amazon makes an offer.3. Some industry experience (11 months) in same domain.Please Guide.#salarynegotiation #flipkart #sde",2,15,2021-4-11 07:04:09,/post/Salary-Negotiation-at-Flipkart-n4XbcSHn,Flipkart
0,Evaluating Flipkart Offer,rKbj54,nan,nan,"Got an offer for SDE 1 at flipkart. Currently working at a product based startup in Delhi NCR.Current Exp: 1year 11monthsCurrent CTC: 10 LakhFlipkart :  19.5 base + 1.95 variable (10% bonus) + 6 Lakh stock ( 25% each year for 4 year)From what I've heard from the recruiter this is for the ad-tech team, does anyone have reviews for this team?Also how is this offer for SDE-1, is there a chance to negotiate maybe with a competing offer?Update: Cleared interviews for a gaming startup in a banglore, but dont think I can use this to negotiate flipkart offer as they need a offer letter to match flipkart.",1,4,2021-4-19 14:55:50,/post/Evaluating-Flipkart-Offer-GjgdFQ2r,Flipkart
