,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Goldman Sachs Bonus Question ,8j33l,/company/AlphaSights/,Eng,I have received an offer from Goldman Sachs for software engineer position and the recruiter promised  me 75K bonus. Only base salary is mentioned in the official offer letter. I am skeptical to sign the offer letter. Does the 75K bonus stays every year as long as I meet expectations? Did the bonus decrease or increase for anyone? Can you please share your experience around bonus part of your compensation? Thanks in advance 🙏#Software#Finance#engineering #software #swe#Engineer#investment-bank #goldmansachs#goldmansachsbonus,1,42,2021-5-20 07:29:32,/post/Goldman-Sachs-Bonus-Question-Qm8O46ZN,Goldman-Sachs
0,Goldman Sachs employee survey leaked?, ,/company/Google/,nan,"I knew of some IBD analysts putting in 80/week, but wasn't expecting this!www.wallstreetoasis.com/forums/gs-analyst-survey-results#goldmansachs",82,204,2021-3-20 21:42:26,/post/Goldman-Sachs-employee-survey-leaked-6WoOJt5v,Goldman-Sachs
0,Azure v.s Intuit v.s Goldman Sachs,vp1506,/company/Samsung/,nan,"I have the following offers in hand-Intuit (ProConnect BU)- SE2 (23L base +35k RSU/4 + bonus). TC- 34Goldman Sachs(SPG)- Associate(28L base + 7L bonus not mentioned in the offer, only verbal communication). TC- 35I also want to give a shot at applying to the Azure org at Microsoft. Should I go for it? Which team in Azure should I target?What TC can I expect? What would the WLB be like?Current TC- 21YOE- 3TIA!",1,11,2021-5-22 13:41:04,/post/Azure-vs-Intuit-vs-Goldman-Sachs-z85EVJvm,Goldman-Sachs
0,WLB & TC for SWEs at Goldman Sachs,yUGS17,nan,nan,"Hi,How many hrs a week do you work and what is your TC & YOE?TC: 60k €WBL: 40hrs/weekYOE: 8#GS #goldmansachs #swe #wlb #tc",1,11,2021-5-23 08:02:24,/post/WLB-TC-for-SWEs-at-Goldman-Sachs-JvxFe8qS,Goldman-Sachs
0,Goldman SWEs can’t trade stocks?,quNi37,/company/Facebook/,nan,Do Goldman Software Engineers have restrictions while buying and selling stocks?,3,47,2021-5-4 12:10:08,/post/Goldman-SWEs-cant-trade-stocks-8KWxNoAy,Goldman-Sachs
0,Need help! Got a coderpad interview on phone goldman sachs,FirefoxGuy,/company/Virtusa/,Consultant,"Hey guys,I have an 1 hour 15 min long phone interview schedule with a lead engineer and needed some advice what should I prepare for it.Yoe: 2 years fulltime 1 year as an internTc:🥜engineering #software #swe #goldmansachs",0,26,2021-5-22 21:51:26,/post/Need-help-Got-a-coderpad-interview-on-phone-goldman-sachs-efssABD5,Goldman-Sachs
0,Goldman Sachs Relocation Package,vCfS43,/company/Carfax/,nan,"I received an offer from GS for a role in Dallas. When I asked the recruiter about relocation, he told me that it’s dealt by a different team (Global Mobility Services) and I can only talk after I accept the offer. Is it not part of the offer negotiation? And how much $ do they offer usually?#goldmansachs #relocation",0,25,2021-5-10 22:24:15,/post/Goldman-Sachs-Relocation-Package-8FLN3kGU,Goldman-Sachs
0,Goldman Comp Trends,xc777,/company/Goldman-Sachs/,nan,"Seems like comp is on a flat to downward trajectory all over GS aside from banking/securities, despite great business performance.  DSol creates ROE and pays for Marcus by cutting comp everywhere else to fund.Is this accurate?  Anyone else feel like this is happening?#Goldman #goldmanbonus #goldmansachs #compensation",10,24,2021-4-24 23:57:28,/post/Goldman-Comp-Trends-43NZyzEr,Goldman-Sachs
0,Snap Or Goldman Sachs London? ,JowiZaza,nan,Eng,"Got verbal offer for L4 Snap London. Going to negotiate numbers soon.Currently being considered for Associate at Goldman. WLB at GS team is great. So I heard.Haven’t heard good things about promo @ Snap London. Heard it’s filled with ex Amazonains and stack ranking could be present... aka PIP Culture. It’s also been run by Ex Amazon managers, so you know what that means...TC will probably be around the same.How easy to move to Snap US or GS US?How’s the UK for Indians?Note: Snap London isn’t on par with Snap US in terms of TC & WLB.Which would you choose due to WLB and decent promo?Current TC: 24L",0,58,2021-4-9 19:09:39,/post/Snap-Or-Goldman-Sachs-London-TNgqXA7X,Goldman-Sachs
0,Goldman sachs offer,JCrY33,/company/Fox/,nan,I received a verbal offer from Goldman sachs for a VP position.Location : Dallas TXTC: 300k (190k base + 110k performance bonus)YOE: 11I received a competing offer from a tech startupLocation: RemoteTC: 245k (base + stocks)Update.ZillowLocation: remotePay: 250k (stocks + base)Can anyone at Goldman Sachs please tell me if the bonus component will be consistent every year or will it go down?#goldmanbonus #goldmansachs #goldman,0,14,2021-5-4 10:55:54,/post/Goldman-sachs-offer-uRfdpBAw,Goldman-Sachs
