,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Google TPM technical interview,IQRam,/company/Microsoft/,Consultant,"Hi guys,I've cleared initial 2 screenings of Google. 1 with the HR and another with a senior TPM(Probably hiring manager) and have the 4 interviews scheduled.Can you please help me with what to expect in the technical interview and what to expect in 3 TPM interviews? #google #interviewquestions #tpmgoogle",5,3,2021-5-22 20:11:35,/post/Google-TPM-technical-interview-3BSfuyae,Google
0,Google team match,cakepie,/company/Apple/,nan,Does Google recruiter let the candidate know if the team match is unsuccessful? Has anyone ever been ghosted?,2,23,2021-5-22 23:59:40,/post/Google-team-match-Hn0R8MGa,Google
0,Amazon TPM L6 or Google TPM L4,blry,nan,nan,"I've received offers from both companies but am confused on what to go for.I know Amazon will be a senior role, Seattle (preferred location), but lesser benefits and I'm concerned about the work culture (toxic?). Also, I would also need to wait for my visa to come through before I can migrate and start. Not sure when that'll happen given the pandemic.Google's offer is at a lower level, location is Austin (not preferred location), but I've heard the culture is great and I can start immediately remotely. Also better benefits!I'm based out of Singapore, have 10 YOE fintech experience and really want to start my journey in Tech.Salary wise, I'm able to bring the offers closer together due to competing offers. Amazon is still higherTC at Amazon is 280kTC at Google is 240kAny thoughts on what looks like a better offer?#tpmgoogle #tpm #tpmamazon #googleamazon #offers #competingoffer #google #amazon #compensation ",1,33,2021-5-6 07:18:11,/post/Amazon-TPM-L6-or-Google-TPM-L4-8gMnciSV,Google
0,What is up with Google TPM Interviews?,hsiwp,/company/NCR-Corporation/,nan,"It's been a crazy long and slow process. About 4 months now. Don't know if I just landed a bad recruiter or if this the norm. Done 9 interviews so far. Yes 9 u read that right. 2 telephone earlier easy peasy. Then the 5 onsites. Most of them I aced and got positive feedback minus 1 of the tech interview went wrong cos the SWE guy asked a coding question which I solved but interview got disqualified. Apparently coding questions not allowed for TPm interviews. So I had to do a retake. Well the retake went sour as well, some miscommunication issue. Final retake 9th tech interview. Went so hard on prepping on real system design questions like CAP theorem, consistent hashing, memcached, web sockets, etc. Was super pumped. Only to get there to be asked more & more behavioral questions. Anybody else had horror tech interview stories for TPM? Why is it hard to find right interviewer for TPM system design interview. Are Google TPMs really hands on and technical. How come no one asked me design whatsapp type questions.Top it off my recruiter never reaches back to me on time which drags it out the more. Am on the brink of losing hope and moving on.. arghEdit:Am getting a general sense of some pointers for the delay:- team matching vs Headcount- immigration - pandemic- it's just google- u suck and dropped the ball#tech #google #googletpm #googletpminterview #technicalprogrammanager #tpmgoogle Current TC 120",1,18,2021-5-19 05:00:57,/post/What-is-up-with-Google-TPM-Interviews-H4ZL3zsD,Google
0,Google TPM L5 numbers?,nVRG81,/company/Amazon/,nan,What is a great total comp to ask for a Google TPM L5?Current TC: 150kYOE: 15+,3,8,2021-4-29 06:29:44,/post/Google-TPM-L5-numbers-ow2D0K38,Google
0,Google TPM Prep Help,tripleo,/company/Red-Hat/,nan,"I have a TPM interview coming up with Google soon. Right now I am a technical solution architect without official program management experience. However, I have been responsible for managing many projects unofficially from pre-sales to post-sales services. I feel strongly that I can become good at this position due to my technical background relevant to this role and my general collaboration/organizational skills. However, I can't deny I haven't been a program manager. I am looking for any advice for getting ready for a TPM interview with respect to behavioral questions and questions around the lack of program management skills. #google #googlecloud",1,6,2021-4-24 00:26:29,/post/Google-TPM-Prep-Help-SjDHqFWq,Google
0,Google TPM technical questions ,dbvs,/company/Visa/,nan,"Had any one attended google TPM interview recently? I am being interviewed for their infrastructure and network group and would like to get some idea on what kind of technical questions (system design ,Algorithm )are asked. Any help will be appreciated. This is google onsite interview. I cleared the phone round.",3,4,2021-3-9 02:52:34,/post/Google-TPM-technical-questions-DWrahrde,Google
0,Google TPM interview ,2020mess,/company/HARMAN-International/,nan,Hi Everybody     Can somebody share experience for  a Google TPM interview ?Is there a coding portion ? if yes what level of coding  ?Thanks,2,3,2021-3-26 12:43:05,/post/Google-TPM-interview-UEAWLzqh,Google
0,Google TPM Tech Interview,TsuNaMo,/company/Amazon/,Product,"I'm currently interviewing with Google for TPM role. Wanted to understand what kind of questions are covered during tech assessment round? I've covered system design and technology concepts. Should I also cover data structures and algorithms? What about actual coding? Are TPMs expected to write either working code or even pseudo code? Any pointers would be helpful. So far I've gone through 4 rounds and most of the questions were behavioural, leadership, and case studies around technical judgement.",2,3,2021-3-23 16:01:50,/post/Google-TPM-Tech-Interview-SK220k5X,Google
0,Google Team Match ,ubfe35,/company/Deloitte/,nan,Cleared onsite - positive feedback but no team matched in 2 monthsWhat happens if we are unable to match a team and  are told that we will reach back out when new headcount opens up? Does Google reach back out?How frequently should we check in with the recruiter in a situation like this?#google #teammatch #tech,1,19,2021-5-14 16:40:45,/post/Google-Team-Match-KmUptN8p,Google
0,Google TPM interview,FNWG22,/company/Oracle/,nan,I had my phone interview with google and got back a raving call from the recruiter. They said I even have a specific team persueing me which is extremely unusual at this stage and the most glowing feedback they had gotten. Is this unusual? What should I expect for next steps. They said they would jump straight to the onsite with the specific team sometime in April.,0,4,2021-3-6 02:35:44,/post/Google-TPM-interview-DvUvEt4E,Google
0,About Google team matching,akSL29,/company/Amazon/,nan,"I see many people stuck at team matching phase at Google and many people not ending up finding anything. Why is that, at a company as big as Google? Are people too picky? If I'm okay with working for any team, any location why wouldn't I find a team?",4,29,2021-5-13 01:48:11,/post/About-Google-team-matching-Uzv4hNgs,Google
