,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,"HSBC cuts 35,000 jobs",rYmkMu,/company/Goldman-Sachs/,nan,"Any HSBC users? HSBC has so much prestige in Asia, why do you think it's failed in the North American market?https://www.npr.org/2020/02/18/807007300/banking-giant-hsbc-to-cut-35-000-jobs-amid-restructuring",43,192,2020-2-20 00:20:41,/post/HSBC-cuts-35000-jobs-AO6dnsNP,HSBC
0,HSBC office life,mfguy,/company/HSBC/,nan,"I sooo hate my company, my job , my managers , they are all soooooooo shit, showing,pretending that they care but turning backs at moment of truth  I am from RBWM arm of HSBC , I really feel like killing myself cuz of this job . The politics in the team played by our managers, they provide 0 positive reinforcement ,moreover it feels like why is everyone pointing at us , even though we have worked hard for these shits, #officelife #workplace #culture #HSBC",3,6,2020-12-21 03:35:19,/post/HSBC-office-life-VfYvNPZE,HSBC
0,HSBC Mortgage,YBjl12,/company/Verizon/,nan,Anyone here with Home loan from HSBC? I am getting best rate from them for Refinance. How has been your exp with them?edited * PM me if interested  - I got 3.375% with Citibank relationship,0,15,2019-8-7 15:23:15,/post/HSBC-Mortgage-VbOeJsuz,HSBC
0,HSBC UK compensation,HarryPottr,nan,Consultant,Anyone have the salary for a UK software engineer working at HSBC? I heard it's around £40k but just wanting to make sure,3,0,2018-12-23 19:05:40,/post/HSBC-UK-compensation-VCTSXRVs,HSBC
0,Marcus vs HSBC,🥭 mangue,/company/Apple/,nan,Which would be a better high yield savings account to park my savings?,0,9,2020-1-31 03:51:12,/post/Marcus-vs-HSBC-4O4TuyY7,HSBC
0,HSBC recruiting. Worth it?,3wsg,/company/Amazon/,IT,Was reached out by HSBC. How's life at HSBC? How's the pay?Obligatory: AWS TC 223k in Canada,0,9,2020-3-3 22:49:34,/post/HSBC-recruiting-Worth-it-4LFYj8Lj,HSBC
0,HSBC and/or VOO,AuntHilda,nan,Other,I was debating whether to spread 50k across HSBC and VOO. I am now leaning towards all in HSBC given it is significantly down and hasn’t recovered like other banks.Thoughts?Thanks.,0,1,2021-2-3 20:25:37,/post/HSBC-andor-VOO-7XauNmiV,HSBC
0,refinace via HSBC,yoevstc,/company/Amazon/,nan,does anyone has loan via hsbc or has anyone refinanced with hsbc? want to get some customer feedback. They seems to be giving really good rates.Jumbo loan in bay area at 2.77 for 7/1 ARM refinance.,0,5,2020-5-18 23:59:04,/post/refinace-via-HSBC-ZFsnvsyz,HSBC
0,"HSBC, this is beyond shameful if true. ",K34fdn,/company/Compass/,nan,Should we take this opportunity to start occupy wallstreet 2020?https://wolfstreet.com/2020/06/04/hsbc-embraces-chinas-crackdown-on-hong-kong-goes-all-in-on-asia-pivot/#hsbc,3,8,2020-6-5 01:14:13,/post/HSBC-this-is-beyond-shameful-if-true-mh0rbkty,HSBC
0,HSBC helps Uber and Lyft?,rockfyeg,/company/Amazon/,nan,Can HSBC manipulate the market using buy ratings and save the stock prices of Uber and Lyft?https://www.cnbc.com/2019/09/16/hsbc-upgrades-uber-lyft-to-buy-over-30percent-upside-to-ridesharing-stocks.html,2,4,2019-9-16 17:13:30,/post/HSBC-helps-Uber-and-Lyft-zCu2rYai,HSBC
0,Anyone here getting cut from HSBC layoffs?,DHJXz6,/company/Bank-of-America/,nan,Are these layoffs really happening?https://www.bloomberg.com/news/articles/2019-08-05/hsbc-to-cut-thousands-of-jobs-to-control-cost-after-flint-s-exit,0,1,2019-8-13 01:19:04,/post/Anyone-here-getting-cut-from-HSBC-layoffs-21HCRymz,HSBC
