,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,IBM/SAP has the hardest interview,jaff.bezos,/company/Amazon/,nan,"I was never able to get an offer from IBM. One time, I went onsite directly through an internal referral and got absolutely destroyed by the snobbish interviewer. Second time, I failed the online IQ test so never heard back. Damn, that IQ test felt harder than LC hard because you cannot even prepare.Similar experiences with SAP. I interviewed there 3 times. Questions were about specific technologies in Java, Ruby, etc. as well as behavioral. Behavioral questions were like how do you handle a difficult teammate. I provided answers based on real experiences. I got rejected twice and ghosted once.I used to feel super bad for getting rejected by IBM and SAP. I was dreaming about working there. It is a status symbol in my friend circle from a noname state school. Business administration major girls will swallow if you are from IBM!Where as, after doing 400-500 LC, I can comfortably solve most all LC medium and a fraction of well known LC hard. It is a matter of luck to get offer from which FAANG and hot startups.Does anyone have similar experience? Which interviews are hardest?(Based on real life experience and not trolling.)#ibm #sap #faang ",1,22,2021-5-17 10:46:43,/post/IBMSAP-has-the-hardest-interview-JMn21stf,IBM
0,IBM 2nm news.,lakhnthkr,/company/Intel/,nan,How will it help us at Intel?#hardware #semiconductor,3,12,2021-5-16 20:19:59,/post/IBM-2nm-news-cMKKGbKY,IBM
0,IBM Cloud Engineer Salary,EvGU54,/company/Capital-One/,nan,"I completed the final stage interview this week, what salary can i expect in IBM garage as a Cloud engineer in NYC?Current TC: 142k 4yoe#HelpMeNegotiate #tech #cloud #cloudengineer #salaries #ibm #tc",1,25,2021-4-22 20:24:35,/post/IBM-Cloud-Engineer-Salary-vKhEY2w7,IBM
0,IBM Design,zeni,/company/Fannie-Mae/,nan,Hi! New to Blind. 👋How’s IBM’s design team doing? I couldn’t find posts on here about the design team.Thinking of applying but wanted to learn more on the growth of the design org as a whole first. Is now a good time to join?#ibm #ui/ux #design,2,32,2021-3-29 05:47:53,/post/IBM-Design-an0c0YzE,IBM
0,Leaving IBM for AWS,CzXk05,/company/IBM/,nan,"Likely will take offer from AWS and looking to start ~ May 3rd or so.I’ve heard that once you notify IBM, you lose access immediately to IBM related network and are basically pushed out the door the day of notification and can’t even fulfill your “two week notice” due to non compete, etc.If this is the case, I need to plan accordingly.Anyone have this experience leaving IBM or a similar or to join AWS? Any thoughts/guidance on this would be greatly appreciated!",4,37,2021-4-2 03:17:32,/post/Leaving-IBM-for-AWS-kv5NELvy,IBM
0,IBM Garage,JeanSon,/company/NVIDIA/,nan,Just got off a very interesting call from a recruiter for IBM-garage. How is it working for pre-sales department ?? Any fellow SRE that already works there ? Haven’t really seen SRE yet in terms of “consultant”. And most importantly how does quarterly bonus work?? How is this performance base bonus calculated ??TC: 150YOE: 3,1,5,2021-5-18 15:30:30,/post/IBM-Garage-qN87VBHd,IBM
0,How does promo works at IBM? ,BOGa75,/company/IBM/,nan,"Hi, I joined IBM last year as a new grad SWE. I interned in the same team for 2 semesters prior to joining as full timer. My team is not one of the dead team at ibm and does tons of great work.I never had a conversation with my manager about how promotion works from band 6 to band 7. I have this on my mind since January, so I have been very consistent in terms of working on projects that directly impacts business every sprint. I pick the max amount of work every sprint and deliver on time as well as well doing presentations stuff.I don’t know how exactly promotions works, but I honestly feel like I deserve to be a band 7 as I’m almost putting the same work as more senior members in the team and I seem to understand our domain of work pretty well. How can I bring this up to my manager? Any tips, suggestions? Thank you!TC: 109YOE: 10 months#Ibm #tech #softwareengineersalary #bayarea",0,7,2021-5-23 03:19:02,/post/How-does-promo-works-at-IBM-SMTozjTX,IBM
0,IBM referral,FMPM,nan,nan,Hello everyone! Will anyone be willing to refer for a role at IBM? Thank you,1,11,2021-4-25 00:00:22,/post/IBM-referral-fmN6MBhY,IBM
0,IBM to Stripe?,channel8,/company/IBM/,nan,"Considering a move to Stripe from IBM. I work in design. TC $198 (not a Dev, so waaay behind y’all. respect.) YoE 15.What to watch out for at Stripe?What to ask in interviews?How is Stripe WLB?I’ll say I can go out for a walk any time any day at IBM. I work maybe 4-6hrs/day and succeed. 20% project is my life. No bonus, no equity/stocks/options/RSUs, tho. Wondering if I’ll sacrifice my wlb, or if I’m crazy for not going.Your advice and perspective are welcome.",2,6,2021-5-5 01:46:17,/post/IBM-to-Stripe-fxgTY4qK,IBM
0,IBM Referral,bamama ,nan,nan,"Hi, I’m looking for a referral to IBM. Yes, I want to join IBM and the role is relatively niche and I think my background would fit very well.Any IBM employees able to refer? Thank you",1,12,2021-4-10 16:48:02,/post/IBM-Referral-zhS7QvMV,IBM
