,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Question about Indeed interview,kakaroto!,/company/Amazon/,Eng,Any Indeed employees willing to answer one question I have about your interview process? Would like to keep this in DM.Thank you.Sde2240k TC,2,5,2021-5-14 16:37:00,/post/Question-about-Indeed-interview-KfNwO04K,Indeed
0,Indeed interviews?,CornerMind,/company/Microsoft/,nan,"Thinking about applying to Indeed in Seattle. Any tips on what to expect for interviews?180k TC, 2.5 YOE",2,2,2021-4-7 04:02:07,/post/Indeed-interviews-g52yG8KK,Indeed
0,Indeed Offer,indeed007,/company/Mindbody/,nan,"Level: IC3RSU:93kSince Indeed moved to new RSU allocation,  any  idea how the refreshers will look like?",0,7,2021-5-23 23:39:10,/post/Indeed-Offer-hjbGan8V,Indeed
0,Indeed interview process - UX Research ,ghksnfh,/company/McGraw-Hill-Education/,nan,What is the interview process after the initial call with the recruiter?,1,2,2021-4-20 21:12:25,/post/Indeed-interview-process---UX-Research-oOHEYcoo,Indeed
0,Amazon vs Indeed vs Robinhood,bScq55,/company/Microsoft/,nan,"Have offers from these three so far; I have other onsites and feedback pending, but need to make a decision soon. Offer breakdown:Amazon L5 (AWS)Location: SeattleTC 270k - recruiter said I'm basically maxed on this offer.HM said I did really well on the interview and that they'd expect me to hit L6 within a year or two - I'm reading this as ""if you don't hit L6 by two years you're getting PIP'd"".Indeed L2Location: TokyoTC 16M JPY (~145k USD) - trying to negotiate higher here, but the recruiter said that while there might be a little bit of wiggle room, they won't be able to move it significantly higher.Robinhood L2Location: Bay AreaOnly have verbal offer so no numbers yet. My initial call with the recruiter had them mention that they usually pay around 280k to L2.Any thoughts? WLB vs. pay and benefits for these companies? Already have other FANG on my resume so not concerned with brand name.Current TC: 🥜#amazon #amazonaws #indeed #robinhood #offer #offers",3,29,2021-5-19 03:02:59,/post/Amazon-vs-Indeed-vs-Robinhood-aD0RjNkA,Indeed
0,How is Indeed work life balance for software engineers?,42cloud,/company/Microsoft/,nan,And was there any general difference across offices before covid?,3,23,2021-5-24 00:21:51,/post/How-is-Indeed-work-life-balance-for-software-engineers-qcBSOQgz,Indeed
0,Indeed offer negotiation,ocUb83,/company/SparkCognition/,nan,I have received verbal offer for L2 Senior Software Engineer. Looks like very low ball offer based on my total experience and current comp.Offer detailsBase.     118KSign on.  22KStocks.   86KBonus 10%TC = 152K ( base+bonus+stocks)Its for Austin. Experience : 8yCurrent TC :  140K ( just base) and have stock options but its not public.I told i am looking for 200K atleast as TC. Is it unreasonable expectation for L2 austin. What would be reasonable TC for L2 in Austin?Updated offerBase.     129KSign on.  32KRSU.      123K (52K refreshers starting yr2)Bonus      10%TC = 173 ( base+bonus+stocks)No competive offers,1,46,2021-5-6 16:14:19,/post/Indeed-offer-negotiation-GvmuZWsg,Indeed
0,From Indeed to Amazon,xqUD75,/company/Indeed/,nan,"So many Indeedians leaving to go to Amazon, yet I hear it’s not a great place to work at... Is the pay whats attracting them? #thinkingoutloud",2,17,2021-5-18 00:28:32,/post/From-Indeed-to-Amazon-5ft7vPZM,Indeed
0,Indeed/Atlassian Referral Needed,lQpb40,/company/Qualys/,nan,Yoe - 7Current TC - 22 lpa#engineering #software #swe,0,10,2021-5-21 04:52:08,/post/IndeedAtlassian-Referral-Needed-F5B0Q7jr,Indeed
0,Indeed vs Rubrik,IhWR87,/company/IBM/,nan,"I’m fortunate enough to have offers in hand from both Indeed and Rubrik.I’d really appreciate it if any former or current Indeed or Rubrik engineers could give me real, no-bullshit answers to the following:- How’s the work life balance? Does it vary by team, or is it fairly consistent across the company?- How do you feel about your future at the company? Do you feel like your comp and career progression is/will be reasonable?- How are the folks you work with? Are they more competitive, or are they chill/nice? Are they competent and good at their jobs?- (This one is for the Rubrik folks) How confident are you that Rubrik will IPO soonish? It seems like there was tons of buzz about its IPO a couple years ago and then... it just didn’t IPO. What happened? Finally, which would you pick and why(this is open to everyone)? I know “TC or bust” dictates that I go with Rubrik, but I’m not a TC or bust kinda guy you know?Thanks in advance!!!Current TC: 88kIndeed TC: ~130kRubrik TC: ~145k",5,23,2021-3-12 13:05:35,/post/Indeed-vs-Rubrik-djsbrJhh,Indeed
