,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Informatica Layoffs,zuiG84,/company/Salesforce/,IT,any news on Informatica Layoffs ? #severance #layoff,12,64,2020-7-14 15:26:18,/post/Informatica-Layoffs-66L8psWP,Informatica
0,SAP vs Informatica,EIYh08,/company/VMware/,nan,I have offer from SAP and informatica. What should I join?Yoe 7Location BangaloreBoth offering same TC,3,29,2021-4-26 16:59:52,/post/SAP-vs-Informatica-HNbLObGD,Informatica
0,Informatica Bangalore Interview,batMan98,/company/Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale/,nan,What is the level of questions and frequently asked topics at Informatica Bangalore for interviewsYoe=1#engineering #interview #software,1,13,2021-5-19 15:16:39,/post/Informatica-Bangalore-Interview-73z1FXJ1,Informatica
0,Informatica - Beware,guile,/company/Cisco/,nan,"If possible avoid informatica, I had very bad experience with them, same now happened to my friend.There is a principal recruiter who don’t know how to talk, very rude , someone already mentioned his name on glassdoorScenario 1 : Completed telephonic and 6 onsite interview loop, after that this recruiter called and informed that he received 4 round feedback and it is positive , let me know the expectation. After receiving the expectations, he called within 30 minutes that remaining 2 rounds feedback are negative so we are not proceeding.Although all my interview round went pretty well.Scenario 2 : After applied to informatica, this recruiter called and started talking rudely that, “do you know anything about informatica or applied randomly” before giving other person chance to start replying. Anyways after completing telephonic and 6 onsite rounds, this recruiter called and informed that all rounds feedback is positive and they wanted to move ahead with offer and asked for expectation. After telling him the expectation, he immediately started trying to cancel the call , even after I was saying that I am ready to negotate, he said he will check again and never came back .After following up on mail he replied that we are interviewing other candidates, this is so unprofessional.The question is why they normally bring the people onsite and wasting their time by taking 6-7 round whole day, if their plan is just to take candidates based on lower TC and not on talent.If thats the case just take 2-3 rounds and select the candidate.The interviewers in both the time were good and talented but highly disappointed with the recruitment process of informatica.",9,7,2019-8-31 01:59:28,/post/Informatica---Beware-Tdk3QLCq,Informatica
0,How is informatica?,MichaelDel,/company/Dell/,Other,How is informatica as a company?Company reputation & tier? Career growth options?Anything else I can consider before deciding to move from dell?TC - 200K#informaticacompensation #informatica,3,13,2021-2-7 07:37:46,/post/How-is-informatica-8jw37e8Y,Informatica
0,Informatica offer,tushki,nan,nan,I’ve been offered  $150K base and $10K bonus for SSE in redwood city CAI have 9 years of experience (3 in US) and my TC is 89KWhat max amount I should ask?Or should I keep trying other companies?,2,20,2021-3-31 07:28:39,/post/Informatica-offer-ZurLWZL6,Informatica
0,Jethalal from Informatica,plzDntPIP,/company/Amazon/,nan,"Hi Jethalal, We had conversation on Blind with my old account, I  couldn't find you now. Can you please dm me or comment here?Thank youTC: 20LPA",13,48,2020-9-9 15:47:50,/post/Jethalal-from-Informatica-JQ4HOcmx,Informatica
0,OCI vs Informatica offer evaluation,vAnyWare,/company/VMware/,nan,Got offers from OCI & Informatica. Seeking help from fellow blinders to evaluate which one is better and if there is any scope of improvementOCI - Software development manager (M2)Base : 55Sign on : 15 (7.5 in first year)RSU : 21 lpa approxTotal : 83.5Informatica : Senior manager (E08)Base : 58.9Bonus: 8.25 (15% of base)Sign on : 10 (5 in first year)RSU : 25000 units (not public)Total : 72.15 and private equity ( Need to have a discussion regarding the valuation)I have following questions regarding these offers.1. Which one is better in terms of growth for engineering manager role.2. Anyone has any idea about informatica private equity valuation and annual grants.3. Any scope of negotiation in anyone of these offers.4. How's the work-life balance in both of these companies if anyone has any idea.Current TC : 47 lpaYoe : 11#engineering #engineeringmanagercomp,0,40,2021-4-16 09:01:26,/post/OCI-vs-Informatica-offer-evaluation-iaDTyJjF,Informatica
0,Informatica,tYfD36,/company/DXC-Technology/,nan,I am looking for insights/info into Informatica.  How is the culture?  How is the technology?Any estimate how much Account Managers make?,0,5,2018-10-23 00:14:58,/post/Informatica-amEaNaCa,Informatica
0,Informatica vs Series A startup,mAwg00,/company/Cisco/,nan,"Recently offered a solutions engineer role at my current company (series A startup). Imo there's not a ton of potential here- ~15 million series A, might get 1-1.5x that in series B. It's not a very technical product either which I'm not a fan of.I'm interviewing at Informatica for a similar role for comparable $. I think I'd learn quite a bit more here compared to my current company. I studied business and graduated in the last few years so learning more about tech is big to me.Any advice?",2,10,2021-5-21 21:30:16,/post/Informatica-vs-Series-A-startup-P8uNwTYw,Informatica
