,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Intel Panel interview: what to expect?,jKpT37,/company/Bosch/,nan,I have a panel interview (group of 4) at intel for an architect role. Can someone help me understand what criteria are evaluated and what to expect in the interview?,2,2,2021-3-8 22:31:18,/post/Intel-Panel-interview-what-to-expect-67edOpWz,Intel
0,What to expect in Intel Firmware Interview?,an0n007,nan,nan,"I’ve an OnSite Interview coming at Intel for Firmware position. They have taken 2 interviews already and will be taking 4 or 5 interviews through Virtual OnSite and one Hour Each.Since their work is purely in C so I don’t have to worry about C++ STL questions. I’m focusing on BST, LL, Array, Strings etc. What else shall I focus on? If anyone ever gave interview with Intel please share their experience. And Specially what kind of Behavioral questions shall I expect?#firmware #interview",1,3,2021-3-2 18:36:31,/post/What-to-expect-in-Intel-Firmware-Interview-dZkuyDvq,Intel
0,Want to be an sde. Have an Apple interview for Hardware (Design Verif). Can’t stay at intel. Need help. ,newUserBli,/company/Intel/,nan,"I joined Intel in March 2020 as a new grad. The work is going real slow. I’m a hardware (design verification) engineer right now.I was always good at programming and doing fun little software projects. I have a couple of android apps developed too. And after looking at all these SDE salaries, I just started to prepare for SDE roles. And immediately, I get a call for an Apple Hardware engineer (design verification) interview. Fuck me dead. I said yes because I don’t want to be at intel. It’s too slow and tedious. Nothing fun and challenging.I didn’t get the Apple offer yet - I know. But if I get it, how hard is it to move to SDE within the company by being a hardware design verification engineer? How many years should I work as a hardware engineer before initiating an internal move to be a sde?Can peeps at Apple or the ones in similar conditions help me out? Really looking for help.I want a good healthy working profile and not a slow environment. I don’t know how Apple is, though.Btw, the interview is today (Friday).Yoe: ~1Hillsboro",2,31,2021-2-26 07:46:58,/post/Want-to-be-an-sde-Have-an-Apple-interview-for-Hardware-Design-Verif-Cant-stay-at-intel-Need-help-8o7eK5w8,Intel
0,My 🥜 is going downhill on Crypto!,McComic,/company/Intel/,nan,"😭😭🤦‍♀️I bought more last weèk thinking ""oh i am buying the dip! "". Wokè up to this crash even deeper!I have $36k capital in it. Will it turn back?I can't lose my bananas and peanuts as a HWE! I am working at the cost of time away from my babies!#personalfinance #investments #btc #crypto #amazon #apple #intel",6,80,2021-5-23 18:29:18,/post/My-🥜-is-going-downhill-on-Crypto-a5fTSZ3k,Intel
0,Intel or Qualcomm,lolacutty,/company/Cadence-Design-Systems/,nan,"I have offers from Intel (Desktop) and Qualcomm(Modem). Not looking at TC, which would be a better pick if I want to have a WLB and grow at the same time. This is for DV.Intel : 270KQualcomm:290KCurrent: 160",5,108,2021-3-7 03:18:25,/post/Intel-or-Qualcomm-4zfJGFow,Intel
0,"Microsoft vs AMD Offer for hardware, verification role",techie_,/company/Intel/,nan,"9 years at intel, have an offer for verification role in both AMD and Microsoft, money is decent, in terms of work and work life balance which is a better place?#semiconductor #hardware #offer #microsoft #amd #bayarea Oops I didnt realize TC is a must have hereAMD 175+90krsu+25k signonMS 175k+200krsu+ 40k signon",10,68,2021-5-13 17:47:13,/post/Microsoft-vs-AMD-Offer-for-hardware-verification-role-sk4t0DVF,Intel
0,Job switch from India to USA,tuto34,/company/Intel/,nan,"Hi all, How difficult to switch job from India to USA in semiconductor and embedded industry? At present, having 7.6 yrs of experience and working in Intel Bangalore. #hardware #semiconductor",0,5,2021-5-23 05:37:55,/post/Job-switch-from-India-to-USA-KOHakJ2G,Intel
0,Intel G9 comp (HR),PigeonGoo,/company/Qualcomm/,nan,Hi Team! I just got invited to interview for a G9 program manager role at Intel. Is the comp range for HR the same as for engineers? Portland based. What’s the total comp and breakdown for G9 @intel Current comp is $180 base $40k sign on and $50k RSU,1,4,2021-5-23 20:58:42,/post/Intel-G9-comp-HR-rFnwtK7p,Intel
0,"Pros and cons in Apple, Nvidia, Tesla, Lam, Applied materials, micron, intel",pgjj,/company/Applied-Materials/,nan,"As a PhD new grad in hardware engineering, I would like to know the pros and cons in working at these companies below as the first job.I know they have very different TC, but maybe career and skills growth is more important as a new grad.AppleNvidiaTeslaFacebook reality labSemiconductor tool provider: Lam research, Applied Materials, etcSemiconductor chip provider: micron, intel, TSMC, etc.Welcome to add on to these lists. Thank you in advance.#hardware #apple #nvidia #tesla #facebook #lam #Amat #micron #intel #tsmc",19,146,2021-3-19 02:04:59,/post/Pros-and-cons-in-Apple-Nvidia-Tesla-Lam-Applied-materials-micron-intel-8PxfeDYH,Intel
0,GTFO of Intel,huskydusk,/company/Intel/,Eng,"Started full time in November 2020 and I feel the need to GTFO looking at people leave the company. Team is good, work is good but idk where Intel will be in the next few yearsTC : 120k",1,12,2021-5-19 20:53:10,/post/GTFO-of-Intel-Rcyd6n0e,Intel
0,Looking for Technical/Program Manager refferal in India,IQRam,/company/Microsoft/,Other,"Currently working as Sr TPM and interviewing at Google, VMWare and OLA.Requesting refferal for TPM/PM or Sr TPM roles.YoE - 7y#microsoft #amazon #flipkart #slack #redhat #oracle #cred #uber #slack #github #gitlab #americanexpress #intel #linkedin #adobe #rubrik #compass #paypal #salesforce #servicenow #walmart #jpmorgan #rippling #intuit #dell #grab #atlassian #expedia #nvidia #paytm #sprinklr #apple #dell #visa #twitter #udaan #goldmansachs #cohesity #airbnb #gojek #phonepe #nutanix #grab",0,6,2021-5-23 22:24:30,/post/Looking-for-TechnicalProgram-Manager-refferal-in-India-jeseAXbY,Intel
