,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,JPMorgan Offer,VHUp67,nan,nan,I just had first round of salary negotiation with JP Morgan. How would you evaluate this offer?Title: Associate (Commercial Bank)Base: 95KBonus: 15K Location: NYCYOE: 5#finance #salary #salarynegotiation #jpmorgan #jpmorganchase,0,4,2021-5-21 21:12:16,/post/JPMorgan-Offer-Py88OFSu,JPMorgan
0,Bloomberg Sales or JP Morgan MO,hahibi,nan,nan,"Guys and gals I’m a fresh grad and i got two offers on hand, really can’t decide between the two jobs so i need some inputs from you!1) Bloomberg Sales and analytics offer: $79k All-in comp. Work at Analytics for 1 years then move to Sales mostly. Great financial knowledge and terminal training. Not sure about the pay rise and exit opportunities tho. Client-facing work. 8-6 job but i heard its pretty stressed in that 10 hours lol.2) JP morgan corporate analyst development program: 2-year rotation program, $70k all-in comp, almost guaranteed to become an associate from the 3rd year and pay rise is a must. Not sure about how long it takes to become a VP. It’s a middle office role and idk if i can lateral out to FO. But WLB should be amazing, its a 8-5 job.I actually don’t have much vision about where i will end up in, I’m not sure i like sales that much but at the same time i hate the boring job nature in Middle office, especially Jpm has a lot of bureaucracy shits (but idk if bbg is the same tho). I also like a meritocracy role where i can work harder and earn more vs MO role where things are capped and no matter how hard i work i still get the same level of salary.(As a side note I’m from down under, figures above are in AUD)Appreciate any constructive advice and insights about salary bump in BBG Sales/JPM MO!!#finance #bloomberg #jpm #jpmorgan #mo #sales #analytics",3,25,2021-5-19 08:47:56,/post/Bloomberg-Sales-or-JP-Morgan-MO-DbELqm20,JPMorgan
0,JPMorgan 602 salary offer increase ,sre_phenom,/company/Talend/,nan,"I got offered a role for a 602 SRE engineer at JPMorgan and the recruiter told me that 120k base is the usual starting salary. I told them i wouldn’t go below 165k,  and then she told me the most they could do is 145k. I told her based on what I make now that i won’t go below 165k so i thought it wasn’t going to work out. The recruiter just told me they are working on additional approvals to try and make this happen. My question is that is it possible for JPM to go up 40k more than they usually offer? #engineering #offer",2,21,2021-5-15 23:13:10,/post/JPMorgan-602-salary-offer-increase-A7Kx2MQW,JPMorgan
0,JP morgan work culture,itperson,/company/The-D-E-Shaw-Group/,IT,Hi guys I have recently got an offer from J P Morgan and Chase. Can anyone share over the work culture of the firm for tech people?Also I have 7+ years of experience they have mentioned in the clause over 3 months probation period. Please throw some light over that as well.,1,44,2021-5-2 14:17:08,/post/JP-morgan-work-culture-DT8Z7J5c,JPMorgan
0,JP Morgan Green card application (EB1C ?),DabQwdLO,/company/Amazon/,nan,"Asking for my wife , she is a VP in UK office, does JPM file EB1C if you move to US from UK on L1 visa  , if your designation is VP (>3 years as VP in UK ) #workvisa #EB1C #L1My TC : 130k GBPMy Wife's : 110k",0,21,2021-5-15 10:03:36,/post/JP-Morgan-Green-card-application-EB1C-LmnDX4Fq,JPMorgan
0,JPMorgan Private Banking Analyst Benefits,DFV123,/company/JPMorgan/,nan,"Hey everyone,Just wanted to share some comp updates for JPM Private Bank Analysts. They're pretty pitiful tbh but interested in seeing how they compare to other banks/WM positions-$5k one-time raise for all analyst classes (1st, 2nd, 3rd year) starting July 5th (in addition to annual $5k raise that takes effect in February)- Unknown increase to IC Bonus Pool",9,27,2021-5-7 22:52:48,/post/JPMorgan-Private-Banking-Analyst-Benefits-TKz4AK7c,JPMorgan
0,JP Morgan ,loloswims,nan,nan,Anyone have any luck applying through the JP Morgan website and getting an interview? I applied a week ago for a job I’m well qualified for and haven’t received a response.#interview #finance #jpmorgan,3,25,2021-3-13 16:04:56,/post/JP-Morgan-bNdiXJpD,JPMorgan
0,JP Morgan engineering?,kjn234,/company/Bloomberg/,nan,"Hi, I received a verbal offer from a JP Morgan recruiter today for a Python Developer role. I was wondering how the engineering culture is there. is the work there challenging? Is there a lot of opportunity to learn? People who picked JP Morgan, are you happy with your decision?current - Python Developer - 130kJP Morgan Offer - 160k tc **edited after update from recruiter** #jpmorgan #jpmorganchase #jpmc",2,23,2021-3-30 00:08:09,/post/JP-Morgan-engineering-bV3HxBW1,JPMorgan
0,Not sure whether JPMC lowballing me.,jravi96,/company/Morgan-Stanley/,nan,"I will be leaving Morgan Stanley soon. I have been given 50+% hike, but I feel JPMC is lowballing me.Exp 8.10 yearsCCTC - 17.16 lpa + variable bonusOffered CTC - 26 lpa + variable bonusTitle - Associate. Grade - 602.Role - software engineerDivision - corporate and investment banking.Please share your thoughts.#jpmorganchase #morganstanley #tech",0,9,2021-5-22 03:24:56,/post/Not-sure-whether-JPMC-lowballing-me-7XBizzKd,JPMorgan
0,JPMorgan,AsDO55,/company/AstraZeneca/,nan,Being interviewed for associate developer role.I have around 2.6 years of experience.  1.  Is the role right based on the experience or is it possible to get next higher role?2. Whats salary negotiable range for the role?#engineering #offer #interviewAny tips to clear all rounds would be very helpful.,2,2,2021-5-10 22:53:23,/post/JPMorgan-p0NYPncQ,JPMorgan
0,JPMorgan principle engineer salary,VlSk32,/company/Amazon/,nan,"Hey everyone,I am giving interviews for jpmorgan principle engineer position. Interviews are going fine till now.So, I just wanted to know what should I expect in terms of TC for the principle engineer position.YOE- 9TC- 150k",1,6,2021-5-11 10:05:18,/post/JPMorgan-principle-engineer-salary-X1czBVkc,JPMorgan
0,Help on JPMC,HisG35,nan,nan,"I am looking for a technology job in JPMC, Delaware. Can some one tell me the salary range for the vp , Executive director and Managing director positions? Thanks",0,23,2021-5-13 22:00:08,/post/Help-on-JPMC-jSPSb0i0,JPMorgan
0,Blacklist by JP Morgan or Morgan Stanley,yemedy,/company/Capgemini/,nan,"If I accept the offer from JP Morgan and did not join, will they blacklist me for whole life? Won't I ever be able to get job in JP Morgan in future? Same question for Morgan Stanley.#morganstanley #jpmorganchase #jpmorgan #blacklist",0,19,2021-5-7 10:06:42,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,JPMorgan
0,JP Morgan India negotiation advise,garuda020,/company/Johnson-Controls/,Project,"Hello all,I've recently relocated from USA to India and have cleared jpmc interview for Bangalore as a VP for product line. Any advise on negotiating the offer? I just got a verbal offer and they said they will negotiate next week. There is no mention of ctc yet from the recruiter. Thank you.YOE: 15Current CTC : 169K USD",4,16,2021-4-17 18:25:35,/post/JP-Morgan-India-negotiation-advise-663w8xjj,JPMorgan
0,Executive Director round in JP Morgan Chase,GSNs23,/company/Oracle/,nan,Need some help with my final ED round with JPMC. The recruiter said it'll be a semi techno round and I have no clue what to expect. Grateful for any guidance.YoE - 6TC - (INR) 13 LPA #interview #it,3,32,2021-4-14 08:40:20,/post/Executive-Director-round-in-JP-Morgan-Chase-WXadcjge,JPMorgan
0,"JPMC offer evaluation - Bangalore, India",vidya102,/company/MindTree/,nan,I’m holding an offer with JPMC 32 lakhs in India for Java developer role(7.3yrs). They didn’t mention about variable pay .... yearly how much % variable pay I can look forward,0,14,2021-5-19 20:30:58,/post/JPMC-offer-evaluation---Bangalore-India-rzqERc0m,JPMorgan
0,Offer evaluation media.net /jpmc/startup,hISb,/company/Grab/,nan,Posting on behalf of friendExp - 8+#engineering Please help to evaluate the offerCurrent TC - 37+13rsu -50Media.net- Lead SDE52/10/15jb - TC -77 JPMC- VP engg New venture65/14/14jb- TC 93 Startup70/9esop - TC -79Confused on how to proceed.Will Media.net open up opportunities for good startups of Series A or B or US Based startups setting up office in India.Will Media help to go for senior level at Facebook and Google?Will Jpmc hinder the opportunities in future in startup space. Please help me.#startupOr just stay at Grab 🙃,4,39,2021-5-6 17:07:08,/post/Offer-evaluation-medianet-jpmcstartup-cEWUQfjh,JPMorgan
0,JP Morgan vs Fintech Startup,Mr_noBoT,/company/Goldman-Sachs/,nan,"Received an offer from JP Morgan where I’d be paid &gt40K more than my current salary. Have another offer from an ESG startup. They’re offering a lower base (20k less), no cash bonus, but with 4 year vested equity.Both present opportunities to do Full-stack development (my current role at GS is primarily backend) and I’ve been promised I wouldn’t have any support obligations at either role (I absolutely hate technical support and currently I spend at-least 50% of my time doing it).I’ve been thinking on a pivot from finance companies but the only recruiters who have gotten in contact with me for non finance roles have been outside NYC. The start up seems like I’d have a greater opportunity for impact though the JP project doesn’t sound bad either (working on a client facing application).Culture-fit wise I do like the people I’ve met at the start up so far. There are a lot of ex-Goldman employees who wanted a more fulfilling career.All things considered I want to leave my current job quickly as I hate my current job and have financial burdens that a pay bump would ease (which makes the obvious advice of interviewing until I find something I’m more interested in less enticing)YOE:2TC: 🥜#tech#startup",0,18,2021-3-10 15:47:25,/post/JP-Morgan-vs-Fintech-Startup-WxtTndge,JPMorgan
0,JPMorgan Interview ,GhEv15,/company/Collins-Aerospace/,nan,Interview with VP for 2.5 hours. What would this look like? How should I best prepare?TC - 🥜,1,6,2021-2-24 20:59:06,/post/JPMorgan-Interview-f2cJnH4j,JPMorgan
