,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Accenture 160k & KPMG 170k offer ,PVis23,/company/Deloitte/,nan,"Both are with Program manager role, Tech Consulting. Accenture requests to be based out of SF, 25 days PTOKpmg is in Seattle, 20 days PTOWhich one to choose? Is Accenture miles ahead of KPMG in terms of tech consulting? ",3,22,2021-5-6 19:04:06,/post/Accenture-160k-KPMG-170k-offer-6DtqucsA,KPMG
0,KPMG Offer,DeadMauFif,nan,nan,Advisory practice in tech. Manager/Sr. Manager level I think.Base 180kBonus 8-15%Whats the wlb? 40hr/50/60hr a week?,0,2,2021-5-5 17:00:41,/post/KPMG-Offer-iBjHW30h,KPMG
0,Negotiating Salary KPMG,Hutang,/company/Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale/,nan,"I’ve been interviewing with KPMG Advisory for the past month for a Sr Specialist role. I have a very niche background for a certain area of financial data which aligns to a new product in Advisory.When they were about to make an offer, HR asked me my salary expectations. I told them my     initial ask, which they asked if it was the minimum and I said yes.HR extended me an offer last Wednesday  for the minimum but my competing offer was $10k more. I went back to HR Thursday asking if they could have flexibility on the salary. HR raised it with the hiring team, but the rep told me he was surprised that I was asking for me because they gave me what I originally asked for.For those at KPMG, did you negotiate your salary and if so, how long did it take for them to come back after your counter offer? This is my first time having the courage to negotiate salary and I am worried they will pull the offer. #consulting #salarynegotiation",0,6,2021-3-23 23:52:00,/post/Negotiating-Salary-KPMG-FnfFpUX6,KPMG
0,KPMG vs Anthem,blueapple6,/company/IBM/,nan,"Anthem Role: Data science Sol SrKPMG : Technical ManagerKPMG TC Is 15% more than Anthem. And, KPMG will take over my approved I140 and start The GC Immediately. However, Anthem will do GC after 1 Year.Which is better Interms Of WLB/Layoff/Culture ?",2,2,2021-3-1 21:39:31,/post/KPMG-vs-Anthem-wZJnNLAk,KPMG
0,KPMG or Capco,iberstpe,/company/Morgan-Stanley/,nan,Both offers are for risk advisory work at SC level.Capco offering $135kKPMG offering $120Does it make sense to drop the tier for higher comp?,0,1,2021-2-24 15:54:36,/post/KPMG-or-Capco-xtPqjyNx,KPMG
0,KPMG Lighthouse Advisory Salaries,cZdc,/company/Pacific-Life/,nan,"Hello,Just wondering if anybody here works at Lighthouse and has insights on the salaries expected to give to new grad advisory associates?I received an offer and am a little bit underwhelmed with the salary when looking at the ranges in this high cost of living city.Also, I did not see a sign on bonus in the offer, does that mean there is None?Thank you!",0,8,2021-4-7 15:57:46,/post/KPMG-Lighthouse-Advisory-Salaries-KzyqvDHt,KPMG
0,Amazon L5 vs KPMG Manager Position,PVis23,/company/Deloitte/,nan,Amazon L5 with 105k + 20k (stock) +10k sign-on (down leveled from L6)KPMG Manager with 165k base + 10k sign-onBoth are in Seattle,0,5,2021-5-14 00:01:32,/post/Amazon-L5-vs-KPMG-Manager-Position-bogwSZud,KPMG
0,KPMG vs EY Software Engineering,rksl9612,nan,nan,If you had to pick between KPMG or EY for engineering where would you go? #softwareengineering #SWE#finance Not sure what TC is yet. 3 YOE.,2,6,2021-3-17 01:12:22,/post/KPMG-vs-EY-Software-Engineering-8zx5DZ00,KPMG
0,How does the KPMG referral program work?,F150,nan,nan,Let’s say I connected with a partner about a specific role. The partner asked me to send them my resume. Next thing I get an email from a recruiter with the subject “referral program” to schedule a 20 min To go over my “skill set”  and roles I wanted to apply toIs this how a referral program usually works? I don’t get it #referral #advisory #Kpmg #kpmgus,1,1,2021-3-11 19:43:09,/post/How-does-the-KPMG-referral-program-work-q63nBsXZ,KPMG
0,Looking for referrals for sibling,xNIk45,/company/Scality/,Eng,"Hello blind fam,My sibling having very difficult time finding a job during Covid, and starting losing hope. Has 4.5 yoe legal experience, very dedicated, hard-worker. Looking for any legal related opportunity anything including Legal analyst, Legal policy, compliance, legal counsel, Contracts manager etc.Found relevant roles in companies such as Tiktok, Vimeo, TripAdvisor, Chime, KPMG, Accenture, Twitch, AmazonBut any other referral for any other company would be also really appreciated.#tripadvisor #chime #accenture #kpmg #amazon #twitch #amazon #bytedance #referral #vimeo",0,15,2021-3-3 20:40:08,/post/Looking-for-referrals-for-sibling-KLaXOHcQ,KPMG
0,Responsibilities of a Tech Consulting Manager / Sr. Manager - Big4,Kudu12,/company/Shopify/,nan,"Considering at looking into Big4 companies under a Manager or Sr. Manager role. What can I expect for these roles in terms of  responsibilities. Does the title 'manager' actually give you the liberty to grow, scale and manage a team?#ey #deloitte #kpmg #pwc #consulting",0,9,2021-5-8 02:22:40,/post/Responsibilities-of-a-Tech-Consulting-Manager-Sr-Manager---Big4-NqkVvbqm,KPMG
0,Need Tech and FAANG Referrals,Toffer,/company/eCornell/,nan,"Looking for referrals to some of the companies below, if you can its help greatly appreciated.15yoe in software engineering, cloud, project and program management and product management as well as public sector work and higher ed. Have been in leadership as a director before. Targeting senior, principal and director levels.Interested companies:TwitterMicrosoftAppleFacebookGoogleNetflixGoldman Sachs CiscoEYKpmgPwcWaymo#tech #faang #apple #facebook #google #microsoft",0,24,2021-5-5 02:42:54,/post/Need-Tech-and-FAANG-Referrals-LbqaB6cN,KPMG
0,Looking for a referral at Google in Strategy & Operations roles,EKPz83,/company/Wolters-Kluwer/,nan,"I am an S&O professional with 15+ years of post-MBA experience in management consulting, corporate strategy, and product management. Former strategy consultant at KPMG. Currently a Senior Director of Strategy at a Fortune-500 size corporation that provides software and business services. I have demonstrated success as a people manager-led team of 25 consultants, analysts, and researchers at KPMG.I had recently cleared Director-level final round at FB but the position was offered to an internal candidate. I am interested in landing a role at Google.Thank you!TC: $350K",1,2,2021-5-14 19:59:12,/post/Looking-for-a-referral-at-Google-in-Strategy-Operations-roles-5Jc6tyai,KPMG
0,EY Sabbatical? ,trustedadv,/company/Cadence-Design-Systems/,IT,"Does EY offer Sabbatical leaves? Asking for India divisions. If yes, what are the terms? #EY #pwc #deloitte #kpmg #sabbatical #india",1,0,2021-4-23 04:29:00,/post/EY-Sabbatical-BTLEOdaj,KPMG
0,"What is the TC for Managers , Directors at Big 4 Firms like Deloitte?",HSCz,nan,Consultant,I'm a Deloitte intern wondering if I should make my way through Deloitte because I don't really wanna move out of Canada because my whole family is here. I know I can make a decent amount in US but I don't really feel like moving.#deloitte #ey #kpmg #pwc,3,9,2021-4-12 00:21:47,/post/What-is-the-TC-for-Managers-Directors-at-Big-4-Firms-like-Deloitte-asWToKCN,KPMG
0,Strategy and Management Consulting jobs,manpy,nan,nan,"Guys can anyone guide International Professionals like me, currently in New York U.S. to Break into top Management Consulting / Strategy Consulting firms in United States and UAE. We face lot of situations as we don't even get interview calls from Deloitte, McKinsey, EY, KPMG, AT Kearney, Booz Allen Hamilton,  PWC, BCG, BAIN to name some due to Visa status. Still how can I get a role as Strategy Consultant or Management Consultant at any Big MNC ?? This is my question because I want to utilize my 6 years work experience for Business Consulting, MBA degree and tech skills for creating best value for Clients. Firms should have some Career paths to hire and groom mid-level professionals like us and utilize our skills for their business needs. #strategy #consulting #tech #management #digital #big4 #accenturecareers #mckinsey #mckinseydigital #pwc #eyconsulting #eycareers #deloitteconsulting #deloitte #kpmg #bcgcareers #bainandcompany #boozallen #cognizant",0,8,2021-4-28 00:32:43,/post/Strategy-and-Management-Consulting-jobs-CDS5za04,KPMG
0,Data Analyst Referral,jjxx67,nan,Data,"Hi Blind Community,I am an experienced Professional with 3.5+ years in Data Analytics with AWS certified Data Analytics Fundamentals. Proficient in SQL, Advanced Excel, Tableau, Python, and Data Reporting with some experience in machine learning models. Previous companies: IBM, KPMG US, and a few more.Currently, I have a master's degree in Computer Information Systems, with a minor in Data Analytics.I am looking for referrals for data analyst positions and would really appreciate it if you can refer me for any current openings in your team/organization. Please drop a comment so I can DM you to share more information about my background and experience (resume, cover letter, LinkedIn, and portfolio) for your consideration.Thank you for your help in advance and looking forward to connecting with you.#data #dataanalytics #datascience #dataanalyst #dataengineer #businessintelligence #referral #microsoft #slack #paypal #facebook #twitter #dropbox #amazon #atlassian #google #workday #youtube #instacart #square #faang #aon #tesla #datadog #snowflake #rubrik #bloomberg #stripe #snap #lyft #uber #spotify #apple #robinhood #yelp #vmware #adobe #capitalone #cisco #kpmg #coinbase #dell #docusign #doordash #expediagroup #ebay #expedia #glassdoor #ibm #intuit #nvidia #pinterest #salesforce #sap #mongodb #servicenow #airbnb #cmegroup #avanade #splunk #figma #twilio #yext #qualtrics #discovery#linkedin #compass #cvs #aetna #mckinsey #salesforce #americanexpress #wayfair #walmart #americanairlines #americanfamilyinsurance #bankofamerica #jpmorgan #jpmorganchase #target #tigeranalytics#fractalanalytics #hartfordhealthcare #bluecrossblueshield #visa #discoverfinancialservices #netflix #brex #roblox #oracle #zillow #bytedance #palantir #asana #morningstar #citi #healthcare #covid-19",8,48,2021-4-2 05:23:06,/post/Data-Analyst-Referral-LL30ybin,KPMG
0,Seeking referrals for TPM or Managerial roles within Consulting or Tech,Kudu12,/company/Shopify/,nan,"Looking for referrals to either Consulting or Tech companies for a Technical Program Manager / managerial roles. Mainly Canada but also open to US if consideration of TN eligible candidates - Amazon, PayPal, Microsoft, Google, EY, Deloitte.TC: 150Yoe: 12 in IT (3 under TPM) Thanks so much! #microsoft #intel #cognizant #ey #cisco #pwc #kpmg #deloitte #apple #google #fb #Linkedin #nvidia #qualcomm #oracle #salesforce #accenture #jpmorganchase #paypal #adobe #Wayfair #Tesla #square #lightspeedpos #bloomberg #IBM #Visa #Lyft #twitter #uber #servicenow #netflix #mastercard #thomsonreuters #tpm #tpmgoogle #wealthsimple #tech #consulting #instacart #robinhood ",1,7,2021-5-11 08:46:59,/post/Seeking-referrals-for-TPM-or-Managerial-roles-within-Consulting-or-Tech-mScaMvoq,KPMG
0,"Looking for Referral - 2.5yoe (C1, MSFT, IBM...)",lalaalalaa,/company/KPMG/,Data,"Hi,I have a B.S. Math and am a data science consultant at KPMG - usually, I work on data cleaning, ingestion, and a bit of modeling.I want to do more engineering - machine learning, software, or even data engineering. My first job was doing Excel analytics for 1.5 years, so I spent time trying to automate things in Python, learning to code and model (basic Kaggle, Georgia Tech's MicroMaster's in Analytics), and it worked into getting my job at KPMG. I am sort of looking at the next step, though - more ADVANCED projects? AWS and Azure cert?I am open to suggestions on how to improve my app and resume as well. AWS/Azure certs? More self projects? Should I just go back and apply to only entry-level jobs (0-1 yoe) with MLE in it? (I think I am getting passed on those too, at companies I listed).Thanks",0,2,2021-3-5 15:25:45,/post/Looking-for-Referral---25yoe-C1-MSFT-IBM-mXjbhn7m,KPMG
0,Seeking referral Consultant/Associate - India,$no_one,/company/Nutanix/,nan,"Hello People,This a post for friend who is working in PWC as an Associate in Cyber security domain in Risk Advisory, External/Internal Audit, ISO 27001.YOE: 1.9yearsTC: 8LPALocation: Anywhere in India except Mumbai (Pune/Hyderabad preferred)I would be grateful if anyone could refer for the same.Thanks#amazon #microsoft #flipkart #ey #deloitte#kpmg #jpmorgan #morganstanley #wellsfargo#google #tech",0,0,2021-3-9 16:30:23,/post/Seeking-referral-ConsultantAssociate---India-meFrXd3N,KPMG
0,KPMG layoffs,thiggj567,/company/Fast-Enterprises/,nan,KPMG will be laying off 396 people from United States advisory at around 3pm EST. Just got confirmation from someone working at KPMG.#layoff,9,20,2020-9-29 17:03:08,/post/KPMG-layoffs-0UM3gNvN,KPMG
0,KPMG interview ,Spin4,/company/Capgemini/,Sales,"anyone know what Director pay range is at KPMG? How’s the culture, benefits?Thanks in advance!",1,13,2020-8-3 19:57:05,/post/KPMG-interview-uLvdN3wT,KPMG
0,"KPMG cutting bonuses, possibly more comp",thiggj567,/company/Fast-Enterprises/,nan,"My girlfriend is in KPMG’s advisory branch and she and all of her co workers just got their bonuses cut for the year. In addition, KPMG also said they were considering cutting 401k match, pension benefits, and reducing pay firm wide. Are there any other firms that are taking this kind of action? This might just be for advisory.",5,18,2020-4-6 17:43:07,/post/KPMG-cutting-bonuses-possibly-more-comp-QK6s4Sgv,KPMG
0,Director level compensation KPMG,D121,/company/MongoDB/,nan,How much directors are paid at KPMG and how is their compensation structure looks like?Just curious as a friend of mine is getting into it.,4,10,2017-9-26 02:00:19,/post/Director-level-compensation-KPMG-BnZekxUZ,KPMG
0,Accenture vs KPMG,next3031,nan,nan,"Hello, i am evaluating the offer between  Accenture’s and KPMG:Accenture Capabilty Network CFO & EVBase $86,500Sign on $8,500ChicagoKPMG Financial Management Base $82,500Sign on Bonus $7,500NYCI need some advise on which one to choose.",3,11,2019-8-2 23:38:47,/post/Accenture-vs-KPMG-X7GvfqEu,KPMG
0,KPMG culture,9lS8OT,/company/Capital-One/,nan,What is the culture like at KPMG? Glassdoor reviews are mostly positive. Can anyone from KPMG confirm if these are accurate?,1,9,2020-2-8 04:04:05,/post/KPMG-culture-88tV3cH2,KPMG
0,KPMG Lighthouse,RLPK44,/company/Bank-of-America/,Eng,"I came across an organization within KPMG called Lighthouse. From what I gather, it's the data and analytics group within KPMG. Is there any current employee/alum of KPMG Lighthouse here? Interested in learning more about Lighthouse. (I thought this to be the suitable place to post this question because on LinkedIn I saw that the Data Scientists and Data/Software Engineers all work in Lighthouse). Thanks in advance!",6,2,2019-7-27 03:27:44,/post/KPMG-Lighthouse-SaY3wVPm,KPMG
0,KPMG Masters Program or Amazon ,sea10,nan,Design,"I have been lucky enough to receive two incredible offers before going into my senior year of college (Accounting/AIS majors). One offer from KPMG to join their Masters in Accounting and Data and Analytics class where they pay for your specialized MBA (at Villinova) and CPA and you are automaticaly on a fast track to manager. However, I have also received an offer from Amazon to become a Financial Analyst intern which turns into their two year Financial Rotation program. I debating between the two, any advice would be helpful.",0,17,2019-8-7 11:24:42,/post/KPMG-Masters-Program-or-Amazon-HbZWfByz,KPMG
0,Wells Fargo vs KPMG,XeaK07,/company/PayPal/,nan,Bank that makes fake accounts vs auditors that cheat which company is worse?These two companies give finance a bad name...disappointed in both... what’s your opinion?https://www.marketwatch.com/story/the-kpmg-cheating-scandal-was-much-more-widespread-than-originally-thought-2019-06-18,2,7,2019-6-19 23:45:30,/post/Wells-Fargo-vs-KPMG-ghknUHef,KPMG
0,KPMG OR Grant Thornton,pm09,/company/KPMG/,nan,Offered Manager Role in GT. Currently working as Senior Consultant in KPMG. Worth the jump ? PRACTICE - Advisory Cyber Security#offer #consulting #career,2,11,2020-4-21 04:09:06,/post/KPMG-OR-Grant-Thornton-c4ATjhKC,KPMG
0,KPMG KTech,nVwX38,/company/American-Express/,nan,Anyone know what is the compensation for Director position in KTech team at KPMG.,2,0,2018-8-17 19:09:25,/post/KPMG-KTech-Ctqjwz7i,KPMG
0,KPMG ID Network,suwoda,nan,nan,Can anyone explain what KPMG ID Network is or how much doesn’t it pay? Can it be an entrance to actual KPMG company?#kpmg,0,0,2021-2-20 02:44:53,/post/KPMG-ID-Network-a08Mxk2M,KPMG
0,KPMG REFERRAL,ubHg85,/company/American-Airlines/,nan,can somebody give me a referral for KPMG?thanks #referral #kpmg,0,4,2020-4-4 22:45:08,/post/KPMG-REFERRAL-HrXfz5Ko,KPMG
0,KPMG referral anyone?,EldV65,/company/Teradata/,nan,"Hello KPMG folks,anyone willing to provide me a referral to a cybersec position?YOE: 6+TC: 220Kthanks in advance!",0,3,2020-6-14 18:48:24,/post/KPMG-referral-anyone-Qongp1XZ,KPMG
0,KPMG Referral need,Legal chic,/company/Accenture/,Legal,"I've seen a job I want to apply to at KPMG, but would prefer someone refer me. Any willing to assist?",0,8,2020-9-2 03:48:20,/post/KPMG-Referral-need-Q1R8pdzU,KPMG
0,How much director make at KPMG or EnY ? ,x101,/company/Amazon/,nan,tried levels.fyi but of no use. just curious to know the compensarion at Director level in these companies,2,48,2020-8-9 20:55:52,/post/How-much-director-make-at-KPMG-or-EnY-nLJ5LU1O,KPMG
0,Manager Salary at KPMG? Levels.fyi for Finance?,WrCdA6,/company/PwC/,nan,"Curious what the average salary for Manager roles at KPMG are. I checked Levels.fyi for this info, but it seems like nothing is available. Is there a similar platform for Consultants/Finance?",1,19,2020-2-23 00:52:07,/post/Manager-Salary-at-KPMG-Levelsfyi-for-Finance-shMwkp3U,KPMG
0,PwC vs KPMG vs Deloitte vs EY: Who pays the Most?,UAYsun,nan,nan,Which of the Big4 pays the best? Post your rank of the 4 in the comment if you have one.,6,75,2020-1-19 19:02:05,/post/PwC-vs-KPMG-vs-Deloitte-vs-EY-Who-pays-the-Most-rNw8Z8FF,KPMG
0,KPMG Salary in San Francisco,psc93,nan,IT,Does anyone have insight into salary range for associates in KPMG Risk Advisory Practice?,1,5,2019-8-27 15:02:38,/post/KPMG-Salary-in-San-Francisco-njx6f4rh,KPMG
0,KPMG - Analytics Consultant,Gewin,/company/GE/,nan,"Hello, I need a referral for a Senior Associate (Advanced Analytics Consultant) role at KPMG, the role is based in Chicago. Comment if you are willing, I will dm you with further info about myself.Thank you!TC: 135kYOE: 5#referral",0,0,2020-11-10 20:02:33,/post/KPMG---Analytics-Consultant-AkDVb062,KPMG
0,Competing internship offers KPMG vs Verizon,fsNb78,/company/KPMG/,nan,Friend got an internship offer from KPMG Lighthouse (~$35 an hour) and Verizon Data Science Intern (~$30 an hour). What are all of y'all's thoughts?,0,11,2020-12-11 17:01:31,/post/Competing-internship-offers-KPMG-vs-Verizon-CQ8XmcnJ,KPMG
0,KPMG SA ,ParPaper,/company/Deloitte/,Other,"Jeez, things at KPMG SA aren’t getting any better. Is the rest of KPMG worried, or just happy to have separate entities in each country?https://www.biznews.com/sa-investing/2018/06/05/things-angry-kpmg-staff-want-to-know/",0,1,2018-6-8 17:15:56,/post/KPMG-SA-1abVVJky,KPMG
0,Tech interviews at KPMG,KPMGBig4,/company/Amazon/,nan,How are tech interviews at KPMG? What kind of questions do they ask? #interview #engineer #it,0,4,2020-6-18 23:25:33,/post/Tech-interviews-at-KPMG-zL66BRH8,KPMG
0,grant thornton or kpmg ,bnasnxm ,nan,nan,is it better to go for a manager position at GT or senior associate position at KPMG? both are advisory. GT is in digital and KPMG is more project management related. thanks!,0,4,2019-12-4 14:39:34,/post/grant-thornton-or-kpmg-NAU3ABpY,KPMG
0,why do people shit on kpmg?,mLlqp,/company/Blink-Health/,nan,engineer looking att strategy roles and consulting. then i learned everyone shitting on kpmg among the big4. genuinely curious. why?,1,12,2020-7-23 13:32:13,/post/why-do-people-shit-on-kpmg-yYd3Nzcz,KPMG
0,KPMG urban dictionary,HaKUy,/company/KPMG/,nan,lol,12,19,2016-9-20 05:34:38,/post/KPMG-urban-dictionary-kqnHNnfN,KPMG
