,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,RIP ALL SHIBA INU/ DOGELON MARS HOLDERS 😭🙏,runDov,/company/Bank-of-America/,nan,Vitalik dumped on everyone 📉📉 Poll for what you think.#crypto #eth #shibainu #doge #dogelon #memecoins,4,8,2021-5-12 18:48:35,/post/RIP-ALL-SHIBA-INU-DOGELON-MARS-HOLDERS-😭🙏-PqkQRnTv,Mars
0,H1B transfer timeline BAL,YNdn81,/company/Microsoft/,nan,"#h1b Accepted Google offer on Feb 26LCA/H1B initiated case on Mar 2Completely questionnaire on Mar 2Questionnaires and Docs received, reviewing. Mar 6Will update.Mar 11:I previously upload all my documents. BAL ask me to upload I-140 approval, so I uploaded again.Mar 15:No update from BAL.Mar 19:LCA submitted.Mar 29:No update.Apr 5:No update. Previous case Assistant will be OOO this week. New case assistant assigned.Apr 7:Finally filed to USCIS.Waiting for receipt.",4,7,2021-3-10 22:44:29,/post/H1B-transfer-timeline-BAL-X731j2UF,Mars
0,How much cash you holding right now ?,hhhhhhhqq,/company/PayPal/,nan,"I bought heavily in Mar - May last year and again now from Mar - May this year. Usually I keep about 25% cash to buy the blood on the street situation. Otherwise, I just buy every week with my paychecks.Right now I am at 10% cash and I might have to sell my oldest profitable holdings soon to get dry powder back in hand if this sell off continues through summer.I do have Margin account and did not include my margin line of credit available in 10% cash holdings.",1,22,2021-5-7 07:55:40,/post/How-much-cash-you-holding-right-now-Pk033cfj,Mars
0,H1b transfer all dates ,bdhsncjs,/company/Microsoft/,nan,Fragomen my timeline:SDE normal. PP. Nebraska19 MAR 2021: Document received.20 MAR 2021: Completed questionnaire received.24 MAR 2021: LCA submitted on DOL website31 MAR 2021: Certified LCA received from DOL02 APR 2021: Case filed with USCIS.06 APR 2021: Email notification of receipt number received from USCIS12 APR 2021: Receipt notice received from USCIS + Case was approved.My learnings:1.) Keep sending mails to your lawyers atleast once a week. 2.) ask any questions to them directly plus keep a written record.3.) submit the documents asap. Minimize delay at your end.4.) Hold your urge to tell your current employer.,7,9,2021-4-13 01:50:33,/post/H1b-transfer-all-dates-HHrsswTb,Mars
0,Apple H1B transfer ,lYjM80,/company/Uber/,nan,"I have a pending H1B visa transfer application and is taking a lot more time than expected. Anyone in the same boat? Fragomen contacted me on 14 Feb and right now LCA is approved and is waiting for a review from Apple.Update: it was filed with PP on 9 Mar, received receipt notice on 11 Mar. Awaiting decision#h1btransfer #apple #h1b",3,35,2021-3-2 23:45:07,/post/Apple-H1B-transfer-LBpLwwH1,Mars
0,Housing Market is Still all time high in Bay Area,eg100,/company/NVIDIA/,nan,"Just check this one . Not even a good school district . All schools are 5,5&6 .This is San Jose - Del Mar High School",2,19,2021-2-26 23:46:55,/post/Housing-Market-is-Still-all-time-high-in-Bay-Area-i6PVBgNn,Mars
0,H1B stamp expiration vs I797 expiration,Sd2lvY,/company/McKinsey/,nan,H1B stamp expires: Aug 2022I797 expires: Mar 2023Just got back and the immigration officer at airport wrote the “admitted until” date as Aug 2022 even though I told him that I have a newer I797. He said that it’s not a problem/doesn’t matter.Is there something to worry about? Should I ask them to correct the date?,1,36,2021-5-3 14:16:57,/post/H1B-stamp-expiration-vs-I797-expiration-Fz7Q7rsx,Mars
0,Does Twitter have a 1-year vesting cliff?,twtr_intrn,/company/RBC/,nan,I read on a post here that they did as recently as Mar 2018. I'm interning there as an SWE this summer and was curious to know what a new grad offer might look like.,3,6,2021-3-30 00:33:39,/post/Does-Twitter-have-a-1-year-vesting-cliff-ScwDa5yf,Mars
0,Online I-94 vs I-797’s I-94,Sd2lvY,/company/McKinsey/,nan,"Some info first:My I-94 expiry: Aug 2022H-1B stamp expiry: Aug 2022I-797 expiry: Mar 2023Passport expiry: 2025Every I-797 has a I-94 record on bottom left which has same dates as the parent I-797. My I-797’s I-94 expires Mar 2023. All good.I came back from India recently and my passport was stamped with an end date of Aug 2022 even though I showed the latest I-797 to the visa officer. Now I understand that I can get it corrected by going to local CBP office or Canada/Mexico border.However, I came across this post on fb which talked about two types of I-94. The online one which only updates when you enter US and the one you get with I-797. Since the latter works fine for me, do I still need to get my online I-94 corrected?",1,19,2021-5-8 06:14:06,/post/Online-I-94-vs-I-797s-I-94-iGog1JjP,Mars
0,Interview process: An extra round after final round? What is this?,HiNA51,/company/Google/,nan,"Timeline:Feb 19: 1st roundMar 18: 2nd roundApr 9: 3rd roundApr 23: 4th round (final round)Then, total silence until today, recruiter said ""Thank you for taking your time interviewing with us! Our Talent Acquisition Partner would love to schedule a call to learn more about your background, career goals and interests"".What is this and what does it mean? Much thanks!@bytedance @tiktok #bytedance #tiktokUPDATE:It was an offer call. Recruiter started with ""Hi HiNA51, thank you for interviewing with us. this is an offer call.""",1,11,2021-5-4 00:12:14,/post/Interview-process-An-extra-round-after-final-round-What-is-this-n4Q2ox74,Mars
0,Scoop or waze ride share app,damndddd,/company/Rally-Health/,nan,"Has anyone got ride using scoop or waze carpool app in mar or April, everyday I am trying but in end got message saying driver not found.",0,0,2021-4-7 15:14:23,/post/Scoop-or-waze-ride-share-app-VyWmT4LG,Mars
0,Only put years and not months in senior level resume?,Bypro,nan,nan,Is it okay to only indicate years of employment and not months in senior level resume?E.g. 2018 - 2019 vs Jan 2018 - Mar 2019?Or is it taken as a form of hiding? They'd find out exact months in background check anyway.  #,1,4,2021-4-24 08:53:47,/post/Only-put-years-and-not-months-in-senior-level-resume-WnozaaWU,Mars
0,What are the different evaluation cycles at amazon and what are their timelines. ,_naruto,nan,nan,"For eg) I have read that something called OLR happens in Jan, another review happens in mar ? Also what are the pip cycle months ? ( in terms of SDE-1 and 2 both)",1,1,2021-3-8 09:25:25,/post/What-are-the-different-evaluation-cycles-at-amazon-and-what-are-their-timelines-skciS5q5,Mars
0,Coinbase offer - valuation,LDEq17,/company/Uber/,nan,"I’m expecting an offer from CB, tech role (not disclosing role due to anonymity). Recruiter told me it’s based on the last 60D valuation average from the start day. If I were to start on 4/1, I’ll be based on ~2/1-4/1. Anyone knows the Feb valuation? And is Mar based on S1 (around 77B)?Update: CB offer (L6) base: 195k fixed, equity: 270k over 4 yrs, semi annual perf based bonus: meeting expectation gets 1/3 of initial target equity vesting over 1 yrTC: 360k, YoE: 4#offer #ipo #tech #valuation #coinbase",8,55,2021-3-10 16:39:49,/post/Coinbase-offer---valuation-4suiU17S,Mars
0,Microsoft Hafnium Hack ,pandasoup,/company/Juniper/,nan,"Probably because the EE talent, managing the exchange servers, all went to Netflix for the high all cash TC.https://www.theguardian.com/us-news/2021/mar/08/microsoft-cyber-attack-biden-emergency-task-force",2,1,2021-3-9 02:55:34,/post/Microsoft-Hafnium-Hack-q2PX1HhH,Mars
0,Amazon seattle or OCI bangalore,SOyO20,/company/Amazon/,nan,I have recieved offer from both amazon seattle and OCI bangalore . I would like to know from community what they think is better to join given covid situation in India. Please help.Current tc :Base :27 lakh inrStocks: 20 lakhs inr per year for next 2 yearsAmazon seattle :Base :130k usdJoining bonus : 4k per month till mar 2022Relocation: 7k usdStocks : 20 unit for next year (current rate 1 unit equals 3400 usd)OCI bangalore:Base : 44 lakh inrStock : 90 lakh for 4 year divided equally each yearJoining bonus : 12.5 lakh inrRelocation support upto 3.75 lakh inr,0,29,2021-4-30 20:20:32,/post/Amazon-seattle-or-OCI-bangalore-hUGXJ7ir,Mars
