,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Google vs Microsoft vs Amazon,LiPw13,/company/SoundHound/,nan,"So, I recently posted about Microsoft vs Amazon offers and everyone asked me to take the Microsoft offer. Now I have a Google offer too and my situation has changed (a bit) with Amazon.This is a big decision (personally) and would really like to get you guys' opinion :)Education: MSYOE: 2Google:Base:    $175kStocks: $360k over 4 years (25% per year)Perf bonus: 15%Sign-on: $35kTC:. $300k (= 175 + 15% + 360/4 + 35/4)Location: Mountain View, CADetails: L4 ML SWE at either youtube or google search adsMicrosoft:Base:    $155kStocks: $225k over 4 years (25% per year)Perf. Bonus: 10%Sign-on: $100k ( 50k each for years 1,2)TC:  $252k  (= 155 + 10% + 225/4 + 100/4)Location: Seattle, WADetails: Applied Scientist (L62) with BingAmazon:Base:     $175kStocks:  80 RSUs (5-15-40-40 split)Sign-on: $100k (year 1), $80k (year 2)TC:. $287k (= total compensation over 4 years divided by 4, at today's stock price; ~$292k-$296k-280k-$280k across 4 years) Location: San Francisco, CADetails: L5 ML Engineer (with a confidential team)Note: My Amazon recruiter is willing to get my TC to upto $305k provided I take their offer for sure.Okay, so which one is better?! Not just in terms of exact TC. Here are some questions I am having.1. Google tc is better only by ~6k compared to Microsoft's just after tax. Is it worth it?! Expected a lot more from Google!2. I like my Microsoft team the most. Also the role there is considered at much higher standards compared to the other two. Going into a more research role would, I feel, set me up for a much better life in the long run ( I really like research)3. I tried to get matched to a ML SWE role with Google Brain/Research but couldn't. Can I switch internally IF needed in the future?4. My google recruiter told me I may get ~33% stock refreshers grant after year 1. Is it true? How likely is it?! 5. I don't wanna talk to my amazon recruiter, get that huge ~20k jump and then renege them. Is it worth considering Amazon?! I liked the team and they are made of hyper-smart people.5. Any other thoughts?Thank you so much for your valuable time!",9,169,2021-4-10 18:17:33,/post/Google-vs-Microsoft-vs-Amazon-jumy5U0b,Microsoft
0,MSFT vs Amazon (AWS) Offers,mazonjakkd,/company/Apple/,Eng,"I’m leaving Apple because of bad team/manager. I also want to try something new.I got offers from Amazon and MSFT.Role: Security EngineerLocation: LondonAWS:TC: 124KMSFT:TC: 113K (slightly less than current TC, but I can move to a cheaper place and work remote)AWS Pros:- Learning/growth- Team seem to have some smart peopleMSFT Pros:- Work from home permanently- WLB- People there seem happyPlease Vote :)YOE: 6TC: 115KUpdate:Microsoft seems to be the obvious winner.I decided to go ahead and accepted their offer.",1,65,2021-5-17 13:29:41,/post/MSFT-vs-Amazon-AWS-Offers-cJWDA01a,Microsoft
0,Microsoft redmond to sunny vale,wnaBeMicro,/company/Amazon/,Other,"Prepping to join Microsoft - the team is in Redmond, but I am frankly bored of Washington weather and want to move to Sunny vale, Ca.Is it easier to ask for a position in Sunny vale, CA? Ofc I would be paying taxes there so would expect premium pay.Or would it be better to interview internally as soon as I join? Any idea? #microsoft #tech",3,26,2021-5-22 22:31:27,/post/Microsoft-redmond-to-sunny-vale-Wg5jgLG2,Microsoft
0,Microsoft international transfer,kucfsejw,/company/Walmart/,nan,"Planning to join Microsoft and I am interested to take international transfer to US or other countries.At what level does Microsoft allow international transfer?Is there any prerequisites before taking transfer and how easy to take the transfer?Current location: Bangalore, IndiaTC: 40 LPATotal experience: 7 years",1,15,2021-5-16 14:03:54,/post/Microsoft-international-transfer-vt7XgAyn,Microsoft
0,Which to Join? Tekion vs Microsoft IDC,wLWi18,/company/Amazon/,nan,"YOE : ~6 yearsMicrosoft IDC:Base : 37 LPAJB : 8LPA (5+3)Stocks : $92000/4 yearsLevel : L63Tekion Corp:Base : 54LPAJB : 8LPA (4+4)ESOPs : 7500 units / 4years [IPO possible maybe in 3-4 years then the value will be 80 Lakhs- 1.4 Cr]Level : SDE4Guys please help me out to decide, as i know in Tekion WLB will take a hit. If i remove the ESOPs of Tekion then TC is almost same. #tech #microsoftindia",1,30,2021-5-20 08:28:29,/post/Which-to-Join-Tekion-vs-Microsoft-IDC-NHqPsjz1,Microsoft
0,"Microsoft Data Scientist, India, ready for lowball",CRyQ65,/company/American-Express/,nan,"My interviewer called me and told that I am selected in Microsoft Hyderabad as Data Scintist and will get a confirmation email shortly. From previous blind posts, I know that Microsoft never give the numbers first. I am trying to be ready to dodge their lowball offer, What numbers should I give from my side? And how should I negotiate? I have a counter-offer but I am not willing to walk away, the job role is fascinating to me. I am thinking of giving 20 base + $33k RSU (4years) + 7 joining bonus (4+3) + 2 relocation bonus + 4 performance bonus (20% of base salary).How does this look? I have a competing offer from HFT company for 25 base + 10 bonus (Will it help here?)TC: 20Yoe: 1.2#salarynegotiation #microsoft #datascience #india",3,44,2021-3-9 07:26:03,/post/Microsoft-Data-Scientist-India-ready-for-lowball-HF5PxNOt,Microsoft
0,Microsoft Data Scientist Interview,RdfS62,/company/Samsung/,nan,"Hello All,I recently interviewed with Microsoft for Data Scientist role & had 04 rounds on same day.After 02 days I got a call from Microsoft asking for current compensation,  location & any other offer in hand.Does it mean I'm selected and MS will release offer.I didn't receive any update after that.How long does it take to get any update. It's been 07 days I interviewed.",3,11,2021-4-16 13:06:38,/post/Microsoft-Data-Scientist-Interview-n0LfP14C,Microsoft
0,Rubrik vs Microsoft vs Amazon,micos,nan,Eng,"Hi Guys,I got an offer from Rubrik's devops teamMicrosoft Azure teamAnd some new team in AmazonAll the offers are for SDE1 role.YOE : 2 yearsNote - I care more about work and not much about compensationPlease let me know your opinionsEdit : People who are looking for compensation, I have already shared in the other postI don't want to add compensation here because I want opinions based on the work that's why I have shared the team details.",1,18,2021-5-20 14:45:58,/post/Rubrik-vs-Microsoft-vs-Amazon-mw7Yn76z,Microsoft
0,MSFT vs Amazon offers,LiPw13,/company/SoundHound/,nan,"Ok, I posted about my Amazon offer a while back but got it removed (idk why)Now, I have a microsoft offer too. What do you think is better?! (All numbers in USD)PLEASE NOTICE THE LOCATION DIFFERENCEEducation: MSYOE: 2MSFT: Level: L62 (Applied Scientist 2)Location: Seattle, WABase: 155kStocks: 225k (over 4 years)Sign-on: 100k (50k each for years 1, 2)Perf. Bonus: 10% TC: ~252k (= 155 + 225/4 + 10% + 100/4)Team: BingAMZN:Level: L5 (ML Engineer)Location: San Francisco, CABase: 180kStocks: 80 RSUs (5-15-40-40 split)Sign-on: 100k (year 1), 80k (year 2)TC: ~286k ( = total compensation divided by 4, with today's stock value)Team: Confidential (sorry)Which one do you think is good?! I think I can probably negotiate my Amazon offer a bit more but honestly am sorta happy with it lol. Edit: My amazon tc for the 4 years will be 292k-296k-278k-278k",11,82,2021-4-1 22:23:36,/post/MSFT-vs-Amazon-offers-TaBwOJwr,Microsoft
0,MSFT internal transfer or New company,Gola_MS,/company/Microsoft/,nan,I joined MSFT in DEC 2020. I am quite unhappy with my team and the kind of work I am doing. I just can't wrap my head around the fact that my work manager and career manager are different. Work manager is so swamped with his work and he hardly put any efforts in understanding my concern. I have never worked in an unorganized team as this. I have lost my faith in just 6 months. Is this same across MSFT?Should I go opt for another team or search for different opportunities.#engineering #software #swe #microsoft,2,11,2021-5-18 01:14:06,/post/MSFT-internal-transfer-or-New-company-o5sKAcrZ,Microsoft
