,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Blacklist by JP Morgan or Morgan Stanley,yemedy,/company/Capgemini/,nan,"If I accept the offer from JP Morgan and did not join, will they blacklist me for whole life? Won't I ever be able to get job in JP Morgan in future? Same question for Morgan Stanley.#morganstanley #jpmorganchase #jpmorgan #blacklist",0,19,2021-5-7 10:06:42,/post/Blacklist-by-JP-Morgan-or-Morgan-Stanley-HAzi5dvH,Morgan-Stanley
0,Oracle OCI vs Morgan Stanley offer evaluation,zeushade,/company/HSBC/,nan,"Hi blinders,Hope everyone is doing good 🙂.I need suggestions from you all. I am bit confused as which firm to join Oracle OCI   vs Morgan Stanley.Current TC : 22lpaCurrent designation : Senior Software EngineerYear of experience : 3 years 6 monthsOracle OCI offer : TC: 25.4 lpa(incl gratuity and PF) + ( 4+4) bonus - 4 lakhs bonus in first salary and other  4 lakhs  in 18th month salary year + 9 lpa stock per year for 4 years (total 36 lakhs)Overall TC : 38.4 lpaDesignation:  mts ( software developer 3 )Morgan Stanley Offer :TC: . 27.5 lpa (incl gratuity and PF) + 3 lakh joining bonusOverall TC : 30.5 lpaDesignation:  Senior AssociateI am not certain about Oracle OCI work as it is purely java based but Morgan Stanley is offering me good work that I want .Please help me choose which one to join?",1,41,2021-4-10 10:34:23,/post/Oracle-OCI-vs-Morgan-Stanley-offer-evaluation-SZeU6yTH,Morgan-Stanley
0,Background verification in Morgan Stanley,yemedy,/company/Capgemini/,nan,"I have got an offer from Morgan Stanley ( Mumbai, India) and DOJ will be around 1st July as per offer. But I can join anytime after 2nd June. They told me after background verification they will confirm the exact date.I want to know how much time it takes for background verification in Morgan Stanley? Is there any chance that offer can revoke? Should I be worried?I don't have any criminal record :#finance #morganstanley #backgroundcheck #mumbai",0,2,2021-5-20 20:19:26,/post/Background-verification-in-Morgan-Stanley-1ERNfqzi,Morgan-Stanley
0,Morgan Stanley Referral,KDPU07,/company/Morningstar/,nan,"Hello all,Would love if someone could be my Morgan Stanley referral -- please let me know if you need anything from my side!",0,1,2021-3-26 20:08:24,/post/Morgan-Stanley-Referral-dWjikSvn,Morgan-Stanley
0,Morgan Stanley VP Comp Expectation,scotty69,/company/Capital-One/,nan,"Recently received a VP level offer from Morgan Stanley, quoted base was 175k and target bonus was 45k.How does this offer track with what you would expect? Is there room for negotiation?Does Morgan Stanley offer signing bonuses as well?Also - if you have unvested RSU, does Morgan Stanley ""buy them out"" for you?YoE: 1.5, Current TC: ~205k, Education: PhD#compensation #offer #morganstanley",1,6,2021-4-5 22:39:33,/post/Morgan-Stanley-VP-Comp-Expectation-aYmtc7CR,Morgan-Stanley
0,What are the advisory fees at Morgan Stanley for different AUM?,9sd~zac5!,/company/Slack/,nan,"I’m currently paying 1% fees for AUM between $1M and $2M. I’ll cross $2M this year and $3M next year, and I’ve heard that the fees go down with increasing AUM.Curious to hear what rates people have and what different tiers might exist for increasing AUM. Not interested in Boglehead recommendations — have enough in the MS ecosystem (mortgage, LAL, cash accounts, etc.) that I’m not looking to unwind them all yet.I signed up for wealth management during one of the info sessions that MS organized at work. Don’t know if there are better rates to be found from shopping around. TC: $650k",2,13,2021-5-18 04:06:52,/post/What-are-the-advisory-fees-at-Morgan-Stanley-for-different-AUM-NLghY78T,Morgan-Stanley
0,Morgan Stanley or Publicis Sapient?,UGKD13,/company/Publicis-Sapient/,nan,I joined publicis Sapient 3 months before in UK. Now got the offer from Morgan Stanley which is giving me salary in same range + few extra bonuses.Is it worth joining Morgan Stanley in this scenario? Please advise. #engineering #software #swe,2,1,2021-5-13 14:41:33,/post/Morgan-Stanley-or-Publicis-Sapient-DhBP7ddC,Morgan-Stanley
0,Morgan Stanley v/s JP Morgan for software Engineer?,yemedy,/company/Capgemini/,nan,Which one to choose between JP Morgan or Morgan Stanley for career growth as a software developer and better work life balance?#tech #finance #developerprogram #jpmorgan #jpmorganchase #morganstanley #career,0,6,2021-5-6 19:44:58,/post/Morgan-Stanley-vs-JP-Morgan-for-software-Engineer-Ph7Ed1xt,Morgan-Stanley
0,Shall I accept offer from Morgan Stanley?,UGKD13,/company/Publicis-Sapient/,nan,I joined publicis Sapient 3 months before in UK. Now got the offer from Morgan Stanley which is giving me salary in same range + few extra bonuses.Is it worth joining Morgan Stanley in this scenario? Please advise. #engineering #software #swe,0,3,2021-5-13 14:34:54,/post/Shall-I-accept-offer-from-Morgan-Stanley-TzFsHroM,Morgan-Stanley
0,Morgan Stanley Internship Referral,DeloitteH,nan,Consultant,"Hey Blind Community, I just saw the summer 2022 tech analyst Internship go up and I would really like to intern there. Is anyone willing to give me a referral? I would really appreciate it.#morganstanley",1,0,2021-4-17 05:39:35,/post/Morgan-Stanley-Internship-Referral-NpbjDkw4,Morgan-Stanley
0,Morgan Stanley vs Twilio vs Paytm vs Oracle OCI,wander_ww,/company/Cerner/,nan,"I have 4 offer letters in hand for India, YOE - 4.2 years. Which one is better among this.Morgan Stanley:  Designation - Manager, Bangalore, Base - 20L + PF, SignOn- 2.5L (expecting base to get increased based on other competing offers), how much should I ask for?Twilio:  Designation - Software Engineer(L2), Bangalore, Base - 19.5L + PF-gratuity , SignOn - 3.7L, RSU - 80K USD for 4 yrs (14.5L/yr)Paytm: Designation - Senior Software Engineer, MG02A, Noida, Base - 22L + gratuityOracle OCI: Designation - Member of technical staff, Bangalore, Base - 23.5L (incl PF-gratuity), SignOn- 3.5L(1st yr) +3.5L (after 1.5 yr), RSU - 5L/yr for 4 yrsI am thinking to join between Twilio/Morgan Stanley. I am willing to join that company where it is easier for me to move to US after some time. Please suggest me which one to join as per your opinion.If someone is suggesting Twilio or Morgan Stanley if they can also say few pros n cons. It will be really helpful for me. #twilio #morganstanley #oraclecloud #oracle OCI #paytm #engineering #software #swe",2,35,2021-4-1 10:20:46,/post/Morgan-Stanley-vs-Twilio-vs-Paytm-vs-Oracle-OCI-QefFJea4,Morgan-Stanley
0,Fractional stocks on Morgan stanley and fidelity,°•°,/company/Amazon/,nan,"Why can't morgan stanley and/or fidelity allow fractional stocks? If they do, sell to cover tax for Amazon RSU wouldn't be as bad!@Amazon #RSU #morganstanley #fidelity #amazon",0,4,2021-4-29 21:29:49,/post/Fractional-stocks-on-Morgan-stanley-and-fidelity-PFv44kJG,Morgan-Stanley
0,"[Mumbai, INDIA] Benefits of working at Morgan Stanley",noobie12,/company/Oracle/,nan,"What are the benefits and perks or working at Morgan Stanley, Mumbai?",3,11,2021-2-26 15:52:08,/post/[Mumbai-INDIA]-Benefits-of-working-at-Morgan-Stanley-irUuwfm4,Morgan-Stanley
0,Referral needed in Morgan Stanley London,hlSd01,/company/Cohesity/,nan,HiMy friend is looking for a referral in MS London. Their background is a senior VP in Goldman Sachs.Help much appreciated.#london #bankersfinancial#morganstanley,1,3,2021-3-13 06:09:27,/post/Referral-needed-in-Morgan-Stanley-London-MJBwMz35,Morgan-Stanley
0,Morgan Stanley VP Digital Product Manager TC,zOtp31,/company/Wells-Fargo/,nan,"Hi All,Does anyone know what the comp package would look like for a VP Digital Product Manager with 6 YOE in the Morgan Stanley Private Bank?#productmanager #morganstanleyThanks",3,1,2021-5-11 14:47:56,/post/Morgan-Stanley-VP-Digital-Product-Manager-TC-q0m0xjxU,Morgan-Stanley
0,Morgan Stanley - Not as good as I thought?,wall-eva,/company/Oracle/,nan,I recently had interview with MS and was surprised with the incompetent interviewers they assigned for the interview. One kept interrupting me while I was giving the answer for their question to the point of being rude and arrogant. In another round the person gave me LC problem and went on mute. Didn't give any response to my solution I was planning to implement. I was so confused. Is this the norm there? Left a bad impression tbh. Dejected and disappointed.#rant,0,7,2021-4-14 21:57:38,/post/Morgan-Stanley---Not-as-good-as-I-thought-2asjYjNj,Morgan-Stanley
0,Morgan Stanley AVP Salary NYC,AB23616,/company/JPMorgan/,nan,Have an interview this week. Looking for the salary range. 3 YOE.,1,5,2021-3-8 23:06:00,/post/Morgan-Stanley-AVP-Salary-NYC-pAwKa8Sb,Morgan-Stanley
0,I-140 Revoke - Ex Morgan Stanley employees,hdhxbw,/company/Morgan-Stanley/,nan,"Can ex-Morgan Stanley employees  with approved I-140 tell me if the firm revoked your I-140 when you changed jobs?I dont think so, but wanted to reach out and confirm.TC - 150k#workvisa #I140 #h1b",1,1,2021-2-26 15:37:01,/post/I-140-Revoke---Ex-Morgan-Stanley-employees-2QNboLFM,Morgan-Stanley
