,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,NetApp vs AMD vs Qualcomm,oIlA24,nan,nan,"Hi,I'm just finishing up my MS and I have around 2 YOE before MS.I have the below offers and I need help in finalizing one of them.NetApp:Base: 103kStocks: 55k / 4 yearsSign on: 10kQualcomm:Base: 103kStocks: 40k / 3 yearsSign on: 25kRelo: 10kAMD:Base: 115kStocks: 30k / 3 yearsSign on: 15k.Please let me which one is better. Thank you",0,27,2021-4-16 11:41:50,/post/NetApp-vs-AMD-vs-Qualcomm-NKr5iZra,NetApp
0,Evaluating an Offer from NetApp,VeeYumWere,/company/VMware/,nan,"What's the work culture like? What about Job Security, etc. Pls advise. #netapp",0,5,2021-4-27 09:07:37,/post/Evaluating-an-Offer-from-NetApp-8FimpsK6,NetApp
0,NetApp compliance issue if out of country,wgdyh,/company/NetApp/,nan,"There seems to be a rule in NetApp that if you are in a country other than your place of employment for more than 90 days you are out of compliance. Anyone has any experience with this.So due to covid and travel ban , I have been stuck in India for almost 4 months. My options are limited and I have to either go unpaid or take a transfer .I know of folks in other companies and even in NetApp who have not had to face this issue.Reached out to the lawyers and HR but if anyone has any personal experience would love to hear your thought.PS: Have a valid stamped H1B #covid-19 #india #travelban",1,2,2021-5-20 19:08:06,/post/NetApp-compliance-issue-if-out-of-country-Rorx8QdH,NetApp
0,Salaries at NetApp NYC,💰 ⚽️ ,/company/Amazon/,nan,What’s the comp like for sales org in NYC?,0,0,2021-3-8 23:52:07,/post/Salaries-at-NetApp-NYC-XGmxt1dg,NetApp
0,Sales / BD comp in NYC for NetApp,💰 ⚽️ ,/company/Amazon/,nan,"how is comp in the sales org in NYC? Sales, BD, Marketing?TC 150K10 YoESales Rep",0,0,2021-3-6 01:05:53,/post/Sales-BD-comp-in-NYC-for-NetApp-PyoVr2DO,NetApp
0,"Is NetApp dying ?? Cloud division is just the last spark ??

Kurian brother magic is dying .. ?",texan911,/company/Amazon/,nan,Is NetApp dying ?? Cloud division is just the last spark ?? They have acquired good companies in last 1 year .,0,3,2021-4-2 17:39:57,"/post/Is-NetApp-dying-Cloud-division-is-just-the-last-spark-

Kurian-brother-magic-is-dying-LLBQWN8D",NetApp
0,"What's TC for current MTS 3 Developer and QA in US location?

TC: 130k, Joining Bonus 7k, No RSUs. 2.5 yrs",eFMV26,/company/NetApp/,nan,#tech #tc #netapp #salarycomparison #careerbuilder #sunnyvale #sanfrancisco,0,9,2021-3-25 15:09:07,"/post/Whats-TC-for-current-MTS-3-Developer-and-QA-in-US-location

TC-130k-Joining-Bonus-7k-No-RSUs-25-yrs-YdjYWG0R",NetApp
0,Looking for referrals in top product based companies in Bangalore,nav_ahm,/company/Citi/,nan,"Looking for referrals in Microsoft, Google, Uber, Walmart, Flipkart, Intuit, Paypal, Adobe, Oracle, SAP labs, Linkedin, Altassian, Netapps or rockstar startups in Bangalore, India.I have above 13 yrs of exp in IT program/product management. IIM + NIT graduate.Would fit in Principle/Sr Program Manager/TPM/PM roles mostly.",4,22,2021-4-11 18:08:45,/post/Looking-for-referrals-in-top-product-based-companies-in-Bangalore-xBsUhn2q,NetApp
0,Looking help with referrals [INDIA],sanchez_,/company/Mentor-Graphics/,nan,"Hi Folks,I am looking for some referrals for the following companies#vmware #deshaw #salesforce #nutanix #linkedin #rubrik #atlassian #intuit #cohesity#paypal #twitter #netapp#visa #walmart Help is really appreciated. I am having hard time getting calls. I have skipped others as i have referrers working over there and have already applied. I have experience in scaling distributed systems but not web based. Looking to change my domain. YOE : 9 TC: 33Edit: i wish to thank all the folks who have openly helped. I have received so many emails  already for referrals!! Thanks a lot guys i want to contribute back to the community!! Of course i would be referring everyone + any suggestions are most welcome to help our fellow jobseekers back :)",2,30,2021-5-11 11:05:12,/post/Looking-help-with-referrals-[INDIA]-XekWs86t,NetApp
0,Need Referral @India,virtusian,/company/Virtusa/,IT,"New to blind and my first post!Need referrals in good product based companies in India. Thanks in advance.YOE : 6.5 yearsSkills : Java, spring, micro servicesTC : 16 LPA*edit : Updated TC#google #uber #microsoft #qualcomm #flipkart #paytm #jpmorgan #goldmansachs #wellsfargo #walmart #dellemc #dell #facebook #apple #netflix #netapp #ey #jobopening",1,19,2021-4-6 15:53:54,/post/Need-Referral-@India-h35SD5UL,NetApp
0,Requesting referrals for Fall internships,as@123,nan,nan,"Hello everyone,I'm seeking referrals for Fall 2021 internship (SWE / Data Engineer). Currently, a grad student in a top 10 university and will be working with PayPal this summer. I have full-time work experience of 1.5 years in a fintech company.I know about fall positions only in a few companies, would love to know more from you. Any help is much appreciated, thank you in advance! #amazon #google #facebook #microsoft #stripe #netapp #uber #nvidia #tesla #referral #internship",2,1,2021-4-8 05:16:58,/post/Requesting-referrals-for-Fall-internships-1H5K5B5x,NetApp
0,AWS PM looking for PM referral,covidwfh,/company/Amazon/,nan,"I'm looking for PM roles that requires advanced knowledge in: Cloud Infrastructure, Kubernetes, Containers, Service Mesh, CI/CD, Observability, Developer Experience, Microservices, IAM, Compliance, Service Oriented Architecture, API/RESTful WebServices, low-level systems13 yoe w/ product launch experience, MS,BS in CS, #google #productmanager #splunk #vmware #dell #redhat #servicenow #apple #netapp #cloudflare #cloud #teradata #facebook #stripe I have tagged a few companies I’m aware but open to mid sized companies too ",2,13,2021-3-27 17:14:57,/post/AWS-PM-looking-for-PM-referral-O5unD45C,NetApp
