,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Oracle OCI onsite loop,dhftbjmd0,/company/Dell/,nan,Have my OCI virtual on-site next week. Preparing Oracle tagged LC. Please share any insights on system design interview and other tech areas that they might ask in the on-site .YOE: 5 Tc: 200k#engineering,0,7,2021-5-19 19:02:45,/post/Oracle-OCI-onsite-loop-QjnqAx8F,Oracle
0,Offer Comparison in India Oracle OCI vs Swiggy,somethi,/company/Amazon/,nan,"Hi,I have following two offers. Please help me with selecting one of this.OCITitle: MTSBase: 30LJoining Bonus: 7L/2 RSU: 46L/4TC First and Second year: 45LTC Third and Fourth year: 41.5LSwiggyTitle: SDE2 Base: 37LJoining Bonus: 4L(first year) + 3L(second year)ESOPS: 16L/4TC First year: 45LTC Second year: 44LTC Third and Fourth year: 41LPlease help me with selecting the offer in terms of:1. Work Culture2. Role Expectations3. Growth opportunities4. Work life balanceYOE: 2 yearsCurrent TC: 22L",2,19,2021-5-20 11:05:58,/post/Offer-Comparison-in-India-Oracle-OCI-vs-Swiggy-FPDSerQk,Oracle
0,Oracle oci offer evaluation,asgardians,/company/Walmart/,Eng,I am currently working as a Senior Software Engineer IN4 engineer at Walmart.OCI offer :Role : SMTS (IC3)Base Salary: 48LSigning Bonus: 14L INR (signing bonus)Stock bonus: 1200 units for 4 yearsCurrent TC: 52 L INRYOE: 8 yearsPlease provide honest suggestions this will help to make the right decision in the comments. #oracle #OCI #Oraclecloud #tech #tech #walmart ,2,15,2021-5-4 17:03:05,/post/Oracle-oci-offer-evaluation-cUE8kq7j,Oracle
0,Oracle (OCI) offer - India - need suggestions,lJtr64,/company/Amazon/,nan,"OCI offer :Role : PMTS (IC4)Salary: 70,00,000 INRRelocation/Signing Bonus: 24,00,000 INR (signing bonus)Stock bonus: 2500 units = $45k per yr for 4 yearsCurrent TC : 90 L INRCurrent role : SDE 3 at FAANGYOE : 6 yearsWould like to understand your thoughts and opinions of OCI. I've worked with only the top 4 firms so far so also worried that this might be a step down on my profile.EDIT : Genuinely looking for thoughts/suggestions into whether I should consider this move. I do not have too many clues about OCI and would be nice to get some inputs.I'm also kinda embarrassed because this is not a veiled flex or anything. I am the kind of person who does not even broadcast their job updates on LinkedIn. So flexing on blind for an offer that I am probably going to reject is the last thing I would do 🙈🙈",9,49,2021-4-14 19:03:33,/post/Oracle-OCI-offer---India---need-suggestions-L4KNmOjK,Oracle
0,Oracle OCI IC3,archies507,/company/Microsoft/,nan,I was told verbally getting IC3 offerBase pay 160kStocks per year 100kCash on bonus 20k (total 40k paid in 2 year)Suggest me how to get 300k per yearSeattle Current# 210kExp 10 years.,0,7,2021-5-17 05:24:52,/post/Oracle-OCI-IC3-BPjbtcLo,Oracle
0,Oracle OCI vs Microsoft Azure,EBPz35,nan,nan,I have offers from Microsoft and Oracle. I am confused in selecting one. Here are the detailsMicrosoft:SSE : 37L + 28L worth of stocksOracle:Senior MTS: 47L+ 19L worth of stocks.Current company: latest number is :65L + 3L worth ESOPsYOE: ~9P.S :  My current company is matching this offer in base pay itself and giving ESOP on top of that.Any help would be appreciated. Which one will be good for growth with good WLF?,1,21,2021-4-28 11:54:02,/post/Oracle-OCI-vs-Microsoft-Azure-q5VFAZ2R,Oracle
0,Oracle OCI(New grad) vs VMware MTS-1,WAMH26,/company/VMware/,nan,"I have the following offers and am conflicted between the two regarding growth , work culture and hike. Any help is appreciated. Thanks.VMware MTS-1 (New Grad got PPO from here) Location: BangaloreBase: 14L + 1.7L( Target Bonus)Joining Bonus: 3.5LStocks: 15k USD with 25% each over 4 yearsRelocation: 80kOracle OCI (New Grad )Location: BangaloreBase: 15.5LJoining Bonus: 6L ( Clawback of two year)Stocks: 600 RSUs with 25% each over 4 yearsPlease Share thoughts on Oracle work culture and hikes#newgradsalary #oracle #vmware ",0,32,2021-5-8 07:19:13,/post/Oracle-OCINew-grad-vs-VMware-MTS-1-7jNdARFU,Oracle
0,Oracle OCI vs Morgan Stanley offer evaluation,zeushade,/company/HSBC/,nan,"Hi blinders,Hope everyone is doing good 🙂.I need suggestions from you all. I am bit confused as which firm to join Oracle OCI   vs Morgan Stanley.Current TC : 22lpaCurrent designation : Senior Software EngineerYear of experience : 3 years 6 monthsOracle OCI offer : TC: 25.4 lpa(incl gratuity and PF) + ( 4+4) bonus - 4 lakhs bonus in first salary and other  4 lakhs  in 18th month salary year + 9 lpa stock per year for 4 years (total 36 lakhs)Overall TC : 38.4 lpaDesignation:  mts ( software developer 3 )Morgan Stanley Offer :TC: . 27.5 lpa (incl gratuity and PF) + 3 lakh joining bonusOverall TC : 30.5 lpaDesignation:  Senior AssociateI am not certain about Oracle OCI work as it is purely java based but Morgan Stanley is offering me good work that I want .Please help me choose which one to join?",1,41,2021-4-10 10:34:23,/post/Oracle-OCI-vs-Morgan-Stanley-offer-evaluation-SZeU6yTH,Oracle
0,Oracle OCI Interview,Ravu14,/company/Veeva/,nan,Anyone recently interviewed at Oracle OCI? What kind of questions they ask in first coding round?Is it leetcode medium?,2,19,2021-3-10 04:14:23,/post/Oracle-OCI-Interview-5BsqyXkE,Oracle
0,Oracle OCI Vs non OCI Pay,gmhk,/company/Capgemini/,IT,"Can oracle OCI salaries be used as a reference for non OCI teams, how much to expect for SMTS for OCI and for non OCI for Indian service based employees?",0,6,2021-5-11 02:53:59,/post/Oracle-OCI-Vs-non-OCI-Pay-eZZEKHmS,Oracle
0,Oracle OCI I-140 Transfer processing?,dbeh8312,/company/ResMed/,nan,What’s the policy for transferring Approved I-140 at Oracle? Do they start immediately or have to wait 6 months to restart PERM for role after joining OCI?Edit: Clarification that I already have my I-140 from previous employer.,0,11,2021-5-9 08:30:33,/post/Oracle-OCI-I-140-Transfer-processing-w5DVdphT,Oracle
0,Atlassian Bangalore vs Oracle OCI Bangalore,oci_guy,/company/Oracle/,nan,"Hi Community,Can you please help me give a inside scoop of dev culture at Atlassian Bangalore? For now I am not talking of money part and want to talk just about -1. How is the dev culture at Atlassian, Bangalore?2. As per HR, permanent remote working is applicable only in Sydney and US regions, but not in India. Does Atlassian takes the company values seriously or are they just on papers?3. What is the difference of P5 vs P6 engineers role? What is the difference of usual years of experience - I have 13 Yoe and am Principal engineer in OCI, but as per HR, my interview performance was not enough for a P6. I think I did well, but seems like they don't want to negotiate.4. For a family person with kids, is Atlassian, Bangalore a good place overall - compared to OCI, Bangalore?Reason for looking out -  I am looking out of WLB. OCI is just focusing on deliveries, high work pressure and no scope of learning and relaxing. I am not able to invest my time with my kids. But if Atlassian is not so lucrative, probably I won't switch and I would try for Faang company. Btw, Oracle stock is at all time high. Thanks a lot !Yoe 13Tc details -Oci - 61L base + 23L Rsu = 84lpaAtlassian - 50L base + 7.5 bonus + 30L rsu = 87.5lpa",7,20,2021-4-16 07:45:56,/post/Atlassian-Bangalore-vs-Oracle-OCI-Bangalore-fFiYjRvn,Oracle
0,Need help in choosing offer Expedia vs Oracle OCI,BlwX22,/company/Expedia/,nan,"Same TC ~45L. Base is ~34L in both.Sde 2 levelYoe 4.8Location IndiaExpedia team is egencia vs Oracle OCI team is developer services if that helps. Which one to choose?Priority is wlb, and good quality work that help in next switch... Pls comment the reason too. This is for my friend.",1,11,2021-5-18 17:31:29,/post/Need-help-in-choosing-offer-Expedia-vs-Oracle-OCI-p86GHtMk,Oracle
0,Oracle OCI Hiring Freeze,ylqJ64,nan,nan,Anyone has any idea when OCI hiring freeze gets lifted? I got verbal offer in Dec and awaiting for the offer letter,0,8,2021-4-1 20:44:28,/post/Oracle-OCI-Hiring-Freeze-CLGkqXVe,Oracle
0,Brand Value of OCI(oracle cloud infrastructure) !!!,vridhi,/company/Capgemini/,nan,"What brand value does OCI have in the regions like USA and Europe, I have heard that in states it does have decent brand value cos the tech community is kind of aware about some next gen cloud services that oracle is building. Let's have a poll !!!!In India what I feel is that people are still unaware of OCI and considers it same as the other orgs.TC : 29lpaYOE : 2.5 #tech #cloud #aws #oracle #oci #faang #azure",2,16,2021-3-8 16:22:24,/post/Brand-Value-of-OCIoracle-cloud-infrastructure-JdEtbDEa,Oracle
0,Oracle oci rsu details,PvkX43,/company/Amazon/,nan,"Recently joined Oracle oci, I am yet to get details about the details of vesting like, stockbroker vesting schedule etc. When can I expect to get these, do we get these automatically or do we have to contact someone for it .Joined on 1st week of April.",4,4,2021-4-16 17:56:43,/post/Oracle-oci-rsu-details-YVeesmdD,Oracle
0,Oracle OCI IC2 Offer,zeushade,/company/HSBC/,nan,Current TC : 22lpaCurrent designation : Senior Software EngineerYear of experience : 3 years 9 monthsOci TC: 25.4 lpa(incl gratuity and PF) + ( 4+4) bonus - 4 lakhs bonus in first salary and other  4 lakhs  in 18th month salary year + 9 lpa stock per year for 4 years (total 36 lakhs)Overall TC : 38.4 lpaDesignation:  mts ( software developer 3 )Please evaluate offer  ?#tech #oci #oraclecloud#oracle #worklifebalance,1,4,2021-3-15 18:22:13,/post/Oracle-OCI-IC2-Offer-YLuwVyww,Oracle
0,Oracle OCI principal PM ,kurtt,/company/Akamai-Technologies/,Product,"Base : 160k Rsu : 1500 unitsLocation : austin,txI know this is a low ball offer.  How much max TC can I expect to negotiate upto here ?",1,2,2021-5-14 14:39:17,/post/Oracle-OCI-principal-PM-VCq5ujqp,Oracle
0,Zeta(directi) vs Oracle OCI,zeushade,/company/HSBC/,nan,"Hi blinders,Hope everyone is doing good 🙂.I need suggestions from you all. I am bit confused as which firm to join Oracle OCI   vs Zeta ( Directi)Current TC : 22lpaCurrent designation : Senior Software EngineerYear of experience : 3 years 6 monthsOracle OCI offer : TC: 25.4 lpa(incl gratuity and PF) + ( 4+4) bonus - 4 lakhs bonus in first salary and other  4 lakhs  in 18th month salary year + 9 lpa stock per year for 4 years (total 36 lakhs)Overall TC : 38.4 lpaDesignation:  mts ( software developer 3 )Zeta Directi Offer :34 base lpa(incl gratuity and PF)+ 2lpa bonus + 17 lpa lakhs esops(10%,20%, 30%, 40%) not listedOverall TC : 37.4 lpa approx#Designation: software developer 2Please help me choose which one to join?",1,10,2021-4-30 19:44:30,/post/Zetadirecti-vs-Oracle-OCI-vFc7pACd,Oracle
0,Oracle stock growth vs IBM,blueca,/company/Apple/,nan,"#Oracle IBMOracle cloud growth propelled its stock price to new highs. It’s future looks bright as it can leverage its enterprise software experience. However, why can’t the same be said about IBM?Is it still a good time to buy Oracle?",0,3,2021-4-21 07:22:31,/post/Oracle-stock-growth-vs-IBM-EfpXaWOC,Oracle
0,Amazon seattle or OCI bangalore,SOyO20,/company/Amazon/,nan,I have recieved offer from both amazon seattle and OCI bangalore . I would like to know from community what they think is better to join given covid situation in India. Please help.Current tc :Base :27 lakh inrStocks: 20 lakhs inr per year for next 2 yearsAmazon seattle :Base :130k usdJoining bonus : 4k per month till mar 2022Relocation: 7k usdStocks : 20 unit for next year (current rate 1 unit equals 3400 usd)OCI bangalore:Base : 44 lakh inrStock : 90 lakh for 4 year divided equally each yearJoining bonus : 12.5 lakh inrRelocation support upto 3.75 lakh inr,0,29,2021-4-30 20:20:32,/post/Amazon-seattle-or-OCI-bangalore-hUGXJ7ir,Oracle
0,OCI Interview Experience / Expectations,sheSaidYes,/company/Amazon/,Eng,I have Interviews coming up for OCI India.Can someone share how is the difficulty level of coding questions asked in the interview ?YOE :- 9 monthsTC :- ~ 15#OCI#Oracle#interview,1,2,2021-5-19 18:22:14,/post/OCI-Interview-Experience-Expectations-ye2SEu6w,Oracle
0,Oracle offer with no stock,ZoraLink,/company/Attentive/,Eng,I got an offer from Oracle today and was a little surprised and disappointed. It is for a Senior Cloud Developer role. The salary is $130k with no bonus and no stock. Is this common with Oracle now? Levels shows an average stock of $39k/year even just for an entry level role.I would be working remotely so I don’t know if they aren’t offering stock to people remote or what. Does anyone have any information about this?,2,19,2021-3-31 02:06:12,/post/Oracle-offer-with-no-stock-nAn4O11S,Oracle
0,Oracle Non-OCI Director / Sr. Director comp in Seattle,thrice,/company/Amazon/,nan,"I am interviewing with a non-OCI team at Oracle. It's for a Director position, but will get upgraded to Sr. Director.I was told that non-OCI jobs are comp'd lower than OCI jobs. Is that true?How much can I expect in the Seattle area for both levels? Base and TC. #productmanager #productmanagement #oracle #director",2,3,2021-4-25 23:56:15,/post/Oracle-Non-OCI-Director-Sr-Director-comp-in-Seattle-umSyhCzF,Oracle
0,Entry level at Oracle 12 years of experience?,wMHh56,nan,nan,Is this true? Can someone from Oracle shed some light on this? How many years of experience does a normal Senior SE at Oracle have?https://www.linkedin.com/jobs/view/2497291187/?refId=e19a6a48-7d96-3adf-a787-f0f9de344380 #oracle,2,4,2021-4-10 14:21:07,/post/Entry-level-at-Oracle-12-years-of-experience-4nrGuxGC,Oracle
0,IC4 Principal UX Designer Oracle Bangalore India,AbYj00,/company/Informatica/,nan,What offer can I expect for IC4 Principal UX Designer role at Oracle India?Current TC: 35 L - will be 40 L starting April 2021 at my current company.YoE - 10.5Need urgent inputs as I am in the offer stage.#design #ux #designer #oracle #oraclemarketingcloud #ic4 #principal,2,1,2021-3-18 14:56:40,/post/IC4-Principal-UX-Designer-Oracle-Bangalore-India-ihfG1MjE,Oracle
0,stock comparison: apple vs microsoft vs oracle,zkiekenf9,/company/Oracle/,nan,which stock do you think will grow more/faster in the next 2-3 years,0,5,2021-3-1 16:32:06,/post/stock-comparison-apple-vs-microsoft-vs-oracle-7JB26VMs,Oracle
0,Does oracle give rsu/ bonus to support engineers,dPTG17,/company/Oracle/,nan,Does oracle give rsu/bonus to support engineers.,0,2,2021-4-6 20:50:17,/post/Does-oracle-give-rsu-bonus-to-support-engineers-5Ui7ocFm,Oracle
