,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Amazon or Publicis Sapient?,whatnow22,/company/JetBlue/,nan,YOE- 12Program ManagerAmazon offer- L6180K (TC) will know the breakdown soonSeattleSapient offer-170K base +10% annual bonusNew Jersey,1,9,2021-5-6 09:39:05,/post/Amazon-or-Publicis-Sapient-MBYO0h5H,Publicis-Sapient
0,Morgan Stanley or Publicis Sapient?,UGKD13,/company/Publicis-Sapient/,nan,I joined publicis Sapient 3 months before in UK. Now got the offer from Morgan Stanley which is giving me salary in same range + few extra bonuses.Is it worth joining Morgan Stanley in this scenario? Please advise. #engineering #software #swe,2,1,2021-5-13 14:41:33,/post/Morgan-Stanley-or-Publicis-Sapient-DhBP7ddC,Publicis-Sapient
0,Anybody worked at Publicis Sapient?,anon_data,nan,Data,I'm about to begin interviewing at Publicis Sapient for a Data engineering gig.Any interview tips or knowledge on what it's like to work there?,0,2,2019-11-3 23:12:09,/post/Anybody-worked-at-Publicis-Sapient-Qz7OuaQc,Publicis-Sapient
0,Moving to Publicis Sapient,job11,/company/Amazon/,nan,"Hi,I am considering moving to Publicis Sapient on a SDE role. Does anyone have any idea about the company? How well it’s functioning?This role might require traveling to client locations but I am generally excited as far as travel is concerned.I am not getting much significant hike though except rsus getting converted to fixed cash.Please suggest.",0,5,2020-11-15 12:44:18,/post/Moving-to-Publicis-Sapient-eZYXOtov,Publicis-Sapient
0, publicis sapient offer?,chiddy💥💥,/company/Microsoft/,nan,what to expect for a Sr. PM in MA; sdo they offer signing bonuses to offset unvested stock awards?7 YOE 150TC,1,4,2019-8-10 14:52:13,/post/publicis-sapient-offer-rVT8bbr0,Publicis-Sapient
0,Xebia vs Publicis Sapient vs Accolite,ofvR03,/company/Wipro-Limited/,nan,Can anyone suggest me which is good to join Publicis Sapient or Xebia or accolite as Senior Java developer for 3.5 Experience ?#engineer #interview #it #engineering #software #swe ,2,0,2021-2-20 20:08:44,/post/Xebia-vs-Publicis-Sapient-vs-Accolite-nmkAM4zF,Publicis-Sapient
0,Product at Publicis Sapient? ,vosss,/company/JPMorgan/,nan,In the process with them right now for APM... is it a good company/role? #product #productmanager #pm #apm,3,2,2020-9-26 01:15:41,/post/Product-at-Publicis-Sapient-XMify1Hc,Publicis-Sapient
0,Publicis Sapient - curious about pay/growth,BUVv67,/company/Pluralsight/,nan,Any insight in regards to roles in AI / Consulting. What is the culture and environment like?,1,5,2019-9-12 03:41:48,/post/Publicis-Sapient---curious-about-paygrowth-oEpwG5cA,Publicis-Sapient
0,"I got a call from Publicis Sapient UK for a Data engineering role, please share the interview experience if anyone has?",LsCf46,/company/Accenture/,nan,"I got a call from Publicis Sapient UK for a Data engineering role, please share the interview experience if anyone has? #tech #data engineer# Sapient",1,1,2021-2-18 00:59:47,/post/I-got-a-call-from-Publicis-Sapient-UK-for-a-Data-engineering-role-please-share-the-interview-experience-if-anyone-has-qxFFdBsa,Publicis-Sapient
0,Salary of Associate L1 at Public Sapient,URna06,/company/Magnitude-Software/,nan,What's the average salary of Associate L1 at Publicis Sapient #salarycomparison #salarynegotiation,1,5,2021-4-23 09:40:19,/post/Salary-of-Associate-L1-at-Public-Sapient-twOibKqL,Publicis-Sapient
0,Shall I accept offer from Morgan Stanley?,UGKD13,/company/Publicis-Sapient/,nan,I joined publicis Sapient 3 months before in UK. Now got the offer from Morgan Stanley which is giving me salary in same range + few extra bonuses.Is it worth joining Morgan Stanley in this scenario? Please advise. #engineering #software #swe,0,3,2021-5-13 14:34:54,/post/Shall-I-accept-offer-from-Morgan-Stanley-TzFsHroM,Publicis-Sapient
0,Which one? Publicis Dubai or McKinsey Amsterdam,HelenArvan,nan,nan,"I'm interviewing currently for Publicis Sapient Dubai for a Experience Director in the financial Services division based on my expertise or design director for Mckinsey hoping it will be out of Amsterdam as I live there but not sure yet. I'm looking for career progression, development, clients and a great workplace. #dubai #mena #Amsterdam #mckinsey #publicis #sapient #mbb #europe",0,13,2020-2-27 18:05:32,/post/Which-one-Publicis-Dubai-or-McKinsey-Amsterdam-Dsgr1Tri,Publicis-Sapient
0,Need Suggestion for Selecting offer,sohail009,/company/Plymouth-Rock-Assurance/,nan,"I am based in NJ and have two offers, one from Moneygram in Dallas and other one Publicis Sapient, remote work. Salary and benefits are more like becomes break even between two offers.Please advise/suggest which offers/company should be a good in long term?",0,7,2019-11-28 14:29:42,/post/Need-Suggestion-for-Selecting-offer-MnEqLz4B,Publicis-Sapient
