,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Square Vs Roku,pi.l,/company/Snap/,nan,"Hi,I have offer from both Roku and Square.Roku - Sr. SWE : 280K base + 200K RSU for 4 years + no bonus + 15% refresher but refreshers get vested after 4 year cliffSquare - L5 : 180k base + 500k for 4 years + 20% refresher + 10k sign on + no performance bonusI want to evaluate the offer base on folowing parameters.1) Learning opportunities2) Work life balance3) Compensation4) Job stability5) Peers/ Co-workersTC: 250KYoE: 7 Years#roku #square #software #swe",7,85,2021-3-16 22:49:14,/post/Square-Vs-Roku-mMRKXE4W,Roku
0,Roku compared to Netflix,ZuckerMark,/company/Microsoft/,nan,"If Netflix is google, is roku equivalent to Bing or better? In terms of working there",1,43,2021-5-8 03:10:52,/post/Roku-compared-to-Netflix-HLGaytnx,Roku
0,Twitter Vs Roku,🤷‍♂️ confused,/company/Walmart/,IT,"Roku (Sr. SWE)   TC 365k  (292/73)    Pros : stock growth, high base    Cons : no 401k match , espp, cash bonus , not sure about company’s culture.Twitter (L6 - Sr. SWE)     TC 350k + 25k sign On      Pros : good wlb , 401k match (Descent) , espp , cash bonus and annual equity refreshers      Cons : not sure about stock growth.Current TC : 260kPlease provide some insight about your selection in comment section. Yoe: 7#offers #software",1,37,2021-4-16 03:10:30,/post/Twitter-Vs-Roku-mw7LqSb5,Roku
0,Roku V/s Adobe ,moksha27,/company/eBay/,Eng,"Posting for a friend in Analytics!He has offers from both Adobe and Roku. In terms of compensation after including bonus as well as ESPP ( Missing in Roku) Adobe’s annual compensation is slightly higher.Adobe - 230 K Roku -220 KRoku is offering a joining bonus of 35K vs 20k in Adobe.Also,In adobe he is offered a one time RSU grant of 180K ( over 4 years) where as Roku is offering him an annual grant of ~35K.Catch with Adobe is they don’t have a annual refresher policy ( Given to top performers).Any idea as to what should he go for?Both offers look very competitive and he is not able to decide as to what else should he consider while making a decision.",0,27,2021-4-12 04:58:48,/post/Roku-Vs-Adobe-Dw8WdHR1,Roku
0,Roku culture,pjuv;(@,/company/Amazon/,nan,"I will be joining Roku as a senior machine learning engineer. My contacts who work there like it and have been working for quite sometime. How is the culture? Being a senior engineer in ML and an IC, I am not expecting leadership level politics.",2,6,2021-4-22 04:08:20,/post/Roku-culture-1yPBZ0Bj,Roku
0,Stay at Walmart vs Roku,spacexx,/company/Walmart/,IT,"Walmart :Base -  $200kCash Bonus - $40k (Can be more based on Performance)Equity Refreshers - $65k ( can be more based on performance and vests 25% every year over 4 years period)401k - 6% (base + bonus) match ( ~$15k)Total Comp : $300k for next year because I have been with Walmart for quite some time and have accumulated yearly refreshers over period of time.Good wlb , descent work, chill life.Roku :Base - $290kEquity - $70k ( vests every quarter over 1 year period)Refreshers - 15% of Total comp ( won’t be able to sell for 4 years)No 401k match , espp or cash bonus.Total comp : $360k (  with upside of stock growth)Descent team but not sure about wlb and overall Roku culture.YOE : 7",1,28,2021-4-2 20:15:18,/post/Stay-at-Walmart-vs-Roku-KYh1vmxq,Roku
0,Roku offer evaluation,frutlover,/company/Virtusa/,nan,"Hi folks,I recently got an offer at Roku for a senior SWE. Here are the specifics:Total Compensation : USD 310K.Stocks: 15-20% of 320K (depends on me)What do you guys think of the offer? Not sure if there is any room for a negotiation. Does Roku give any joining bonus, and if so, how much is a good joining bonus ?Total Experience: 9 years (3 years as SDET, 6 years as dev)Current TC: 170K, no stocks. #roku #offer #softwareengineersalary",0,4,2021-4-27 18:14:51,/post/Roku-offer-evaluation-xt7YUgJo,Roku
0,Roku virtual onsite - Waiting period ,mowgmeg,nan,nan,"Hello,I gave my virtual onsite interview as 2 parts.. 1st set of interviews on Tuesday and rest Wednesday afternoon.. Like anyone who gave the interview with limited preparations felt I did 4 rds pretty well out of 5. I know Roku moves fast, but would like to know whats the usual waiting period after which I can confirm it would most likely be a reject :) Planning to email the recruiter next week Tuesday if I dont hear back.#roku #onsite #awaitingresults",2,19,2021-4-16 03:18:44,/post/Roku-virtual-onsite---Waiting-period-Tudr7beX,Roku
0,Salary for Sr. Software Engineer @Roku,pi.l,/company/Snap/,nan,"Hi, I have recently got an offer from Roku for Sr. Software engineer. I just have following questions regarding Roku. Can some one help with answering them.1) what is the average salary for a Sr. Software Engineer @Roku (they offered me 330k = 280 base + 50k stock per year2) Is it safe to go for roku if i have other equally good offers ? ( As roku has netflix kind of hire/fire culture ?3) How is the work life balance in Roku ?Curent TC: 250KLevel : IC4#swe #engineering #software #roku #companysalaries #companyculture",4,37,2021-3-15 07:47:42,/post/Salary-for-Sr-Software-Engineer-@Roku-kwDb5FAT,Roku
0,Acquisition by Roku,KGxa36,nan,nan,Has anyone been in a company which was acquired by Roku?What was the transition like?Were the generous with comp or just left things as they were?Thanks.,5,6,2021-3-2 08:56:49,/post/Acquisition-by-Roku-cEN2xCBL,Roku
0,Roku TC,kkkk977,/company/Uber/,nan,"Anyone have recent comp data on Roku? Sr Manager or Director can make 1 mill tc ?How does Director compare to Facebook, Uber, Google. Apple ?",2,4,2021-3-22 19:52:08,/post/Roku-TC-khFoZchQ,Roku
0,Roku onsite interview tips,drogokal,/company/Okta/,nan,I have a Roku onsite interview coming up next week. Does anyone have any suggestions or any insight on how the process may be? Any preparation tips might be helpful.YOE: 4 yearsTC: 250k#swe,1,5,2021-5-5 17:57:45,/post/Roku-onsite-interview-tips-yN3hFgmA,Roku
0,Roku reference??,qNnJ78,/company/Xandr/,nan,"Hello,Recently lost my job and I see Roku is hiring quite a bit in QA field so I’m asking for referral if you can.Thanks!#jobopening #referral",2,1,2021-3-8 21:04:58,/post/Roku-reference-khXisZEi,Roku
0,Roku offer review,eBzO36,/company/Rakuten/,nan,Just received an offer from roku senior analyst data science:Base 17030k yr rsuTc 200k for San Jose.Two things:1. I haven’t negotiated yet but I have a second comparable offer. What is a reasonable % increase?2. Is roku a good company to grow develop?Thanks.,1,3,2021-3-17 17:34:33,/post/Roku-offer-review-ie2fdyGU,Roku
0,Roku Cloud Team,BenStrokes,/company/Nielsen/,nan,"What’s the Roku Cloud Team like. There are a few bad reviews on here, but most of them are from 2018.What’s the team like today? #tech #roku",1,1,2021-3-15 03:53:20,/post/Roku-Cloud-Team-xxKOuEdY,Roku
0,Roku San Jose: what are the perks?,eBzO36,/company/Rakuten/,nan,Is there a cafeteria? How is the food? Gym? Etc. HR didn’t provide much info so curious what they have.,3,21,2021-4-23 19:11:30,/post/Roku-San-Jose-what-are-the-perks-O7YT3HYi,Roku
0,Roku Data engineer interview ,NgAC25,nan,nan,"Hi, Can anyone please help me with the interview process at Roku for Data engineer role. How many rounds it would be and What to expect in each round. TIA",2,6,2021-3-11 06:09:18,/post/Roku-Data-engineer-interview-6SquKrBW,Roku
0,Referral for roku.,y=mx+b,/company/Cisco/,nan,I have found interesting positions relevant to my experience. Looking for referral. Please DM or comment. #roku,0,1,2021-3-29 23:40:43,/post/Referral-for-roku-TuSiMUDm,Roku
0,Looking for referral in Roku,Michael7,/company/Cisco/,nan,"Hi folks, I am looking for referral in Roku for a Sr. software engineer in SanJose.YOE: 6 (4 in USA)TC: 160KLeetCode: 300+#roku #referral #tech",1,2,2021-5-20 15:57:30,/post/Looking-for-referral-in-Roku-3uxAcYdF,Roku
0,Roku search recommendation ML team,hbv$&,/company/Amazon/,nan,How is the Roku search and recommendation team? I seen a lot of bad reviews of Roku on Blind but if the team is good then it may be ok to join.,1,7,2021-3-12 22:51:44,/post/Roku-search-recommendation-ML-team-nq5eXcaP,Roku
0,Spouse Roku offer,bd2019,/company/Facebook/,Eng,HelloMy spouse just received a offer from Roku for a senior software eng position. She is also considering an offer from apple. Roku tc: 330 base 60 stock no sign onApple TC 191 base 60 stock 75 sign onMostly Final offers.Apple is more platform work mostly in the GPU firmware domain.Roku mostly networking software.Yoe 9+She is currently confused wrt future of Roku vs during cutting edge GPU sw work at apple. Appreciate if Roku folks chime in to discuss the culture and TC improvement scope in future. Recruiter said Roku doesn't do yearly increase in TC.Apple folks please share how is the GPU sw team refreshers in future.Appreciate all ur feedback.#offer #roku #apple #tc ,8,135,2020-4-20 03:04:38,/post/Spouse-Roku-offer-ZHmYXiPt,Roku
0,Roku offer,irzz,/company/Microsoft/,nan,"Hi all, recently received offer from Roku. Roku doesn't have 401 matching and ESPP.just got base + equity.Base 140k +80k equity for over 4 years.Does Roku not have a yearly bonus concept?How is the refresher there?You have unlimited PTO. Does it work properly? In  current company although has unlimited PTO, it is difficult to get.They didn't even offer joining bonus.",4,30,2018-10-24 23:20:45,/post/Roku-offer-F0u3aNLY,Roku
0,Roku vs netflix,fling,/company/Microsoft/,nan,"TCs are similar , around 420k, 8 yoe.Which one has more uptrend? Personally I feel roku has more room to grow its business and company culture is better. Thoughts?",9,70,2020-10-1 15:28:35,/post/Roku-vs-netflix-8gDvJbp6,Roku
0,Google buying out ROKU?,kknapip,/company/Nutanix/,nan,Some rumors are passing around that GOOGLE is buying out ROKU. Is this true?,16,133,2020-6-16 19:03:29,/post/Google-buying-out-ROKU-dsF6nYZj,Roku
