,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Siemens India Offer Evaluation,b_ron,/company/Amadeus/,nan,"Received an offer of 35L(32 + 3 variable, no stocks) from Siemens India.Location : Bangalore Position : Senior Software Developer.Division : Health CareExp: 4 yearsCurrent TC : 28LI feel this is quite low seeing others offers here. Should I accept or am I getting low-balled.#tech #salary #salarynegotiation",2,38,2021-5-20 11:33:29,/post/Siemens-India-Offer-Evaluation-Kgmzb35f,Siemens
0, siemens,FVX2020,/company/Siemens/,nan,how are changes going to affect raises,1,2,2019-11-18 19:20:34,/post/siemens-4yLQW4Gb,Siemens
0,Remote work culture @ Siemens,abbygail48,/company/Siemens/,Sales,Anyone working remote with Siemens?  I am and I have been told I may not be able to continue. I live over an hour away and am now being told I may have to drive into an office.  I actually work better and more efficiently at home. Get way more done in less time. I am frustrated and want to see if anyone else has any issues with remite working with Siemens. If they decide I have to Drive in to an office I will not give them 2+ hours free a day driving. That WILL be considered time worked.,3,6,2019-12-20 03:24:17,/post/Remote-work-culture-@-Siemens-Z8DNuAFq,Siemens
0,Siemens Healthineers Interview Decision Time,bcxghbyy,/company/Sogeti/,nan,"Hello,One of my friends has interviewed with Siemens Healthineers for a full-time position in NJ. It's been a week since the onsite interview. The HR was very prompt in replying until the day before interview but there has been no reply/update on the decision timeline post-interview. The status on the portal still says ""Interviewing"". How long does it usually take for Siemens to make a decision after onsite?Appreciate your help! Thanks!",0,10,2019-4-22 21:13:38,/post/Siemens-Healthineers-Interview-Decision-Time-bQoLUTiq,Siemens
0,Siemens acquiring Mentor,GWUK27,/company/Mentor-Graphics/,nan,So what are everyone's thoughts on the announced acquisition of MENT?,6,16,2016-11-15 19:44:39,/post/Siemens-acquiring-Mentor-eHuGfwxC,Siemens
0,sales at siemens,HowCouldYo,/company/Northrop-Grumman/,nan,"i see a handful of openings but unsure about sales culture or compensation at Siemens. was looking at digital technologies or the smart infrastructure groups, no heathineers",3,4,2020-8-5 18:40:29,/post/sales-at-siemens-UOutracC,Siemens
0,Analytics at Siemens,carsun,/company/Ford/,nan,"How's analytics at Siemens , Austin? I'm looking at a potential switch. 3yrs exp. Currently in the detroit area. TC 95. Data scientist with ML exp",1,11,2019-5-28 00:38:47,/post/Analytics-at-Siemens-ew8EW2e5,Siemens
0,Siemens HR response time,qjxken,nan,nan,"I'll be interning at Siemens, Berkeley this summer, I feel that HR is not responding (ghosting may be), I have completed  BC and EOB and after that asked for official offer letter  about 5 days ago, no response on mail and on call, this has been an issue since the first contact. What should I do? (I feel that HR is slow and not picking my calls, which is worrying me and frustrating me, is this a Siemens thing or something else?)",1,3,2019-2-21 20:44:00,/post/Siemens-HR-response-time-DW7v3WDb,Siemens
0,Siemens referral,GhEv15,/company/Collins-Aerospace/,nan,"Would appreciate a referral, thank you",1,4,2021-1-27 22:55:38,/post/Siemens-referral-mx4nabMJ,Siemens
0,Robotics Intern Siemens Interview,O7,nan,Eng,"How's the interview process for Robotics Intern looks like at Siemens, Berkeley. Had the phone screen today, what should I expect as next steps?",2,1,2018-12-15 08:14:37,/post/Robotics-Intern-Siemens-Interview-TJB6Bomw,Siemens
