,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,my manager really cares about the green dot on slack,GEjD06,/company/Salesforce/,nan,Technically it’s my skip level. My manager had 1:1 with me this week and telling me my skip level really looks at the green dot on slack and told me to be aware of that. Also my skip level would look at who is or isn’t in some meeting (from participant list) - meeting I mean big meeting that has 100 people in and starts at 8am.I am pretty shocked to hear this and thinking about moving to other team. Would like to get you guys opinion on this - is this micro-managing? Does your manager look at this?Thanks!,14,50,2021-5-21 22:54:09,/post/my-manager-really-cares-about-the-green-dot-on-slack-kntn5byM,Slack
0,Slack is down,emmett,/company/Twitch/,nan,title,3,2,2021-5-20 17:49:57,/post/Slack-is-down-qFGaOs1u,Slack
0,Slack etiquette,voguecoin,/company/Autodesk/,nan,What’s your biggest pet peeve on slack (aside from people not understanding @channel...)?I find it pretty weird when people DM me with “Hello.” and don’t write anything more until I respond. Does anyone else get that? Sometimes I wait a day and respond back “Hello.”,11,21,2021-3-19 16:57:35,/post/Slack-etiquette-p0KcRuPr,Slack
0,Opportunities at Slack/Microsoft?,AcwC44,nan,nan,"Is it just me or are these two companies extraordinarily difficult to get even a phone screen for? Having worked at a FAANG for several years, it’s common for recruiters fro G, FB, Uber, etc to reach out - and even if they don’t, usually it’s easy enough to get a response when applying. But for some reason with MS and Slack I never hear back after sending an application - or I get a pass, despite being fully qualified (on paper at least). #Engineering",2,14,2021-5-9 18:31:47,/post/Opportunities-at-SlackMicrosoft-tZcJcmHM,Slack
0,What's your opinion on Slack stock,nomadlice,/company/Helpshift/,nan,"it's trading quite cheap 50$ and it certainly is a great product I believe inApart from that, what does one think of their financials? Are they doing good? #investments #personalfinance",0,19,2021-5-6 22:14:12,/post/Whats-your-opinion-on-Slack-stock-KK7kBLUM,Slack
0,Slack BizOps,lxJF50,/company/Oliver-Wyman/,nan,Anyone Working At Slack In BizOps? Saw Some Manager/Sr. Associate Roles And Want To Know More About The Interview Process + Comp.TC: 160k,0,0,2021-3-8 05:18:35,/post/Slack-BizOps-LTOgTuRH,Slack
0,Employers ability to spy on your slack?,BRsu63,/company/Google/,nan,"Are your employers able to spy on your slack? Things like what you search in the search bar, what channels you visit etc?",3,13,2021-5-5 00:01:07,/post/Employers-ability-to-spy-on-your-slack-hcyBVcaS,Slack
0,Experience with Slack hiring process,🤢bsalergic,/company/Proofpoint/,nan,How long should you expect an on-site invite/rejection after the HM round? I think I did well but hard to tell. I’ve waited for 4 days and assumed a no-go :(TC:120YOE: 4,0,8,2021-5-6 19:13:12,/post/Experience-with-Slack-hiring-process-UzS05Xzo,Slack
0,Need referral at Slack,more_data,nan,Data,Looking to apply to Slack and would appreciate a referral!YOE: 12 with 5 in data and BITC: 150k#referral #slack,0,4,2021-5-3 19:39:37,/post/Need-referral-at-Slack-pnrvV8K6,Slack
0,Would WFH be possible without Slack / Teams?,bl00m,/company/Apple/,nan,"Thoughts?Feels like it would be much more difficult to WFH without these.But the open source community uses Bugzilla, mailing lists, and other ancient software and still manages to get stuff done.Maybe someone who was WFH before these applications became popular can give perspective, any boomers in the audience?",1,23,2021-5-7 00:33:54,/post/Would-WFH-be-possible-without-Slack-Teams-c6xqMVzo,Slack
0,Slack Referral,dHGfejrb,/company/BD/,nan,"Hey,I’m looking for a referral for Slack.Let me know what you need, and I can forward the specific job link.Thanks!#slack",0,2,2021-4-14 23:39:39,/post/Slack-Referral-wzw3HGtV,Slack
0,Referral at slack,lpm2021,/company/AT&T/,nan,Anyone who can help with referral at slack? Thank you!#slack #referral,0,2,2021-3-18 02:18:47,/post/Referral-at-slack-TSyKr2Ah,Slack
0,Should I join Slack?,AXHe05,nan,nan,"Is there upside to joining slack after acquisition by Salesforce, working with hack lang? Is there room for growth? Expected layoffs?Any slackers who have more insights?TC: 170k",1,5,2021-3-11 21:36:36,/post/Should-I-join-Slack-4b3kf34x,Slack
0,Referral at Slack,ElFY15,/company/Tata-Consultancy-Services/,nan,"Hello everyone,I am a recent graduate and am looking for full time positions. There is a new grad role available in Slack. If you are working at slack , kindly refer me. A referral can go a long way : )",1,0,2021-4-29 00:00:17,/post/Referral-at-Slack-hBoaDgiu,Slack
0,Slack on-site interview,Desi munda,/company/Google/,nan,"Hi, anyone have any pointers for Slack on-site interview for a recruiter position? Let me know if anyone has interviewed with them.",10,3,2021-2-27 01:14:31,/post/Slack-on-site-interview-8tqAXa5i,Slack
0,Need Slack referral,BigPandaAd,/company/Autodesk/,nan,"Hello all, I'm willing to apply for one open position at Slack. Can someone from Slack refer me? Please DM me for more details.",0,0,2021-3-8 16:25:01,/post/Need-Slack-referral-JWT1wdun,Slack
0,Anyone at slack?,J5gTqgrt⠀,nan,nan,"Seeking slack referral, I'd appreciate it! Please let me know if I can DM. Thanks 😊",2,1,2021-4-29 06:34:46,/post/Anyone-at-slack-Ys4fnXVf,Slack
0,Referral needed for Slack ,x17m,/company/Walmart/,nan,Hey! There’s a relevant opening in slack and it would be great if someone from Blind community can referral me to the same.Please drop a comment/DM.YOE : 9#jobopening #hiring #slack,0,3,2021-3-29 14:07:50,/post/Referral-needed-for-Slack-VmDEBsTL,Slack
0,Tell me you are slacking at work...,GTEl70,/company/Amazon/,nan,...without telling me that you are slacking at work!,1,9,2021-4-25 17:22:05,/post/Tell-me-you-are-slacking-at-work-wTKBEjks,Slack
0,Slack process - assignment step,YBhN12,nan,nan,"Hey guys, I did my first interview with slack last Friday for a PM role and yesterday they already asked me to prepare an assignment. Is this the Normal pace or I got this really fast?",1,1,2021-3-30 13:41:05,/post/Slack-process---assignment-step-neZmyybq,Slack
0, slack stocking slacking ,mint16,/company/Salesforce/,nan,why is slack stock dropping so much!! I had bought stocks at $37 and now its $22 :(,20,179,2019-9-25 22:44:47,/post/slack-stocking-slacking-MxtjybRD,Slack
0,Salesforce buys slack,YXeT70,/company/HERE-Technologies/,nan,"People working with slack, what are your opinions, happy with the call?Salesforce buys Slack for $27.7 billion in cloud software vendor's largest deal  https://www.cnbc.com/2020/12/01/salesforce-buys-slack-for-27point7-billion-in-cloud-companys-largest-deal.html",49,246,2020-12-1 21:18:47,/post/Salesforce-buys-slack-bvh6SeKD,Slack
0,Slack Direct Listing,howmuchbro,/company/State-Farm/,nan,How’re the Slack employees feeling about today’s direct listing? Is everyone offloading their shares?,19,154,2019-6-20 12:44:20,/post/Slack-Direct-Listing-3zLvVYPk,Slack
0,Slack,supWorld1,/company/Google/,nan,Anyone work at Slack? Worth joining at this point?How is the culture? How are the people?Especially in the NYC office.,5,20,2018-6-13 16:19:12,/post/Slack-xXwvkVNR,Slack
0,Robinhood and Slack investments,sungsam,/company/Samsung/,Product,Considering buying both Robinhood (@ $18.94) and Slack (@ $29.51) pre-IPO stock.Any feedback on the stock prices? Good value? Too expensive? Too late to purchase these stocks? TIA,26,98,2019-4-25 01:48:26,/post/Robinhood-and-Slack-investments-jRerRuFw,Slack
0,is Slack dead? what’s the innovation?,Relic,nan,nan,I love Slack but it’s been disappointing as a business and as a service.1. No new features.2. Video chat quality has never been improved.3. Comes with app integrations but they don’t generate revenue.4. have to keep the software cheap in order to be competitivite.5. Can’t even stand out as a WFH stock.would like to get some insight from Blinders who work at Slack? How are you guys doing? CEO sucks I guess?Edit: now I use Teams at a new company. Slack is serisouly behind.#slack,40,129,2020-9-9 06:00:32,/post/is-Slack-dead-whats-the-innovation-c2zgLBj2,Slack
0,Slack Compensation,QLVF58,/company/Expedia/,nan,I'm starting to interview with Slack and the recruiter asked me to provide salary expectations. He said he needed to have these numbers to move me forward.what is a reasonable range for a Sr SWE in San Francisco?YOE: 8 + Masters DegreeTC: 150K,4,17,2019-8-30 01:52:38,/post/Slack-Compensation-TwgNuSSK,Slack
0,@Slack,wcpc32,/company/Amazon/,nan,How is Slack to work at?,6,4,2019-9-11 06:22:45,/post/@Slack-0F0LTrmO,Slack
0,Slack salaries,mExh81,nan,nan,Any idea..how much slack pays for senior engineer role..10+ years of exp..,18,3,2017-9-25 10:34:49,/post/Slack-salaries-RTjxq88Z,Slack
0,Slack dms read by employer?,sg37ep,/company/Oracle/,nan,Apparently direct messages can be read by your employer on slack. Did everybody know about this? This seems very concerning...https://nypost.com/2018/03/22/slack-will-allow-employers-to-read-your-private-messages/,55,209,2019-3-13 23:41:00,/post/Slack-dms-read-by-employer-vJQkKfB8,Slack
0,Slack Vs Microsoft Teams,a1b2c3d000,/company/Adobe/,Eng,"Why do companies with O365 subscription, invest in Slack when Teams is available for free with O365.I heard Teams is also launching for linux which will boost its market share.Does Teams have good integrations like Slack.In long run is it going to be bad for Slack Stock ?",2,65,2019-11-8 23:23:20,/post/Slack-Vs-Microsoft-Teams-LrNd4ZEp,Slack
0,Slack RSUs,🍪Monster,/company/Sony-Electronics/,nan,"How do RSUs work at Slack?  Vesting schedule, refreshers, what happens if you leave i.e. to vested but illiquid shares? Where is this actually defined?",9,5,2018-10-23 02:33:40,/post/Slack-RSUs-U4PtBsrQ,Slack
0,Congratulations Slack!!! ,binaryuser,/company/Microsoft/,nan,"Well done, Salesforce!https://www.google.com/amp/s/www.nytimes.com/2020/12/01/technology/salesforce-slack-deal.amp.html",4,26,2020-12-1 21:26:59,/post/Congratulations-Slack-v4WfMvaa,Slack
0,Slack millionaire,FSCK<GO>,/company/Bloomberg/,Eng,Who is now a millionaire(was) from the Slack NYSE listing.NYSE:WORK just popped by 50% and still going,4,17,2019-6-20 18:38:35,/post/Slack-millionaire-zdR7Kt35,Slack
0,Who broke slack?,RtGfErrT,/company/Amazon/,nan,What’s going on over there?  Did someone push a big backlog of releases?,14,18,2021-1-4 16:29:44,/post/Who-broke-slack-qqSdHiRp,Slack
0,Slack interview,address ,/company/Amazon/,nan,How difficult is Slack interview? for software engineer position,0,5,2020-3-24 23:05:04,/post/Slack-interview-xjj0jRrY,Slack
0,Slack stock,pamps43,/company/Slack/,nan,"I heard there’s no way salesforce would buy slack less than the closing stock price when the news officially comes out at the end of day. Apparently if it does, slack stock holders can sue. Is this even remotely true?",4,13,2020-12-1 14:04:58,/post/Slack-stock-JkV5MV1i,Slack
0,Slack is slacking ,splitwigs,/company/Prudential-Financial/,nan,Anyone else experiencing downtime?,9,8,2020-10-5 20:39:43,/post/Slack-is-slacking-EJGD5Bv7,Slack
