,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Slalom Consulting,xREt7v,/company/Booz-Allen-Hamilton/,nan,What's the word on the street about Slalom Consulting? Keep hearing that everyone is super happy there. Can anyone confirm whether WLB and life in general is pretty good?,3,7,2020-1-13 06:04:05,/post/Slalom-Consulting-2aZLGX4V,Slalom-Consulting
0,Slalom consulting ,MVnC72,/company/Tata-Consultancy-Services/,nan,"Hello people , I have 2nd round of interview for data visualisation consultant  @slalom .. with senior director and with team lead So what can I expect in this round ? Any tips ? Toe- 3 years TC-120k",1,5,2021-2-19 21:20:07,/post/Slalom-consulting-PrchRQnG,Slalom-Consulting
0,Slalom Consulting ,ETF189,/company/Capital-One/,Design,What’s it like working there? Specifically in the DMV area? I’m interviewing for a design position.,2,12,2018-8-30 23:39:52,/post/Slalom-Consulting-mDZ2L8SJ,Slalom-Consulting
0,Salesforce Consultant/Sr. Consultant @ Slalom Salary,NpnO37,/company/Snowflake/,nan,"Posting for my gf, because her startup is too small to stay anonymous on her account. She's gone through 2 rounds at Slalom so far, but the exact level of what she's interviewing for is still TBD depending on the next few rounds (they reached out to her first to chat and see where she would fit; she didn't apply for a specific job posting with a level listed on it).She's currently an internal Salesforce admin at her company with 6 YOE making 175k/yr, with no prior consulting experience. Given her current salary, she's looking for at least 190k-200k to move elsewhere. Is that even reasonable for those levels at Slalom? Glassdoor and H1B data both show that that's more in line with a solution architect or some sort of principle title at Slalom. She's not sure if she should even continue the process if her salary expectations are completely out of the possibility for a consultant/sr. consultant, unless she somehow magically gets a higher title. #slalom #slalomconsulting #consulting #compensation",0,3,2021-5-4 00:44:33,/post/Salesforce-ConsultantSr-Consultant-@-Slalom-Salary-V8soDqeE,Slalom-Consulting
0,Slalom Consultant Role,who76,nan,nan,I have onsite consultant interview coming up. Anyone from slalom can share your experience?1. How’s the company culture and WLB with minimal travel? (They say travel is limited within the city itself)2. What questions should I expect in the onsite interview? 3. What’s the comp and benefit for a consultant role like?Gladsdoor has so many poositive reviews. But I want to hear from Slalom employees here.TC: 130kThank you for your time!#slalom #consulting #slalomconsulting,2,12,2020-1-9 00:57:01,/post/Slalom-Consultant-Role-Vz0B3RBc,Slalom-Consulting
0,Slalom Consulting Associate SWE consultant?,IronMan12,/company/Axtria/,nan,HelloDo you have any interview tips for assc swe consultant position? I have been reading up on glassdoor and seems like there are no LC type questions during the interview process. #slalom #slalomconsulting,0,1,2021-3-27 20:01:12,/post/Slalom-Consulting-Associate-SWE-consultant-n5PSGndY,Slalom-Consulting
0,Slalom Consulting job,DataVizard,/company/Genentech/,nan,Anyone working at Slalom Consulting in Data Science/ analytics area ?Hows the job prospects and recruiting process ?,2,1,2020-2-5 08:31:54,/post/Slalom-Consulting-job-WP4Nc1zU,Slalom-Consulting
0, slalom consulting culture,HowCouldYu,/company/Northrop-Grumman/,nan,how’s the wlb over there? is it really a place for millenuals or IBM style tech company (sorry IBM)curious for their GCP consulting practices,0,5,2019-10-17 00:43:48,/post/slalom-consulting-culture-t0SK2dau,Slalom-Consulting
0,Slalom Consulting Interview Prep?,CNorris,/company/Mphasis/,nan,I connected with a recruiter from Slalom Palo Alto office and had a working lunch/interview to discuss more about the role. He mentioned that the next step would be a skills assessment followed by a case study and finally MD/Practice Area Director Interview.Can anyone shed some light on the interview process? I like Slalom for the fact that it’s a consulting company without the crazy M-Th travel lifestyle.,3,2,2018-11-13 04:32:41,/post/Slalom-Consulting-Interview-Prep-qghvojNR,Slalom-Consulting
0,Slalom Consulting comp for consultant role ,CTSN71,/company/Sequoia-Consulting/,nan,"Curious about comp at the Silicon Valley office. With 10+ years experience and MBA/MA degrees, what is an appropriate number I should expect? The broad range online says 115K-175K. Thanks for your suggestions/advice!",2,3,2019-6-20 06:36:13,/post/Slalom-Consulting-comp-for-consultant-role-Ausbd1c3,Slalom-Consulting
0,how are salaries for Consultant in Slalom Toronto like?,roymiller,/company/Slalom-Consulting/,nan,"I am at Slalom Bay Area office with TC 150k on H1B as a consultant. planning to move to Toronto for better visa situation. can anyone please comment, what are salaries like in Canada for Slalom.",2,3,2020-5-15 17:25:14,/post/how-are-salaries-for-Consultant-in-Slalom-Toronto-like-viknC2Bv,Slalom-Consulting
