,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Synopsys Application engineer vs. AMD verification?,nofrills,/company/AMD/,nan,"Currently at AMD. 3yoe. SNPs reached out with AE job, said it's pretty hands on and not just pointing customers to databooks.They also said you do everything, RTL, verification, synthesis, AMS design, PCB, package, production,testing, firmware, architecture Knowledge, etc.This sounds really good because it has everything, so lots of transferrable skills that I can use to go to any area in the future.  I'm mostly interested in verilog verification and firmware. Which my job doesn't provide (I do physical design verification).Also at AMD, I haven't found a role that has this much breadth, so I can't just do an internal transfer to a similar role as the SNPs role.Cons:-i feel like AMD is more prestigious and TC Can be higher-AE is very customer focused, manager basically said we worship the customer and you must love that-the team is in a different city, I don't want to relocate there, so I would be in an office near me but only 1 team member works there (this is bad for building a network)Pros:-lots of breadth-thats it...hopefully salary is higher (I won't switch unless 25-35% boost).What do you guys think? Any feedbackAlso, what is grade 66 equivalent to at AMD?",0,65,2021-5-19 20:10:44,/post/Synopsys-Application-engineer-vs-AMD-verification-oPXNxm7J,Synopsys
0,Salary Synopsys India,pfOf41,/company/Intel/,nan,What offer can I expect at Synopsys India (base/bonus/rsu) at level 68?What could be a high base and rsu I can negotiate?Current TC: 29 lacsYoe: 10,2,11,2021-4-30 13:29:45,/post/Salary-Synopsys-India-AceAWvbf,Synopsys
0,Synopsys salary hike cycle,Vispotak,nan,IT,"I have joined Synopsys in mid Aug 2020, so my salary hike would be in Aug 2021?One of my friend said we will get in Dec. I didn't get any hike in Dec 2020. Does that mean I will get in Dec 2021 and not Aug 2021?Edit: I will not be getting hike for Aug 1 to Dec 2020, as the 140k and my grade was already considered till dec 2020 itseems when they released the offer. This is kind of cheating done to me. I would not have joined in the first place if I knew this before and would have tried other companies.EDIT: TC 140kYOE: 7+#salary",1,29,2021-2-27 00:56:46,/post/Synopsys-salary-hike-cycle-Gz5dNCCx,Synopsys
0,"Synopsys vs. AMD? Pay, culture, career?",naguyen,/company/AMD/,nan,"Thinking of a switch. But wondering if it's worth. Does Synopsys pay less because it's lower on the food chain? (More commoditized than AMD).How are internal transfers at Synopsys, easy or same as AMD? Culture? Pay?Job security? Promotions, bonuses?Any info appreciated.",1,9,2021-4-29 14:19:20,/post/Synopsys-vs-AMD-Pay-culture-career-5uCCpOfJ,Synopsys
0,Synopsys salary correction for Texas location,Vispotak,nan,IT,Currently I'm getting 140k in California location and if I move to Texas what would be correction in salary. Anyone been in the same situation before or recently.Currently I'm staying with my friends and after 2 months I have to stay alone by renting 1BHK and I think I would not be able to save anything if I stay alone. I'm getting married so I have to take 1BHK and in california rent is minimum 2.2k in good community.What would be my salary in Texas (140k in california) and any suggestions on whether to move to Texas or not .#software #engineering,0,19,2021-2-23 16:25:13,/post/Synopsys-salary-correction-for-Texas-location-6LGmJMtG,Synopsys
0,Google vs Samsung vs Synopsys vs NXP - India,jHmk36,/company/NXP-Semiconductor/,nan,"Hi all,  I have offers from the Google  , Samsung (Memory division ), Synopsys , and NXP, all in the hardware domain. Leaving the compensation aside , can you all suggest which should be a better choice in terms of career growth in a tech role and learning opportunities ? Thanks all ! #googlesalary #samsung #salarycomparison #hardware #semiconductor",1,14,2021-4-25 12:45:10,/post/Google-vs-Samsung-vs-Synopsys-vs-NXP---India-K5FxP8BE,Synopsys
0,India(Bangalore): Better work life balance between Synopsys and INTEL for a digital design engineer,spavn,/company/Qualcomm/,nan,#hardware #semiconductor #intel #synopsys,0,10,2021-4-30 11:20:24,/post/IndiaBangalore-Better-work-life-balance-between-Synopsys-and-INTEL-for-a-digital-design-engineer-n1K4yOrZ,Synopsys
0,"Pursuing non-work related side interests while keeping the day job in India (Intel, Synopsys, Qualcomm)",ayms,/company/Qualcomm/,nan,"Hi All,I get to hear that Intel in general (though team dependent) has a good work culture and WLB. Recently one of my friend's mentioned that few IP teams in Synopsys also have a good WLB. At present, as a senior engineer in Qualcomm, WLB is not that great and the general expectation is that you are available for work anytime between 10AM to 11PM. I have a few side interests, unrelated to work, that I would like to explore in the long run and the current stretched working hours will not help.Any suggestions on the companies that I should be aiming for in the future so that I get to spend a good amount of time on my passion apart from office work?P.s.: I am looking for frontend IP digital design roles in (Bangalore) India.Also, please feel free to share your thoughts/inputs if you have tired something similar. This would help all of us who are interested in exploring side interests.Thanks!#gig #sidejob #intel #synopsys #qualcomm #texasinstruments #nvidia #samsung #amd #arm #nokia #semiconductor",2,11,2021-5-5 02:37:28,/post/Pursuing-non-work-related-side-interests-while-keeping-the-day-job-in-India-Intel-Synopsys-Qualcomm-7MrdDvL4,Synopsys
0,I have 2 year experience in Synopsys. Which company can give around 20-24 lpa salary in india?,ayb,/company/Synopsys/,nan,"Can you suggest which domain will be perfect For example hardware companies like Nvidia Qualcomm Or software companies like adobe, Microsoft ",2,7,2021-5-14 08:43:12,/post/I-have-2-year-experience-in-Synopsys-Which-company-can-give-around-20-24-lpa-salary-in-india-XNzWOs4f,Synopsys
0,"Semiconductor companies that are doing cutting edge work, but have not received media attention",FWtd28,/company/Cadence-Design-Systems/,nan,"Hi,I was thinking if there are some mid-size or startup companies in the semiconductor industry which are doing some great work. Would like to keep a list for future job opportunities as well.Thanks!!#hardware #semiconductor #intel #synopsys #amd #arm #cisco #facebook #amazon #google #lyft",15,110,2021-5-4 17:58:34,/post/Semiconductor-companies-that-are-doing-cutting-edge-work-but-have-not-received-media-attention-Lxa5TU2E,Synopsys
0,Does hardware verification language matter in DV role for long run of career?,Uzct46,nan,Design,"Hi all,I have around 2.7+ years of experience as ASIC DV engineer. I have been working as contractor in Synopsys,India. Most of my work revolves around Systemverilog/UVM. Recently I was approached by cadence,india recuriter for DV role but works involves only c language. Is it wise to move further for cadence or not, in which HVL you worked matter in long run of career? Please guide me.#hardware #semiconductor #DV #cadencedesignsystems #synopsys",3,2,2021-4-11 07:20:43,/post/Does-hardware-verification-language-matter-in-DV-role-for-long-run-of-career-RBLD0hfv,Synopsys
0,Offer evaluation,khwab ,/company/ON-Semiconductor/,Eng,"Need some help for offer evaluation from Synopsys.YOE MS+2.5 yrsLocation: Mountain view, CABase: 125KYearly bonus: 11%Relocation: 10K#hardware #semiconductor",2,0,2021-4-9 15:08:55,/post/Offer-evaluation-3aZ7V8xT,Synopsys
0,Is X-epic a serious challenge to big 3 in EDA,FANBAG,/company/Synopsys/,Eng,"They’ve leeched lot of Synopsys and cadence execs.They’ve Healthy funding ($60M) and some wins in China.What do you think ? Is it another acquisition in making for the big 3 (Snps, Cdns, Mentor) or next EDA giant in Asia ? #hardware #eda",0,3,2021-2-25 23:03:23,/post/Is-X-epic-a-serious-challenge-to-big-3-in-EDA-Xc6xwbBp,Synopsys
0,Received an Offer from Mentor Graphics,a2109d,/company/Dassault-Syst%C3%A8mes/,nan,"Hi Blind,I have received an offer from Mentor Graphics for a T9 position (SMTS). Ph.D. + 2 YOE.Base - $170KBonus - 10%Joining bonus - $17KRetention Bonus - $17K at end of year 1 and year 2.Is this a good offer for Bay Area?#mentorgraphics #cadence #intel #software #engineering #swe #hardware #semiconductor #tech #siemenseda #siemenscompensation #hardware #semiconductor #synopsys ",4,8,2021-3-23 16:36:04,/post/Received-an-Offer-from-Mentor-Graphics-n1ARmpue,Synopsys
0,Has anyone had to create a business case to justify a promotion?,Tier1Hope,/company/Hireology/,Product,"The high level synopsis is that individual that initially recommended my promotion was terminated, and my new boss wants me to create a formal proposal justifying the business need for my promotion. I was wondering if anyone else has gone through a similar experience.",1,5,2021-3-1 17:09:17,/post/Has-anyone-had-to-create-a-business-case-to-justify-a-promotion-8rthSzJ4,Synopsys
0,Cadence interview: lead application engineer; confused of rejection,—unknown—,/company/Synopsys/,nan,"Hi all,Pls read and reply your thoughts.I was interviewed 7 rounds and hiring manager said its positive and asked for salary expectations. I said my expectations.After 2 days he scheduled a technical interview and rejected saying lack in tech skills.So confused and disappointed.Could anyone tell me what went wrong!#cadencedesignsystems #synopsys #mentorgraphics #hiring #hr #offer #interview #interviewed #interview #compensation #xilinx #intel #qualcomm #hrissues #hiringmanager #hiringcommittee",0,3,2021-4-10 19:56:57,/post/Cadence-interview-lead-application-engineer-confused-of-rejection-44YX74Af,Synopsys
0,Struggling at my new Job,FWtd28,/company/Cadence-Design-Systems/,nan,"Hi everyone,I have been working at a new company for about 2.5 months and I am kind of struggling. I have not been able to meet any deadlines and I can sense the frustration of my manager. I have about 2 years of experience and graduated with a masters degree in 2020. This has never happened to me before, I mean I have struggled but I knew I would pull through.Now, I just don't feel like working and I am demotivated to work. Any suggestions anyone could provide? My manager has started to micromanage me as well and that is just frustrating.Should I look for a new job? Or should I just take it as an indication that software is not for me?Thanks#jobs #layoff #software #advice #help #intel #cisco #cadence #synopsysP.S: I don't work for Cadence",0,10,2021-5-18 02:06:28,/post/Struggling-at-my-new-Job-DC6hZnMo,Synopsys
0,Looking for referrals for DevOps/SRE role,dmesg,/company/Barclays-Investment-Bank/,nan,"Hello Blinders,I have been applying for jobs and it has been quite sometime that i have received any calls for interviews (Don't know where I am going wrong). If there is anyone who could refer me, it would be great! Due to personal reasons, I am currently looking for opportunities in BayArea/Los Angeles/RemoteI have 3 YOE as DevOps Engineer, let me know if there are any open positions.#referral #Twitter #Uber #Lyft #eBay #Oracle #Intel #Cisco #Synopsys #Microsoft #Google #Facebook #Amazon #LinkedIn #akamai",0,12,2021-2-25 00:57:08,/post/Looking-for-referrals-for-DevOpsSRE-role-hhKqWVZY,Synopsys
0,Accepted Mentor Graphics offer! Tell me about the company!,🥚+🥚+🥚,/company/Dassault-Syst%C3%A8mes/,nan,"I recently accepted an offer for an SMTS position (SWE role) with an R&D team in Mentor Graphics (Siemens EDA now).Can you tell me about the culture at Mentor, wlb, career growth, and how they're doing these days after Siemens acquisition?TC: 210kYOE: Ph.D. + 2.5#swe #hardware #semiconductor #EDA #mentorgraphics #siemens #cadencedesignsystems #synopsys #software",1,0,2021-5-1 07:43:03,/post/Accepted-Mentor-Graphics-offer-Tell-me-about-the-company-AU3BBcsp,Synopsys
0,Looking for referrals after working for over 5 years in current company ,y=mx+b,/company/Cisco/,nan,"Thank you for all the prev referrals. I still have below companies pending from list of target companies.Brief background about where I am for reference. I have experience of coding in python and building automation frameworks for over 5 years. Have finished reading DDIA, Alex Xu, Gorkking for system design.Have solved around 350 leetcode problems and counting....Looking for referral for below mentioned list of companies in no specific order. If there are opening anywhere else, please dm or reply to this post. I'd be happy to work with you for the same.NvidiaGoogleLinkedinPlayStationSynopsysVenmoAdobeNetflixAppleSlackAirbnbUberLyftDiscordRoblox",1,4,2021-4-7 06:10:47,/post/Looking-for-referrals-after-working-for-over-5-years-in-current-company-L7ahWYXS,Synopsys
0,Synopsys Layoffs?,rBtMZz,/company/Juniper/,nan,Were there layoffs at synopsys recently? Does anyone know which group/portion specifically?,16,18,2019-8-26 17:49:43,/post/Synopsys-Layoffs-TamCpM4n,Synopsys
0,SYNOPSYS Offer,aFSN48,/company/Qualcomm/,Eng,Offered 130k base + 12% bonus/year + 10k sign on as AE Sr II role at Synopsys Mountain view location with 6 yoe + MS.Seems low to me any chance of negotiation here?This is post sales role.,0,29,2018-10-1 05:55:19,/post/SYNOPSYS-Offer-2FeaFho7,Synopsys
0,Synopsys Offer,Vispotak,nan,IT,I recently got an offer from Synopsys for R&D Engineer Senior II position. I have a total of 7 years of experience. Here is the compensation detailsBase: 140kAnnual Bonus: 12%No sign on bonus and RSU.I accepted the offer. What should be the ideal compensation for this position?,1,49,2020-6-25 18:30:44,/post/Synopsys-Offer-E1AY8q45,Synopsys
0,Synopsys compensation,vr729,/company/Amazon/,nan,[Posting it on behalf of my brother]Synopsys Machine Learning Team6 yoe + MS Title: Snr. R&D engineer IIPackage: 140K + 12% bonus + 20K sign-on (no RSUs)The offer is very low it seems. What's the usual pay scale for this exp and team ?,4,15,2019-3-21 19:39:26,/post/Synopsys-compensation-rcNUDdZs,Synopsys
0,Synopsys vs Cadence,iDYy73,/company/LG/,nan,"Hello Everyone,I need help in better understanding Synopsys Design Enginee or Cadnece Application Engineer role.Which company is better among the two, in terms of layoff, work environment and compensation?Thanks",0,13,2020-7-30 22:29:00,/post/Synopsys-vs-Cadence-2bgP0AO7,Synopsys
0,Synopsys Bonus,soc_rtl,/company/Intel/,Eng,"I have got a offer from Synopsys wth 18% bonus. I wanted to know if this bonus remains fixed or it varies with Grp/company performance. Location is MV, YOE is 6 years.",2,3,2020-9-26 14:38:29,/post/Synopsys-Bonus-BGtrrDfA,Synopsys
0, synopsys compensation,koyla,/company/Intel/,nan,"i have a verbal offer from synopsys in the bay area for staff r&d (level 68) but the recruiter is asking me to quote a number. i know they dont pay much, but still would like to know what to expect.current TC 200 in Phoenix",0,6,2019-10-18 02:19:10,/post/synopsys-compensation-X30RvQyF,Synopsys
0,#Synopsys,tastyocean,/company/AMD/,nan,"Hi I got a job in Synopsys as Engineer, I don't have the salary offer yet , It's in Mountain view California. Wondering how much I can ask. I have 2YOE. Thanks",2,5,2020-1-24 02:33:20,/post/Synopsys-YBQ8JCt6,Synopsys
0,What is Synopsys?,Design123,/company/EAB/,nan,"Can someone explain what Synopsys does? One of the PM told me that, they are into marketing but their about us page and 10k says differently.I am confused. #tech #career",2,15,2020-4-15 01:14:18,/post/What-is-Synopsys-cO25Owzb,Synopsys
0,Synopsys ,charlie007,/company/Intel/,nan,can someone please tell me what is the diffrence  between synopsys application engineer and application consultant ?,0,5,2020-2-13 05:08:56,/post/Synopsys-4vpWWwtA,Synopsys
0,Synopsys layoffs? ,stuck@falt,/company/AMD/,Design,"Heard Synopsys is laying off in design group, any Synopsys guys here to confirm? if that is true it is unfortunate and will be a bloodbath.@Synopsys",2,7,2019-7-27 01:45:02,/post/Synopsys-layoffs-8qqeNgV0,Synopsys
0,Synopsys or Amazon lab126,bYmp73,/company/Intel/,nan,I have two offers from Synopsys and Amazonlab126. Both are asking what is my desired package? What should I say? I have 5 yoe + PhD. Asking 350 TC is too much? #hardware #interview,3,14,2020-8-6 17:17:15,/post/Synopsys-or-Amazon-lab126-z00DFTXH,Synopsys
0,Application engineer at synopsys,Delucca,/company/Cadence-Design-Systems/,Eng,What is a typical offer from synopsys for Application Engineering role (principal level)?How well they do generally negotiate ?,0,14,2018-9-14 06:13:18,/post/Application-engineer-at-synopsys-U8Ttwq6T,Synopsys
0,Synopsys manager ,aspsfbay,/company/Intel/,nan,How much is expected for a synopsys manager in Mt View? What is average yearly bonus in %age and RSUs? How many times in an yes bonus is paid ?,4,7,2017-7-23 19:45:12,/post/Synopsys-manager-0m6RMrSD,Synopsys
0,Salary expectations at synopsys,Human129,/company/Intel/,Eng,What is the salary for a senior R&D engineer at Synopsis? And Tcomp ? What are the health benefits?,0,3,2018-8-7 15:07:10,/post/Salary-expectations-at-synopsys-gzjWo1ra,Synopsys
0,Synopsys Interview no response,xscH14,/company/Intel/,nan,"Hello ,I was interviewed for an experienced position at synopsys almost a month ago. The mode of interview was over the phone and with a senior management of staff. the interview went really well. I did not hear anything for couple of weeks and hence contracted the HR rep. He said he will get back to me soon. another 2 weeks passed and I sent another email for follow-up and no response yet. I am not laid off or nor dying to land a job at synopsys but has this aways been the case with tje interviews at synopsys? thoughts/feedback are welcome.#engineer #interview #hardware",0,6,2020-9-14 21:16:21,/post/Synopsys-Interview-no-response-3LxYKqsP,Synopsys
0,Synopsys annual compensation,oDJK84,/company/Synopsys/,nan,I am thinking of moving to Synopsys. Sr. ASIC design engineer 1. MS plus 3 yr exp. offer is 120k plus 15k one time joining bonus. No RSUCan you please share the your compensation for comparison1. Exp and current compensation 2. Annual salary increase?3. Yearly RSU refresh ?4. Cash bonus ?5. LevelThanks,1,5,2017-10-21 02:23:28,/post/Synopsys-annual-compensation-mGaSLs73,Synopsys
0,Synopsys 68 offer expectation ,2553,/company/Intel/,nan,Not sure if anyone can give some suggestions. The recruiter insisted to let me provide the initial tc number I am comfortable with. The job is in the Boston area. What would be a good number to propose? PhD with some industry experience,1,6,2018-9-13 06:04:35,/post/Synopsys-68-offer-expectation-ae5Ee4FJ,Synopsys
0,Synopsys Inc offer,iftis,/company/Synopsys/,nan,R&D Engineer grade 68.Base 145k 14% bonus 20k sign bonus. Is that a good offer? Typical rsu for that grade?Thanks,1,11,2019-3-11 22:09:45,/post/Synopsys-Inc-offer-NtGkaeEE,Synopsys
0, synopsys,hgvk,/company/Intel/,nan,i am expecting an offer from them...the team that i met with had very accomplished people. the role is core software development and looked quite interesting. but looking at the posts on blind and just general state of the eda industry i fear i may be going from the frying pan to the fire......any thoughts?,0,4,2019-10-11 01:57:02,/post/synopsys-DjmSmkCc,Synopsys
