,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Teladoc tc?,PrdV45,/company/Montefiore/,Mgmt,Whats the tc for an Associate Director (non-technical/clinical) at Teladoc?#teladoc #salary #tc #teladocsalary,6,0,2020-12-1 02:30:01,/post/Teladoc-tc-UZrcuGL3,Teladoc
0,Teladoc onsite interview,Jjdd27,/company/Citrix/,nan,Has anyone attended Teladoc onsite interview for SWE position ? Any suggestions or pointers?Thanks#teladoc #,2,2,2021-4-9 03:43:38,/post/Teladoc-onsite-interview-CrXnzO0v,Teladoc
0,Teladoc Product Manager Interview ,Grogu7,/company/Blue-Cross-Blue-Shield/,nan,"Hello good people of Blind, I have an upcoming interview for Product Manager role with Teladoc. Any preparation tips would be much appreciated.I am working as Business Systems Analyst with Blue Shield of CA. I have been keen on transitioning to Product role for a while now. I have experience support agile Products in healthcare. I would love grab this opportunity.Current TC - 114k Experience - ~4 yearsThank you! #health #healthcare",1,0,2021-5-20 00:53:59,/post/Teladoc-Product-Manager-Interview-kNMCbjkw,Teladoc
0,Teladoc / Livongo Interview,lIXt50,/company/LinkedIn/,Eng,Hey! Has anyone interviewed for a Software Engineering position at Livongo recently? What was the process and difficulty of the questions like? Any insights would be very helpful.Thanks!#software #swe #engineering #interview,1,3,2021-1-16 00:36:48,/post/Teladoc-Livongo-Interview-2qcrFuON,Teladoc
0,Teladoc (TDOC),Mananana,/company/Google/,Mgmt,Would you invest?,2,3,2019-3-10 23:01:00,/post/Teladoc-TDOC-V7r5vm0C,Teladoc
0,Livongo employees ,udBK82,/company/General-Motors/,nan,Are you happy with the teladoc acquisition. Do you think livongo can grow more if its a independent entity?Teladoc stock dropped to $200 after the merger. Please share your thoughts.,2,4,2021-1-7 01:27:45,/post/Livongo-employees-Su2m6ycL,Teladoc
0,Who will allow (partial) WFH after the pandemic?,j&37?3),/company/Stanford-Health-Care/,nan,"Will your pharma / health / personalized medicine company in the SF Bay Area allow at least a couple of days WFH after the pandemic? At Stanford hospital they haven’t communicated yet if any WFH will stay, looks like Return on-site for office roles might be early June. #wfh #natera #teladoc #genentech",10,26,2021-4-30 15:50:19,/post/Who-will-allow-partial-WFH-after-the-pandemic-cuB1WnWw,Teladoc
0,Senior software engineer ,Uong11,/company/Cerner/,Eng,"Recently got an offer from Teladoc Health. Fully remote position based out of Texas.Senior SEBase 150k, 10% bonus, 75k over 3 yearsShould I push for more stocks or leave it be?",1,4,2021-5-18 23:22:52,/post/Senior-software-engineer-1LZyKa75,Teladoc
0,Zocdoc,AR20,/company/Qualcomm/,nan,Can zocdoc be next Teladoc?,1,1,2020-10-28 16:52:14,/post/Zocdoc-JBNhOLXE,Teladoc
0,Zocdoc,AR20,/company/Qualcomm/,nan,Any insight into zocdoc revenue and where it stands with respect to competitors such as Teladoc.,4,0,2020-10-27 19:16:12,/post/Zocdoc-OOBWYyos,Teladoc
0,Newer Healthcare tech,GTQJ44,/company/Infor/,nan,"Hi, I’m interested in pm in newer healthcare tech. Not traditional healthcare sectors. I.e #teladoc #fitbit Any advice or recommendations when there’s no direct experience.",1,1,2021-5-7 00:04:01,/post/Newer-Healthcare-tech-kBP7oY82,Teladoc
